繁體	简体	音標	註釋	聲	韻	調							
多	多	tɔ˧˥		t	ɔ	˧˥							
他	他	tʰɑ˧˥		tʰ	ɑ	˧˥							
舵	舵	tɔ˩˩˨		t	ɔ	˩˩˨							
陊	陊	tɔ˩˩˨	放置	t	ɔ	˩˩˨							
大	大	tɑ˩˩˨		t	ɑ	˩˩˨							
拖	拖	tʰɔ˧˥		tʰ	ɔ	˧˥							
駝	驼	tʰɔ˧˩		tʰ	ɔ	˧˩							
陀	陀	tʰɔ˧˩		tʰ	ɔ	˧˩							
馱	驮	tʰɔ˧˩		tʰ	ɔ	˧˩							
挪	挪	nɔ˧˩		n	ɔ	˧˩							
𦣇	𬂂	nɔ˧˩	餓~餓像：形容飢餓而狼狽的人	n	ɔ	˧˩							
𦣇	𬂂	nɑʊ̯˧˩	又音，餓~餓像：形容飢餓而狼狽的人	n	ɑʊ̯	˧˩							
羅	罗	nɔ˧˩		n	ɔ	˧˩							
鑼	锣	nɔ˧˩		n	ɔ	˧˩							
籮	箩	nɔ˧˩		n	ɔ	˧˩							
𪭥	𪭥	t͡s̻ɔ˦˨	換	t͡s̻	ɔ	˦˨							
左	左	t͡s̻ɔ˦˨		t͡s̻	ɔ	˦˨							
佐	佐	t͡s̻ɔ˦˨		t͡s̻	ɔ	˦˨							
做	做	t͡s̻u̜˩˩˨		t͡s̻	u̜	˩˩˨							
搓	搓	t͡s̻ʰɔ˧˥		t͡s̻ʰ	ɔ	˧˥							
娑	娑	s̻ɔ˧˥		s̻	ɔ	˧˥							
歌	歌	kɔ˧˥		k	ɔ	˧˥							
哥	哥	kɔ˧˥		k	ɔ	˧˥							
個	个	Kɛ˧˥	南部白讀	k	ɛ	˧˥							
個	个	Kə˩˩˨		k	ə	˩˩˨							
軻	轲	kʰɔ˧˥		kʰ	ɔ	˧˥							
可	可	kʰɔ˦˨		kʰ	ɔ	˦˨							
蛾	蛾	ŋɔ˧˩		ŋ	ɔ	˧˩							
鵝	鹅	ŋɔ˧˩		ŋ	ɔ	˧˩							
娥	娥	ŋɔ˧˩		ŋ	ɔ	˧˩							
俄	俄	ŋɔ˧˩		ŋ	ɔ	˧˩							
我	我	ŋɔ˦˨		ŋ	ɔ	˦˨							
㦱	㦱	ŋɔ˦˨		ŋ	ɔ	˦˨							
餓	饿	ŋɔ˩˩˨		ŋ	ɔ	˩˩˨							
呵	呵	xɔ˧˥		x	ɔ	˧˥							
𪫧	𪫧	xɔ˧˥	回~過來：回過神來	x	ɔ	˧˥							
訶	诃	xɔ˧˥		x	ɔ	˧˥							
胢	胢	xɑ˧˥	肉和油脂變質	x	ɑ	˧˥							
抲	抲	xɑ˧˥	動詞，表示用手翻找	x	ɑ	˧˥							
何	何	xɔ˧˩		x	ɔ	˧˩							
河	河	xɔ˧˩		x	ɔ	˧˩							
荷	荷	xɔ˧˩		x	ɔ	˧˩							
苛	苛	Kʰɔ˧˥		kʰ	ɔ	˧˥							
荷	荷	xɔ˩˩˨		x	ɔ	˩˩˨							
賀	贺	xɔ˩˩˨		x	ɔ	˩˩˨							
阿	阿	a˧˥˥	張嘴	ø	a	˧˥˥							
阿	阿	a˧˥	疑問	ø	a	˧˥							
阿	阿	ɑ˧˩	應答	Ø	ɑ	˧˩							
阿	阿	ŋɔ˧˥	阿彌陀佛	ŋ	ɔ	˧˥							
阿	阿	ɔ˧˥	阿膠	ø	ɔ	˧˥							
屙	屙	ŋɔ˧˥		ŋ	ɔ	˧˥							
茄	茄	t͡ɕʰy̑i˧˩	蕃茄	t͡ɕʰ	y̑i	˧˩							
啵	啵	pɔ˧˥	打~	p	ɔ	˧˥							
波	波	pɔ˧˥		p	ɔ	˧˥							
跛	跛	paɪ̯˧˥	跛子，跛腳杆	p	aɪ̯	˧˥							
跛	跛	pɔ˦˨	文讀	p	ɔ	˦˨							
簸	簸	pɔ˦˨		p	ɔ	˦˨							
播	播	pɔ˩˩˨		p	ɔ	˩˩˨							
簸	簸	pɔ˩˩˨		p	ɔ	˩˩˨							
頗	颇	pʰɔ˧˥		pʰ	ɔ	˧˥							
