聲	呼	等	韻	調	組	攝	單字	原註	新註	聲母	韻母	聲調	次 聲母	次 韻母	次 聲調	IPA 聲母	IPɐ 韻母	IPA 聲調
並	開	一	歌	上	幫	果	爸			b	aa	1				p	a	55
幫	開	二	麻	平	幫	假	巴			b	aa	1				p	a	55
幫	開	二	麻	平	幫	假	笆			b	aa	1				p	a	55
幫	開	二	麻	平	幫	假	芭			b	aa	1				p	a	55
滂	開	二	麻	平	幫	假	吧	酒吧		b	aa	1				p	a	55
-	-	-	-	-	-	-	疤			b	aa	1				p	a	55
-	-	-	-	-	-	-	粑			b	aa	1				p	a	55
-	-	-	-	-	-	-	峇			b	aa	1				p	a	55
-	-	-	-	-	-	-	叭			b	aa	1				p	a	55
幫	開	二	麻	上	幫	假	把			b	aa	2				p	a	35
幫	開	二	麻	去	幫	假	靶			b	aa	2				p	a	35
幫	開	二	麻	去	幫	假	霸			b	aa	3				p	a	33
							伯	春秋五伯		b	aa	3				p	a	33
-	-	-	-	-	-	-	壩			b	aa	3				p	a	33
並	開	一	歌	上	幫	果	爸			b	aa	4				p	a	21
並	開	三	支B	平	幫	止	罷			b	aa	6				p	a	32
							吧	語助詞		b	aa	6				p	a	32
幫	開	三	支B	平	幫	止	襬			b	aai	2				p	ai	35
幫	開	二	佳	上	幫	蟹	擺			b	aai	2				p	ai	35
幫	開	二	皆	去	幫	蟹	拜			b	aai	3				p	ai	33
滂	開	二	皆	去	幫	蟹	湃			b	aai	3				p	ai	33
並	開	二	夬	去	幫	蟹	敗			b	aai	6				p	ai	32
並	合	三	文	平	幫	臻	頒			b	aan	1				p	an	55
幫	開	二	刪	平	幫	山	斑			b	aan	1				p	an	55
幫	開	二	刪	平	幫	山	班			b	aan	1				p	an	55
幫	開	一	寒	上	幫	山	粄			b	aan	2				p	an	35
幫	合	三	元	上	幫	山	阪			b	aan	2				p	an	35
幫	開	二	刪	上	幫	山	板			b	aan	2				p	an	35
幫	開	二	刪	上	幫	山	版			b	aan	2				p	an	35
-	-	-	-	-	-	-	闆			b	aan	2				p	an	35
幫	合	三	文	平	幫	臻	扮			b	aan	6				p	an	32
並	開	二	山	去	幫	山	辦			b	aan	6				p	an	32
幫	開	二	山	入	幫	山	捌			b	aat	3				p	at	3
幫	開	二	山	入	幫	山	八			b	aat	3				p	at	3
幫	開	二	肴	平	幫	效	胞			b	aau	1				p	au	55
幫	開	二	肴	平	幫	效	苞			b	aau	1				p	au	55
幫	開	二	肴	平	幫	效	包			b	aau	1				p	au	55
並	開	二	肴	上	幫	效	鮑	鮑魚		b	aau	1				p	au	55
-	-	-	-	-	-	-	孢			b	aau	1				p	au	55
幫	開	二	肴	上	幫	效	飽			b	aau	2				p	au	35
幫	開	二	肴	去	幫	效	爆			b	aau	3				p	au	33
並	開	二	肴	上	幫	效	鮑	鮑魚之肆		b	aau	6				p	au	32
							跛	跛咗		b	ai	1				p	ɐi	55
幫	開	三	祭A	去	幫	蟹	蔽			b	ai	3				p	ɐi	33
幫	開	四	齊	去	幫	蟹	閉			b	ai	3				p	ɐi	33
並	開	三	祭A	去	幫	蟹	敝			b	ai	6				p	ɐi	32
並	開	三	祭A	去	幫	蟹	斃			b	ai	6				p	ɐi	32
並	開	三	祭A	去	幫	蟹	弊			b	ai	6				p	ɐi	32
並	開	三	祭A	去	幫	蟹	幣			b	ai	6				p	ɐi	32
並	開	四	齊	上	幫	蟹	陛			b	ai	6				p	ɐi	32
幫	開	一	登	入	幫	曾	北			b	ak	1				p	ɐk	5
幫	開	二	庚	入	幫	梗	伯	老伯		b	ak	3				p	ɐk	3
幫	開	二	庚	入	幫	梗	百			b	ak	3				p	ɐk	3
明	開	二	庚	入	幫	梗	佰			b	ak	3				p	ɐk	3
並	開	二	庚	入	幫	梗	帛			b	ak	6				p	ɐk	2
並	開	二	庚	入	幫	梗	白			b	ak	6				p	ɐk	2
並	開	一	登	入	幫	曾	蔔			b	ak	6				p	ɐk	2
-	-	-	-	-	-	-	乓			b	am	1				p	ɐm	55
幫	開	三	真A	平	幫	臻	濱			b	an	1				p	ɐn	55
幫	開	三	真A	平	幫	臻	檳			b	an	1				p	ɐn	55
幫	開	三	真A	平	幫	臻	賓			b	an	1				p	ɐn	55
滂	開	三	真A	平	幫	臻	繽			b	an	1				p	ɐn	55
並	開	三	真A	上	幫	臻	臏			b	an	1				p	ɐn	55
幫	開	三	真B	平	幫	臻	彬			b	an	1				p	ɐn	55
幫	合	一	魂	平	幫	臻	奔			b	an	1				p	ɐn	55
幫	開	三	侵B	上	幫	深	稟			b	an	2				p	ɐn	35
滂	開	三	侵B	上	幫	深	品			b	an	2				p	ɐn	35
幫	開	三	真A	去	幫	臻	鬢			b	an	3				p	ɐn	33
幫	合	一	魂	上	幫	臻	笨			b	an	6				p	ɐn	32
幫	開	二	耕	平	幫	梗	繃	繃帶		b	ang	1				p	ɐŋ	55
幫	開	一	登	平	幫	曾	崩			b	ang	1				p	ɐŋ	55
-	-	-	-	-	-	-	蹦			b	ang	1				p	ɐŋ	55
幫	開	三	真A	入	幫	臻	畢			b	at	1				p	ɐt	5
幫	開	三	真B	入	幫	臻	筆			b	at	1				p	ɐt	5
幫	合	三	尤	平	幫	流	不			b	at	1				p	ɐt	5
-	-	-	-	-	-	-	嗶			b	at	1				p	ɐt	5
並	合	三	元	入	幫	山	拔			b	at	6				p	ɐt	2
並	開	一	寒	入	幫	山	跋			b	at	6				p	ɐt	2
-	-	-	-	-	-	-	啤			b	e	1				p	ɛ	55
幫	開	三	支A	平	幫	止	卑			b	ei	1				p	ei	55
幫	開	三	支B	平	幫	止	碑			b	ei	1				p	ei	55
幫	開	三	脂B	平	幫	止	悲			b	ei	1				p	ei	55
幫	開	三	支B	上	幫	止	彼			b	ei	2				p	ei	35
幫	開	三	脂A	上	幫	止	比	比較		b	ei	2				p	ei	35
幫	開	三	脂A	上	幫	止	妣			b	ei	2				p	ei	35
幫	開	三	支A	去	幫	止	臂			b	ei	3				p	ei	33
幫	開	三	脂A	去	幫	止	庇			b	ei	3				p	ei	33
幫	開	三	脂B	去	幫	止	祕			b	ei	3				p	ei	33
幫	開	三	脂B	去	幫	止	泌			b	ei	3				p	ei	33
幫	開	三	支B	去	幫	止	跛	站立時重心偏於某一足上		b	ei	3				p	ei	33
-	-	-	-	-	-	-	秘			b	ei	3				p	ei	33
-	-	-	-	-	-	-	痺			b	ei	3				p	ei	33
幫	開	三	脂A	去	幫	止	痹			b	ei	3				p	ei	33
並	開	二	皆	去	幫	蟹	憊			b	ei	3				p	ei	33
並	開	三	支A	去	幫	止	避			b	ei	6				p	ei	32
