單字	聲紐	呼	等	韻部	聲調	組	攝	江拼	聲母_定	韻母_定	聲調_定	IPA(寬)	聲母_定	韻母_定	聲調_定	IPA(嚴)	聲母_定	韻母_定	聲調_定	備註
阿	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A			a	1		ʔ	a	23		ʔ	ᴀ	23	阿文
啊	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A			a	1		ʔ	a	23		ʔ	ᴀ	23	
唉	影	開	一	咍	平	影	蟹			ai	3		ʔ	ai	45		ʔ	ᴀj	45	
欸	影	開	一	咍	上	影	蟹			ai	3		ʔ	ai	45		ʔ	ᴀj	45	
哎	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A			ai	3		ʔ	ai	45		ʔ	ᴀj	45	
霸	幫	開	二	麻	去	幫	假		b	a	1		p	a	23		p	ᴀ	23	
壩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	a	1		p	a	23		p	ᴀ	23	
峇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	a	1		p	a	23		p	ᴀ	23	
伯									b	a	1		p	a	23		p	ᴀ	23	春秋五伯
巴	幫	開	二	麻	平	幫	假		b	a	3		p	a	45		p	ᴀ	45	
芭	幫	開	二	麻	平	幫	假		b	a	3		p	a	45		p	ᴀ	45	
笆	幫	開	二	麻	平	幫	假		b	a	3		p	a	45		p	ᴀ	45	
靶	幫	開	二	麻	去	幫	假		b	a	3		p	a	45		p	ᴀ	45	
把	幫	開	二	麻	上	幫	假		b	a	3		p	a	45		p	ᴀ	45	
疤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	a	3		p	a	45		p	ᴀ	45	
粑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		b	a	3		p	a	45		p	ᴀ	45	
爸	並	開	一	歌	上	幫	果		b	a	2		p	a	21		p	ᴀ	21	
罷	並	開	三	支B	平	幫	止		b	a	4		p	a	32		p	ᴀ	32	
罢	並	開	三	支B	平	幫	止		b	a	4		p	a	32		p	ᴀ	32	
吧	滂	開	二	麻	平	幫	假		b	a	4		p	a	32		p	ᴀ	32	
拜	幫	開	二	皆	去	幫	蟹		b	ai	1		p	ai	23		p	ᴀj	23	
湃	滂	開	二	皆	去	幫	蟹		b	ai	1		p	ai	23		p	ᴀj	23	
襬	幫	開	三	支B	平	幫	止		b	ai	3		p	ai	45		p	ᴀj	45	
擺	幫	開	二	佳	上	幫	蟹		b	ai	3		p	ai	45		p	ᴀj	45	
摆	幫	開	二	佳	上	幫	蟹		b	ai	3		p	ai	45		p	ᴀj	45	
敗	並	開	二	夬	去	幫	蟹		b	ai	4		p	ai	32		p	ᴀj	32	
败	並	開	二	夬	去	幫	蟹		b	ai	4		p	ai	32		p	ᴀj	32	
頒	並	合	三	文	平	幫	臻		b	an	1		p	an	23		p	ᴀn	23	
班	幫	開	二	刪	平	幫	山		b	an	1		p	an	23		p	ᴀn	23	
斑	幫	開	二	刪	平	幫	山		b	an	1		p	an	23		p	ᴀn	23	
