澄海大新话字表，属于闽南区——潮汕片	
来源：《汕头溪南大新话研究》，2017年，陈哲盛	
带井号的单元格是韵母！	
校对：阿缨	
声调为：阴平[33]，阳平[55]，阴上[53]，阳上[35]，阴去[213]，阳去[11]，阴入[2]，阳入[4]	
#o	
t	[33]多刀[35]在[11]袋[55]朵[53]倒（打倒）短
tʰ	[33]胎[55]桃[53]妥唾（唾液）讨（～论）[213]退蜕
l	[55]罗脶（手指纹）牢
ts	[35]坐助造（建造）[11]座[53]左阻枣[213]做
tsʰ	[33]搓初[53]楚础（柱下石）草[213]锉措（措置）错（错误）糙（粗糙）
k	[33]歌哥糕[53]稿[213]块块告
kʰ	[33]颗（一颗珠）[53]可
ɡ	[11]饿[55]鹅
∅	[33]窝[11]卧[213]懊（懊悔）
h	[11]号（号数）[55]荷（薄荷）何贺[53]好（好坏）[213]耗
p	[33]波坡玻（玻璃）[53]保宝[213]报
pʰ	[35]抱菢（菢小鸡）[53]跛（跛足）
b	[11]磨（石磨）帽[55]无（～去）[53]母
n	[35]两（两个）[11]怒[213]糯（糯米）努
s	[33]梭（织布梭）唆（啰唆）[53]锁所[213]疏（注疏）嫂
m	[35]墓募幕[55]模（模范）摹（摹仿）毛
ŋ	[35]遇寓[55]梧（梧桐）愚
#ua	
t	[35]舵[11]大（①不小；②姐姐；大夫、大黄）[213]带
tʰ	[33]拖
l	[11]赖（～死）[55]箩
ts	[33]抓[55]蛇[53]纸
tsʰ	[53]蔡
k	[53]寡[213]挂
kʰ	[33]夸垮跨（越过）
ɡ	[11]外
∅	[33]蜗瓦[53]我
h	[35]祸[55]和（和气）禾华（中华）华（华山、姓）
p	[213]簸（簸箕）
pʰ	[55]婆[213]破
b	[55]磨（磨刀）
s	[33]沙[53]徙
#ai	
t	[33]呆[213]戴贷
tʰ	[33]台（台州，天台）苔（1青苔；2舌苔）筛（筛子）筛（筛子）[35]待[55]台抬[213]态太
l	[35]内[55]来梨（雪～）
ts	[33]灾知[55]脐[53]宰[213]再载（满载）
tsʰ	[33]猜[55]才裁豺[53]彩[213]菜
k	[33]该咳（咳嗽）[35]个（个人）[55]阶[213]届戒
kʰ	[53]凯楷[213]概慨（慷慨）
ɡ	[213]碍
∅	[33]哀[53]隘
h	[35]亥骇（惊骇）械[11]害[55]谐[53]海
p	[11]败[55]排牌[53]摆[213]拜
pʰ	[213]沛派
b	[55]眉
n	[35]耐奈癞
