#調值	[1]11 [2]21 [3]52 [4]44 [5]22 [6]25				
#符號說明:	-白=文				
#aŋ					
b	[2]龐旁磅螃彭{～德懷}[6]蜯棒蚌傍				
d	[2]唐糖餹堂塘膛溏螳棠[6]蕩宕				
dz	[2]長場腸嫦藏掁[6]杖丈仗				
g	[2]扛				
h	[2]行{～頭}莖蟥{螞～}[6]項巷				
k	[1]剛=缸鋼崗肛岡罡江-[3]港[5]槓□{鑽}[6]艦				
kʰ	[1]康糠慷[5]抗炕亢				
l	[1]晾[2]狼郎啷琅瓤[4]朗盪蕩[6]浪				
m	[2]忙盲芒茫氓蝱{牛～}[4]莽蟒猛-網-				
p	[1]幫邦弸{～硬}[2]棒{冰～}[3]綁榜[5]謗迸{～開}				
pʰ	[2]閛{關門聲}[3]碰砰搒{打擊}[4]□{變質}[5]胖				
s	[1]傷商裳桑喪槡搡生深[2]□{懶散}常嘗承{～不起}[3]賞晌㾪{瘦}[5]喪盛{人名}[6]上尙				
t	[1]當襠鐺{鍋}[2]鐺{金屬聲}[3]擋[5]當				
tʰ	[1]湯□{第三人稱複數}[3]躺趟[4]挺{～平}盪蕩[5]褪{～皮}燙				
ts	[1]章張髒賍樟彰臧爭{欠;差}[3]長漲掌整{～票子}撐{抵住}[5]帳脹障瘴葬挣{用力}				
tsʰ	[1]倉蒼滄昌娼猖[3]廠[5]唱暢倡				
Ø	[2]昂□{表示迴應}[3]□{第一人稱複數}[5]戆				
#uaŋ					
dz	[2]床[6]狀				
h	[1]方芳藩荒[2]防房肪妨黃皇蝗簧[3]恍[4]晃[5]放[6]横{～木}□{～是:總是}				
k	[3]獷[5]逛				
g	[2]轟				
kʰ	[1]匡筐框[2]□[4]倾{碰}[5]礦鑛曠眶爌磬				
s	[1]雙霜孀双[3]爽				
ts	[1]莊裝妝桩庄[5]壯				
tsʰ	[1]窗创[4]撞鋥{亮}[5]创				
Ø	[1]汪[2]王亡完黄{～莊}[3]枉[4]网=往[6]妄忘望旺				
#iaŋ					
ɕ	[1]相箱镶[3]想[5]相[6]象				
dʑ	[2]詳祥強牆薔翔[6]像匠				
h	[1]香鄉[2]降[3]響[5]向[6]餡{～料}				
l	[1]嬢[2]梁涼樑良娘[4]領{～喫}兩倆[6]亮量酿瓤				
tɕ	[1]江=疆=姜將僵漿剛驚精{黃～}[3]講=蔣獎槳[5]降虹醬				
tɕʰ	[1]腔羌腔槍轻疆-[3]搶羥[5]嗆				
Ø	[1]縈{～毛線}央秧□{種子}[2]迎螢{～火蟲}羊楊洋陽赢{搞不～}[4]仰養癢氧壤攘[6]讓樣□				
#an					
b	[2]盤[6]伴辦瓣				
d	[2]檀壇彈潭[6]彈但蛋淡窞				
dz	[2]残[6]湛棧				
h	[1]鼾[2]寒閒鹹[3]喊[5]漢[6]旱汗限撼				
k	[1]間干幹竿肝[3]杆秆敢感[5]干監鑑[6]艦				
kʰ	[1]刊堪勘[3]侃砍坎[5]看				
l	[1]籃[2]藍蘭難籃南男楠难[4]懶覽[6]爛难				
m	[2]饅瞞蛮馒[4]滿晚{～～}[6]慢鰻蔓曼				
p	[1]搬[3]版板[5]半				
pʰ	[1]潘[5]判盼[6]叛				
s	[1]三叁衫饞[3]散閃傘[5]散[6]善禪				
t	[1]單丹端箪顫[3]膽[5]旦[6]誕但				
tʰ	[1]癱灘[3]毯坦[5]碳嘆炭探				
ts	[1]簮簪沾霑詹瞻仙{～子腳}[3]斬展[5]贊濺站占戦				
tsʰ	[1]攙餐[3]闡產鏟[5]顫				
Ø	[1]安[5]晏案按[6]岸雁				
#uan					
d	[6]段斷				
dz	[2]傳船[6]傳篆				
