#ɿ	
ts	[1]资姿咨兹滋[3]滓[4]秩
tsʰ	[3]此[4]瓷慈磁辞词[5]伺
s	[1]施[5]示嗜似
#i	
p	[2]瓢勺[4]毕必碧璧辟[5]蔽敝弊币毙蓖陛痹
pʰ	[3]痞[4]琵
m	[4]秘泌
f	[1]□{口哨}
t	[2]条[4]的嫡敌
tʰ	[4]题[5]隶
n	[2]□{茅屋：稃～}
tʃ	[1]知支枝肢妓之芝招{～呼}[3]纸只脂旨指止趾址[4]藉{借口}是质集辑执汁职植迹籍藉{狼～}绩[5]制製祭际济剂智翅技致稚至鳍置痔治志誌痣照寂[6]眨[7]挤摺折{～叠}
tʃʰ	[3]耻齿[4]持
ʃ	[1]尸烧[2]时[3]眵屎史驶始[4]玺习袭昔夕适释析匙{钥也}□{滑}[5]誓逝细是{～非公}氏试小式饰[6]豉舌失[7]□{祭祖：～祖}
k	[1]奇{～数}饥肌几{非简体。茶～}基饑娇箕秸[2]茄骑棋旗乔桥荞[3]麂巳己纪{～律，世～，年～}几{～个}[4]级及吉极击藠[5]计继繫{缚～}寄记杞忌既季叫{鸡～}[7]□{涩}结
kʰ	[1]欺期[3]启岂[4]奇{～怪}岐歧其[5]企器弃
x	[1]牺希稀[3]起喜祈[5]系繫{联系}戏气汽泣[7]休揭掀歇
∅	[1]瞖医衣依要{～求}[2]移挪姨[3]椅已以[4]仪疑舀叶译液疫[5]意异忆亿抑翼役[6]易[7]噎
#u	
p	[1]午{中～}晡[2]培陪赔裴[3]补[4]不[5]布佈怖部{～队}背{～脊}[6]部{～长}步埠辈倍背{弃～；～诵}焙[7]钵
pʰ	[1]坡铺胚[2]脯{胸～}[3]谱普浦捕甫脯{果～}[4]蒲菩葡泼朴扑僕[5]舖配佩[6]簿[7]仆
m	[5]暮慕募
f	[1]呼户{窗～}夫敷麸灰{石～}稃[2]胡湖狐壶乎葫鬍糊符芙浮{～萍}幅蛔[3]苦虎浒府腑俯斧抚腐辅[4]俘{～虏}符{～号}複复[5]裤戽互赋护{保～}付赴讣腐{豆～}附富副负復覆[6]户{暴发～}沪护瓠傅扶父会{开～}妇佛[7]宽阔
t	[1]都{～城}都{～是}堆[2]涂{糊～}[4]督[5]妒对碓队兑[6]队{部～}
tʰ	[1]推[3]腿[4]途蜕脱突秃[5]退
n	[2]雷擂擂[3]努虏[4]卢庐鹿禄陆录[5]怒[6]内{上捞～}[7]捋
ts	[1]嘬[3]嘱[4]族轴祝[5]著助註注
tsʰ	[3]楚础[4]褚除{加减乘～}储促触[5]猝
s	[1]殊唆[3]署[4]述速肃宿{～舍}淑续属[5]恕戍碎
k	[1]姑孤估鸪菇□{蜷脚}[3]箍古牯股鼓蛊[5]故雇顾[6]固
kʰ	[1]枯[4]窟[5]库酷
∅	[1]乌污坞巫诬回{～来}[3]吾梧舞侮鹉捂[4]吴无物握[5]务[6]误悟雾戊勿
#y	
t	[1]丢[2]槌锤
n	[2]萝{藤～；～卜}骡萝{～卜}驴[3]吕旅屡履[4]律率{效～}[5]虑[6]儽累{连～}
tʃ	[1]栀追锥[2]除{～了}厨随[3]嘴[5]聚具惧醉[6]罪
tʃʰ	[1]催崔吹[4]徐□{打}[5]黢
ʃ	[1]须需虽戌圩[3]水[5]絮序叙绪婿[6]睡
k	[1]居车{～马炮}拘驹[3]举矩纪{～律}[4]桔菊局[5]据锯巨拒距俱句剧
kʰ	[1]区驱[4]渠麯曲{～折}
x	[1]墟虚嘘[3]许[4]血[5]蓄
∅	[1]淤迂[2]如余馀逾[3]语与宇禹羽[4]於乳愚虞娱于盂雨榆愉狱欲[5]誉预豫裕腻[6]遇寓芋愈喻玉
#ɑ	
p	[1]巴{哈～狗}芭疤粑[3]把摆罢[4]□{脚～肚，腿肚子}[5]霸欛壩坝拜[6]稗败拔[7]八
pʰ	[4]琶[5]怕派
m	[1]巴{尾～}
f	[1]花[4]华{中～}华{～山，姓}乏猾伐[5]化块{一～钱}会{～计}快[6]化{文～}坏画话滑发{一～雨}罚劃□{拔秧：～秧}[7]法发{發，出～，～展}
t	[3]打[5]戴带贷待怠殆代{～表}[6]大姐代{后～}袋大{～夫}[7]答搭沓达
tʰ	[1]他胎苔{舌～}苔{青～}[4]踏塔榻塌遢獭□{头发全掉完}[5]态太{老～～}泰
n	[4]纳拉腊蜡捺□{水冷}[5]□{屁股沟：屁股～}[6]赖癞[7]□{瘸}邋
ts	[1]灾斋[2]才[3]宰载{年～}崽儿子{儿～}仔[5]再载{～重}债[6]寨杂煠宅[7]扎闸砸札紮铡择{～菜}摘
tsʰ	[1]猜钗差{出～}[3]彩采睬[4]搽查插察拆镲[5]菜蔡
s	[1]腮鳃筛萨[3]使洒[5]赛晒[7]撒{～手}撒{～种}杀煞{～住}
k	[1]家加痂嘉傢稼该阶佳街[3]假{非真也}贾假{放～}改解{～开}[5]架驾嫁价盖丐介界芥尬疥届戒械辆[6]跨[7]夹裌甲胛挟{～菜}各胳荚钾
kʰ	[3]揢拤[4]掐[5]概
x	[1]虾哈{吐气}开哈[3]傻海痴[4]下{～降}瞎[6]下{底～}夏厦{～门}亥害狭峡窄[5]□{破～裤，开裆裤}
∅	[1]鸦丫桠[2]衙砑[3]矮[5]爱[7]鸭押压轧
#iɑ	
p	[6]柏白[7]百伯
pʰ	[4]帕拍魄
m	[4]麦脉
tʰ	[2]□{木板鞋：～～鞋}
tʃʰ	[4]洽[5]笡
ȵ	[2]伢
ʃ	[4]吓匣辖嚇[5]厦{旁屋也}
k	[7]格隔
x	[4]霞客
∅	[3]雅[4]也野涯[5]亚[6]夜晚[7]轭
#uɑ	
s	[7]涮刷甩
k	[1]瓜乖[3]寡拐[4]□{大～佬，蜘蛛}□{握}[5]怪挂卦[6]□{量词，走一步}[7]剐割刮
kʰ	[1]夸[3]垮{～台}[6]胯[7]块
∅	[3]□{呕吐}[6]□{回去：～去}[7]挖掘
#iæ	
∅	[4]药
#ie	
p	[6]鼻卜[7]憋笔北逼壁□{哥哥}
pʰ	[4]撇僻劈
m	[4]灭篾蜜墨[7]□{酒窝}
f	[6]□{眼～，眼珠}
t	[4]叠谍[6]坠跌着{著。睡～了，找～了；猜～了；～急，～凉}□{看见：看～}[7]拿得{给}得德
tʰ	[4]踢
n	[2]来[4]站猎立笠列烈裂劣两{～斤}肋力[7]颗聂粒栗
