#a	
p	[1]巴芭疤[3]八叭{~狗}剥{又，~皮}把{又，~握}[5]爸罢霸坝拔雹把{~柄}
pʰ	[1]趴[5]怕爬耙
m	[1]妈麻{又，~木}[3]马蚂[5]骂麻{~雀}
f	[3]发法[5]乏伐罚阀
t	[3]打答搭达搭[5]大
tʰ	[1]他它她[3]塔塌
n	[1]拿[3]纳[5]钠哪
l	[1]拉{~屎}[3]腊辣拉{~车}邋[5]拉蜡{~烛}
ts	[1]渣踏咂[3]札紥扎闸咂{又}砸[5]炸{用油~、~弹}诈榨{~油}乍杂铡咱
tsʰ	[1]叉差{~别}[3]擦插[5]茶搽岔查察
s	[1]沙纱[3]杀洒煞靸撤[5]□{~下：挑剩下}
k	[1]疙{又，~瘩}□{~着：打球时盯着对方}轧{~伙：合伙办事，结伴}[3]割葛玍{难缠}嘎[5]戒{金~指}蛤
kʰ	[1]咯{~出来：卡着了，咯出来，用咳嗽咳出来}[3]磕渴{又}叩{~头}卡{~其布}[5]□{~lou³¹：食物走油}
x	[1]哈{笑}哈{~唬：吓唬}下{走~来}[3]喝哈{又，~唬}[5]哈{~趴：趴伏}蛤{~蚂}
∅	[1]阿[3]腌{~臜}[5]啊
#ia	
l	[3]俩{两个}
ɕ	[1]□{~搭：大个子走路踮踮摇摇不精神}[3]傻{~子}
c	[1]加家[3]甲夹角{牛~、豆~}假{放~、真~}贾[5]价架嫁驾假{又，放~}稼佳嘉
cʰ	[3]恰掐卡{~片、~克}[5]卡{~起来：把投机到把的人卡起来}
ç	[1]虾[3]瞎[5]夏下{~山、上~}匣霞辖吓
∅	[1]牙芽[3]业哑雅压鸭押[5]压{又}鸦
#ua	
ts	[1]抓[3]爪
s	[1]□{用爪抓人}[3]耍刷[5]□{又，~下：挑剩下}
k	[1]瓜呱[3]刮寡[5]卦褂挂
kʰ	[1]夸垮[3]刮括[5]跨
x	[1]花[3]□{一~ta³¹：脏而粘的东西摔在身上的形状}[5]华铧画话化划
∅	[1]洼{~地：低而无水}挖凹[3]袜瓦[5]洼{~地：低而有水}蛙{又}瓦{~匠}
#ɤ	
t	[3]得德□{打~儿：更加}[5]夺{~东西}
tʰ	[3]脱{又}[5]特
l	[1]勒{~搭：小孩抱小孩，夹在腰部}[3]勒{~紧、~索}
ts	[3]则窄摘[5]贼择泽宅责
tsʰ	[1]拆{又}[3]策册侧拆[5]测厕
s	[1]塞{~巴：拥挤}[3]骰{~子}塞{~住}涩瑟啬色
k	[1]歌{又}锅{又}咯{~~当子}[3]革隔各格疙{~瘩}阁{又}旮{~旯}[5]鸽个
kʰ	[1]科{又}棵{又}颗{又}[3]壳克客刻渴{又}可{又}[5]课{又}
x	[1]喝{又}[3]黑[5]核{~桃}和{又}盒{又}何{又}荷{又}禾{又}
∅	[3]额[5]握{又}
#ie	
p	[1]瘪{又}[3]鳖憋瘪[5]别
pʰ	[3]撇{~下、~开}
m	[5]灭
t	[1]爹[3]跌[5]叠蝶谍碟迭
tʰ	[3]铁帖贴
l	[3]裂[5]烈列劣猎
tɕ	[1]遮[3]者姐折接节蛰辄[5]借截哲浙蛰这
tɕʰ	[1]车[3]且扯切彻撤[5]妾
ȵ	[1]捏{~他一下}[3]捏{~个小泥人}聂{姓}[5]蹑那
ɕ	[1]些[3]写捨赦雪薜[5]社谢舍射泻卸邪舌蛇涉设泄
c	[3]结[5]杰洁
cʰ	[1]□{~~：躺躺}[3]怯[5]茄
ç	[3]血歇[5]协
∅	[3]野也噎{~住了}叶热惹页[5]夜业爷额{~勒盖}
#o	
p	[1]波菠玻拨{~楞}博{~士}播[3]百伯柏北拨剥驳簸{~一~}钵{尿~子}[5]白薄博{渊~}簸{~箕}脖婆{~~丁}
pʰ	[1]坡颇[3]拍迫泼笸[5]破婆
m	[1]魔摩磨{~刀}摸模{又，~范}[3]墨麦抹脉{评~}[5]磨{石~}末沫莫没{~落、没有}默么
#uo	
t	[1]多[3]躲朵[5]夺惰剁{~墩子}垛
tʰ	[1]拖[3]妥脱托[5]驼驮唾托{筐~子}
n	[1]挪[3]懦[5]糯{~米}
l	[1]箩萝罗{~锅}[3]落酪烙[5]洛骆{~驼}络骡罗{姓}锣乐{快~}
ts	[3]桌捉拙座{一~楼}左{又，~右}[5]坐座做昨浊镯{手~}凿着{~重}作左
tsʰ	[1]搓[3]撮{用簸箕~}[5]错矬{矮}戳
s	[1]蓑{~雨}梭{织布~}[3]所锁琐{~碎}索说{又}[5]勺{~子}缩
k	[1]哥歌锅括{包~}[3]果裹国郭阁[5]过个{又}
kʰ	[1]科棵颗[3]可括{又，包~}[5]课骒扩{~充}阔
x	[1]豁{~口}耠[3]火伙霍[5]或盒{烟~}活获{又}合祸贺货河荷和{~灰、~气}禾
∅	[1]窝蛾俄卧[3]我恶握[5]饿鹅
#yø	
l	[3]略掠[5]略{~去}
tɕ	[5]嚼
tɕʰ	[3]鹊雀
ɕ	[3]削雪{又}薛{又}说
c	[1]掘[3]觉{感~}脚[5]绝决
cʰ	[1]□{折断}[3]壳{地~}缺确却[5]瘸{~腿}
ç	[1]靴[3]□{牲口撒欢地跑}[5]学
∅	[1]□{折断}郁[3]月药约疟{发~子}[5]弱若悦阅越岳乐{音~}虐钥
#ɚ	
∅	[1]儿[3]耳而[5]二
#ɿ	
ts	[1]资姿兹滋芝支肢枝之滓{渣~}辎[3]子姊紫脂指旨止址只{~有}纸[5]字志痣自至恣
tsʰ	[1]泚{~水：水喷射}□{牙~了：牙烂了}[3]此刺齿吡[5]次瓷糍{~巴}慈磁{~石}词祠辞饲{又}寺差{参~}雌翅匙
s	[1]思撕丝私司诗施{西~}狮尸屍[3]死矢虱屎史使驶始施{~肥}[5]四肆饲赐斯似是示视士市柿事试恃时祀
#i	
p	[3]比逼璧壁臂毕笔避秕{~子：不长米的谷子}瘪{~虱}[5]闭敝弊币毙蔽鄙鼻篦{梳头~子}必
pʰ	[1]批匹{一~马、一~布}[3]劈譬[5]屁皮疲脾
m	[1]泥[3]米密{秘~}迷{~拉马的}[5]秘谜迷蜜觅呢{~子}
t	[1]低提{~溜}[3]底抵牴{用角~}滴[5]地第弟递帝狄笛的敌籴
tʰ	[1]梯剃[3]体踢剔[5]替涕{鼻~}堤蹄提题嚏屉
l	[1]离犁黎梨劙[3]李里理鲤礼立[5]利痢吏隶丽{美~}离{不~儿}篱厘厉励狸历粟粒例立力
tɕ	[1]只知蜘智[3]挤脊迹绩积质汁执织职笈集{~合}际济制{~造}蒺鲫墼[5]制{~度}致剂置祭治侄值植集{~体、赶~}直疾即
tɕʰ	[1]妻凄[3]七漆沏吃尺赤[5]脐迟齐驰池耻赤{~色}憩
ȵ	[3]你[5]尼腻逆{~风}呢{又，~子}
ɕ	[1]西[3]洗息惜熄析锡习式释适室识湿失[5]细席誓世势石食蚀实十拾室{又，教~}
c	[1]鸡基饥机讥击激级妓技[3]几己吉急虮蚂{~蛘子}[5]季计继寄纪记忌既极及系{~鞋带}
cʰ	[1]欺[3]起企[5]气奇骑吱祁鳍其棋期洪
ç	[1]希稀溪牺吸[3]喜[5]戏系
∅	[1]衣依医移姨{~夫}[3]以椅已倚一乙日姨[5]夷宜疑遗艺义议意异亿易{交~}疫役逆{又}亦译益
#u	
p	[1]抱{又，~起来}[3]补不拨{甩头~拉角}[5]布怖步部簿埠{~头}醭{~面}𡋯{~土}
pʰ	[1]铺{~排}[3]普谱捕脯{胸~、果~}朴扑仆蒲[5]葡铺{店~}扑{~克}蒲{~扇}埠{沙~}
m	[1]模{~子}[3]母某亩木莫{又}[5]幕暮慕墓募谋牧目没{又，~有}
f	[1]夫麸[3]斧府附腑俯脯{又，杏~、果~}甫腹福符{~合}[5]付符{~号}富父妇负傅腐敷孵扶佛浮辅服伏复蝠
t	[1]都{~城}嘟[3]赌堵肚{猪~}[5]度渡镀杜肚{~子}独牍读毒
tʰ	[1]突{冲~}[3]土吐突{~然}秃[5]免徒途涂图屠
n	[5]怒努奴农
l	[1]炉{又，火~}噜[3]橹鲁露滷绿鹿录蝼辘[5]路卢炉芦露禄辱陆轳
ts	[1]徂阻租筑[3]祖足{又}竹烛组族[5]助卒祝
tsʰ	[1]粗初[3]楚础触族{又}[5]醋锄畜{~牲}
s	[1]苏酥梳疏[3]数{~一~}属[5]素诉塑嗉{鸟~子}数{~字}熟{又}俗{又}赎{又}漱{~口}速
k	[1]姑孤辜蛄[3]古估{~计}股鼓骨谷{山~、五~}凸{凹~不平}[5]故顾雇固核{枣~儿}
kʰ	[1]枯[3]苦哭[5]库裤
x	[1]呼[3]虎忽[5]胡湖葫{~芦}煳糊壶狐户护获互
∅	[1]乌巫梧屋[3]五伍午武舞捂[5]雾务误悟吴无物勿恶{可~、厌~}
#y	
l	[1]驴[3]吕旅捋[5]虑滤律
tɕ	[1]猪诸朱珠蛛株[3]主注{~意}煮足[5]住蛀柱注驻聚铸著
tɕʰ	[1]蛆帚{扫~}黢{~紫：很紫}[3]取娶出储{~蓄}[5]趣处{~理、相~}除厨
ȵ	[3]女
ɕ	[1]书舒需须{必~、胡~}输[3]鼠暑黍粟宿叔秫[5]序叙绪殊树徐竖絮术婿{女~}续赎熟俗
c	[1]拘驹[3]举菊橘[5]句据具距拒巨居锯渠局剧
cʰ	[1]区驱[3]曲麯{酒~}屈[5]去渠
ç	[1]虚嘘[3]许畜{~牧}蓄{储~}[5]恤
∅	[1]鱼[3]雨语入乳羽[5]裕喻遇与{参~、给予}誉预揄愉于盂愚虞娱余域玉狱欲育如褥
#aɛ	
p	[1]□{胡~~：乱说}[3]摆[5]拜败别{又}
pʰ	[5]派排牌
m	[1]埋迈{又}[3]买[5]卖
t	[1]呆[3]歹逮[5]代袋带贷戴怠待在{又}
tʰ	[1]胎态[5]太泰抬台
n	[3]乃奶奈[5]耐
l	[1]来[3]□{~下来：撕下来}[5]赖癞
ts	[1]灾栽斋[3]宰载{三年五~}崽[5]再在债载{~重}
tsʰ	[1]猜差搋{用手压、揉}[3]彩采睬[5]菜蔡才材财柴裁
s	[1]腮筛{~子}[3]洒{~水}[5]晒赛
k	[1]该[3]改[5]概盖
kʰ	[1]开[3]楷慨凯
x	[1]□{用棍棒打人}[3]海[5]害孩核{~心}还
∅	[1]哀挨[3]矮{又}[5]爱艾碍
#iaɛ	
