正體	省写	/IPA/	[IPA]	注释
知	知	tsɿ˥	tsɿᵊ˦˥	
支	支	tsɿ˥	tsɿᵊ˦˥	
枝	枝	tsɿ˥	tsɿᵊ˦˥	
肢	肢	tsɿ˥	tsɿᵊ˦˥	
吱	吱	tsɿ˥	tsɿᵊ˦˥	
資	资	tsɿ˥	tsɿᵊ˦˥	
姿	姿	tsɿ˥	tsɿᵊ˦˥	
咨	咨	tsɿ˥	tsɿᵊ˦˥	
諮	谘	tsɿ˥	tsɿᵊ˦˥	
孜	孜	tsɿ˥	tsɿᵊ˦˥	
滋	滋	tsɿ˥	tsɿᵊ˦˥	
嗞	嗞	tsɿ˥	tsɿᵊ˦˥	
茲	茲	tsɿ˥	tsɿᵊ˦˥	
輜	辎	tsɿ˥	tsɿᵊ˦˥	
錙	锱	tsɿ˥	tsɿᵊ˦˥	
之	之	tsɿ˥	tsɿᵊ˦˥	
芝	芝	tsɿ˥	tsɿᵊ˦˥	
隻	只	tsɿ˥	tsɿᵊ˦˥	
氏	氏	tsɿ˥	tsɿᵊ˦˥	大月~
撕	撕	tsɿ˥	tsɿᵊ˦˥	白读
脂	脂	tsɿ˥	tsɿᵊ˦˥	
酯	酯	tsɿ˥	tsɿᵊ˦˥	
這	这	tsɿ˥	tsɿᵊ˦˥	白读
摯	挚	tsɿ˨˩	tsɿᵊ˨˩	
執	执	tsɿ˨˩	tsɿᵊ˨˩	
侄	侄	tsɿ˨˩	tsɿᵊ˨˩	
姪	姪	tsɿ˨˩	tsɿᵊ˨˩	
質	质	tsɿ˨˩	tsɿᵊ˨˩	
炙	炙	tsɿ˨˩	tsɿᵊ˨˩	
直	直	tsɿ˨˩	tsɿᵊ˨˩	
值	值	tsɿ˨˩	tsɿᵊ˨˩	
殖	殖	tsɿ˨˩	tsɿᵊ˨˩	
植	植	tsɿ˨˩	tsɿᵊ˨˩	
置	置	tsɿ˨˩	tsɿᵊ˨˩	位~
窒	窒	tsɿ˨˩	tsɿᵊ˨˩	
只	只	tsɿ˨˩	tsɿᵊ˨˩	~差
織	织	tsɿ˨˩	tsɿᵊ˨˩	
熾	炽	tsɿ˨˩	tsɿᵊ˨˩	
職	职	tsɿ˨˩	tsɿᵊ˨˩	
擲	掷	tsɿ˨˩	tsɿᵊ˨˩	
陟	陟	tsɿ˨˩	tsɿᵊ˨˩	
指	指	tsɿ˨˩	tsɿᵊ˨˩	~头；~甲
紙	纸	tsɿ˦˨	tsɿᵊ˦˧	
只	只	tsɿ˦˨	tsɿᵊ˦˧	
幟	帜	tsɿ˦˨	tsɿᵊ˦˧	
旨	旨	tsɿ˦˨	tsɿᵊ˦˧	
指	指	tsɿ˦˨	tsɿᵊ˦˧	
滓	滓	tsɿ˦˨	tsɿᵊ˦˧	
止	止	tsɿ˦˨	tsɿᵊ˦˧	
趾	趾	tsɿ˦˨	tsɿᵊ˦˧	
址	址	tsɿ˦˨	tsɿᵊ˦˧	
祉	祉	tsɿ˦˨	tsɿᵊ˦˧	
子	子	tsɿ˦˨	tsɿᵊ˦˧	
仔	仔	tsɿ˦˨	tsɿᵊ˦˧	
梓	梓	tsɿ˦˨	tsɿᵊ˦˧	
紫	紫	tsɿ˦˨	tsɿᵊ˦˧	
姊	姊	tsɿ˦˨	tsɿᵊ˦˧	
制	制	tsɿ˩˧	tsɿᵊ˨˦	
製	制	tsɿ˩˧	tsɿᵊ˨˦	
摯	挚	tsɿ˩˧	tsɿᵊ˨˦	
蟄	蛰	tsɿ˩˧	tsɿᵊ˨˦	
智	智	tsɿ˩˧	tsɿᵊ˨˦	
雉	雉	tsɿ˩˧	tsɿᵊ˨˦	
稚	稚	tsɿ˩˧	tsɿᵊ˨˦	
至	至	tsɿ˩˧	tsɿᵊ˨˦	
致	致	tsɿ˩˧	tsɿᵊ˨˦	
窒	窒	tsɿ˩˧	tsɿᵊ˨˦	
痔	痔	tsɿ˩˧	tsɿᵊ˨˦	
治	治	tsɿ˩˧	tsɿᵊ˨˦	
字	字	tsɿ˩˧	tsɿᵊ˨˦	
志	志	tsɿ˩˧	tsɿᵊ˨˦	
痣	痣	tsɿ˩˧	tsɿᵊ˨˦	
置	置	tsɿ˩˧	tsɿᵊ˨˦	
自	自	tsɿ˩˧	tsɿᵊ˨˦	
翅	翅	tsɿ˩˧	tsɿᵊ˨˦	~拐
恣	恣	tsɿ˩˧	tsɿᵊ˨˦	
牸	牸	tsɿ˩˧	tsɿᵊ˨˦	
豸	豸	tsɿ˩˧	tsɿᵊ˨˦	
巳	巳	tsɿ˩˧	tsɿᵊ˨˦	
差	差	tsʰɿ˥	tsʰɿᵊ˦˥	参~
齜	龇	tsʰɿ˥	tsʰɿᵊ˦˥	
呲	呲	tsʰɿ˥	tsʰɿᵊ˦˥	
癡	痴	tsʰɿ˥	tsʰɿᵊ˦˥	
嗤	嗤	tsʰɿ˥	tsʰɿᵊ˦˥	
摛	摛	tsʰɿ˥	tsʰɿᵊ˦˥	
攡	攡	tsʰɿ˥	tsʰɿᵊ˦˥	
肢	肢	tsʰɿ˥	tsʰɿᵊ˦˥	夹~孔
齒	齿	tsʰɿ˥	tsʰɿᵊ˦˥	牙~
雌	雌	tsʰɿ˨˩	tsʰɿᵊ˨˩	
疵	疵	tsʰɿ˨˩	tsʰɿᵊ˨˩	
池	池	tsʰɿ˨˩	tsʰɿᵊ˨˩	
馳	驰	tsʰɿ˨˩	tsʰɿᵊ˨˩	
茨	茨	tsʰɿ˨˩	tsʰɿᵊ˨˩	
瓷	瓷	tsʰɿ˨˩	tsʰɿᵊ˨˩	
餈	餈	tsʰɿ˨˩	tsʰɿᵊ˨˩	
粢	粢	tsʰɿ˨˩	tsʰɿᵊ˨˩	
遲	迟	tsʰɿ˨˩	tsʰɿᵊ˨˩	
持	持	tsʰɿ˨˩	tsʰɿᵊ˨˩	
慈	慈	tsʰɿ˨˩	tsʰɿᵊ˨˩	
磁	磁	tsʰɿ˨˩	tsʰɿᵊ˨˩	
糍	糍	tsʰɿ˨˩	tsʰɿᵊ˨˩	
辭	辞	tsʰɿ˨˩	tsʰɿᵊ˨˩	
詞	词	tsʰɿ˨˩	tsʰɿᵊ˨˩	
祠	祠	tsʰɿ˨˩	tsʰɿᵊ˨˩	
秩	秩	tsʰɿ˨˩	tsʰɿᵊ˨˩	
赤	赤	tsʰɿ˨˩	tsʰɿᵊ˨˩	
斥	斥	tsʰɿ˨˩	tsʰɿᵊ˨˩	
尺	尺	tsʰɿ˨˩	tsʰɿᵊ˨˩	
齒	齿	tsʰɿ˨˩	tsʰɿᵊ˨˩	咬牙切~
吃	吃	tsʰɿ˨˩	tsʰɿᵊ˨˩	
喫	吃	tsʰɿ˨˩	tsʰɿᵊ˨˩	
叱	叱	tsʰɿ˨˩	tsʰɿᵊ˨˩	
此	此	tsʰɿ˦˨	tsʰɿᵊ˦˧	
齒	齿	tsʰɿ˦˨	tsʰɿᵊ˦˧	
恥	恥	tsʰɿ˦˨	tsʰɿᵊ˦˧	
侈	侈	tsʰɿ˦˨	tsʰɿᵊ˦˧	
刺	刺	tsʰɿ˩˧	tsʰɿᵊ˨˦	
賜	赐	tsʰɿ˩˧	tsʰɿᵊ˨˦	
滯	滞	tsʰɿ˩˧	tsʰɿᵊ˨˦	
掣	掣	tsʰɿ˩˧	tsʰɿᵊ˨˦	
翅	翅	tsʰɿ˩˧	tsʰɿᵊ˨˦	~膀
次	次	tsʰɿ˩˧	tsʰɿᵊ˨˦	
秩	秩	tsʰɿ˩˧	tsʰɿᵊ˨˦	~序
伺	伺	tsʰɿ˩˧	tsʰɿᵊ˨˦	
斯	斯	sɿ˥	sɿᵊ˦˥	
撕	撕	sɿ˥	sɿᵊ˦˥	文读
廝	厮	sɿ˥	sɿᵊ˦˥	
施	施	sɿ˥	sɿᵊ˦˥	
尸	尸	sɿ˥	sɿᵊ˦˥	
屍	屍	sɿ˥	sɿᵊ˦˥	
師	师	sɿ˥	sɿᵊ˦˥	
獅	狮	sɿ˥	sɿᵊ˦˥	
詩	诗	sɿ˥	sɿᵊ˦˥	
司	司	sɿ˥	sɿᵊ˦˥	
絲	丝	sɿ˥	sɿᵊ˦˥	
私	私	sɿ˥	sɿᵊ˦˥	
厶	厶	sɿ˥	sɿᵊ˦˥	
思	思	sɿ˥	sɿᵊ˦˥	
石	石	sɿ˥	sɿᵊ˦˥	霉~烂冚
匙	匙	sɿ˥	sɿᵊ˦˥	钥~
匙	匙	sɿ˨˩	sɿᵊ˨˩	
時	时	sɿ˨˩	sɿᵊ˨˩	
濕	湿	sɿ˨˩	sɿᵊ˨˩	
十	十	sɿ˨˩	sɿᵊ˨˩	
什	什	sɿ˨˩	sɿᵊ˨˩	
拾	拾	sɿ˨˩	sɿᵊ˨˩	
實	实	sɿ˨˩	sɿᵊ˨˩	
失	失	sɿ˨˩	sɿᵊ˨˩	
室	室	sɿ˨˩	sɿᵊ˨˩	
食	食	sɿ˨˩	sɿᵊ˨˩	
蝕	蚀	sɿ˨˩	sɿᵊ˨˩	
識	识	sɿ˨˩	sɿᵊ˨˩	
適	适	sɿ˨˩	sɿᵊ˨˩	
釋	释	sɿ˨˩	sɿᵊ˨˩	
石	石	sɿ˨˩	sɿᵊ˨˩	
式	式	sɿ˨˩	sɿᵊ˨˩	~子；各~各样
軾	轼	sɿ˨˩	sɿᵊ˨˩	
拭	拭	sɿ˨˩	sɿᵊ˨˩	
使	使	sɿ˦˨	sɿᵊ˦˧	
史	史	sɿ˦˨	sɿᵊ˦˧	
始	始	sɿ˦˨	sɿᵊ˦˧	
屎	屎	sɿ˦˨	sɿᵊ˦˧	
死	死	sɿ˦˨	sɿᵊ˦˧	
矢	矢	sɿ˦˨	sɿᵊ˦˧	
鼠	鼠	sɿ˦˨	sɿᵊ˦˧	兔眉~眼
世	世	sɿ˩˧	sɿᵊ˨˦	
勢	势	sɿ˩˧	sɿᵊ˨˦	
誓	誓	sɿ˩˧	sɿᵊ˨˦	
逝	逝	sɿ˩˧	sɿᵊ˨˦	
似	似	sɿ˩˧	sɿᵊ˨˦	
姒	姒	sɿ˩˧	sɿᵊ˨˦	
祀	祀	sɿ˩˧	sɿᵊ˨˦	
適	适	sɿ˩˧	sɿᵊ˨˦	合~；惯~，指溺爱小孩
士	士	sɿ˩˧	sɿᵊ˨˦	
仕	仕	sɿ˩˧	sɿᵊ˨˦	
市	市	sɿ˩˧	sɿᵊ˨˦	
柿	柿	sɿ˩˧	sɿᵊ˨˦	
豉	豉	sɿ˩˧	sɿᵊ˨˦	
是	是	sɿ˩˧	sɿᵊ˨˦	
俟	俟	sɿ˩˧	sɿᵊ˨˦	
寺	寺	sɿ˩˧	sɿᵊ˨˦	
侍	侍	sɿ˩˧	sɿᵊ˨˦	
恃	恃	sɿ˩˧	sɿᵊ˨˦	
飼	饲	sɿ˩˧	sɿᵊ˨˦	
祠	祠	sɿ˩˧	sɿᵊ˨˦	阳明~
飾	饰	sɿ˩˧	sɿᵊ˨˦	
事	事	sɿ˩˧	sɿᵊ˨˦	
式	式	sɿ˩˧	sɿᵊ˨˦	
試	试	sɿ˩˧	sɿᵊ˨˦	
駟	驷	sɿ˩˧	sɿᵊ˨˦	
四	四	sɿ˩˧	sɿᵊ˨˦	
肆	肆	sɿ˩˧	sɿᵊ˨˦	
亖	亖	sɿ˩˧	sɿᵊ˨˦	
示	示	sɿ˩˧	sɿᵊ˨˦	
氏	氏	sɿ˩˧	sɿᵊ˨˦	
日	日	zɿ˨˩	zɿᵊ˨˩	
入	入	zɿ˨˩	zɿᵊ˨˩	性交，粗语
㒲	㒲	zɿ˨˩	zɿᵊ˨˩	性交，粗语
肏	肏	zɿ˨˩	zɿᵊ˨˩	性交，粗语
尿	尿	sʮ˥	sʮ˦˥	催尿声
噓	嘘	sʮ˥	sʮ˦˥	语气词，提醒他人保持安静
啐	啐	tsʰʮ˦˨	tsʰʮ˦˧	语气词，撵走人或动物
嗶	哔	pi˥	b̥i˦˥	拉丁字母B
筆	笔	pi˨˩	b̥i˨˩	
潷	滗	pi˨˩	b̥i˨˩	
畢	毕	pi˨˩	b̥i˨˩	
蓽	荜	pi˨˩	b̥i˨˩	
篳	筚	pi˨˩	b̥i˨˩	
嗶	哔	pi˨˩	b̥i˨˩	
毗	毗	pi˨˩	b̥i˨˩	~那，即织金
鉍	铋	pi˨˩	b̥i˨˩	
䖩	䖩	pi˨˩	b̥i˨˩	
怭	怭	pi˨˩	b̥i˨˩	
必	必	pi˨˩	b̥i˨˩	
鼻	鼻	pi˨˩	b̥i˨˩	
逼	逼	pi˨˩	b̥i˨˩	
璧	璧	pi˨˩	b̥i˨˩	
壁	壁	pi˨˩	b̥i˨˩	
碧	碧	pi˨˩	b̥i˨˩	
比	比	pi˦˨	b̥i˦˧	
閉	闭	pi˩˧	b̥i˨˦	
箄	箅	pi˩˧	b̥i˨˦	
蓖	蓖	pi˩˧	b̥i˨˦	
弊	弊	pi˩˧	b̥i˨˦	
幣	币	pi˩˧	b̥i˨˦	文读
斃	毙	pi˩˧	b̥i˨˦	
避	避	pi˩˧	b̥i˨˦	
備	备	pi˩˧	b̥i˨˦	
憊	惫	pi˩˧	b̥i˨˦	
被	被	pi˩˧	b̥i˨˦	
鼻	鼻	pi˩˧	b̥i˨˦	鼻~，儿语，鼻涕
濞	濞	pi˩˧	b̥i˨˦	
𤻖	𤻖	pi˩˧	b̥i˨˦	
磇	磇	pʰi˥	pʰi˦˥	
砒	砒	pʰi˥	pʰi˦˥	
屄	屄	pʰi˥	pʰi˦˥	
毴	毴	pʰi˥	pʰi˦˥	
𣭈	𣭈	pʰi˥	pʰi˦˥	
䏘	䏘	pʰi˥	pʰi˦˥	
牝	牝	pʰi˥	pʰi˦˥	
匹	匹	pʰi˨˩	pʰi˨˩	
䏘	䏘	pʰi˨˩	pʰi˨˩	
弼	弼	pʰi˨˩	pʰi˨˩	
皮	皮	pʰi˨˩	pʰi˨˩	
疲	疲	pʰi˨˩	pʰi˨˩	
陂	陂	pʰi˨˩	pʰi˨˩	黄~
脾	脾	pʰi˨˩	pʰi˨˩	
啤	啤	pʰi˨˩	pʰi˨˩	
痺	痺	pʰi˨˩	pʰi˨˩	
痹	痹	pʰi˨˩	pʰi˨˩	
毗	毗	pʰi˨˩	pʰi˨˩	
毘	毘	pʰi˨˩	pʰi˨˩	
枇	枇	pʰi˨˩	pʰi˨˩	
琵	琵	pʰi˨˩	pʰi˨˩	
