	字	IPA	吴拼	注释	声母	韵母	调值	吴拼声	吴拼韵	调类	原注	校注	多音字
1	知	tsɿ⁴⁴			ts	ɿ	⁴⁴			1			
2	蜘	tsɿ⁴⁴			ts	ɿ	⁴⁴			1			
3	智	tsɿ⁴⁴			ts	ɿ	⁴⁴			1			
4	资	tsɿ⁴⁴			ts	ɿ	⁴⁴			1			
5	姿	tsɿ⁴⁴			ts	ɿ	⁴⁴			1			
6	咨	tsɿ⁴⁴			ts	ɿ	⁴⁴			1			
7	脂	tsɿ⁴⁴			ts	ɿ	⁴⁴			1			
8	滋	tsɿ⁴⁴			ts	ɿ	⁴⁴			1			
9	之	tsɿ⁴⁴			ts	ɿ	⁴⁴			1			
10	芝	tsɿ⁴⁴			ts	ɿ	⁴⁴			1			
11	梓	tsɿ⁴⁴			ts	ɿ	⁴⁴			1			
12	紫	tsɿ³⁵			ts	ɿ	³⁵			3			
13	旨	tsɿ³⁵			ts	ɿ	³⁵			3			
14	指	tsɿ³⁵			ts	ɿ	³⁵			3			
15	子	tsɿ³⁵			ts	ɿ	³⁵			3			
16	止	tsɿ³⁵			ts	ɿ	³⁵			3			
17	趾	tsɿ³⁵			ts	ɿ	³⁵			3			
18	址	tsɿ³⁵			ts	ɿ	³⁵			3			
19	滓	tsɿ³⁵			ts	ɿ	³⁵			3			
20	致	tsɿ⁵³			ts	ɿ	⁵³			5			
21	置	tsɿ⁵³			ts	ɿ	⁵³			5			
22	志	tsɿ⁵³			ts	ɿ	⁵³			5			
23	痣	tsɿ⁵³			ts	ɿ	⁵³			5			
24	至	tsɿ⁵³			ts	ɿ	⁵³			5			
25	扯	tsɿ⁵³			ts	ɿ	⁵³			5			
26	只	tsɿ⁴²⁴		~有	ts	ɿ	⁴²⁴			7	~有		2
27	雌	tsʰɿ⁴⁴			tsʰ	ɿ	⁴⁴			1			2
28	侈	tsʰɿ⁴⁴			tsʰ	ɿ	⁴⁴			1			
29	□	tsʰɿ⁴⁴		皮~：顽皮	tsʰ	ɿ	⁴⁴			1	皮~：顽皮		127
30	痴	tsʰɿ⁴⁴			tsʰ	ɿ	⁴⁴			1			
31	此	tsʰɿ³⁵			tsʰ	ɿ	³⁵			3			
32	耻	tsʰɿ³⁵			tsʰ	ɿ	³⁵			3			
33	齿	tsʰɿ³⁵			tsʰ	ɿ	³⁵			3			
34	次	tsʰɿ⁵³			tsʰ	ɿ	⁵³			5			
35	刺	tsʰɿ⁵³			tsʰ	ɿ	⁵³			5			2
36	翅	tsʰɿ⁵³			tsʰ	ɿ	⁵³			5			
37	□	tsʰɿ⁵³		看	tsʰ	ɿ	⁵³			5	看		127
38	驰	dzɦɿ³¹			dzɦ	ɿ	³¹			2			
39	迟	dzɦɿ³¹			dzɦ	ɿ	³¹			2			
40	持	dzɦɿ³¹			dzɦ	ɿ	³¹			2			
41	痔	dzɦɿ¹³			dzɦ	ɿ	¹³			4			
42	稚	dzɦɿ¹³			dzɦ	ɿ	¹³			4			
43	治	dzɦɿ²¹²			dzɦ	ɿ	²¹²			6			
44	斯	sɿ⁴⁴			s	ɿ	⁴⁴			1			
45	厮	sɿ⁴⁴			s	ɿ	⁴⁴			1			
46	撕	sɿ⁴⁴			s	ɿ	⁴⁴			1			
47	师	sɿ⁴⁴			s	ɿ	⁴⁴			1			
48	狮	sɿ⁴⁴			s	ɿ	⁴⁴			1			
49	施	sɿ⁴⁴			s	ɿ	⁴⁴			1			
50	私	sɿ⁴⁴			s	ɿ	⁴⁴			1			
51	尸	sɿ⁴⁴			s	ɿ	⁴⁴			1			
52	司	sɿ⁴⁴			s	ɿ	⁴⁴			1			
53	丝	sɿ⁴⁴			s	ɿ	⁴⁴			1			
54	思	sɿ⁴⁴			s	ɿ	⁴⁴			1			
55	诗	sɿ⁴⁴			s	ɿ	⁴⁴			1			
56	腮	sɿ⁴⁴			s	ɿ	⁴⁴			1			
57	筛	sɿ⁴⁴			s	ɿ	⁴⁴			1			
58	死	sɿ³⁵			s	ɿ	³⁵			3			
59	使	sɿ³⁵			s	ɿ	³⁵			3			
60	史	sɿ³⁵			s	ɿ	³⁵			3			
61	始	sɿ³⁵			s	ɿ	³⁵			3			
62	赐	sɿ⁵³			s	ɿ	⁵³			5			
63	四	sɿ⁵³			s	ɿ	⁵³			5			
64	肆	sɿ⁵³			s	ɿ	⁵³			5			
65	试	sɿ⁵³			s	ɿ	⁵³			5			
