繁體	简体	吳拼	備註
支	支	tsɿ⁵³	
枝	枝	tsɿ⁵³	
肢	肢	tsɿ⁵³	
吱	吱	tsɿ⁵³	
衼	衼	tsɿ⁵³	
鳷	𫛛	tsɿ⁵³	
資	资	tsɿ⁵³	
貲	资	tsɿ⁵³	
姿	姿	tsɿ⁵³	
咨	咨	tsɿ⁵³	
諮	咨	tsɿ⁵³	
趦	趦	tsɿ⁵³	
粢	粢	tsɿ⁵³	
脂	脂	tsɿ⁵³	
甾	甾	tsɿ⁵³	古同「淄」
菑	菑	tsɿ⁵³	
鯔	鲻	tsɿ⁵³	
緇	缁	tsɿ⁵³	
輜	辎	tsɿ⁵³	
淄	淄	tsɿ⁵³	
㿳	㿳	tsɿ⁵³	黑㿳㿳
錙	锱	tsɿ⁵³	
湽	湽	tsɿ⁵³	
葘	葘	tsɿ⁵³	
輺	輺	tsɿ⁵³	
鍿	鍿	tsɿ⁵³	
茲	兹	tsɿ⁵³	
兹	兹	tsɿ⁵³	
滋	滋	tsɿ⁵³	
嗞	嗞	tsɿ⁵³	
嵫	嵫	tsɿ⁵³	
鰦	𫚤	tsɿ⁵³	
滓	滓	tsɿ⁵³	
幟	帜	tsɿ⁵³	
孳	孳	tsɿ⁵³	
之	之	tsɿ⁵³	
芝	芝	tsɿ⁵³	
卮	卮	tsɿ⁵³	
巵	巵	tsɿ⁵³	
栀	栀	tsɿ⁵³	
梔	栀	tsɿ⁵³	
孜	孜	tsɿ⁵³	
窒	窒	tsɿ⁵³	
膣	膣	tsɿ⁵³	
氏	氏	tsɿ⁵³	「閼氏」「月氏」
胝	胝	tsɿ⁵³	
祗	祗	tsɿ⁵³	
疷	疷	tsɿ⁵³	
秪	秪	tsɿ⁵³	
秖	祇	tsɿ⁵³	古同「祇」
眦	眦	tsɿ⁵³	
眥	眦	tsɿ⁵³	
髭	髭	tsɿ⁵³	
頾	頾	tsɿ⁵³	
頿	頿	tsɿ⁵³	
鮆	𫚖	tsɿ⁵³	
呲	呲	tsɿ⁵³	
齜	龇	tsɿ⁵³	
孖	孖	tsɿ⁵³	
鼒	鼒	tsɿ⁵³	
鎡	镃	tsɿ⁵³	
黹	黹	tsɿ⁵³	
齍	齍	tsɿ⁵³	
厜	厜	tsɿ⁵³	
鄑	鄑	tsɿ⁵³	
榰	榰	tsɿ⁵³	
胑	胑	tsɿ⁵³	
瓻	瓻	tsɿ⁵³	
癡	痴	tsɿ⁵³	「假癡假呆」中，「癡」快讀時有時讀成[tsɿ53]
痴	痴	tsɿ⁵³	「假癡假呆」中，「癡」快讀時有時讀成[tsɿ53]
稵	稵	tsɿ⁵³	
姕	姕	tsɿ⁵³	
媊	媊	tsɿ⁵³	
嫢	嫢	tsɿ⁵³	
纗	𫄹	tsɿ⁵³	
鴜	𪉈	tsɿ⁵³	
澬	𫞚	tsɿ⁵³	
蒫	蒫	tsɿ⁵³	
汥	汥	tsɿ⁵³	
疻	疻	tsɿ⁵³	
禔	禔	tsɿ⁵³	
馶	馶	tsɿ⁵³	
臸	臸	tsɿ⁵³	
栺	栺	tsɿ⁵³	
汦	汦	tsɿ⁵³	
鴲	𪉆	tsɿ⁵³	
椔	椔	tsɿ⁵³	
