#ɿ	
ts	[1]资姿咨兹滋[3]紫姊子
tsʰ	[2]瓷糍慈磁[3]此[5]刺次[6]字
s	[1]私司丝思师[2]辞词祠[3]死[5]四寺[6]事使
#ʅ	
tʂ	[1]蜘知支枝肢栀脂之芝[3]纸只1{~有}指旨止趾址[5]制智至致置志痣治[7]执汁质织职值植
tʂʰ	[1]痴痴直[2]池驰迟持[3]耻齿[5]雉痔
ʂ	[1]狮尸诗十拾实食[2]匙时[3]屎始[5]世势视试豉[6]是示市侍[7]湿失室识式
#i	
p	[3]比[5]蔽闭[7]笔毕必逼碧璧壁
pʰ	[1]批披鼻[2]皮疲脾[5]屁[6]被避[7]僻劈
m	[2]迷眉1{老年人的发音}[6]米谜[7]密蜜
t	[1]低[3]底抵[7]的{目~}滴敌
tʰ	[1]笛梯[2]题提蹄啼[3]体[5]替剃涕屉[6]弟第地帝[7]踢
l	[1]立笠粒栗力历[2]犁黎梨璃[3]卒1[6]李里理鲤利痢泪厉[7]率律
tɕ	[1]鸡肌饥基幾1{~乎}[3]挤幾2{~个}己嘴[5]际计继系{~鞋带}寄纪醉[7]集及急级鲫积迹脊绩激击
tɕʰ	[1]蛆妻溪1欺贼极[2]徐1{~村}齐脐奇骑祁鳍其期棋旗[3]起[5]器弃气汽[7]泣七漆戚吃
ɕ	[1]西溪2嬉希稀[3]喜洗[5]絮细岁戏[7]婿习吸悉膝息熄媳惜昔席锡析
Ø	[1]医衣依[2]泥尼宜移夷姨疑[3]椅[5]意易忆益[6]蚁[7]一
#u	
p	[3]补[5]布怖
pʰ	[1]铺1{~床}[2]菩蒲脯[3]普浦[5]铺2{店~}[6]部簿步孚{~小鸡}[7]扑
m	[1]目[2]模[3]拇[6]慕墓
f	[1]夫肤服[2]扶符芙浮[3]府斧[5]付附富副父腐妇负[7]福幅蝠
t	[1]都[3]堵赌[5]妒[7]读督独
tʰ	[1]毒[2]徒屠途涂图[3]土[5]吐兔[6]肚度渡镀[7]秃
l	[2]奴卢炉芦庐鸬[6]努鲁路露赂
ts	[1]租[3]祖组走[7]足
tsʰ	[1]粗初[3]楚[5]醋[6]助[7]促
s	[1]苏酥俗[5]诉素塑数1[7]缩
tʂ	[7]竹祝粥烛
tʂʰ	[7]畜触
ʂ	[1]熟[7]叔
k	[1]孤姑[3]古牯股鼓[5]故固雇顾[7]谷骨
kʰ	[1]枯[3]苦[5]裤库[7]哭窟
x	[1]呼[2]胡{姓~}湖糊壶[3]虎浒[5]戽[6]户护互
Ø	[1]乌污[2]吴梧鬍2{~子}狐无[3]坞午武舞[5]雾悟[6]五伍误[7]屋
#y	
tɕ	[1]猪居朱珠蛛株拘驹[3]煮举主拄矩[5]据锯注蛀句[7]桔局
tɕʰ	[1]区驱[2]徐2{姓~}除渠厨殊[3]处1{~理}杵鼠取娶[5]处2{到~}趣[6]箸柱住[7]出
ɕ	[1]书舒墟虚嘘须需梳枢输[2]薯锄[3]暑许数2{动词}[6]竖树
Ø	[2]蜈驴如余虞愚娱于盂榆愉鱼[3]羽[5]遇预豫誉[6]女吕旅虑乳雨喻
#a	
p	[3]摆[5]拜爸[7]百柏伯
pʰ	[1]□{谈~：聊天}白[2]排牌[6]败[7]迫拍
m	[1]麦脉[2]埋[6]买卖
t	[3]打[5]带戴代1{文}
tʰ	[1]他{文}[5]大
l	[1]拉[6]赖癞
tʂ	[1]楂[5]债[7]摘只
tʂʰ	[1]车差{出~}[2]豺1柴1[3]扯[7]拆赤尺
ʂ	[1]筛石[2]蛇豺2柴2[3]舍[5]晒[6]射社
k	[1]佳街[3]解1{白}[5]介界疥届戒[7]格革隔
kʰ	[7]客
ŋ	[1]额[2]涯崖[3]矮[6]外
x	[2]鞋[3]海[7]吓
Ø	[2]还
#ia	
tɕ	[3]假1{文，放~，用的较少}姐解2{文}[5]借
tɕʰ	[2]斜[3]且
ɕ	[1]些[5]泻[6]写谢
Ø	[2]爷[3]□{屙~：大便}[6]野夜惹
#ua	
k	[1]乖[3]拐寡[6]怪
kʰ	[5]块会{~计}快筷
x	[2]怀槐淮
Ø	[1]歪[6]坏
#ya	
tɕ	[1]抓[3]爪
ɕ	[1]靴[7]刷
#ɒ	
p	[1]包胞[3]保堡宝饱[5]报豹爆
pʰ	[1]抛[2]袍跑[5]炮泡[6]刨
m	[2]毛矛茅[6]冒帽貌贸
t	[1]刀叨[3]岛倒1{打~}岛[5]到倒{~水}
tʰ	[1]掏淘涛滔焘[2]逃桃淘陶萄[3]讨[5]套[6]道稻
l	[2]劳捞牢[6]脑恼老闹
ts	[1]遭糟[3]早枣澡蚤
tsʰ	[1]操[2]曹槽[3]草[5]燥躁[6]皂造
s	[1]臊骚[3]嫂扫
tʂ	[1]朝1{今~}昭招沼[5]照
tʂʰ	[1]抄[2]巢查茶朝2{~代}潮嘲[3]钞
ʂ	[3]少1{多~}[5]少2{~年}
k	[1]高膏羔糕[3]稿搞[5]告教1{~小孩}觉
kʰ	[3]考烤[5]靠
ŋ	[2]熬[3]袄咬
x	[2]豪壕毫[3]好1{~歹}[5]好2{喜~}
#iɒ	
p	[3]表裱
pʰ	[2]嫖瓢[6]票漂
m	[2]描瞄苗[3]秒[6]庙妙
t	[1]刁叼雕碉貂[5]钓吊调1{~动}
tʰ	[1]挑[2]条调2{~料}笤[5]跳[6]调2{~换}
l	[2]聊燎撩疗辽[6]料
tɕ	[1]交郊胶教2{~书}焦蕉椒骄娇[3]搅缴[5]叫
tɕʰ	[1]敲锹[2]桥侨乔荞[3]翘[5]俏[6]轿
ɕ	[1]消宵霄销硝[3]小[5]孝校笑
Ø	[1]邀腰夭妖幺要1{~求}[2]摇遥窑瑶姚谣[3]鸟[5]要2{想~}尿[6]舀绕
#æ	
p	[1]杯背1{~书包}碑悲[5]辈背2{~上}[7]北
pʰ	[1]胚坯[2]培陪赔[5]配派[6]倍背2{~书}焙备
m	[2]梅媒煤[6]妹□{小孩子}[7]□{忖，想}墨
t	[1]堆[5]对碓队[7]德得
tʰ	[1]胎推[2]台抬苔[3]腿[5]太态泰退蜕[6]待袋代2{白}[7]特
l	[2]来雷[6]耐
ts	[1]灾栽[3]宰[5]再最[7]责
tsʰ	[1]猜催崔[2]才材财裁[3]彩采[5]菜蔡测[6]在罪[7]策册
s	[5]赛碎[7]塞色
k	[1]该[3]改[5]概溉盖
kʰ	[1]开[3]凯[7]刻克
ŋ	[5]爱[6]碍艾
x	[3]海[6]害
#uæ	
ʂ	[5]帅
k	[7]国
kʰ	[2]魁奎
x	[1]灰[2]回茴[3]悔[6]汇会2{开~}
Ø	[1]煨
#ɔ	
p	[1]巴芭疤[3]把[5]霸坝[7]八
pʰ	[1]拔[2]爬杷琶耙[5]怕
m	[2]麻蟆[6]马码骂[7]抹
f	[1]罚[7]法发
t	[7]答搭
tʰ	[7]塔塌遢
l	[1]腊蜡辣
ts	[7]杂
tsʰ	[7]擦
s	[7]撒萨
tʂ	[1]渣遮[5]炸榨
tʂʰ	[1]着{火~了}[2]茶查茬[5]岔[7]察插
ʂ	[1]沙纱[7]杀
k	[1]家加痂嘉[3]假2{真~，放~}[5]架[7]夹挟{～菜}甲角
kʰ	[2]蛤[7]掐恰
ŋ	[1]鸦丫[2]牙芽衙[3]哑[6]瓦[7]鸭押
x	[1]虾狭[2]霞□{挠人痒痒}[6]下夏厦[7]瞎
#iɔ	
tɕ	[7]脚
tɕʰ	[6]嚼
ɕ	[7]削
Ø	[7]约
#uɔ	
k	[1]瓜[5]挂卦[7]刮
x	[1]花[2]华[5]化
Ø	[1]袜滑[2]划[6]画话[7]挖
#e	
m	[3]美{文}[6]每
f	[1]非飞妃[2]肥[3]匪[5]废肺痱费
l	[6]累
#ie	
p	[7]别
pʰ	[7]撇
m	[1]篾[2]眉2{年轻人的发音}[7]灭
t	[7]跌
tʰ	[7]帖贴铁
l	[1]猎[7]裂烈裂
tɕ	[7]接节结沽
tɕʰ	[7]切
ɕ	[7]雪歇蝎
Ø	[1]叶热[7]业页
#ue	
k	[1]规龟归[3]轨鬼[5]鳜桂贵
kʰ	[1]亏盔[2]葵逵[3]跪[6]柜
tsʰ	[5]脆
s	[2]随
x	[1]挥辉徽[6]慧惠
Ø	[1]威[2]危为1{行~}维惟违围[3]委伟[5]胃味[6]为2{~什么}位尾
#ye	
tɕ	[1]追[7]揭决诀
tɕʰ	[1]吹炊[2]锤槌[7]缺却确
ɕ	[3]水[5]税[7]屑血学
Ø	[1]月[7]抈{折叠}
#ø	
tʂ	[1]州洲舟周[3]帚[5]咒
tʂʰ	[1]抽[2]绸稠筹愁仇酬[3]丑
ʂ	[1]收[3]手首守[5]瘦兽[6]受寿授
Ø	[6]后2{文}
#iø	
t	[1]兜[3]斗{一~米}抖逗[5]鬥{~气}
tʰ	[1]偷[2]头投[5]透[6]豆
l	[1]六绿[2]楼流刘榴硫留[3]柳[6]漏
tsʰ	[5]凑
tɕ	[1]勾沟揪鸠阄纠[3]狗酒九久韭[5]够构购救究[7]菊
tɕʰ	[1]扣秋丘[2]求球[5]扣[6]就袖舅旧
ɕ	[1]休羞[2]猴喉[6]后1{白}厚[5]秀绣锈
Ø	[1]忧优幽肉[2]牛尤邮犹由油游柔揉[5]右佑[6]有友
#ɤ	
p	[7]不
t	[7]掇
tʰ	[7]脱
tsʰ	[7]□{看}
tʂ	[7]哲浙
tʂʰ	[7]撤
k	[1]胛[7]割葛
kʰ	[2]𠍲{第三人称代词}[5]去[7]渴
x	[1]合盒[5]鹤{文}[7]喝核1{~心}黑
Ø	[2]儿而[6]耳二
#uɤ	
kʰ	[7]阔
Ø	[1]活核2{桃~}
#o	
p	[1]波菠玻[7]钵拨博剥驳薄
pʰ	[1]坡[2]婆[5]破剖[6]卜{萝~}[7]泼
m	[1]摸木[2]魔磨1{~刀}馍[6]磨2{石~}亩
t	[1]多[3]朵躲[5]剁[7]□{~倒：跌倒}
tʰ	[1]拖[2]驮驼[7]托
l	[1]落[2]罗萝箩锣骡螺脶[6]糯[7]骆乐
ts	[3]左[7]作
tsʰ	[1]搓昨[6]坐座[7]错
s	[1]蓑梭唆[3]锁[5]嗽[7]索
tʂ	[7]桌啄捉镯
tʂʰ	[7]戳
k	[1]歌哥锅[3]果裹棵[5]个过[7]阁搁郭
kʰ	[1]科窠棵颗[3]可口{文}[5]课[7]各
ŋ	[2]蛾鹅俄[6]饿
x	[2]河何荷和{~气，~面}禾[3]火伙后2{文}[5]货
Ø	[6]我
#a᷉	
s	[1]三
tʂ	[5]站
tʂʰ	[1]撑
ʂ	[1]参1{人~}生牲甥
k	[3]感
kʰ	[1]坑
ŋ	[1]樱[5]硬
x	[2]韩杭
#ia᷉	
Ø	[6]染1{传~}
#ua᷉	
k	[3]管
Ø	[2]横[6]□{放置}
#ɔ᷉	
p	[1]班斑颁扳帮邦□{扒开、掰开}[3]板版榜绑[5]扮办
pʰ	[1]攀[2]旁螃[3]盼[6]畔[5]胖
m	[2]蛮忙芒[6]慢晚1{~娘：继母}网1{白}望1{白，~~看}[5]忘
f	[1]番翻方1{文}芳[2]凡烦繁房1{文}[3]反纺访[5]贩[6]范犯饭
t	[1]耽担1{~心}丹单当1{~时}[3]胆党挡[5]旦担2{挑~}当2{正~}
tʰ	[1]贪瘫摊滩汤[2]谈痰坛弹2{~琴}潭谭檀堂唐塘糖棠[3]毯坦1{~白}[5]炭叹烫[6]淡
l	[2]蓝篮兰拦栏难1{困~}郎廊狼螂[6]懒难2{灾~}浪
ts	[1]脏[5]赞葬
tsʰ	[1]参餐仓苍疮[2]残藏1{冷~}[3]惨[6]暂藏2{西~}
s	[1]桑丧[3]伞磉[5]散
tʂ	[1]张章樟庄装[3]斩盏[5]账帐胀壮障瘴
tʂʰ	[1]疮窗[2]长2{~工}肠常[3]铲产1{生~}厂场[5]唱倡[6]暂丈状撞
ʂ	[1]衫杉山霜商伤双[2]床常裳[3]产2{小~}[6]上
k	[1]间2{一~房}冈刚钢岗纲缸肛江1{白}[3]讲港[5]虹
kʰ	[1]铅康糠[5]抗炕囥{藏，放置}
ŋ	[1]淹1[6]眼
x	[2]咸闲1{说得较少}行2{银~}航
#iɔ᷉	
l	[2]良凉量1{~米}粮梁凉粱[6]晾亮量2{数~}
tɕ	[1]将1{~来}浆缰僵疆姜江2{文}[3]蒋奖桨[5]酱将2{大~}
tɕʰ	[1]枪[2]墙强[3]抢[5]降[6]匠象像
ɕ	[1]相箱厢湘香乡降[3]想享响[5]向[6]项
Ø	[1]央秩殃[2]娘羊洋烊杨阳疡扬[6]痒养样让
#uɔ᷉	
k	[1]关光观[3]广[5]惯冠{~军}
kʰ	[1]匡筐[2]狂[5]况
x	[1]方2{白}荒慌[2]环黄1{姓~}皇蝗房2{白}[3]谎[5]换放
Ø	[1]豌弯湾[2]还2{~原}黄2{~色}王[3]枉网2{文}往腕[6]晚2{~上}万望2{文，希~}旺
#ie᷉	
p	[1]鞭编边蝙[3]扁匾[5]变
pʰ	[1]篇偏[2]便1{~宜}[5]骗遍[6]辨辩便2{~利}辫
m	[2]棉绵眠[3]免[6]面
t	[1]掂颠[3]点典[5]店
tʰ	[1]添天[2]甜田甜[3]舔[6]簟电垫
l	[2]廉镰帘联连怜莲[6]练
tɕ	[1]监尖歼兼艰间2{时~}奸煎肩坚[3]减简碱检剪[5]櫼{踢}剑箭溅建健{文}见贱
tɕʰ	[1]签谦迁千牵[2]钳钱前[3]浅[5]欠歉[6]件
ɕ	[1]仙鲜先[2]嫌闲2{说得较多}贤弦[3]险显[5]线献宪现
Ø	[1]淹2阉蝇[2]严岩炎盐阎颜然燃延言年研[3]演[5]厌雁燕宴[6]染{~头发}验焰艳念
#ye᷉	
tɕ	[3]转1{~学}卷[5]转2{~圆圈}券
tɕʰ	[1]川穿圈[2]全泉传1{流~}船权拳[5]串劝
ɕ	[1]掀宣[3]选[5]扇
Ø	[1]冤[2]圆员袁援辕缘元原源[5]怨[6]远院愿
#ɤ᷉	
p	[1]般搬奔[3]本[5]半绊
p	[1]潘[2]盘盆[6]伴拌叛
m	[2]瞒馒门蚊1{白，~虫}[6]满漫
f	[1]分芬纷[2]坟焚[3]粉[5]粪奋[6]份
t	[1]端墩[3]短[5]锻盾1{文}
tʰ	[2]团屯[6]断段缎盾2{白}
n	[2]男南[5]嫩论[6]暖乱
ts	[1]钻1{~进来，动词}尊[3]□{砸，掷}[5]钻2{电~，名词}
tsʰ	[1]汆村[2]存蚕[5]寸
s	[1]酸孙[3]损[5]算蒜
k	[1]甘柑干1{~净}肝竿跟根更1{~换}羹庚[3]敢杆赶[5]干2{~部}更2{~加}
kʰ	[1]看1{~守}[3]砍坎[5]看2{~见}
ŋ	[5]硬
x	[2]寒含函[3]很狠[5]汉[6]汗焊
Ø	[1]庵安鞍恩[5]按案
#uɤ᷉	
k	[1]官棺[3]滚[5]灌罐棍
kʰ	[1]宽昆坤[3]款捆[5]困
x	[1]欢婚昏
Ø	[1]温瘟[2]魂蚊2{文，~香}文纹闻[3]碗稳[6]问
#in	
p	[1]彬宾冰[3]饼
pʰ	[1]拼[2]贫凭瓶萍屏[3]品
m	[2]民明[3]敏
l	[2]林淋临邻鳞磷陵凌菱宁零灵铃[3]冷领岭[6]令另
t	[1]灯钉丁疔[3]顶[5]凳订
tʰ	[1]厅[2]亭停廷庭蜒[3]挺[5]听[6]定
tɕ	[1]今金襟斤津巾斤筋茎精晶睛经[3]锦禁哽井颈[5]浸禁进劲径
tɕʰ	[1]侵钦亲清轻青蜻[2]寻琴禽擒秦芹勤层晴情[3]寝肯请[6]近静净
ɕ	[1]心辛新薪欣星腥[2]行2{~为}形型[3]醒[5]信兴杏性姓
Ø	[1]音阴因姻鹰鹦婴缨[2]银赢盈营[3]引饮隐[5]印应{~该，响~}
#ən	
pʰ	[1]喷1{~水}
t	[3]等
n	[2]轮伦沦能
ts	[1]增僧
tsʰ	[2]曾
s	[1]森[3]省
z	[6]任纫
tʂ	[1]针珍真征蒸争筝睁侦贞正1{~月}征[3]枕诊诊拯整[5]镇振震证症正2{~好}政
tʂʰ	[1]称1{~肉}[2]沉陈尘臣晨乘承丞橙成诚城[3]逞[5]趁称2{~职}秤
ʂ	[1]深身伸申升声[2]辰神绳[3]沈审婶[5]胜圣
x	[2]痕
#yən	
tɕ	[1]均钧军君[3]准
tɕʰ	[1]椿[2]唇纯群裙[3]蠢
ɕ	[1]熏薰勋[2]旬[6]顺
Ø	[2]匀云[3]永[5]熨孕韵[6]闰运
#oŋ	
pʰ	[1]烹[2]蓬朋彭膨[5]喷2{~香}
m	[2]蒙[3]猛[6]梦
f	[1]风枫疯丰[2]冯[6]凤
t	[1]东冬[3]董懂[5]冻栋
tʰ	[1]通[2]同铜桐筒童瞳[3]桶统[5]痛[6]洞动
n	[2]笼聋农脓浓隆龙垄[5]□{柿子等软和}
ts	[1]宗综踪棕鬃[3]总[5]粽纵
tsʰ	[1]聪匆葱[2]从丛松{~树}
s	[1]鬆{轻~}嵩[5]送
tʂ	[1]中1{~间}忠终钟盅[3]种1{~子}肿[5]中2{~意}种2{~树}众
tʂʰ	[1]囱充[2]虫重1{~复}[5]铳[6]重2{轻~}
k	[1]公蜈工功攻弓宫恭[5]贡
kʰ	[1]空1{悬~}[3]恐孔[5]空2{有~}控[6]共
x	[1]轰烘[2]红弘洪[5]嗅
#ioŋ	
tɕ	[1]供
tɕʰ	[2]穷
ɕ	[1]兄
Ø	[2]荣绒融茸容熔蓉[3]泳勇[6]用
#ŋ̍	
Ø	[1]日[2]人[3]忍[6]认
