聲	呼	等	韻	調	組	攝	單字	多音	罕度	檢	原註	聲母	韻母	聲調	次 聲母	次 韻母	次 聲調	新註	分韻(1782)	英華(1856)	分部(1914)	道漢(1939)	穗書	穗習				
端	開	一	東	平	端	通	東	0	0	0		t	ʊŋ	55					dung1	dung1	dung1	dung1	dung1					
端	開	一	東	平	端	通	凍	0	0	0		t	ʊŋ	33					dung3	dung6	dung3	dung1	dung3					
端	開	一	東	平	端	通	鶇	0	3	0		t	ʊŋ	55					-	-	-	-	dung1					
透	開	一	東	平	端	通	通	0	0	0		tʰ	ʊŋ	55					tung1	tung1	tung1	tung1	tung1					
透	開	一	東	平	端	通	俑	0	2	0		j	ʊŋ	213					jung2	jung2	jung2	jung2	jung2					
定	開	一	東	平	端	通	桐	0	0	0		tʰ	ʊŋ	51					tung4	tung4	tung4	tung4	tung4					
定	開	一	東	平	端	通	洞	0	0	0		t	ʊŋ	33					dung6	dung6	dung6	dung6	dung6					
定	開	一	東	平	端	通	筒	0	0	0		tʰ	ʊŋ	51					tung4	tung4	tung4	tung4	tung4					
定	開	一	東	平	端	通	銅	0	0	0		tʰ	ʊŋ	51					tung4	tung4	tung4	tung4	tung4					
定	開	一	東	平	端	通	僮	1	2	0		tʰ	ʊŋ	51				書僮	tung4	tung4	tung4	tung4	tung4					
							僮	1	2	0		ts	ɔŋ	33				僮族					zong6					
定	開	一	東	平	端	通	童	0	0	0		tʰ	ʊŋ	51					tung4	tung4	tung4	tung4	tung4					
定	開	一	東	平	端	通	同	0	0	0		tʰ	ʊŋ	51					tung4	tung4	tung4	tung4	tung4					
定	開	一	東	平	端	通	仝	0	3	0		tʰ	ʊŋ	51					tung4	tung4	tung4	tung4	tung4					
來	開	一	東	平	來	通	聾	0	0	0		l	ʊŋ	51					lung4	lung4	-	lung4	lung4					
來	開	一	東	平	來	通	朧	0	1	0		l	ʊŋ	51					lung4	lung4	lung4	lung4	lung4					
來	開	一	東	平	來	通	嚨	0	1	0		l	ʊŋ	51					lung4	lung4	lung4	lung4	lung4					
來	開	一	東	平	來	通	瓏	0	2	0		l	ʊŋ	51					lung4	lung4	lung4	lung4	lung4					
來	開	一	東	平	來	通	籠	0	0	0		l	ʊŋ	51					lung4	lung4	lung4	lung2	lung4					
來	開	三	東	平	來	通	隆	0	0	0		l	ʊŋ	51					lung4	lung4	lung4	lung4	lung4					
來	開	三	東	平	來	通	窿	0	1	0		l	ʊŋ	55					-	-	lung1	lung1	lung1					
清	開	一	東	平	精	通	聰	0	0	0		tsʰ	ʊŋ	55					cung1	cung1	cung1	cung1	cung1					
清	開	一	東	平	精	通	囪	0	1	0		tsʰ	ʊŋ	55					-	-	-	-	cung1					
清	開	一	東	平	精	通	蔥	0	0	0		tsʰ	ʊŋ	55					-	-	-	cung1	cung1					
從	開	一	東	平	精	通	叢	0	0	0		tsʰ	ʊŋ	51					cung4	cung4	cung4	cung4	cung4					
心	開	三	東	平	精	通	嵩	0	2	0		s	ʊŋ	55					sung1	sung1	sung1	sung1	sung1					
