tsɿ	1	55	资咨姿赀訾滋孳辎之芝支枝肢卮
tsɿ	3	53	子仔籽姊第梓滓此止趾址趾芷只咫枳轵纸旨指黹兹齿耻
tsɿ	5	35	次刺痔志痣至致桎窒翅
tsʰɿ	1	55	侈疵差(参~)
sɿ	1	55	司私丝咝鸶思锶斯厮厕(茅~)撕嘶蛳诗师尸
sɿ	3	53	死史使驶矢豕始屎
sɿ	5	35	四泗驷汜赐肆笥伺式试拭轼施
zɿ	2	11	词祠饲嗣茨慈磁鹚糍辞匙豉脐
zɿ	5	35	寺字牸(~牛)巳祀嗣自似姒俟饲耜兕寺峙侍恃是莳逝誓嗜视士仕氏示市柿事谥
ʧʅ	1	55	基箕姬鸡乩饥肌矶机嵇稽(~查)笄跻畿羁畸奇(~偶)知蜘忮陟
ʧʅ	3	53	已纪几虮麂挤掎渠(他,单数第三人称)
ʧʅ	5	35	记冀济霁计继季悸觊既寄祭际蓟剂跖摭置智制系(~鞋带)
ʧʅ	7	33	积迹击激亟殛吉即急及级汲岌楫戢戟脊稷系迹绩鲫织只(量词)汁执蛰炙栉质蛭挚贽鸷掷踯髻
ʧʰʅ	1	55	欺溪栖妻凄膝痴笞蚩鸱螭魑眵
ʧʰʅ	3	53	起屺杞芑岂启稽(~首)绮喜禧
ʧʰʅ	5	35	器砌气契戏饩
ʧʰʅ	7	33	戚七漆膝柒乞迄汽碛缉葺秩尺饬敕炽斥赤叱
ʤʰʅ	2	11	其棋期旗萁淇祺骐麒琪綦歧岐祗芪祁耆鳍齐蛴祈颀圻蕲奇骑琦崎持踟迟墀坻池驰弛
ʤʰʅ	5	35	忌踞技伎妓芰荠洎暨企治雉彘滞屐(又)豸徛(站立)
ʤʰʅ	7	33	屐寂席侄蛭辑直值植殖
ʃʅ	1	55	熙兮奚蹊鼹携西犀嘻熹醯嬉僖溪(又)希稀欷羲曦牺畦
ʃʅ	3	53	喜(又)屣酾徙玺洗起(又)
ʃʅ	5	35	细系世势弃
ʃʅ	7	33	息熄媳锡习隰袭昔惜悉蟋吸翕敏隙失湿识释室泣析皙晰淅夕汐岁觋檄
ʒʅ	7	33	食蚀石实什拾日□(男阴入于女阴,俗写作肏,一作“入”)入
i	1	55	衣依伊医噫
i	2	11	移夷姨咦胰痍迤诒饴怡贻颐遗彝懿
i	3	53	椅已以矣倚
i	5	35	意臆噫亿异易蜴翌翼肄
i	7	33	一壹殖揖亦弋抑邑佚轶译驿益溢逸翼域(又)
pi	1	55	屄(女阴)
pi	3	53	匕比妣秕彼俾
pi	5	35	币闭敝弊蔽滗毙畀痹
pi	7	33	笔逼必毕壁璧臂碧
pʰi	1	55	批砒纰丕披
pʰi	3	53	痞癖圮譬鄙
pʰi	5	35	屁庇
pʰi	7	33	劈霹僻癖辟(开~)弼匹
bi	2	11	皮陂疲枇毗蚍琵啤脾鼙罴
bi	5	35	被篦箅婢鼻
mi	1	55	眯
mi	2	11	迷醚糜麋靡弥祢
mi	3	53	米靡(披~)弭
mi	5	35	谜泌秘沕(游水者游入水里)
mi	7	33	密蜜汨觅谧幂
fi	1	55	飞妃非菲(芳~)啡绯扉蜚霏痱
fi	3	53	匪菲(~薄)诽斐翡
fi	5	35	费肺吠废
vi	2	11	肥淝腓微薇维惟唯
vi	3	53	尾娓
vi	5	35	未味
ti	1	55	低羝
ti	3	53	氐底诋抵柢砥
ti	5	35	帝谛蒂
ti	7	33	的狄滴嫡敌翟(又)镝荻
tʰi	1	55	梯锑绨
tʰi	3	53	体
tʰi	5	35	替剃涕屉
tʰi	7	33	踢剔惕
dʰi	2	11	提缇题醍啼蹄离漓篱骊鹂厘梨犁嫠黎藜罹
dʰi	5	35	地弟悌第递娣棣莅利俐莉痢吏丽俪隶戾唳詈厉励砺蛎疠荔
dʰi	7	33	翟迪
li	3	53	李里理娌俚鲤礼履澧醴蠡
li	7	33	力历沥枥雳立粒笠栗溧傈砾栎鬲
ȵi	2	11	尼妮坭呢泥铌倪猊霓鲵
ȵi	3	53	你拟旎泥(拘~)
ȵi	5	35	腻睨
ȵi	7	33	匿昵溺逆
pu	1	55	逋晡
pu	3	53	祁
pu	5	35	布怖哺
pu	7	33	卜不
pʰu	1	55	铺捕
pʰu	3	53	普浦圃溥脯谱
pʰu	5	35	铺(店~)
pʰu	7	33	仆扑朴璞蹼瀑
bʰu	2	11	菩蒲莆匍葡
bʰu	5	35	部簿步埠
mu	2	11	模(~子)膜(又)谟(又)
mu	3	53	母拇姆亩
mu	5	35	暮慕墓募幕寞牧
mu	7	33	坶目苜睦穆木沐
fu	1	55	夫肤麸趺敷呼
fu	3	53	府腑俯拊腐甫脯辅抚虎浒釜斧
fu	5	35	富付附驸鲋讣赴赋戽傅赙
fu	7	33	福忽惚复馥勿笏
vu	2	11	扶芙凫和(打牌~了)壶胡湖葫猢瑚蝴糊巫无芜毋符苻乎狐弧
vu	3	53	武鹉怃妩庑侮舞(~蹈：干活叫~事)
vu	5	35	户沪护斛扈戊互怙祜务雾鹜鹜婺
vu	7	33	佛物伏茯袱服鹄
ʋu	1	55	乌呜邬污圬诬
ʋu	2	11	吾唔梧鼯浯吴
ʋu	3	53	五伍午仵忤迕
ʋu	5	35	悟寤晤误恶
ʋu	7	33	屋沃
tu	1	55	都
tu	3	53	堵赌睹肚
tu	5	35	妒蠹督(又)笃(又)
tu	7	33	督笃
tʰu	3	53	土
tʰu	7	33	吐
tʰu	7	33	秃突凸
dʰu	2	11	徒屠涂途茶酴图
dʰu	5	35	肚(又)度渡
dʰu	7	33	毒独读椟牍渎黩
nu	5	35	怒
lu	2	11	庐胪卢炉颅芦鸬奴孥
lu	3	53	鲁橹卤虏掳努弩
lu	5	35	路潞赂露鹭璐
lu	7	33	六=陆戮蓼录禄碌绿鹿漉麓
tsu	1	55	租菹
tsu	3	53	阻俎诅祖组
tsu	5	35	做-
tsu	7	33	卒足竹竺筑烛祝
tsʰu	1	55	粗初
tsʰu	3	53	楚础
tsʰu	5	35	醋
tsʰu	7	33	促束蹙畜矗触绌黜怵蹴猝
dzʰu	2	11	锄徂殂刍雏
dzʰu	5	35	助驵
dzʰu	7	33	族簇镞嘱逐舳轴躅辱
su	7	33	疏梳蔬稣苏
su	3	53	数(动词)
su	5	35	数(名词)漱素嗦=诉溯塑
su	7	33	叔菽淑倏束谡肃夙宿缩速粟
zu	7	33	孰熟塾赎秫蜀属俗
ku	1	55	孤呱菰觚姑沽酤鸪蛄辜
ku	3	53	古罟诂牯嘏鼓瞽贾蛊股
ku	5	35	故固锢雇顾
ku	7	33	谷汩骨(又)梏鹄(~的)
kʰu	1	55	枯刳
kʰu	3	53	苦
kʰu	5	35	库裤
kʰu	7	33	哭窟酷喾
gʰu	2	11	跍(蹲下)
y	1	55	淤(有机肥料)迂纡
y	2	11	逾嵛觎俞愉禺隅愚於余馀畲舆欤与舁予妤鱼渔于盂竽雩虞娱
y	3	53	伛与语圉圄屿雨宇禹羽窳
y	5	35	愈妪喻谕逾(又)窬(又)俞(又)愉(又)遇寓玉御驭豫预誉与(参~)芋
y	7	33	郁昱煜燠育毓欲浴鹆裕狱
ʨy	1	55	驹俱居琚裾车(~马炮)苴疽雎狙朱珠侏株蛛诛邾茱洙铢诸猪潴橥
ʨy	3	53	举莒沮矩踽主煮渚翥
ʨy	5	35	句屦锯倨踞据剧遽铸驻注著
ʨy	7	33	菊鞠掬橘
ʨʰy	1	55	区驱躯岖枢姝趋祛
ʨʰy	3	53	取娶拄处杵
ʨʰy	5	35	趣去
ʨʰy	7	33	屈诎曲阒出黜绌怵焌(烧红的铁块放人水中叫~)
ʥʰy	2	11	鸲劬渠蘧璩瞿衢癯厨橱蹰除储躇锤-
ʥʰy	5	35	聚具巨拒距钜炬讵柱炷住贮苎伫杼箸竖
ʥʰy	7	33	局
ȵy	3	53	女
ɕy	1	55	需须虚嘘墟胥吁输殳书抒舒纾胥婿糈
ɕy	3	53	许诩栩暑曙署鼠黍
ɕy	5	35	恕絮庶戌酗煦嗉(禽类食袋)□(~窝,营造或者居处)
ɕy	7	33	戌洫畜蓄旭恤
ʑy	2	11	如茹洳儒濡襦殊孺
ʑy	3	53	乳汝
ʑy	5	35	树竖(又)住-
ʑy	7	33	术述沭秫入(又)
ɤ	2	11	儿而
ɤ	3	53	耳饵珥尔迩
ɤ	5	35	二贰
a	3	53	哪-
a	5	35	那(又)
a	7	33	鸭(又)
pa	1	55	巴(名词词素,如泥~。贴在一起,如~背,指牲畜交配;~它,指人的性交)芭吧(象声词)疤笆粑爸
pa	3	53	把靶钯□(~~,儿语,大粪。俗写作㞎)。
pa	5	35	把(柄)霸□(~~,儿语,熟猪肉)
pa	7	33	八擘(叉腿叫~开脚)捌
pʰa	1	55	葩
pʰa	3	53	□(打~拉,一种游戏)
pʰa	5	35	怕帕
pʰa	7	33	拍-
bʰa	2	11	扒爬耙杷琶
bʰa	5	35	罢
bʰa	7	33	拔跋魃茇袜白-
ma	1	55	妈马(~虎,不干净)
ma	2	11	麻
ma	3	53	马玛码蚂
ma	5	35	骂
ma	7	33	抹蟆(虾~)
fa	7	33	发法
va	7	33	伐筏阀垡罚乏
ta	1	55	打(量词)
ta	3	53	打
ta	5	35	𦖿(绵软地下垂,如:猪耳朵~起)
ta	7	33	答搭怛妲笪靼
tʰa	1	55	他它
tʰa	7	33	塔嗒沓踏闼挞獭榻蹋达踏(~確)
na	1	55	哪(语气助词)呐
na	2	11	拿
na	3	53	哪
na	5	35	那
na	7	33	纳衲□(缝隙：~~)
la	2	11	爬-
la	7	33	拉垃邋剌瘌辣腊
tsa	1	55	楂渣
tsa	3	53	扎(包扎)鲊
tsa	5	35	乍炸蚱榨□(~到,暗地里)
tsa	7	33	扎(驻~)札眨吒栅闸铡匝砸
tsʰa	1	55	差叉杈
tsʰa	5	35	岔衩汊杈衩
tsʰa	7	33	插锸姹诧察擦刹
dzʰa	2	11	茶搽槎
dzʰa	3	53	槎(竹枝扫帚,叫~子扫巴)
dzʰa	7	33	杂□(从物中挑出杂质)
sa	1	55	沙痧纱鲨裟莎
sa	3	53	傻霎
sa	5	35	□(桌子脚~得太宽)
sa	7	33	杀铩煞飒趿
ka	1	55	家-枷-痂-
ka	3	53	假(~妹子,指“阴阳人”)
ka	5	35	嫁-架-
ka	7	33	夹-
kʰa	3	53	卡
kʰa	5	35	胯-
kʰa	7	33	客-掐
ŋa	2	11	牙-芽-
ŋa	3	53	哑-
ŋa	5	35	扎
ŋa	7	33	额-鸭-压-
xa	1	55	呵□(猪油搁久了发出的那种气味)虾-(鱼~)
xa	3	53	傻(弱智,弱智者叫~)
xa	5	35	胯(又)
xa	7	33	瞎吓(恐~)
ɣa	2	11	蝦(~蟆)还(~有)
ɣa	5	35	下-□(范围副词,全都)
ɣa	7	33	狭匣-
ia	1	55	鸦桠丫
ia	2	11	芽牙衙爷-(父亲)
ia	3	53	哑雅讶迓野-也-
ia	5	35	亚娅轧=夜-
ia	7	33	鸭押压
pia	3	53	□(枪声,俗写作“叭”)
