	註釋：-白讀，=文讀									
#a										
p	[1]巴疤芭笆葩爸{又}羓{肉～}[2]巴{下～}爬耙琶扒[3]把飽-靶[5]霸壩[6]罷爸									
pʰ	[1]拋-脬-[2]派-[5]怕帕稗-炮-泡-									
m	[1]媽摢{五指抓}嗎[2]麻=蔴=貓-痳蟆嘛[3]馬碼瑪螞媽{祖母}[5]罵[6]賣𣍐									
t	[1]燋礁焦{乾}噠{吹的～}[2]茶[3]打[5]詐-帝榨-𦨮{老～}[6]弟=第遞□{遮住}脰-									
tʰ	[1]他它她[5]䖳替屜[6]涕									
n	[2]拉{～尿}□{祚}[3]拿那娜{又}[6]泥{塗抹}									
l	[1]拉垃[3]喇{～嘛}[6]麗儷□{一下的合音｝隸棣曆勵蠣=									
ts	[1]查渣楂[2]喳嘈-[3]早-[5]詐=榨=炸濟纃[6]劑乍{暴～}驟									
tsʰ	[1]差{～不多}叉杈岔瘥[2]柴樵[3]炒吵-[5]粞{米粉}詫									
s	[1]沙=砂=紗傻痧鯊=師-捎-{亂～}挲[2]□{套上}𣝞[5]細婿例娋{媾合}灑[6]多{訓}									
k	[1]姑={大～}家加咖嘉佳膠-鉸{～刀}傢茄{又}交-粳{～米}茭-{～筍}[3]假{真～}絞-賈攪[5]假{～期}架駕嫁稼價教-賈{又}疥-{病～}[6]咬-									
kʰ	[1]骹鮫{馬～魚}[5]快-卡磕-									
ŋ	[2]牙芽衙蚜訝[3]雅[6]迓椏{樹～}									
h	[1]哈[2]蝦暇霞瑕遐[5]茬[6]夏廈下=蟹嗄									
∅	[1]阿{又}丫鴉=[2]啊[3]亞啞拗-[6]下-廈{～門}會{訓}解-									
#ɛ										
p	[1]□{這～，這樣子，貶}[2]排=牌[3]擺=									
pʰ	[2]□{黃～}[3]䫌{面～}睥									
m	[2]□{蹲伏}[3]買-									
t	[1]低-[2]題蹄[3]底-抵-									
tʰ	[1]□{講～，炫耀}[2]啼=□{彌～}[3]體恥-{羞～}									
n	[1]□[2]泥尼[3]奶-									
l	[1]□{拖拉}[2]犁黎璃-麗{高～}[3]禮□{正在}澧									
ts	[1]齋□{米粿}[2]齊臍=[3]擠劑{調～}□{齒不齊}□{對不上}									
tsʰ	[1]妻棲淒差{出～}悽[3]扯									
s	[1]西犀樨□{臭～，惡味}[3]洗徙=璽=									
k	[1]街□{腿部大}[3]解-									
kʰ	[1]溪□{啃}䙎{衣裳～}									
ŋ	[1]椏{又}[2]倪霓[3]睨									
h	[1]罅{又}[3]盻{怒視}									
∅	[1]挨-[2]鞋[3]矮									
#œ										
p	[1]□{斜踢}[2]□{又，斜踢}[3]□{大舌～}									
pʰ	[2]□{瘖啞}									
m	[2]□{不確實}									
t	[2]□{死，貶}									
tʰ	[1]□{斜躺}[2]唾{瀾～，濃唾液}[3]檸{鼎～，鍋鏟｝									
n	[3]□{口腔遇酸的感覺}									
l	[1]□{滑下}[2]驢□{惡罵，指婦女｝[3]魯{鄉下～}									
ts	[1]□{馬虎隨便}[2]嘈-{又}									
tsʰ	[1]初-[2]叱□{呵斥}									
s	[1]梳-疏-[2]□{外傾}[3]黍-璽-徙-{～～動}									
k	[2]□{悶熱}									
kʰ	[3]愚{又}□{擲}□{頭屑}									
ŋ	[1]□{不靈活}									
h	[1]□{劣}□{吹氣}[2]呵□{張開口吹氣}									
∅	[2]□{喊叫}									
#o										
p	[1]玻褒煲菠=[2]婆袍葡[3]寶保堡									
pʰ	[1]波坡[2]婆{老～}[3]頗=									
m	[1]饃□{凸起}[2]魔摩無-毛磨=[3]母-牳									
t	[1]多刀切䬢{白～}[2]逃濤掏馱駝萄垛{量詞，蜀～}舵=陀淘陶沱[3]島禱倒{打～}搗									
tʰ	[1]滔叨韜[2]桃唾=[3]討妥{～當}									
n	[2]挪={～用}糯=[3]腦=惱瑙娜									
l	[1]□{目珠～～動}[2]撈{～麵}勞羅鑼牢啰蘿籮=癆嘮螺={～旋槳}老=□{竹器}									
ts	[1]遭[2]曹=槽=嘈=漕[3]左棗早=蚤=□{手指擊}									
tsʰ	[1]磋搓操臊-鰽[2]曹-{～操}[3]草=									
s	[1]臊=梭唆搔=騷蓑=娑挱{鴨喙～}[2]槽-{水～}[3]嫂鎖瑣									
k	[1]哥歌高篙膏羔糕睾皋[2]□{落～，受控制}[3]稿搞杲傀-									
kʰ	[1]敲{～竹杠}苛炣柯軻□{喉聲}[2]𣹇[3]可考栲烤									
ŋ	[2]俄蛾鵝=熬敖峨娥螯{車～，貝殼類}[3]我=									
h	[2]何豪毫荷{又}蠔喉-{～嚨}壕[3]好{～戲}									
∅	[1]屙阿{～膠}[2]河=荷[3]襖									
#ɔ										
p	[5]報播=簸=爆{引～}[6]抱暴{殘～}									
pʰ	[5]破=									
m	[5]□{擊}[6]磨{石～}冒帽耄									
t	[5]倒{～水}到[6]盜道導惰蹈稻悼{又}苧-									
tʰ	[5]套退-{～衣，～被}									
n	[5]□{膩}[6]糯									
l	[5]鑢-[6]撈邏澇勞{慰～}𤶁{瘸～}									
ts	[5]佐做藻造=燥=[6]坐=座皂助-矬嘈-{噍～，吵鬧}									
tsʰ	[5]□{絲瓜}錯糙躁挫□{筆～}操{節～}造-磋{又}									
s	[5]燥-疏{上～}									
k	[5]個告誥□{～瘡，疥瘡}									
kʰ	[5]靠銬魺去-舸哿{船～沙}□{大頭～}									
ŋ	[5]傲{傲慢}[6]餓傲{驕傲}									
h	[5]好{愛～}耗□{起哄}[6]號賀浩鎬灝									
∅	[5]澳奧懊									
#i										
p	[1]卑碑屄裨=□{拔}[2]脾琵枇□{個，量詞}[3]比彼妣指-									
pʰ	[1]悲菲[2]肥=皮=疲毗[3]匪鄙痞=丕疙斐譬靡誹=									
m	[1]咪眯[2]迷眉楣唯惟維帷微彌遺薇糜=[3]米美耳{木～}									
t	[1]知低=[2]遲[3]抵=牴砥邸底=									
tʰ	[1]蜘黐{黏液}[2]持提堤馳苔-鮐籜{～箬}[3]恥=									
n	[1]呢{語氣}𪏸[2]呢{～布}[3]你									
l	[2]梨耒-狸蜊[3]李裏履-裏里鯉娌理裡=俚									
ts	[1]之膣{女陰}[2]粹{火入水}炙[3]只旨指=止祉址枳姊=子-黹咫沚芷杞{枸～}									
tsʰ	[1]雌撕蚩鰓癡[2]□{不平整}[3]齒=矢豕									
s	[1]絲屍詩司-[2]時鰣餈{米製成的糕點，糍粑}[33]死-									
k	[1]基幾{～乎}機飢饑譏期肌嘰磯畿箕璣乩[2]期{動詞}棋祺麒旗葵沂淇祈蜞歧芪逵奇{～怪}祁耆[3]幾=己紀麂									
kʰ	[1]欺=欹譏{又}㩻{斜}[2]蜞{蛭，水～}□{毒癤}□[3]起齒-豈									
ŋ	[2]宜=儀疑嶷[3]擬耳=									
h	[1]希稀飛=嘻嬉妃羲犧欷熙非姬禧熹曦[3]喜蟢									
∅	[1]依衣=伊醫漪[2]兒=而夷姨胰痍貽怡飴迤[3]已以倚=爾邇									
#ɛi										
p	[5]蔽閉{又}祕秘費=箅匕痹沸庇潷斃[6]婢備篦蓖斃{又}陛被=鼻{動詞}幣敝									
pʰ	[5]鼻-屁=									
m	[5]媄[6]謎寐媚沕{潛水}袂									
t	[5]致緻智置蒂締[6]地=稚治滯痔雉									
tʰ	[5]嚏									
n	[5]餌視{近～}[6]二膩=貳									
l	[5]利[6]利{鋒～}莉痢俐吏蒞									
ts	[5]痣至志誌質{～證}[6]字自-示-{告～}									
tsʰ	[5]試-飼-□{妝奩}[6]市嚏{哈～，打噴嚏}									
s	[5]四肆-試-{又}[6]是寺示=視=峙侍=氏恃									
k	[5]記驥既計-{夥～}冀暨[6]忌技妓									
kʰ	[5]器氣汽棄憩[6]柿									
ŋ	[5]□{吱聲}[6]耳-									
h	[5]懿亟									
∅	[5]意癔薏億臆矣憶[6]未=味=易=異肄{～業}									
#u										
p	[2]匏菩蒲-{～扇}									
pʰ	[2]浮-烰-[3]㾦殕									
m	[3]母=畝-姆姥某牡									
t	[1]都[2]塗途徒圖荼[3]賭堵睹									
tʰ	[2]塗{泥土}[3]土吐=									
n	[2]奴孥[3]努									
l	[2]爐盧廬蘆顱鸕鱸艫[3]魯=櫓鹵滷擄=戮吐-{～絲}虜=									
ts	[1]租[2]雛齟[3]阻祖組咀徂									
tsʰ	[1]粗初=麤[3]楚礎									
s	[1]蘇甦蔬疏=酥穌疎[3]所									
k	[1]姑=辜枯沽菇孤咕鴣觚[2]糊-[3]鼓估詁古=䀇臌瞽股賈{商～}久-{永～}									
kʰ	[1]箍壁呼-{～犬}坵古{～田縣}軀-{量詞}[2]跍{蹲}[3]苦									
ŋ	[1]唔[2]牛-吳蜈吾齬梧[3]午伍忤{又}五=仵{又}									
h	[1]乎呼=夫=烌{元寶～}敷膚孚俘[2]乎{又}呼={又}湖瑚胡糊=葫狐壺符扶=孵蝴弧鬍芙苻滹和-{～牌}[3]虎琥滸府俯腑甫斧=脯=輔釜									
∅	[1]烏汙{又}巫誣鄔嗚{～呼}[2]蕪無=[3]武舞撫鵡嫵									
#ou										
p	[5]富-[6]孵-腐-婦-									
pʰ	[5]□{凸起}									
t	[5]妒蠢[6]肚{腹～}杜度鍍渡注-{蜀～錢}									
tʰ	[5]吐{又}兔菟									
n	[6]怒									
l	[5]露{～水}[6]路鷺路滷-{鹽～}褸-									
ts	[5]詛咒{訓“詛”}[6]助=									
tsʰ	[5]醋									
s	[5]數素塑訴嗉愫夙									
k	[5]顧僱固故灸錮[6]舊-									
kʰ	[5]庫褲袴[6]臼-									
ŋ	[6]五-忤仵									
h	[5]富=付附=傅訃賦付戽副赴[6]父=互戶腐=護負扶=滬怙駙祜-									
∅	[5]惡{可～}汙{又}塢□{份額}[6]有-霧=務騖									
#y										
t	[1]豬誅[2]除躇餘-{十～歲}									
tʰ	[1]蛛株=[2]鋤[3]貯=杵檸佇苧-									
n	[1]□{傢具關節鬆動}[2]□{迷住}[3]女汝									
l	[2]閭[3]呂閭{又}櫚鋁旅屢=膂侶縷=褸=									
ts	[1]書諸儲資姿茲滋咨錙餈孜貲疽=[2]茲{又}慈磁瓷[3]煮梓主=子									
tsʰ	[1]舒-紓趨蛆疽-芻髭疵[2]□{取消}菙{～梢}疵{做～}[3]取此處{～理}鼠									
s	[1]須鬚=斯師=私=輸=需思司=胥塑墅[2]詞祠徐殊辭薯[3]史始死=使=駛=署暑曙黍=									
k	[1]車=居拘[2]渠佢瞿□{小兒初話}[3]舉矩									
kʰ	[1]區軀=驅樞駒[2]愚-									
ŋ	[2]愚=魚娛漁虞隅[3]語禦圄踽									
h	[1]虛墟噓[3]許滸{又}詡栩									
∅	[1]盂迂衣-{～架}淤於[2]餘於餘=俞榆愉瑜於{又}如儒茹予輿逾臾歟孺[3]雨=羽乳=禺與宇愈									
#ia										
t	[1]爹-[2]□{疲乏}									
n	[3]惹									
ts	[1]遮嗟[3]姐姊-者赭這-[5]蔗柘笊{～籬}炙=[6]籍									
tsʰ	[1]車俥硨奢[3]且[6]斜-									
s	[1]賒餘佘[2]斜=邪=[3]寫捨{施～}[5]瀉卸舍赦[6]射=謝榭社麝									
k	[1]袈{又}笳迦痂[2]枷袈伽[5]叫-{叫喊}[6]下-									
kʰ	[1]奇-欺-[2]騎-[6]徛-{～依儂，立人旁}									
ŋ	[1]奇{不完整}									
h	[1]谺									
∅	[1]耶[2]椰揶邪{松大變形}[3]也野冶[6]夜									
#ie										
p	[1]裨-{動詞}[5]臂躃{跑}帔轡[6]閉避									
pʰ	[1]批披砒									
m	[1]䉲{薄削}									
t	[1]爹=[2]池篪[3]裡底{～儂}[5]渧{～落}[6]弟-蠣-地-									
tʰ	[2][2]啼[3]扯-[5]剃徥{～手，順帶}									
l	[2]璃={琉～}離釐厘籬漓[3]詈副荔[5]□{裁，～紙}[6]離{～散}									
ts	[1]芝支枝=肢脂卮吱[3]紫這=[5]祭穄際制掣									
tsʰ	[1]伬枝{荔～}[2]□{移動}[3]扯侈馳[5]刺-翅熾栨{口～}[6]□{歪斜}									
s	[1]些施[2]蛇匙暆{日頭～過}[5]勢世施{布～}[6]誓舐豉逝嗜啻泄{～屎}									
k	[1]雞規奎圭閨笄羈[2]鮭岐[5]季繼寄桂計=悸[6]易-{～會難精}									
kʰ	[1]窺稽[2]騎-[3]啟企[5]契崎[6]徛={站立}									
ŋ	[2]宜-{便～}鵝-[5]艾[6]外-義議藝蟻誼毅									
h	[1]桸兮[3]奚攜[5]戲費-肺廢[6]惠-慧系吠=									
∅	[2]移爺[3]椅[5]翳縊[6]䆊餲{饞}									
#iu										
p	[1]標鏢彪鑣飆驃□{噴射}[3]表錶裱婊[5]□{超出預算}[6]鰾									
pʰ	[1]飄螵[2]瓢嫖剽[5]票漂{～亮}									
m	[2]苗描貓=錨繆=[3]杳渺淼藐杪眇邈窈[6]妙繆-{姓}廟謬									
t	[1]刁丟朝{～夕}凋=貂碉掉啁[2]朝綢櫥-調{～和}稠=潮惆{～悵}[3]肘拄[5]釣吊晝=[6]趙調{音～}兆宙召肇紂胄									
tʰ	[1]挑抽迢佻[2]籌佻{客～}挑{～儂}疇笤儔[3]醜窕[5]跳眺糶[6]柱-									
