例字	中古音	電白龍山	羅定	雷州	吳川蘭石	說明：蘭石東話 陰平 33 家多初開 陽平 22 牙河圖魚 陰上 31 左把假女 陽上 42 午謝異硬 陰去 44 化廢放布 陰入 5 發括得績 陽入 2 活越賊局 升降調 453 之爸血百				
個					kai22（俗）					
多	果開一平歌端	tsɔi33（訓）	tsai443（訓）	tsoi24（訓）/to24	tɛi33（訓）					
拖	果開一平歌透	tʰua33	tʰua45	tʰua24	tʰu33/tʰɔ33	1.2.1、[ɐm、ɐp]韻母的中的[ɐ]實際發音略高，接近[ə]。 1.2.2、[ip]韻母中的[i]實際發音略低，接近[e]。 1.2.3、[ɛu]在唇音、舌音聲母後有輕微的滑音 i，如：爐，韻母可以記作[iɛu]， 本文從略。 1.2.4、[ou、iou]韻母中的[o]偏央。				
駝	果開一平歌定	tʰɔ22	——	tʰo22	tʰɔ22					
大	果開一去箇來	tua33	tua443	tua24	ɗu33	雷州黎話 陰平 24 豬尊娘腐樹飯味餓 陽平 22 陳平仁龍農文雲黃 陰上 41 好手粉我米猛尾 陽上 33 腐倍坐戶雨事食白 陰去 21 抗唱漢世去告鏡柄 陽去 453 餓遞事誤接割錫落 陰入 5 急竹權得肇出七 陽入 2 局雜合俗服涉疊十				
那	果開一去箇泥	hak5	ho451	na453/ha453	ha44					
哪	果開一上哿泥	ti42	tai451	na24	ɗi33	2.2.1、[ɛ]單念或處於韻尾時，開口度較大，後面有其他音素組合時，開口 度較小，實際音質是[e]。本文統一記成[ɛ]。 2.2.2、[ɔ]單念或處於韻尾時，開口度較大，與其它音素組合時，開口度較 小，實際音質是[o]。本文統一記成[ɔ]。 2.2.3、[i]在某些聲母後偏低。				
鑼	果開一平歌來	lɔ22	lua24	lo22	lɔ22					
左	果開一上哿精	tsɔ31	tso451	tso41	tɔ31	龍山海話 陰平 33 病哥餓大 陽平 22 平個鵝麻   陰上 31 把我火補 陽上 42 白坐座戶 陰去 44 柄破銼過 高降 453 哥魔爸杯宙百 陰入 5 得惡曲竹 陽入 2 直焗熟讀				
哥	果開一平歌見	kɔ53	hia45	ko24/ko453	kɔ453					
可	果開一上哿溪	kʰɔ31	ho451	kʰo41	hɔ31	3.2.1、ɛ 單念時，開口度較大，與其它音素組合時，開口度較小，實際音 質是 e。本文統一記成 ɛ。  3.2.2、a 在 i 後讀得較短，開口度較小。				
鵝	果開一平歌疑	kɔ22	ŋo45	ŋo22	kɔ22					
我	果開一平歌疑			ba41						
餓	果開一去箇疑	kɔ33	ieu45	oi453（訓）/ŋo24	kʰɔ33	羅定漳州話 陰平a 45 歌波天餓 陰平b 55阿基 陽平a 24 平個鵝麻 陽平b 22 廚痰墳 陽平c 21 隨曹 陰上 451 把我火補 陽上 443 坐座戶白 陰去 31 柄破銼過 陰入 5 得惡曲竹 陽入 2 直焗熟讀				
河	果開一平歌匣	hɔ22	ho21	ho22	hɔ22					
賀	果開一去箇匣	hɔ42	ho443	ho33	hɔ42	4.2.1、ye 韻母與其它閩語 ue 對應，發音部位前移，明顯撮口，e 的發音也 比較含混，接近 ø。  4.2.2、介音 i、u、y 音程較長。  4.2.3、個別字的韻母比較特殊，沒有列入。在這裏說明：閑 eiŋ24。 4.2.4、ɐi、ɐm、ɐn、yn 等韻母受粵語影響產生。  4.2.5、韻母 iam 介音音程較長，韻腹 a 較短，音質接近 e。				
阿～膠	果開一平歌影	ɔ33	a55	o24	ɔ33					
茄	果開一平戈群	kʰɛ22	kʰe24	kio22	kʰɛ22	4.3.1、陰平字讀高升調 45，但有些字讀 55，系粵語讀音。 4.3.2、陽平讀 213，但有部分字讀 22。  4.3.3、陽上調有時聽感上象平調，但有輕微下降趨勢，本文記為 443。 4.3.4、濁上字讀平降調，但有些字讀 24 調，屬粵語讀音。 4.3.5、粵語有三個入聲調，其中下陰入聲調為 3。受此影響，讀閩語時， 會把屬於粵語下陰入的字讀成與之接近的陽入。例如：“擦”讀 tshat2。				
波	果合一平戈幫	pɔ33	po55	po24	ɓɔ33					
坡	果合一平戈滂	pʰɔ33	po45	pʰo24	pʰɔ33					
破	果合一平過滂	pʰua44	pʰua31	pʰua21	pʰu44					
婆	果合一平戈並	pɔ22	po24	pʰo22	ɓɔ22/pʰɔ22					
磨	果合一平戈明	wua22	ɓua24	bua22（動詞）	pʰu22					
磨	果合一去過明	wua22	ɓua24	mo24（米加工成粉的工具）	mɔ22					
朵	果合一過去端	pʰa33（訓“葩”）	——	tʰo41	ɗɛ 31					
糯	果合一過去泥	tsuk2（訓“秫”）	tsut2（訓“秫”）	tsuk2（訓“秫”）/no33	tut2（訓“秫”）					
螺	果合一平戈來	lia22	lua24	lɛ22	lœ22					
銼	果合一去過清	tsʰɔ44	tsʰo31	tsʰo21	sɔ44					
坐	果合一上果從	tsɛ42	tse443	tsɛ33	tsɛ42					
座	果合一去過從	tsɛ42	tso31	tsɛ33/tso453（文）	tsɛ42					
梭	果合一平戈心	ɬɔi33	sua45	so24	ɬœ22					
鎖	果合一上果心	ɬɔ31	so451	so41	ɬɛ31					
果	果合一上果見	kua31	ko451	kuɛ41	kɔ31/kuɔ31					
過	果合一去過見	kɔi44	kue31	kuɛ21	koi44					
課	果合一去過溪	kʰua44	hue31	kʰo21	fɔ44					
火	果合一上果曉	hɔi31	hue451	huɛ41/ho41（文）	hoi31					
貨	果合一去戈曉	hɔi44	hue31	huɛ21	hoi44					
禾	果合一平戈匣	hɔ22		ta22（訓）/ho22						
禍	果合一上果匣	ua42	uo24	huɛ33/ho453	u42					
靴	果合三平戈曉	hɛ53	he45	kʰuɛ24	hɛ453					
疤	假開二平麻幫	pa33	na45	ba453/pa24	——					
把	假開二上馬幫	pa31	——	pɛ41/pa41（文，介詞（將）作）	ɓɛ31					
霸	假開二去禡幫	pa44	——	pa21	ɓa44					
怕	假開二去禡滂			pʰa21						
驚		kia33	kia45	kia24	kia33					
爬	假開二平麻並	pia22	pe24	niau22（訓）/pɛ22（白）pʰa22（文）	pʰa22					
耙犁～	假開二去禡並	pia22	pe443	pɛ22	ɓɛ22					
麻	假開二平麻明	mua22	ɓe24	mua22	mu22					
馬	假開二上馬明	wia31	ɓe451	bɛ41/ma41（文）	pʰɛ31					
罵	假開二去禡明	mia33	ɓe24	mɛ24/ma453（文）	mɛ33					
拿	假開二平麻泥	niam53（訓）/na22	pʰe24（訓）	lia453（訓“掠”）/na453	ȵou33					
茶	假開二平麻澄	tia22	te24	tɛ22/tsʰa22（文）	sa22					
榨	假開二去禡莊	tsa44	kʰe451	tsa21	ta44					
叉	假開二平麻初	tsʰia33	tsʰie45	tsʰɛ24/tsʰa24（文）	ta44					
查調～	假開二平麻崇	tsʰa22	tsʰie24	tsʰa22	sa22					
沙	假開二平麻生	ɬua33	sua45	sua24	ɬu33/ɬa33（文）					
家	假開二平麻見	kia33	ke45	kɛ24/kia24（文）	kɛ33					
加	假開二平麻見	kia33	ke45	kɛ24	kɛ44					
假真～	假開二上馬見	kia31	ke451	kɛ41	kɛ31					
嫁	假開二去禡見	kia44	ke31	kɛ21	kɛ44					
牙	假開二平麻疑	kia22	ŋe24	ŋɛ22/ia22（文）	kɛ22					
蝦	假開二平麻曉	hia33	he45	hɛ22	hɛ33					
下方位	假開二上馬匣	ia42	e443	lo33（訓“落”）/ɛ33（上下）/hɛ33（落下，如下種子）/hia33（當下，下火）	ɛ42					
下動詞	假開二去禡匣									
下			ke443							
啞	假開二上馬影	ia31		ɛ41	ɛ31					
姐	假開三上馬精	tsiɛ53	tsia451	tsɛ41/tsɛ 453（新）	tsɛ31					
借	假開三去禡精	tsiau53	tsyo451	tsio453	tsɔ453					
寫	假開三上馬心	ɬia31	sia451	sia41/sɛ41（文）	ɬia31					
瀉	假開三去禡心	——	sia31	sia21	ɬia31					
邪	假開三平麻邪	tsʰia22	tsʰia24	sɛ22	sɛ22					
斜	假開三平麻邪	tsʰia22	tsʰia24	sia22	sɛ22					
謝	假開三去禡邪	tsia33/ɬia42（文）	tsia331	tsia24	tsɛ42					
遮	假開三平麻章	tsa42	ia45（訓）	tsia24/tsɛ453（文）	tsa453					
蔗	假開三去禡章	tsia44	tsia31	tsia41	tsa44					
車	假開三平麻昌	tsʰia33	tsʰia45	tsʰia24	sa33					
扯	假開三上馬昌	——	ɓan451（訓）	tsʰɛ41	——					
蛇	假開三平麻船	ʣua22	tsua24	tsua22/sɛ22（文）	tu22					
射	假開三去禡船	ɬia42	tsua443	sia24	ɬia44					
賒	假開三平麻書	ɬia33	sia24	sia24	ɬia33					
舍～不得	假開三上馬書	ɬia31	sia451	sia41/sɛ41（文，宿~）	ɬia31					
社	假開三上馬禪	ɬia42	sia443	sia453/sɛ453（文）	ɬia42					
惹	假開三上馬日	ia31	ia451	jia41	jia31					
爺	假開三平麻以	koŋ53（訓“公”）	ia24	jiɛ41	jiɛ22/jiɛ453					
野	假開三上馬以	ia31	ia451	jiɛ41	jia31					
夜	假開三去禡以	mia22（訓）	ɓe24（訓）	mɛ22（訓）/ia24	mɛ22（訓）					
瞑		mia22	ɓe24	mɛ22	mɛ22					
也	假開三上馬以	jia33	ia24	ia24/jɛ24/jɛ22	jiɛ33					
瓜	假合二平麻見	kɔi33	kue45	kuɛ24	kuɛ33					
垮	假合二上以溪	kʰua31	lam31	kʰua41	——					
瓦	假合二上馬疑	ŋa31	hia443	hia33/wa22(文)	hia42/ŋa42					
花	假合二平麻曉	hɔi33	hue45	huɛ24	fɛ33					
化	假合二去禡曉	hua44	hua31	hua21	fɛ44					
華	假開三平麻匣	hua22	hua24	hua22	wa22					
補	遇合一上姥幫	pɛu31	pou451	pɛu41	ɓɛu31					
