#ɿ	
ts	[55]资姿咨知蜘兹滋辎之芝支枝肢只蛰[53]紫指姊雉旨指子梓滓止趾址齿[213]翅智致至痔置治志痣制掷炙[11]值织职殖植姪质执汁
tsʰ	[55]痴[53]耻[213]刺赐饬[11]赤斥秩
s	[55]雌疵斯厮撕施豉匙私师狮司丝思诗直十什{什物}拾[35]池驰瓷迟慈辞词祠磁持时鲥伺寺嗣饲脐{脐带}拾{拾捡}[53]此眵侈死失屎嗤耻使史驶始[213]是氏稚示视嗜似祀已士仕柿俟事市恃字试侍滞世势誓逝式饰[11]食蚀识适释实失室石湿{风湿}
#i	
p	[55]卑[53]陛彼俾譬[213]闭箅臂[11]碧壁{墙壁}笔毕必憋
pʰ	[55]蓖批披劈匹{一匹布}[35]皮疲脾婢[53]被{棉被}匹{匹夫}[213]蔽敝弊被{被打}避僻闭辟弼佩
m	[35]迷谜弥昧[53]米靡每[11]觅
f	[55]非飞妃[35]肥微[53]翡匪榧[213]痱费
t	[55]爹低[53]底{海底}抵[213]帝弟[11]笛敌狄的{的确}谪嫡蜜密
tʰ	[55]梯{梯子}[35]题堤提蹄啼[53]体[213]弟帝替涕剃屉第递隶书[11]踢剔
l	[55]力粒[35]犁黎离篱璃逆[53]礼你[213]例历励丽荔历泪[11]匿力溺栗立笠
tɕ	[55]鸡稽饥肌几{茶几}基机讥[53]济已纪几{几个}[213]剂汁继系髻妓寄冀记既季祭际[11]即鲫积绩寂击激疾吉缉集{集体}辑及级极
tɕʰ	[55]妻欺期[35]齐奇骑歧祁鳍其棋旗集{集合}及{及格}[53]启企起{起跑}杞喜岂祈[213]契技妓器弃忌气{气体}汽[11]脊戚七漆膝讫泣
ɕ	[55]些西犀溪牺嬉熙希稀悉{悉尼}携[53]起起雾[213]气{气力}细系戏[11]息熄媳惜席夕昔吸锡析习袭石
∅	[55]伊医衣依日[35]倪宜仪移夷姨疑饴沂遗液[53]倚椅拟矣已以[213]艺缢易谊义议肄意毅忆亿抑翼译易[11]益亦一逸揖腋
#u	
p	[53]补[213]布怖不簸{簸箕}
pʰ	[55]铺捕敷{敷药}卜扑醭仆[35]蒲菩脯仆{仆人}[53]谱普浦脯朴[213]部簿步曝
f	[55]敷夫麸肤[35]俘孵符扶芙[53]府腑俯甫斧抚釜腐辅[213]埠父付赋傅赴附缚妇负富副[11]佛福幅蝠腹覆服伏复
t	[55]都督嘟[53]堵赌肚[213]妒度=[11]独读牍犊笃毒
tʰ	[35]徒屠途涂图[53]土[213]吐免度-渡镀杜[11]突秃
l	[55]鹿[35]奴庐炉芦[53]努鲁橹虏卤[213]怒路赂露鹭[11]禄绿={绿化}
ts	[55]租[53]祖组阻[213]做[11]足
tsʰ	[55]粗初[35]锄[53]楚[213]醋措助[11]□{呛意}
s	[55]苏酥杭疏蔬[213]素诉漱[11]速肃宿缩粟俗淑=
k	[55]姑孤箍估[53]古牯股鼓[213]故固锢雇顾[11]骨={骨肉}谷
kʰ	[55]枯[53]苦[213]库裤窟酷[11]哭
x	[55]呼乎[35]胡湖狐壶瓠[53]虎浒苦=[213]户滬互護瓠[11]忽
∅	[55]乌污坞巫诬[35]吴蜈吾梧无胡-[53]五=伍=午武舞侮鹉[213]误悟务雾[11]物勿屋
#y	
l	[35]驴[213]虑[11]律率
tɕ	[55]猪诸居车{车马炮}诛蛛株朱珠拘驹[53]嘴-{嘴巴}煮举主[213]巨拒距据锯=注蛀铸俱矩句具懼[11]橘菊掬
tɕʰ	[55]蛆趋殊区驱吹-{吹风}[35]徐除储薯-渠厨瞿槌-锤-[53]处{相处}取娶[213]序叙处{处所}去=聚趣跪-拄柱住剧驻[11]出屈
ɕ	[55]书舒墟虚嘘须需输虽-[53]杵暑鼠黍署薯许水-[213]绪架庶恕续竖树岁-{几岁}嗉[11]恤术{白术}述
∅	[55]淤吁迁[35]如鱼=渔于余馀愚虞娱盂榆逾愉[53]吕积旅女汝语予乳雨宇禹羽[213]御誉预豫遇寓愈芋喻裕欲浴疫役
#a	
p	[55]巴芭疤爸抱-{抱人}[53]把[213]霸坝罢[11]八钵伯-{叔伯}
