	ipa	注释	
多	to1		
拖	tʰo1		若一字有多音，注释中以该义使用的音代替单音时的~
大	tʰai6		1阴平11，2阳平53，3阴上去31，6阳去35，7阴入24，8阳入43
罗	lo2		资料来源《闽南客家话音韵研究》
锣	lo2		
左	ʦo3		
歌	ko1		
哥	ko2		
可	kʰo3		
鹅	ŋou2		
我	ŋo2 ŋai2	文 白	
饿	ŋo6		
河	ho2		
贺	ho6		
茄	kʰieu2		
坡	pʰo1		
破	pʰo3		
婆	pʰo2		
磨	hm6		
糯	nu6		
螺	lo2		
脶	lo2		
坐	ʦʰo1		
座	ʦʰo6		
蓑	sui1		
锁	so3		
果	ko3		
过	ko3		
课	kʰoi3		
火	fo3		
靴	hieu1		
和	fo2		
禾	vo2		
祸	fo3		
疤	pa1		
坝	pa3		
怕	pʰa3		
爬	pʰa2		
麻	ma2		
马	ma1		
骂	ma3		
茶	ʦʰa2		
榨	ʦa3		
杈	ʦʰa1		
差	ʦʰa1		
查	ʦʰa2		
沙	sa1		
家	ka1		
嘉	ka1		
假	ka3		
嫁	ka3		
价	ka3		
牙	ŋa2		
雅	ŋa3		
虾	ha2		
霞	ha2		
下	hã1		
厦	hã6		
下	hã6		
鸦	ã1		
哑	ã3		
姐	ʦia3		
借	ʦia6		
藉	ʦia6		
写	sia3		
邪	ʦʰia2		
斜	ʦʰia2		
谢	ʦʰia6		
遮	ʧia1		
者	ʧia3		
蔗	ʧia3		
车	ʧʰa1		
蛇	ʃia2		
射	ʃia3		
赊	ʃia1		
舍	ʃia6		
舍	ʃia3		
社	ʃa6		
爷	ʒa2		
野	ʒia3		
夜	ʒia6		
瓜	kua1		
夸	kʰua1		
瓦	ŋua3		
花	fa1		
化	fa1		
补	pu3		
布	pu3		
脯	pʰu2		
部	pʰu6		
簿	pʰu6		
步	pʰu6		
模	mu2		
暮	hm6		
墓	hm6		
都	tu1		
肚	tu3		
土	tʰu3		
兔	tʰu3		
徒	tʰu2		
图	tʰu2		
杜	tʰu3		
度	tʰu6		
奴	nu2		
炉	lu2		
卤	lu3		
路	lu6		
租	ʦu1		
组	ʦu3		
做	ʦo3		
醋	ʦʰu3		
苏	su1		
姑	ku6		
箍	kʰu1		
古	ku3		
鼓	ku3		
故	ku3		
苦	kʰu3		
裤	kʰu3		
吴	m2		
蜈	m2		
梧	m2		
五	m3		
误	ŋo6		
虎	fu3		
戽	fu3		
湖	fu6		
胡	fu2		
户	fu6		
护	fu3		
瓠	fu3		
乌	vu1		
女	ŋy3		
吕	ly3		
虑	ly6		
徐	sɿ2		
序	sy6		
绪	sy3		
猪	ʧy1		
除	ʧʰy2		
煮	ʧʰy3		
处	ʧʰy3		
书	ʃy1		
鼠	ʧʰy3		
薯	ʃy2		
居	ky1		
举	ky3		
据	ky6		
墟	hy1 hui1	文 白	
去	kʰy3		
渠	kʰy2		
距	kʰy3		
鱼	m2		
语	ŋy3		
虚	hy1		
许	sy3		
誉	ŋi6		
夫	fu1		
肤	fu1		
府	fu3		
斧	fu3		
付	fu3		
赋	fu3		
孵	pʰu6		
赴	fu3	赶上	
讣	pʰu3		
符	fu1 pʰu2	文 白	
芙	pʰu2		
父	fu6		
腐	fu6		
无	mo2		
武	vu3		
舞	vu3		
务	vu6		
取	ʧʰy3		
趣	ʧʰy3		
需	ʃy1		
诛	ʧy1		
厨	ʧʰy2		
住	ʧʰy6		
数	su3		
数	su3		
珠	ʧy1		
主	ʧy3		
蛀	ʧy3		
殊	ʃy2		
树	ʃy6		
儒	ʒy2		
矩	ky3		
句	ky3		
区	kʰy1		
具	kʰy6		
娱	ŋo2		
雨	vu3		
芋	vu6		
贝	pue3		
带	tai3		
胎	tʰoi1		
贷	tʰai3		
泰	tʰai3		
台	tʰai2		
待	tʰai6		
代	tʰoi6		
袋	tʰoi6		
大	tʰai6		
来	loi2		
耐	nai6		
赖	lai6		
灾	ʦai1		
载	ʦai3		
彩	ʦʰai3		
菜	ʦʰoi3		
蔡	ʦʰai3		
该	kai1		
概	kai3		
开	koi1		
碍	ŋoi6		
艾	ŋi3		
海	hoi3		
害	hoi6		
爱	oi3		
拜	pai3		
排	pʰe2		
皆	kai1		
介	kai3		
界	koi3		
芥	kai3		
届	kai3		
戒	kai3		
械	hai6		
摆	pai3		
牌	pʰe2		
稗	pʰe6		
败	pʰai6		
买	mi1		
卖	mi6		
奶	nen1		
债	ʦai3		
筛	ʦʰe1		
晒	sai3		
佳	ka1		
