#声调	1阴平22 2阳平21 3阴上13 5阴去55 6阳去33 7阴入53 8阳入3
#注释	*训=文-白
#资料来源	《福建四保话的古音痕迹及同音字汇》，《闽西四堡马屋客家话音韵研究》，《福建省连城县四堡客家话研究》，《连城四堡方言的几个特点》
#a	
p	[1]巴{~pai53:了不起}[3]跛-摆[5]拜[6]罢
ph	[2]排牌[5]派[6]败
b	[2]磨-{~刀}[3]物{~个：什么？}
f	[2]怀槐踝淮徊[6]坏
t	[2]多-{佢~：你们}[3]哭*[5]戴带
th	[1]胎[2]台苔抬驼[5]太态[6]大怠殆待
l	[1]拉[2]拉{伸舌头}[5]捺[6]耐赖
ts	[1]灾斋[3]宰载[5]再载债
tsʰ	[1]猜差搓[2]才材财昨=[3]彩睬踩[5]蔡[6]在寨
s	[1]鳃筛[2]豺[3]徙[5]帅赛
k	[1]街皆阶[3]个-{~里：那里}解=[5]个-介界戒尬
kʰ	[1]揩[2]楷[3]凯慨
g	[1]我-我{领属}[2]涯崖[6]艾={~菜：茼蒿}
h	[2]孩谐还[6]械骇
#o	
p	[1]波菠煲坡玻褒[3]保堡跛=宝[5]报簸伯{老~：哥哥}
pʰ	[1]颇坡[2]浮-{﹣豆腐：炸豆腐}婆袍浮-[3]剖[5]破[6]暴爆瀑曝
b	[1]摸=摩魔毛-{猪~，狗~}[2]毛={姓氏}无*{﹣有}模{~范}没{~有}[6]冒帽磨=
f	[2]禾和[3]火伙[5]货[6]祸
v	[1]涡[2]喔{表惊奇}禾[3]号{哭}
t	[1]刀叨多=都{首都；副词：全部}[3]朵岛倒惰[5]到
tʰ	[1]拖掏涛滔[2]驼桃逃淘陶萄陀驮舵[3]妥导讨椭[5]套[6]道稻盗
l	[1]拿邀*{动词：邀请，﹣你去：邀请你去}捞[2]罗箩锣劳牢唠搓*{一衣服}螺[3]老脑老{~li2：父亲}糯恼老{洗~：干净}[5]慢*
ts	[1]糟遭[3]左佐蚤早枣[5]做灶
tsʰ	[1]坐搓[2]皂澡曹槽吵[3]草[5]锉错措糙[6]座造
s	[1]蓑梭唆骚臊[3]嫂锁琐[5]扫
tʃ	[1]朝{早上：~阳}昭招沼[5]照
tʃʰ	[1]超烧-{热}[2]朝{动词，﹣向北边}潮[6]赵兆
