#备注：湖南道县( 梅花) 土话音系 沈明、周建芳		
#调值	[1]51 [2]21 [3]55 [4]33 [5]44 [7]35	
#符号说明：!西官阴平借词@西官阳平借词$西官上声借词%西官去声借词		
#ɿ		
ts	[1]字牸{~牛：母牛}鸡蛰{惊~}及{来不~}支之{读书~人：读书人}□{~年：今年}执@质@[2]迟祁{~东，县名}棋旗匙{锁~：钥匙}[3]子紫纸几走己{戊~庚辛}□{~pie⁵¹公：蚂蝗}指${戒~}[4]徛{站；立}痔{~疮}[5]至{冬~}蛭{~婆公：水蛭}置自{~从}记继{~爷：继父}□{皮~：皮肤上的皱纹}[7]结{~痂}折{~叠}褶急激竹□{koŋᶢ⁴⁴~：化脓}制%技%剂%{一~药}巳%{辰~午未}寄%	
tsʰ	[1]欺抽□{掫}□{~出头：探出头来}磁@{~铁}[3]齿{锯~}[5]契{地~}汽{开~：蒸汽}气凑[7]次%瓷%	
s	[1]失丝师{老~}狮私事□{饭馊}十{数字}拾{数字，大写的“十”}[2]时[3]始屎起□{声~：声音}[4]是[5]嗽{咳~}戏世诗!饲!{~料}[7]息{~ti²¹：歇一会儿}□{~娇：娇惯}□{kia⁵¹~：努力}□{kianᵈ³⁵~：小气}适%示%士%{象棋“士”}市%势%	
#i		
p	[1]稗败𨃅{~子公：瘸子}别冰毙{北京音，枪~}毕{~业}[2]排牌簰[3]摆[4]髀{鸡~：鸡腿}□{~水：洒水}[5]拜闭□{~tɤ⁵⁵：那里}[7]八鳖憋逼	
pʰ	[3]□{一~：一庹}[4]屄{女阴}	
m	[1]卖迈篾□{~子公：乞丐}□{~tsʰa：前面}[2]埋[3]□{~nᵈiau⁵⁵：猫}□{清~：清明}□{囟~：囟门}[4]买米□{泼~：丢人}[7]□{~谷：秕谷}□{喷：~把一mei᷉水（再喷一遍水）}	
t	[1]代袋低□{找}□{~价：值钱}敌@[2]抬台提堤题苔□{息~：歇一会儿}[3]底抵[4]待{~客}在弟{徒~}[5]戴带[7]□{打一~：打一下}□{xa³³~：现在}第%	
tʰ	[1]胎梯提{~手旁}[3]体$[4]隶{奴~}[5]替剃[7]帖铁贴	
nᵈ	[1]认{~账}□{手提}[2]泥宜{修~：地名}鲇黏{茶~：茶浓；粥~：粥稠}银[4]忍{~气}奶{~牛：吃奶的小牛}[5]□{~子：鹞}□{~pa kuo：肉不烂}□{打~nᵈau⁵⁵：荡秋千}[7]义%{~气}	
l	[1]赖癞{~皮狗}辣□{~菢鸡婆：落窝鸡}□{kuei⁵¹~：闪电}厉历{~史}[2]犁鳞菱□{虫子}[3]弟{兄~}理$礼$[7]□{koŋᶢ⁴⁴~：另外；重新}□{~起koŋᶢ⁴⁴：冰锥}例%痢%{~疾}丽%	
ts	[3]侭挤[5]□{~牛鬼虻子：牛虻}[7]接节鲫尽%{~心}	
tsʰ	[1]猜鳃腮亲[2]材财裁齐[5]菜浸□{捡；拣}[7]切缉{~花：绣花}	
s	[1]西筛心新[3]洗[5]晒细婿信[7]杀煞{割~气：冲煞气。新娘下轿时有人把未杀死的公鸡从新娘头上扔过去，新娘要撑着伞躲开，不让鸡血溅到身上}屑	
tɕ̟	[1]金针真斤筋蒸甑钟经{念~}及{同；和：~你一起}极[2]陈穷[3]紧种{~子}□{厚。有人写作“眕”。《广韵》目有所恨而止，又厚重也。}[4]近[7]□{~yo⁵¹ sɿ：蝉}季%	
tɕ̟ʰ	[1]寨称[5]秤	
ɕ̟	[1]溪深身{一~水}狭匣升胸□{suo⁴⁴~：爱惜}[2]鞋神□{梦~：打盹}[3]恐喜{~事}[4]□{湿}[5]□{kue⁴⁴~子：棉袄}□{~股：屁股}习!{学~}[7]瞎掐系%{联~}	
k	[1]街[3]解讲□{~牯：泔水}□{~子棒棒：连枷}[4]菌[5]界{~限}疥届戒{~指}计{会~}□{鸡~：鸡肫}□{nᵈu⁵⁵~：玩耍}机![7]夹挟{~菜}□{只；光：~食饭不食菜（光吃饭不吃菜）}	
kʰ	[5]汽!{~车}	
Ø	[1]依{~尔讲}要叶阴曳{~风：煽风}舌用{~筷子}□{再；又：~要一份（再来一碗）}[2]姨移[3]矮也椅以已乙${甲~丙丁}以${~前}[4]引{~路}一[5]意印{~章}医![7]腌□{~luo：原先}益%易%{容~}	
#u		
p	[1]巴{~不得}疤薄{~荷}步白晡[2]耙爬婆脯葡{~萄}蒲{~扇}菩{~萨}□{~子瓜：葫芦}□{~tau tɕ̟ʰya：狐臭}[3]把{量词：一~灯（一盏灯）}褙{袼~}补斧靶{打~：枪毙}□{表示具体位置：a³⁵~（家里）；站~（火车站）；书园~（学校）}□{~船：划船}[4]簿埠{立~：地名}部{一~书}父{~公：曾祖父}□{~淘：故意}[5]欛{刀~公：刀把儿}□{鸡肚~：鸡杂}[7]百柏□{~筋豁：肚脐眼}□{~开：张开}	
pʰ	[1]铺{~开}[3]普谱{~书：家谱}[5]帕{~子：旧式毛巾}破{~鱼：剖鱼}铺{~子}[7]扑仆{~起困：趴着睡}	
t	[1]大{2，~门（另一音说tʰai³³）}[3]胆党{入~}打{~工}[4]淡[5]担{~子；一~米}都!{成~}[7]答搭{~伙}□{~ma 好：幸亏}□{~早：趁早}度%{一~电}杜%{姓}	
tʰ	[1]图@{~纸}[3]毯	
l	[1]腊蜡□{~tʰu：脏}□{~tsʰu²¹：肠子}鹿@{~茸}奴@{~隶}庐@{~山}[2]蓝篮[3]□{~街：逛街}鲁${姓}[4]冷{~饭}	
ts	[1]渣轴眨{~眼睛}铡{~刀}卒@{~子}[2]砸{塘~磙子：用来轧平场地的石磙子}[3]组${村民小~}[5]榨炸濽{溅：~一身水}诸!{~葛亮}[7]扎{用针~}摘注%{~意}	
tsʰ	[1]叉杈择族□{捱~：捱骂}除@{~法}[2]茶查馋□{lu⁵¹~：肠子}[5]差岔□{牙~屎：牙垢}[7]撤坼拆{~字：测八字}插{~话}	
s	[1]沙痧纱三衫{~衣：衬衫}杉{~树}俗{风~}速{北京音，迅~}[3]洒暑${大~}[5]□{~li²¹婆：孑孓}苏!{~联}[7]素%{~菜}塑%{~料}	
k	[1]歌加家瓜[3]假{真~}寡[5]过架嫁价[7]鸽隔{~壁}甲郭雇%	
kʰ	[1]桠{开~}[4]□{量词：一~车（一辆车）；一~飞机（一架飞机）、一~火车（一辆火车）、一~桥（一架桥）}[5]货{进~}□{正~：（口味）地道}[7]恰{~时：恰好}库%	
ŋᶢ	[2]牙[4]瓦	
x	[1]虾夏{立~}花画话合{八字~没到（八字不合）}服伏{~子天：伏天}复@{~合肥}幅@{一~画}胡@{~椒}[2]何胡{姓}湖{~南}咸{~淡}[3]火伙{~房}府□{答~：答应}□{闹}□{pa一~：闹了一场}斧{tɕ̟ya³⁵~：镐}符!{画~}[4]下{~来}[5]吓[7]客福{享~}负%{~责}付%{~钱}互%{~助组}富%妇%副%{一~药；一~眼镜}	
