tsɿ	1	55	鸡姿咨资饥=肌
tsɿ	2	13	池弛迟祁(~阳)鳍辞其棋旗期(时~)鬃
tsɿ	3	51	紫纸只(~有)子=(~孙)止趾址纪杞旨指几(~个)
tsɿ	4	213	徛(立)技妓痔
tsɿ	5	33	计继智寄=(~东西)自致掷制记=既=季=
tsɿ	6	41	侄字蛰(惊~)
tsɿ	7	44	执汁急质摺褶击激
tsʰɿ	1	55	嗤(~笑)欺
tsʰɿ	7	44	契次=(~要)器=弃气汽=
tsʰɿ	6	41	秩
sɿ	1	55	斯撕厮屎诗私师狮尸
sɿ	2	13	时拾(~起来)适释
sɿ	3	51	齿始起=
sɿ	4	213	是氏似祀巳(辰~)士仕
sɿ	5	33	世势戏厮(茅~)
sɿ	6	41	豉(豆~)视嗜饲事十实失室悉(熟~)
sɿ	7	44	歇蝎
pi	1	55	跛
pi	2	13	牌排
pi	3	51	摆
pi	5	33	破贝-拜
pi	6	41	稗败
pi	7	44	八
pʰi	6	41	弼
mi	2	13	猫
mi	4	213	买
mi	6	41	卖迈
ti	1	55	□(鸡鸭得瘟病：ti55 tɕi41)
ti	2	13	枱(桌子)苔抬台呈
ti	4	213	待在-
ti	5	33	贷
ti	6	41	代袋
tʰi	1	55	胎猜腮差(~拐子：当差的)
tʰi	3	51	□(钱)
tʰi	5	33	菜蔡
tʰi	7	44	插擦-
ni	2	13	银浓
ni	4	213	忍酽奶
ni	6	41	认而捺
ni	7	44	□(捉)
li	2	13	虫
li	4	213	弟洒(~水)
li	5	33	戴带载
li	6	41	辣瘌赖癞泣
si	1	55	心辛新薪□(锯木头)筛(动词)
si	2	13	筛(~子)材财裁豺
si	7	44	信讯赛哂
si	6	41	昔席夕惜寨
si	7	44	杀
tɕi	1	55	针今-金襟奸津珍真经=巾斤=筋亲(老~:亲家)京=荆惊鲸蒸征精-(~神)贞侦钟(几点~)
tɕi	2	13	秦陈尘承丞程穷勤=辰晨臣
tɕi	3	51	紧谨种-(~子)胂
tɕi	4	213	尽(~管)近静-在=
tɕi	5	33	涧镇(仙子脚~)供-(上~)禁-(-山)
tɕi	6	41	籍藉寂助同
tɕʰi	1	55	亲(~戚)称(~呼)
tɕʰi	5	33	寝渗(~透)称(相~)秤
ɕi	1	55	深身申伸欣升胜=(~任)江兴馨恐河
ɕi	2	13	神鞋
ɕi	3	51	审(~公事)
ɕi	5	33	胜-(~败)
ɕi	6	41	匣(一~烟)剩狭峡习辖
ɕi	7	44	瞎
ki	1	55	街
ki	3	51	讲解
ki	4	213	菌
ki	5	33	介界芥疥届戒-记-饥-既-季-
ki	6	41	集及(~时)极吉级疾绩
ki	7	44	涩(柿子很~口)
kʰi	1	55	挨
kʰi	2	13	器-
kʰi	6	41	起-
kʰi	5	33	汽-
kʰi	7	44	挟擦=触
ŋi	2	13	吟
i	1	55	音阴荫应因姻泅英
i	2	13	鹰(~mə41:老鹰)荣萤恩-
i	3	51	矮
i	4	213	引领-(带~)
i	5	33	镊蹑印影壅(~肥)
i	6	41	辑逸翼译液腋易用
i	7	44	忆亿抑靥-
pu	1	55	疤
pu	2	13	婆把杷耙划(~船)蒲
pu	3	51	把补谱斧
pu	4	213	抱-部簿
pu	7	44	柄醭(生~)把(~柄)薄(~荷)
pu	6	41	薄=(~酒)步捕白帛魄
pu	7	44	百柏
pʰu	1	55	铺
pʰu	3	51	普浦
pʰu	5	33	帕铺(店~)讣
pʰu	6	41	瀑仆(~人)
pʰu	7	44	扑仆(~到)
mu	2	13	麻痳蟆
mu	4	213	卯马码瓦(~片)戊(~时)
mu	5	33	幕
mu	6	41	抹麦目穆牧陌
tu	1	55	楂(山~)渣眨(又音)
tu	5	33	诈榨炸闸躲
tu	6	41	乍大(~病)
tu	7	44	劄(用针~)摘
tʰu	1	55	叉杈差(~不多)
tʰu	5	33	岔
tʰu	6	41	骂(训读)
tʰu	7	44	拆□(开~:皮肤开裂)塔榻塌秃
lu	6	41	陆拉(~屎~尿)腊蜡鹿禄
lu	7	44	答搭
tsu	6	41	浊镯
tsʰu	6	41	族
su	1	55	沙纱杉
su	2	13	茶搽查(调~)察
su	5	33	漱撒
su	6	41	择宅□(村里)
ku	1	55	家加痂嘉傢瓜蜗歌锅戈
ku	3	51	假(真~)贾剐寡(~母)
ku	5	33	过假(放~)架驾嫁稼价
ku	7	44	鸽夹𬡒(~衣)甲胛各搁胳隔-阁
kʰu	1	55	棵桠
kʰu	5	33	货库
kʰu	7	44	酷
xu	1	55	蝦虾哈(~公背:驼背)花
xu	2	13	何荷(~花)和(~气)
xu	3	51	火伙府
xu	4	213	妇负(~责)祸下厦
xu	5	33	副付赋傅荷(薄~)吓卸
