#ɿ	
ts	[1]姿资咨滋兹□{~拉：拟声词，电视信号不稳定发出的声音}[3]籽姊紫子梓[5]自字
tsʰ	[1]差{参~}呲{小~牙：不整齐的牙齿}疵□{~棱：形容毛不服帖}□{~拉：拟声词，布撕裂的声音}□{~出来：动词，喷溅}[2]瓷磁雌词辞祠慈[3]此 [5]刺次赐厕伺{~候}
s	[1]斯丝司思斯厮私嘶饲{~料}[3]死[5]寺肆伺祀嗣巳泗四饲{~养}似{相~}
#ʅ	
tʂ	[1]之织知支栀枝御汁芝肢汁吱{~歪：乱叫乱嚷}只{量词}[2]侄直植值置职殖执[3]指纸址趾止脂旨只{仅仅：~赖他}[5]志挚治至质痔滞智灸致制稚秩掷
tʂʰ	[1]吃尺翅嗤痴眵{眼~：眼睛的分泌物}□{~啦：布撕裂的声音}[2]迟持池驰匙[3]耻侈齿豉{豆~}[5]赤斥识饬{倒~：打扮}
ʂ	[1]识式诗狮虱失师湿尸施式室释适[2]时十实石拾食蚀什{物~}[3]史使屎始驶[5]是市事试视势士怖示嗜恃誓世逝饰仕氏侍似
ʐ	[1]日
#i	
p	[1]逼毕[2]鼻[3]匕彼比鄙[5]敝碧篦婢弊闭蔽毙币陛避蓖痹必庇璧弼壁辟{复~}背{~东西}辈{一~子}
pʰ	[1]匹批劈披坯砒噼{~里啪啦}[2]疲琵皮脾枇疲啤[3]痞[5]僻譬屁辟{开~}
m	[1]蜜眯咪密觅[2]迷谜猕泥弥[3]米[5]秘泌
t	[1]滴低堤的{目~}嘀{~咕}[2]提{~东西}敌笛迪狄涤嫡[3]抵底邸[5]弟蒂第地帝递
tʰ	[1]梯踢剔[2]蹄啼提{~出}[3]体题[5]替剃屉涕惕嚏
l	[1]立力粒栗[2]离梨篱璃离犁厘狸[3]里李鲤礼理[5]吏丽利隶痢厉励荔笠例历莉沥娌
tɕ	[1]己机基肌鸡击激圾级积饥脊绩屐缉{~拿}几{茶~子}[2]及吉集急极籍辑即藉{狼~}疾嫉[3]挤济几{~个}[5]计纪继髻技鲫迹祭寂季荠寄剂际冀妓既忌记系{~鞋带}
tɕʰ	[1]七期漆欺妻沏戚缉{~鞋口}[2]奇棋旗齐其麒歧岐鳍骑祈脐[3]企乞祁起启杞{枸~}[5]泣气契弃汽砌讫器
ȵ	[2]尼倪霓妮呢{~子}[3]你拟[5]腻匿溺逆
ɕ	[1]吸膝西息溪夕昔蟋羲析惜牺媳锡稀希犀悉媳[2]奚席袭习兮[3]洗喜玺嬉徙[5]细戏系{联~}隙
∅	[1]一衣依医揖译[2]仪宜谊姨沂饴遗疑移[3]乙椅倚以蚁已尾{~巴}[5]艺义易异溢忆毅议疫意亿益逸抑役翼
#u	
p	[1]不[2]醭□{~土：细小的尘埃}[3]补捕卜{占~}[5]步布部埠怖簿{对~公堂}
pʰ	[1]扑噗铺{~设}[2]葡菩蒲[3]谱普浦脯朴仆{~人}[5]曝瀑铺{~面}
m	[1]木{不灵活，呆滞，迟钝：发~}没{~了头顶}[2]模{~子}谋眸[3]母拇亩牡姆某[5]墓幕慕募牧穆暮目沐睦
pf	[1]朱竹猪珠蛛烛诛株诸嘱筑[2]轴{车~}妯逐[3]煮主瞩拄褚[5]住祝注柱著驻贮铸助蛀
pfʰ	[1]出初缩[2]锄除橱厨雏[3]楚储础处{相~}杵[5]触畜怵处{~长}
f	[1]夫敷肤麸孵袱傅书叔输舒疏梳蔬淑殊[2]扶蝠福芙术述服伏俘符浮辐幅熟赎塾殊秫[3]斧俯抚辅甫府腑腐数{~一下}鼠属署暑蜀薯[5]父妇富付副覆附赋腹复赴讣束恕竖树庶墅数{~字}
v	[1]辱□{耷拉到地上：~到地上去了}[2]如儒[3]乳汝擩{~进去}[5]入褥
t	[1]嘟督都{首~}[2]犊毒独牍[3]读堵赌睹笃肚{牛~}[5]杜度渡镀妒肚{~子}
tʰ	[1]秃突凸[2]徒涂途屠图[3]土吐{~出来}[5]兔吐{呕~}
n	[2]奴[3]努[5]怒
l	[1]录律鹿赂绿{~色}禄率{速~}□{用棍子抽打：~死你}[2]卢炉庐芦驴[3]鲁掳卤撸旅履吕铝屡缕侶捋[5]路璐戮露{~水}陆鹭绿{~林}噜碌辘漉虑滤
tsʰ	[1]蛆
s	[2]徐[5]续绪絮叙序旭蓄绪恤絮婿畜{~牧}
k	[1]谷姑骨孤估箍燕辜[2]□{~涌：动，动弹}[3]古[5]故固雇顾
kʰ	[1]枯窟哭[3]苦[5]库裤酷绔
x	[1]忽呼惚乎[2]胡葫糊狐瑚壶湖弧蝴核{果~}[3]狐虎浒唬{~住}琥[5]户互护沪扈
∅	[1]乌污屋诬巫坞□{虚词，看什么~的}[2]无吴蜈梧[3]五午武妩捂舞侮伍鹉[5]毋戊雾悟物误务焐痦{~子}勿恶{可~}
#y	
tɕ	[1]居拘鞠驹掬车{象棋中的术语}足组租橘[2]局锔族卒菊[3]举苣桔莒矩阻祖沮[5]巨具剧句拒锯惧炬聚据距俱
tɕʰ	[1]趋躯驱区黢屈蛐曲粗□{用脚踢：~到一边去}[2]瞿渠[3]娶取[5]去趣醋促猝
ȵ	[3]女
ɕ	[1]墟需虚墟须戌苏酥稣速宿{住~}[2]俗{~气}[3]许[5]素诉肃塑嗉□{~进去，塞}
∅	[1]迂淤瘀狱浴[2]鱼渔余愚于渝娱愉榆盂逾[3]雨宇与禹语羽屿[5]玉芋育愈御郁誉预驭寓裕喻域遇欲豫
#e	
p	[1]北悲碑杯掰柏笔百掰[2]白[5]背{~叛}贝被辈{~分}倍备焙悖
pʰ	[1]坯胚拍{拍手：~巴掌}[2]陪培赔裴呸[5]配沛佩帔
m	[1]麦脉[2]眉梅玫莓媒霉楣煤枚[3]美每[5]魅媚昧寐妹没{~有}
pf	[1]追锥椎骓[5]坠缀赘惴
pfʰ	[1]吹炊[2]垂锤捶陲棰
f	[1]飞非菲妃啡扉蜚摔[2]肥[3]翡匪水[5]睡税费肺废沸痱吠
v	[3]蕊[5]睿锐瑞芮
t	[1]得{~罪}德[3]得{~为：故意}[5]对队兑
tʰ	[1]忒推[3]腿[5]退蜕褪
n	[3]馁[5]内
l	[1]勒{~紧}肋[2]雷[3]垒磊蕾累{果实~~}[5]泪累类擂
ts	[2]贼
s	[1]塞{硬~}
tʂ	[1]摘窄责{负~}[2]择{~菜}宅泽
tʂʰ	[1]拆册策[2]□{用铁锹铲起}
ʂ	[1]色涩{使舌头感到麻木的味道}[2]谁
k	[1]隔格革[2]给
kʰ	[1]刻{~东西}客
x	[1]黑嘿吓{~唬}
#ie	
ɕ	[2]鞋
#ue	
k	[1]归龟闺规皈[3]鬼轨[5]桂柜贵鳜跪刽
kʰ	[1]亏窥盗[2]葵逵魁奎睽[5]愧溃匮喟
x	[1]灰挥徽恢辉麾[2]回蛔茴[3]悔毁诲[5]会汇烩慧贿惠晦彗绘秽荟讳卉
∅	[1]微危偎威巍[2]围违唯惟韦维潍桅[3]伟委苇讳尾{~随}[5]为卫喂胃味谓蔚慰尉畏魏
#ye	
tɕ	[1]堆[3]嘴[5]最醉罪
tɕʰ	[1]催崔摧[3]璀[5]脆翠萃粹淬啐焠
ɕ	[1]虽尿[2]随隋绥髓[5]岁碎遂隧穗祟
#ɤ	
p	[1]菠波播拨玻剥[2]脖膊渤帛薄{~厚}勃驳铂搏博泊{淡~名利}[3]跛簸{颠~}[5]薄{~荷}簸{~箕}
pʰ	[1]颇泼坡泊{梁山~}[2]婆[5]破迫魄
m	[1]摸末沫寞墨茉[2]魔磨{~面}膜馍摩摹蘑模{~型}[3]抹{涂~}[5]漠莫陌默磨{石~}
