tsɿ	1	資姿諮滋淄孳茲輜
tsɿ	3	紫子籽姊梓秭滓
tsʰɿ	1	疵
tsʰɿ	2	瓷雌詞慈辭祠鶿磁糍飼
tsʰɿ	3	此齒
tsʰɿ	5	次刺賜巳伺[～候]
tsʰɿ	6	字牸自巳
sɿ	1	絲撕斯廝嘶私思司鷥師獅
sɿ	3	死
sɿ	5	四肆姒伺[～機]嗣
sɿ	6	事似士仕祀寺
tʂʅ	1	知支枝肢之芝梔
tʂʅ	3	紙脂址止趾旨芷指
tʂʅ	5	置制至致智窒志痣誌滯=
tʂʅ	6	稚雉
tʂʅ	7	隻=織只質蜘汁職執擲蟄指[手～腦：手指頭]蜘炙=
tʂʰʅ	1	痴嗤喫=摛[伸：～手～腳]□[象聲詞：～噠一跤]
tʂʰʅ	2	池遲弛馳持
tʂʰʅ	3	尺=恥侈齒[(存疑)理睬]
tʂʰʅ	5	赤=飭翅滯-
tʂʰʅ	6	痔治峙恃
tʂʰʅ	7	值直植殖侄秩
ʂʅ	1	尸屍施詩匙
ʂʅ	2	時鰣
ʂʅ	3	史矢屎駛始使豕眵
ʂʅ	5	世試式逝勢軾拭誓氏飾
ʂʅ	6	豉市柿示是視侍
ʂʅ	7	食石=濕十實施適拾識蝕室釋
pi	1	屄
pi	3	比秕妣
pi	5	閉陛秘-[～書]箅斃婢幣臂憋[窒息，不透氣]潷[把水濾出：～米湯]
pi	6	痹弼
pi	7	筆畢璧碧逼壁=
pʰi	1	批披霹蓖坯砒痱-㓟[用刀將竹木的枝椏削下，或將竹木片破開]
pʰi	2	皮疲脾琵枇
pʰi	3	鄙匕庇彼
pʰi	5	屁譬
pʰi	6	弊蔽敝鐾避被-備-篦
pʰi	7	鼻匹僻劈=辟=
mi	1	咪瞇
mi	2	迷謎=彌糜眉-靡
mi	3	米蟻
mi	5	秘=泌
mi	6	謎-[～子]沕[潛水：射～沽]
mi	7	密蜜覓汨
ti	1	低
ti	3	底抵邸柢砥
ti	5	蒂
ti	7	的[目～]滴=嫡
tʰi	1	梯
tʰi	2	提=題啼逖蹄堤
tʰi	3	體
tʰi	5	帝屜剃涕替
tʰi	6	遞惕地弟第
tʰi	7	剔踢笛敵狄滌糴
li	2	梨犁厘離黎驪驢籬璃漓
li	3	李裏理鯉狸娌禮旅縷屢履
li	5	麗荔例利厲勵礪俐痢吏濾-慮-
li	7	立历粒栗律率瀝隸淚-
tɕi	1	雞稽基箕機譏饥肌嘰畸姬屐激
tɕi	3	幾擠濟己杞戟嘴-紀=臍-[肚～眼]
tɕi	5	既記紀-計季寄繫[～鞋帶]際劑繼薺髻醉-冀祭忌妓
tɕi	6	忌劑
tɕi	7	輯=及=級吉即鯽亟積擊寂脊迹藉[狼～]
tɕʰi	1	趨蛆妻欺淒萋悽棲蹊沏
tɕʰi	2	奇騎崎其期旗棋齊臍=祁祈畦鰭麒岐歧
tɕʰi	3	取娶起啟豈企乞待
tɕʰi	5	砌趣契汽氣戲-棄器
tɕʰi	6	聚技繫[～子：桶子等器物上供手提的部分]
tɕʰi	7	籍泣集戚七極膝漆及-輯-瘠𥉻[湊近看]
ȵi	2	尼泥倪儀疑遺頤宜[適～]呢[～絨]
ȵi	3	擬你=
ȵi	5	毅-囈詣膩憶
ȵi	6	誼-義-議-藝-你-尾-
ȵi	7	日匿逆溺
ɕi	1	西硒犧溪奚须需溪希稀嘻熙犀晰奚兮噓犧嬉雖-髓-
ɕi	2	徐隨-
ɕi	3	洗喜髓璽徙禧
ɕi	5	絮細碎-歲-遂-隧-戲=序敘緒
ɕi	6	係[關～]
ɕi	7	習襲戌悉惜吸析昔夕錫=席熄息媳
i	1	衣依銥醫伊
i	2	移姨胰夷飴怡沂彝頤遺沂
i	3	椅倚以已矣
i	5	異意薏億翳懿異抑肄弈弋毅=
i	6	易=誼=義=議=藝=
i	7	一譯縊揖抑益？液-亦
pu	3	補卜
pu	5	布
pu	7	不
pʰu	1	鋪[～牀]
pʰu	2	菩脯蒲葡匍莆僕
pʰu	3	譜普浦捕脯甫圃
pʰu	5	鋪[店～]怖
pʰu	6	步部簿埠
pʰu	7	撲勃
mu	2	模[～子]
mu	3	母拇？
mu	5	慕
mu	6	幕墓募暮
mu	7	目木牧穆睦
fu	1	呼乎夫膚敷孵麩跗
fu	2	胡糊湖蝴葫瑚壺弧狐囫斛扶浮=符俘芙孚匐和[～牌]
fu	3	虎滸府俯腑斧輔腐撫甫釜琥
fu	5	戽付傅富赴訃副[正～]服[量詞]
fu	6	戶互護滬扈瓠袱附父婦負阜
fu	7	服縛副[量詞]福幅拂伏弗覆佛忽复
ku	1	孤箍姑估咕沽菇盬辜鴣𣗺[(存疑)榨油後的渣餅：茶～]
ku	3	古股鼓牯々鈷沽汩[～出來：指泡沫漫出來]
ku	5	故固錮顧僱痼崮過-
ku	7	谷骨榖
kʰu	1	枯骷窟
kʰu	3	苦
kʰu	5	庫褲
kʰu	6	酷
kʰu	7	哭
u	1	污烏鎢塢巫誣淤-
u	2	無吳蕪梧蜈=吾
u	3	五=伍午舞武鎢侮忤捂
u	5	惡[可～]悟
u	6	霧誤戊務
u	7	屋物勿
fy	1	書舒輸殊抒噓墟虛吁戌紓
fy	3	暑署鼠黍許水曙詡
fy	5	戍庶墅
fy	6	恕樹豎術薯述
fy	7	朮[白～]秫
ky	1	豬諸居蛛株珠朱誅侏拘駒車[～馬炮]硃
ky	3	主煮舉矩
ky	5	注駐著蛀鑄句劇鋸=據
ky	7	橘局菊桔掬鞠
kʰy	1	區驅軀嶇樞麴吹-趨=
kʰy	2	除儲廚渠瞿錘槌貯雛拳-
kʰy	3	處[～理]杵拄娶
kʰy	5	處[到～]去-[～皮]
kʰy	6	住巨具距拒懼俱柱苧
ŋy	2	魚漁愚-娛-虞-
ŋy	3	女語
y	1	迂淤=
y	2	如於余餘愚=虞=娛=愉隅榆禺儒孺盂諛庾腴俞淤[～桶：尿桶]
y	3	汝雨與予禹宇羽乳
y	5	玉愈譽豫馭禦餵-[～飯]
y	6	芋預喻寓裕遇
y	7	入役疫域=欲=育=獄=
pa	1	吧巴芭疤爸
pa	2	㞎[糞便，屎(小兒語)]
pa	3	把[～握]
pa	5	欛[刀～]垻霸[蠻橫；勉強]壩々罷
pa	7	八叭伯
pʰa	1	琶杷
pʰa	2	爬鈀扒[～手]耙
pʰa	3	□[炸開]
pʰa	5	怕帕
pʰa	6	稗
pʰa	7	拍白-
ma	1	嗎媽嘛
ma	2	麻痲蟆
ma	3	馬碼瑪螞摸[～東西喫]
ma	6	罵
ma	7	抹陌-
fa	1	花
fa	2	華划[～船]樺筏鏵
fa	5	化
fa	6	劃[計～]畫話=
ta	3	打
ta	7	搭答耷
tʰa	1	它他=
tʰa	7	踏塌[～場：誤事]沓榻溻塔達
la	1	拉啦拿
la	2	爬[(訓讀)～上～下：費力地爬上爬下]
la	3	哪
la	5	那
la	6	喇□[前加成分，表示程度很深：～粗箇]
la	7	納臘蠟邋[～遢：骯髒]鑞辣捺
tsa	1	渣喳楂□[鬍子～遮]
tsa	3	眨鮓[～魚：用酒和紅米醃製成的魚]
tsa	5	炸榨乍詐柵[蟲宅]
tsa	7	閘吒扎軋[～棉花]眨札紮摘□[磕碰]
tsʰa	1	叉杈釵-差
tsʰa	2	查搽茶茬擦查察
tsʰa	5	詫岔□[～掃把：用竹枝扎的掃把]
tsʰa	7	雜插拆鍘
sa	1	沙紗砂莎杉痧裟薩挲[(手、翅膀、樹枝等)張開，伸開]鯊
sa	3	灑耍傻撒
sa	6	卅颯
sa	7	剎殺刷析[(存疑)量詞，瓣]煞[～尾：結束]
tʂa	1	遮-
tʂa	3	者-
tʂa	5	蔗-
tʂa	7	隻-炙-
tʂʰa	1	車-
tʂʰa	3	扯-哆[張開口：笑得嘴巴一～起]
tʂʰa	7	尺-赤-
ʂa	1	賒-奢-
ʂa	2	蛇-佘
ʂa	3	捨-[～得]
ʂa	5	射-麝-
ʂa	6	社-
ʂa	7	設-舌-石-
ka	1	家-痂-咖伽
ka	2	蛤[～蟆]
ka	5	架-[擺～子]嫁-駕-尬
ka	7	夾-胛-鋏-挾-裌-甲-[指～]隔[饞～子：涎布]
kʰa	3	卡
kʰa	5	胯-[～檔：胯下]
kʰa	7	恰-掐-揢胛-[翼～：翅膀]
ŋa	1	鴉-[～雀無聲]椏丫-[嘴、口袋張着]
ŋa	2	牙-[～齒]芽-衙-涯-伢[～嘰：男孩子]
ŋa	3	啞-瓦
ŋa	6	砑=[～平]□[～氣：戾氣]
ŋa	7	押-額-嚙[(俗作咬)]咬[(訓讀，本字嚙)]鴨-
xa	1	蝦-々哈他-
xa	3	傻[(訓讀)]哈[～巴狗]
xa	6	下-[底～；量詞：看一～；全部，全都：～用完噠]
xa	7	嚇-瞎-哈[～啾：噴嚏]
a	1	啊阿[～姨]
a	7	□[象聲詞，表示驚訝]
pia	7	壁-
pʰia	3	□[象聲詞，表示槍聲]
pʰia	7	劈-辟-
tia	1	爹
tia	3	嗲[撒嬌：～聲～氣]
tia	7	滴-[～水]
tʰia	2	提-
tʰia	7	締[(訓讀)繫，綁]
lia	1	□[撒嬌：發～]
lia	6	□[～皮：辦事拖沓]
lia	7	苶[(存疑)累：～死噠]
tɕia	1	家=痂=加枷佳嘉袈傢[～俱]
tɕia	3	假賈姐-
tɕia	5	架=駕=嫁=稼價借-藉-
tɕia	7	夾=胛=鋏=挾=裌=甲=□[～乎：邋遢]
tɕʰia	1	掐=
tɕʰia	6	笡[斜：眼珠一～起]
tɕʰia	7	喫-恰=洽
ȵia	2	黏[粘住]
ȵia	3	惹
ȵia	7	入[褻詞：交合]□[不～腮：不好]
ɕia	1	瞎=蝦=
ɕia	2	霞遐瑕暇斜-邪-
ɕia	3	寫-
ɕia	6	夏廈謝-瀉-卸-下=嚇=
ɕia	7	錫-俠轄=峽狹蓆[～子：涼蓆]
ia	1	鴉=[烏～]丫=
ia	2	涯=崖=爺-牙=衙=芽=
ia	3	雅也-野-冶-啞=
ia	5	亞
ia	6	夜-砑=
ia	7	鴨=押=易-[姓氏]
kua	1	瓜呱
kua	3	寡剮□[～啵啵：壞了的蛋]
kua	5	掛褂卦
kua	7	刮聒[～噪]
kʰua	1	誇
kʰua	3	垮侉
kʰua	5	挎跨=
kʰua	7	括-
ua	1	蛙窪媧鴰[(存疑)老～子：烏鴉]
ua	2	娃
ua	3	搲[用勺、瓢等取物：～水]
ua	6	話-
ua	7	挖襪滑猾
kya	1	抓
kya	2	瘸-[手提東兩麻木了或因受凍而變得不靈活：手～噶噠]
kya	3	爪=
kya	7	決訣掘倔撅厥蕨爵
kʰya	2	茄瘸=
kʰya	3	踹[(存疑)踩踏]
kʰya	7	缺屈穴
fya	1	靴
fya	7	說血
ŋya	7	月
ya	3	抈[折斷：把棍子～脫]
ya	6	噦[喊]
ya	7	粵越曰悅閱域-𠮷[田埂上過水的口子]
po	1	波播玻菠啵
po	3	跛=
po	5	簸[～一～]
po	7	博撥剝駁勃啵[(存疑)蛋：雞～～]
pʰo	1	坡頗
pʰo	2	婆
pʰo	3	叵
pʰo	5	破薄[～荷]
pʰo	7	潑薄[厚～]迫=
mo	1	磨[做事拖拉]
mo	2	魔蘑摩摹膜饃模磨[～刀]
mo	6	磨[石～]
mo	7	末沫莫膜寞
to	1	多掇
to	3	朵躲垛
to	5	剁
to	7	鍍咄
tʰo	1	拖
tʰo	2	馱駝鴕沱陀砣坨[(身體上的)疙瘩]
tʰo	3	妥橢
tʰo	5	舵惰墮摞唾
tʰo	7	脫奪踱托託拓辵[(存疑)哄騙]綽-着-[睏～：睡着]
lo	1	囉
lo	2	挪羅鑼籮蘿邏騾螺腡
lo	3	裸䌴[(存疑)打～：舌頭不聽使喚，說話不清]
lo	6	懦糯餓
lo	7	捋諾落駱洛絡烙樂[快～]玀[象聲詞，～～，喚豬聲]
tso	3	左佐
tso	7	作桌卓捉濁啄鑼浞琢酌撮[一～米]
tsʰo	1	搓嗟
tsʰo	3	挫
tsʰo	5	銼錯
tsʰo	6	坐座矬
tsʰo	7	昨戳鑿
so	1	梭蓑唆颼娑
so	2	□[哄，討好]
so	3	所鎖瑣索
so	7	塑朔縮勺爍□[差；不好：質量～]
tʂʰo	7	綽=着=辵
ko	1	歌哥戈
ko	3	擱[(存疑)把箱子～起]
ko	5	個
ko	7	鴿隔閣各葛割胳角-箇[指示代詞，～裏：這邊]
kʰo	1	科窠[鳥～：鳥窩]蝌棵苛
kʰo	3	可顆渴
kʰo	5	課
kʰo	7	磕括=闊廓擴殼確-敤[敲：把釘了～進去]
ŋo	1	阿[～膠]
ŋo	2	鵝蛾娥俄峨訛
ŋo	5	臥-我
ŋo	7	惡鄂鱷噩愕
xo	2	和河何荷
xo	3	火伙
xo	5	貨賀
xo	6	荷[薄～]禍和[唱～]
xo	7	喝合盒活豁惑霍或藿蠚獲學-
o	3	哦
o	7	□[象聲詞，表示事出意外]
lio	7	略掠
tɕio	7	腳角=
tɕʰio	7	爵雀嚼卻覺確=
ȵio	7	若弱虐
ɕio	7	學=削薛
io	2	□[～哩：怎麼啦]
io	7	藥約樂[音～]鑰躍岳
kuo	3	果裹猓
kuo	5	過=
kuo	7	國郭虢
uo	1	窩=渦蝸倭萵喔屙[拉：～尿]
uo	2	禾-和[～尚]
uo	5	臥=
uo	7	握沃臥-□[喚狗聲]𤌍[燙：開水～噠]□[小氣，樞門]
pɛ	7	北百白=柏泊-[梁山～]
pʰɛ	7	迫魄擘蘗辟-劈-
mɛ	1	䊳[前加成分，指程度很深：～爛，～黑]尾[(存疑)羊咕～～：蜻蜓]
mɛ	7	墨默陌=麥沒脈
tɛ	7	得德
tʰɛ	7	特忒忑
lɛ	7	勒肋□[荊棘]
tsɛ	1	□[用手撓：～癢]
tsɛ	7	□[物體向一邊傾斜]則側蚱
tsʰɛ	7	廁賊測冊澤擇宅
sɛ	7	蝨塞色瑟澀嗇
tʂɛ	1	遮=
tʂɛ	3	者=
tʂɛ	5	鷓蔗=
tʂɛ	7	炙=折褶哲浙
tʂʰɛ	1	車=
tʂʰɛ	3	扯=
tʂʰɛ	7	撤徹澈徹轍
ʂɛ	1	賒=奢=
ʂɛ	2	蛇=佘
ʂɛ	3	捨=[～棄]
ʂɛ	5	射=麝=赦舍[宿～]
ʂɛ	6	社=
ʂɛ	7	設=攝涉失
kɛ	5	鋸-割=
kɛ	6	嗝[打～]
kɛ	7	格革隔
kʰɛ	7	刻客克
ŋɛ	7	額=扼軛
xɛ	7	黑核轄-
ɛ	2	而兒
ɛ	3	耳爾邇珥餌□[理睬：莫～他]
ɛ	6	二貳
piɛ	1	憋鱉
piɛ	3	癟=扁
piɛ	7	屄[女陰]
pʰiɛ	3	□[前加成分，指程度很深：～淡箇；很淡]蹩痞
pʰiɛ	7	別撇
miɛ	1	咩䊳[前加成分，指程度很深：～爛，～黑]
miɛ	2	苶[(存疑)～箇：精神不振]
miɛ	7	滅蔑篾搣[用手指掰開：～橘子]
tiɛ	7	跌
tʰiɛ	7	貼帖鐵碟疊蝶諜牒
liɛ	3	咧
liɛ	7	捩列烈獵劣裂□[發～：小孩子哭]
tɕiɛ	1	街=□[前加成分，指程度很深，～濕箇；很濕]
tɕiɛ	3	姐=解=
tɕiɛ	5	借=藉=介=界=戒=
tɕiɛ	7	接節截=潔揭
tɕʰiɛ	3	且
tɕʰiɛ	6	去-[回～]
tɕʰiɛ	7	劫傑捷切絕怯妾截-
ȵiɛ	7	聶攝孽捏躡業-熱
ɕiɛ	1	蠍些楔
ɕiɛ	2	邪=斜=鞋=諧
ɕiɛ	3	寫=
ɕiɛ	5	卸=謝=蟹=
ɕiɛ	6	懈=
ɕiɛ	7	協脅歇洩雪瀉=屑攜懈腋
iɛ	1	椰耶
iɛ	2	爺=
iɛ	3	也=野=冶=□[驚奇聲]
iɛ	6	夜=
iɛ	7	頁葉噎翼乙液=業=凹[(存疑)凹下去]敥[灑落，～石灰]
pai	1	跛-[～子]𨃅[(本字跛)～子：跛子]掰
pai	3	擺
pai	5	拜湃
pʰai	2	排牌徘簰
pʰai	3	□[一邊高一邊低：肩胛一～起]
pʰai	5	派
pʰai	6	敗
mai	2	埋霾
mai	3	買
mai	5	賣邁
fai	2	懷槐踝淮
fai	6	壞
tai	1	呆[發～]
tai	3	歹
tai	5	帶戴殆
tʰai	1	胎=苔-[青～]
tʰai	2	擡=臺=苔=[～蘚]
tʰai	5	太態泰貸
tʰai	6	代=待怠大
lai	1	奶-
lai	2	來□[遺忘，遺：～尿]□[～田：水稻生長期間，在植株之間進行除草]
lai	3	乃奶=
lai	6	奈耐賴癩□[放～：在地上打滾]
tsai	1	災栽哉齋
tsai	3	宰崽載
tsai	5	再債拽
tsai	6	寨
tsʰai	1	猜差[出～]釵=
tsʰai	2	才材財裁柴豺
tsʰai	3	採睬踩彩揣
tsʰai	5	菜蔡
tsʰai	6	在=□[～雨：淋雨]
sai	1	腮鰓篩摔衰
sai	3	□[理睬：不～起]甩[打：～他一拳]
sai	5	賽曬率帥蟀
kai	1	該皆階街-垓賅
kai	3	改解-
kai	5	蓋概[～要]芥溉丐界-屆戒-介-疥誡械
kʰai	1	開揩
kʰai	3	凱楷概[～括]慨楷愷鍇剴
ŋai	1	挨唉哀埃捱[拖延，近日～明日；依賴，指盼，莫～別人]娭[～毑：祖母]
ŋai	2	呆[笨]癌磑挨[～打]崖-巖
ŋai	3	藹矮
ŋai	5	愛隘雁-[～鵝：大雁]
