来源：北柯，前锋修订						
说明：代表黄寨镇音系						
#符号说明：-白=文；写不出来的字用“□”表示；“~”代替所注的字						
#调值：［1］23［2］22 [3] 213［5］353［7］ʔ2［8］ʔ454						
#a						
p	[1]芭疤笆吧 [3]把靶  [5]爸霸罢把坝					
pʰ	[2]趴爬耙{～地}杷琶					
m	[1]妈  [2]麻蟆 [3]马码玛 [5]骂					
v	[1]哇挖搲{~用手抓}洼 [2]娃 [3]瓦 [5]瓦{~墙}凹					
t	[1]爹-{~} [3]打 [5]大=					
tʰ	[1]他它					
n	[2]拿					
l	[1]拉					
k	[1]□{拟声词：用力关门的声音}					
kʰ	[2]□{拟声词：用力咳嗽的声音} [3]卡{~片}					
x	[1]哈{~气} [5]下-{~雨}吓-{~了一跳}夏-{~天}					
ŋ	[3]哑					
ts	[1]渣 [2]楂咱 [3]拃{量词，指张开大拇指后大拇指与食指的距离} [5]榨诈乍炸栅					
tsʰ	[1]差{~距} [2]茶搽查茬 [3]杈衩 [5]岔诧差叉汊					
s	[1]沙砂纱 [3]洒傻撒 [5]厦萨□{~菜：择菜}					
∅	[1]阿					
#ia						
ȵ	[2]□{人~：人家}牙芽衙 [3]哑 [5]轧压砑{碾~}					
l	[3]两-{~斤}俩					
tɕ	[1]加嘉家=佳枷 [3]假贾 [5]稼嫁驾价假架					
tɕʰ	[3]卡{~住} 揢{:用力掐住}					
ɕ	[1]虾 [2]霞暇遐瑕 [5]下=吓=夏=厦					
∅	[1]丫 [2]涯 [3]雅  [5]亚					
#ua						
k	[1]瓜 [3]寡剐 [5]挂卦褂					
kʰ	[1]夸 [2]□{水～：水坑} [3]垮侉 [5]挎跨胯					
x	[1]花 [2]华铧 [5]画话桦划化					
ts	[1]抓 [3]爪					
tsʰ	[1]□{拟声词：水流声}					
s	[3]耍					
#ɔ						
p	[1]邦帮 [3]梆榜膀 [5]绑蚌谤磅棒					
pʰ	[1]乓胮 [2]滂旁螃庞 [5]胖					
m	[2]忙盲氓芒茫虻 [3]莽蟒					
t	[1]当裆铛 [3]档挡党 [5]荡□{尘土飞扬：~了人一身土}当宕					
tʰ	[1]汤 [2]唐塘堂棠螳糖 [3]倘躺淌 [5]烫趟					
n	[2]囊齉 [3]攮{~刺} [5]□{:很多}					
l	[1]狼廊螂琅郎 [3]朗 [5]浪					
k	[1]缸肛刚纲 [3]冈岗 [5]杠					
kʰ	[1]康糠慷 [2]扛抗 [5]炕					
ŋ	[1]肮 [2]昂					
x	[1]夯 [2]杭航行={~列}					
ts	[1]章彰樟张将-{黑~来}赃 [3]长涨掌 [5]帐障葬丈仗杖胀账瘴					
tsʰ	[1]昌娼 [2]长肠常藏尝偿嫦 [3]敞场氅 [5]唱昌畅倡					
s	[1]商墒桑丧{婚~} [3]晌嗓爽赏 [5]尚上绱裳丧{~失}					
z	[2]瓤 [3]嚷壤 [5]让					
#iɔ						
ȵ	[2]娘 [3]仰 [5]酿娘{~~称呼外祖母}					
l	[2]良凉量粮梁粱 [5]谅晾亮辆量					
tɕ	[1]江豇姜疆僵将=缰 [3]讲奖浆蒋耩 [5]降酱匠将虹-{起~}					
tɕʰ	[1]腔枪羌 [2]强墙 [3]抢 [5]呛					
