字	繁體 （一鍵轉換）	原拼音	（轉寫注釋）	(潮羅轉寫)	IPA	音義辨析	例	《康熙字典》等典籍摘錄	《廣韻》字音		說明：        字表來源《雷州音字典》，Kiattan轉寫，音值描述主要參考了張振興、蔡葉青《雷州方言詞典》、陳雲龍《粵西閩語音變研究》。        雷州話的聲調系統實際為：①陰平與陽去白讀合併，此處記為第1調；②舒化的陽入轄字併入陽上調，同時陽去文讀也讀為陽上調，此處記為第6調；③帶塞音尾的陽入字不舒化，調值基本與陽平相同，此處記為第8調；④陰入調舒化与否时值不同但调型类似，同时部分“新文讀”的字會讀如本調，此處简略記為第4調；⑤陽平記為第5調、陰上記為第2調；陰去記為第3調。 陰平 24 豬尊娘腐樹飯味餓 陽平 22 陳平仁龍農文雲黃 陰上 41 好手粉我米猛尾 陽上 33 腐倍坐戶雨事食白 陰去 21 抗唱漢世去告鏡柄   陰入 54 急竹權餓遞事誤接割 陽入 2 局雜合俗服涉疊十					
䫌	䫌	poi4	poi陰上	phoi2	pʰɔi˦˩	䫌##[poi4] <雷>臉頰或臀部整片肌肉的地方。	【褲[keu3]䫌】褲子的臀部的地方。#【顏[ngang1]腮[sa2]䫌】臉頰。		匹米切——滂母，薺韻 開 四等，上聲。	脸颊或臀部整片肌肉的地方。						
䀐	䀐	siam5	siam陰入	siam4	siam˥˦	䀐##[siam5] <雷>短時間地看一下。<雷>窺看。	【我[va4]等[dang4]囝[gia4]去[ku3]䀐舅[gu6]公[gong2]呢[ni5]。】我等會兒去探望一下舅公。		所鹹切——生母，鹹韻 開 二等，平聲。[siam2]#所鑑切——生母，鑑韻 開 二等，去聲。							
㪗	㪗	tau4	tau陰上	thau2	tʰau˦˩	㪗##[tau4] <雷>把包卷著的東西打開。#注：字形也可作“敨”。	【㪗氣[kui3]】呼氣，呼吸。	《集韻》他口切，展也。		把包卷着的东西打开。						
㬹	㬹	de2	de陰平陽去（白）	te1	tɛ˨˦	㬹##[de2] <雷>腳跟，腳掌的後部。	【骹[ka2]蹬】腳跟。	《集韻》《類篇》甾莖切。		脚跟，脚掌的后部。						
䘼	䘼	ui4	ui陰上	ui2	ui˦˩	䘼##[ui4] <雷>袖。	【手[ciu4]䘼】袖子。#【長[do1]䘼衫[sa2]】長袖上衣。	《方言·郭註》江東呼衣褾曰䘼。	於阮切——影母，阮韻 合 三等，上聲。	袖。						
㾪	㾪	sang4	sang陰上	sang2	saŋ˦˩	㾪##[sang4] <雷>瘦。<雷>疏，不密。			所景切——生母，梗韻 開 三等，上聲。							
㑑	㑑	nang4	nang陰上	nang2	naŋ˦˩	㑑##[nang4][neng4] <雷>“儂[nang1]等”的合音，咱。#注：雷州民間自造字形為“亻赤”，左從“亻”右從“赤”。	【人[nang1]是[si6]人[nang1]，㑑是[si6]㑑。】別人是別人，咱是咱。									
㑑	㑑	neng4	neng陰上	neng2	neŋ˦˩	㑑##[nang4][neng4] <雷>“儂[nang1]等”的合音，咱。#注：雷州民間自造字形為“亻赤”，左從“亻”右從“赤”。	【人[nang1]是[si6]人[nang1]，㑑是[si6]㑑。】別人是別人，咱是咱。									
䖳	䖳	te2	te陰平陽去（白）	the1	tʰɛ˨˦	䖳##[te2] <雷>水母，海蜇。			除駕切——澄母，禡韻 開 二等，去聲。	水母，海蜇。						
䀩	䀩	lio5	lio陰入	lio4	liɔ˥˦	䀩##[lio5] <雷>相，察看。	【䀩娘[niang2]】相女子，相女對象。	《說文》眄也。《博雅》視也。《揚子·方言》吳揚江淮謂眄曰䀩。又吳揚謂視曰䀩。東齊亦曰䀩。	離灼切——來母，藥韻 開 三等，入聲。	相，察看。						
