#ɿ	
ts	[1]只资姿咨兹滋辎{輜重}[3]紫姊子梓滓[5]制自字牸{牝牛}
tsʰ	[1]疵{吹毛求疵}差{参差}[2]雌瓷糍慈磁{磁石}辞词祠[3]此[5]刺赐次伺
s	[1]斯厮撕私司丝思思[3]死[5]四肆似祀{祭祀}巳{辰巳}寺嗣饲俟
#i	
p	[1]逼[2]鼻[3]彼俾鄙比{比較}秕{秕子，秕穀}[5]璧壁蔽敝弊毙币蓖{蓖麻}闭箅{箅子}陛{陛下}臂婢避庇痹{麻痹}篦毕必弼碧
pʰ	[1]劈批丕[2]皮疲脾琵{琵琶}枇{枇杷}[3]匹{一匹布，一匹马}[5]僻辟譬{譬喻}屁
m	[1]密蜜[2]迷谜糜{粥}弥䉲{竹篾}[3]米靡[5]觅秘泌
t	[1]滴低堤[2]嫡笛敌狄籴[3]的{目的}底抵[5]帝弟第递地
tʰ	[1]踢梯[2]提蹄啼[3]体题[5]剔替涕{鼻涕}剃屉{抽屜，籠屜}
n	[2]泥倪尼[3]你拟[5]佞溺{溺死}腻匿逆{順逆，逆風}
l	[1]力[2]犁黎璃{玻璃}离{离开半寸}梨厘狸{狸猫}[3]礼离{离别}篱李里里理鲤[5]历历例厉励丽{美麗}隶荔{荔支}利痢吏立笠粒栗
tɕ	[1]积脊籍藉{狼藉}击激鸡稽饥肌基几{几乎}机讥饥{饥荒}鲫屐{木屐}[2]缉{缉鞋口}集辑{编辑}急级给{供给}及疾吉极[3]挤几{茶几}己几{几个}戟[5]迹绩寂祭际穄{穄子}济荠剂{一剂藥，面剂子}计继系{系鞋帶}髻寄徛{立}技妓冀纪{紀律，世紀，年紀}记忌既季即
tɕʰ	[1]戚妻栖欺期{时期}七漆[2]齐脐畦{菜畦}奇骑岐祈鳍其{2}棋旗祈[3]启企起杞岂乞[5]砌契{契約}器弃气汽泣㬤讫
ɕ	[1]惜昔夕锡析西犀溪奚兮牺嬉熙希稀吸悉膝息熄[2]席习袭媳[3]洗玺徙喜蟢{蟢子}[5]细系系{连系}系戏
ʐ	[1]日
∅	[1]伊医2衣依揖{作揖}一[2]译宜仪移夷姨疑饴{高粱饴}沂{沂河}遗[3]谊义议倚椅矣已以乙[5]益亦易{交易}艺刈缢瞖{目瞖}蚁易肄{肄业}医意异毅逸忆亿抑翼疫役
#u	
p	[1]不[2]补捕醭{醋生白醭}[5]布佈怖{恐怖}部簿步埠{商埠}
pʰ	[1]铺{铺设}脯{胸脯}卜扑仆{倒}[2]蒲菩{菩萨}仆[3]谱普浦朴朴[5]铺{店铺}瀑{瀑布}
m	[1]目幕木穆牧[3]模{模子}亩牡母拇[5]暮慕墓募
f	[1]夫肤跗{跗面，脚面}敷麸{麦麸子}妇负复{复兴}复[2]俘{俘虏}孵{孵小鸡}符扶芙{芙蓉}浮佛{彷彿}福蝠{蝙蝠}服伏栿{梁}[3]府腑俯甫脯{杏脯}斧抚釜腐辅[5]付赋傅赴讣父附富副阜缚幅腹覆{反覆}复{复原}
t	[1]都{都城}督[2]独读犊{牛犊子}毒[3]堵赌牍笃[5]肚{鱼肚，猪肚}妒杜肚{腹肚}度渡镀
tʰ	[1]突秃[2]徒屠途涂图[3]土吐{吐痰}[5]吐{嘔吐}兔
n	[2]奴[3]努[5]怒
l	[1]赂陆鹿录[2]卢炉芦{芦苇}鸬{鸬鹚}[3]鲁橹虏卤庐{茅庐，庐山}[5]路露鹭{鹭鸶}禄
k	[1]姑古估{估计}[2]孤箍[3]䀇{䀇子}牯股鼓骨{筋骨，骨头}谷穀[5]故固锢{锢露锅}雇顾
kʰ	[1]枯窟{窟窿}哭[3]苦[5]库裤酷
x	[1]呼乎忽[2]浒{水浒}胡湖狐壶葫{瓠卢}斛核{果子核}[3]虎[5]戽{戽水}户沪互护瓠{瓠子，瓠瓜}
ts	[1]珠卒{兵卒}[2]租族竹足[3]祖组阻主[5]做{2}住注筑
tsʰ	[1]粗厨出[2]除[3]储{储蓄}[5]醋猝{仓猝}促
s	[1]苏酥书{2}速[5]素诉嗉{鸟嗉子}漱{漱口}肃宿粟束
tʂ	[1]猪诸诛蛛株朱朱[2]术{白朮，苍朮}逐烛嘱[3]煮拄{拄拐杖}[5]着{显著}苎{苎麻}箸{筷子}驻注柱蛀铸祝
tʂʰ	[2]雏[3]褚{姓}础{柱下石}处{相处}杵[5]处{处所}畜{畜牲}触
ʂ	[1]疏{注疏}书舒枢输输{运输}殊叔淑[2]术述秫熟{煮熟，熟悉}赎[3]暑鼠黍署{专署}薯{白薯}蜀属[5]庶恕数{名词}戍竖树
ʐ	[1]入[2]如儒乳[3]汝擩{擩进去}辱[5]褥
∅	[1]吾梧{梧桐}五伍午乌污巫诬侮物屋[2]吴蜈{蜈蚣}无[3]坞武舞鹉{鹦鹉}[5]误悟恶{恨，可恶}务雾戊杌{杌子，杌凳}勿
#y	
n	[3]女
l	[1]律绿[2]驴[3]吕稆{野生}旅缕{丝缕}屡履捋{捋袖}[5]虑滤率{速率}
