#符号说明：-白=文/书*俗?待考	
#调值	[1]³³⁴ [2]²¹ [3]⁵³ [5]³⁵
#ɿ	
ts	[1]资姿咨滋兹[2]瓷餈[3]子姊梓滓紫[5]自巳字牸
tsʰ	[1]雌[2]慈磁辞词嗣饲赤池驰[3]此[5]疵刺赐伺秩次
s	[1]斯厮撕私师狮司丝思[3]死[5]四肆祠事士仕
tʃ	[1]辎支枝肢岐[2]质执直值只织职殖植炙侄汁[3]纸脂旨指止趾址[5]智至致稚痔治翅滞制技妓志痣蛰
tʃʰ	[1]痴矢[2]持嗤斥尺吃迟[3]耻齿侈
ʃ	[1]诗侍尸豉施[2]时湿十什{~物}拾实失室食蚀识适石匙[3]屎使史驶始[5]示视似祀寺柿市恃试式饰是氏世势誓逝
ʒ	[2]日
	
#i	
p	[1]俾[2]鼻笔毕必弼逼碧璧壁[3]譬鄙比[5]蔽闭弊敝避臂秕庇痹备蓖陛憋币毙
pʰ	[1]批披丕[2]皮疲脾琵枇匹劈辟僻[3]彼[5]屁
m	[2]迷弥糜靡眉楣密蜜[3]米[5]谜秘溺
t	[1]低[2]的滴嫡笛敌狄[3]底抵[5]帝弟隶地第
tʰ	[1]梯剔[2]堤题提蹄啼踢[3]体[5]替涕剃
l	[2]犁黎离篱璃梨厘狸立笠粒栗律率力历[3]礼李里理鲤履旅[5]虑滤例厉励丽荔利痢吏
ts	[2]荠集疾即戟积脊籍藉绩寂[3]挤[5]祭际济剂娶聚
tsʰ	[1]妻棲[2]齐七漆戚[3]取[5]砌
s	[1]需须西犀徙[2]席徐习袭悉膝戌恤息熄媳惜昔夕释锡析[3]洗玺[5]序细婿
tʃ	[1]鸡稽肌饥基机讥[2]缉吉橘极急级及吸击激[3]几己纪矩[5]计继寄记忌既季
tʃʰ	[1]欺[2]奇骑祁鳍其棋期旗杞乞嗜祈[3]启起岂[5]趣契企器氣汽泣
ʃ	[1]牺熙希稀溪[3]眵嬉喜蟢[5]系戏弃
ȵ	[2]倪宜谊疑逆尼[3]蚁议你[5]仪义腻
Ø	[1]倚伊医衣依[2]移夷姨沂輯揖乙一逸抑域益亦译液腋疫[3]於淤椅矣已以拟[5]誉豫裕艺缢易冀饴意异毅讫匿忆亿翼御肄役御
	
#u	
p	[2]埠不卜[3]補[5]布怖怖部簿步
pʰ	[1]铺[2]浦蒲菩饽樸朴扑仆[3]谱普捕辅[5]脯
m	[2]木目穆牧[3]母拇[5]暮慕墓募幕
f	[1]呼夫附敷俘[2]胡湖狐壶瓠扶符芙復忽佛福幅蝠複腹覆服伏[3]虎浒府抚[5]戽户沪护腑俯斧付赋赴讣附釜腐妇负阜富副
v	[2]物勿
tʰ	[2]突
l	[2]卢鹿禄[3]缕
ts	[2]竹筑逐轴烛[5]苧
tsʰ	[5]猝
s	[1]苏酥[2]宿肃俗续嘱束属叔淑熟缩速[5]素诉塑嗉著朔粟
tʃ	[1]猪诸诛蛛株朱硃珠[3]拄[5]处
tʃʰ	[2]褚除出[3]拉[5]处
ʃ	[1]书舒枢输殊[2]薯术術秫[3]署鼠黍暑[5]庶恕戍竖
ʒ	[2]儒入肉辱褥狱欲憋[3]乳[5]汝
k	[1]姑孤枯[2]骨谷酷[3]古牯股鼓[5]估故固锢顾雇窟
kʰ	[1]箍[2]哭[3]苦[5]库裤
Ø	[1]乌污坞[2]吴蜈吾梧元巫诬握屋[3]五伍午武舞侮鹉[5]误悟互恶务雾
	
#a	
p	[1]巴芭疤八[2]拔[3]把欛壩[5]霸坝罢
pʰ	[2]钯爬琶杷耙[5]怕帕
