#osfans整理
#調值：[1]31、[2]213、[3]443、[5]35、[7]4
#-白讀、=文讀、?待考

#ɿ
ts	[1]知蜘支枝肢{～體}梔{～子花}資姿諮脂茲滋輜之芝孜[2]吱{象聲詞：拉二胡子——～咕～（自顧自）}[3]紫紙姊旨指{～示}滓止趾址子仔籽梓[5]滯制製智雉自致緻稚至寺字=置治志痣誌摯翅{～膀、隴～（地名）}
tsʰ	[1]差{參～}眵{眼～：眼屎}癡嗤字-{硬幣有字的一面}雌牸[2]池弛匙{鑰～}瓷餈遲茨慈磁餈{～粑}辭詞祠持馳豉{豆～}治{～魚}[3]此侈恥齒[5]疵刺痔{～瘡}次伺廁滯-{剩：～飯碗}
s	[1]斯廝撕施是-私俬師獅屍司絲思詩飼事-侈市-{門～}侍-[2]時蒔鰣弛-[3]豕死矢屎使史駛始[5]寺=世勢誓逝是=氏四肆示視嗜似祀巳士仕柿俟市=嗣事=試侍=侈飼駟泗

#iᶽ
p	[1]屄{女性生殖器}𡚦{屄}[3]彼俾鄙比=秕[5]蔽敝斃蓖閉箅祕泌庇秘
pʰ	[1]坯披批篦{～子}[2]皮疲脾{～氣}琵[3]痹{麻～}妣胚丕邳痞脾{肝～}砒{～霜}擗{～甘蔗}[5]屁
tɕ	[1]低雞稽飢饑肌基幾{～乎}機譏薺{～菜子}姬檵{枸～}[3]底抵牴擠濟幾几{茶～}己蟣紀{～律}[5]祭際帝第劑計繼繫{～鞋帶子}技妓寄地=冀紀{年～}記忌=既季弟={～兄}娣暨
tɕʰ	[1]梯妻棲地-欺期弟-{兄～}洎{來不～（來不及）；喫不～（喫不完）}暨{來不～（來不及）；喫不～（喫不完）}忌-{～嘴}溪+[2]堤題提蹄啼齊臍溪畦奇騎岐祁其棋旗祈頎麒奚{姓}[3]體啓砌企起豈杞[5]替涕剃器棄汽遞屜嚏
ɕ	[1]西犀犧兮嬉熙希稀唏圾+{垃～}[2]攜[3]洗璽徙喜蟢{～～蛛：蜘蛛}[5]細系係繫戲
l	[1]利-{～息}淚-厲離-痢{拉～}[2]離籬璃梨釐狸犁黎[3]李里裏理鋰[5]例勵麗隸吏利=莉荔
0	[1]伊醫衣衣{胎盤}勩依裔{姓}噫{喫，貶義}[2]移宜誼夷姨疑飴遺嵇{姓}饐{條粉、麪條等菜變質}儀[3]倚椅蟻已以[5]藝議義易肄意異毅羿

#uᵝ
p	[1]𡜵{～子：姑媽}[3]補捕[5]部簿布佈步=
pʰ	[1]鋪{動詞}步-{一～、幾～路}潽{溢出}[2]蒲{～公英}菩{～薩}匍葡[3]譜普脯{胸～子}浦甫[5]鋪{名詞}埠

#yᶽ
ȵ	[3]女
l	[1]鑢{繩子太細，～得手疼}[2]驢魚+{木～}[3]縷褸屢呂侶鋁穭旅履[5]慮濾
tɕ	[1]居車拘{喻人不知变通}駒狙蛆{虴～（蚱蜢）}[3]舉鬼+{老～：在行}[5]句拒距據鋸俱聚矩榘具懼巨
tɕʰ	[1]蛆{～子}趨區驅軀遂{不順～：不吉利}[2]徐渠瞿衢[3]取娶[5]去趣
ɕ	[1]虛墟噓須鬚需吁荽{芫～：香菜}胥[3]許滸{～墅關}[5]序敘婿緒{頭～}
0	[1]淤與迂遇芋[2]於于余餘愚虞娛盂榆逾愉魚如+{假～}竽[3]語雨宇羽喻[5]御禦譽預豫愈癒寓裕

#a
p	[1]巴芭疤笆{～斗：存放糧食的器具，較大}扒{掰}粑{餈～}吧叭[3]把㞎{～～（大便）}靶[5]霸把{名詞：～子}壩罷爸䶕{豁～齒}
pʰ	[1]趴[2]爬琶鈀耙[5]怕帕
m	[1]媽罵馬{～虎}[2]麻痲蟆{蛤～}[3]馬碼螞把+{㴷～：拖把}
t	[1]拖?{拉～：做事拖拉}[3]打[5]大
tʰ	[1]他它她
n	[1]哪{語氣詞}[2]拿[3]哪={～裏}[5]那=
l	[1]拉[3]惹{～蒼蠅}哪-{～個、～塊}
ts	[1]查{姓}渣遮拃{一～長}[3]蔗{甘～}蚱{螞～：蚱蜢}蜡{螞～}吒{哪～}砟{}[5]詐榨炸柵
tsʰ	[1]差蒼+{～蠅}[2]茶搽查茬長+{～魚：黃鱔}[5]叉杈岔
s	[1]沙紗唦{～口水}裟射-{～屪：小便，貶義}[2]蛇-[3]灑舍-捨-傻[5]廈{大～}舍-
