漢字	音標	註釋
租	tsɿ1	
資	tsɿ1	
姿	tsɿ1	
諮	tsɿ1	
滋	tsɿ1	
祖	tsɿ3	
組	tsɿ3	
紫	tsɿ3	
子	tsɿ3	文
梓	tsɿ3	
粗	tsʰɿ1	
雌	tsʰɿ1	
自	tsʰɿ1	
瓷	tsʰɿ2	
茲	tsʰɿ2	
慈	tsʰɿ2	
磁	tsʰɿ2	
詞	tsʰɿ2	
祠	tsʰɿ2	
此	tsʰɿ3	
醋	tsʰɿ5	
措	tsʰɿ5	
次	tsʰɿ5	
蘇	sɿ1	
酥	sɿ1	
斯	sɿ1	
私	sɿ1	
師	sɿ1	
獅	sɿ1	
字	sɿ1	
司	sɿ1	
絲	sɿ1	
思	sɿ1	
嗣	sɿ1	
士	sɿ1	
柿	sɿ1	
事	sɿ1	文
伺	sɿ1	
似	sɿ1	文，～乎
碑	pi1	
卑	pi1	
陂	pi1	
背	pi1	白，動作
臂	pi3	
比	pi3	
髀	pi3	
畀	pi3	給；被
蓖	pi5	
箅	pi5	
秘	pi5	
泌	pi5	
庇	pi5	
痺	pi5	
背	pi5	白，～脢：背脊
潷	pi5	過濾
披	pʰi1	
疲	pʰi1	
婢	pʰi1	
被	pʰi1	～動
備	pʰi1	
鼻	pʰi1	
皮	pʰi2	
脾	pʰi2	
枇	pʰi2	
琵	pʰi2	
彼	pʰi3	
鄙	pʰi3	
被	pʰi5	棉～
屁	pʰi5	
沕	mi1	～水：潛水
眉	mi2	
微	mi2	
楣	mi2	
□	mi2	擦
媚	mi2	
知	ti1	白
地	tʰi1	
膩	ni1	
眤	ni1	替，瞇眼
尼	ni2	
□	ni2	囊～：蜻蜓
彌	ni3	
爾	ni3	
厲	li1	
勵	li1	
履	li1	
利	li1	
痢	li1	
裏	li1	
脷	li1	
離	li2	
籬	li2	
梨	li2	
釐	li2	
狸	li2	
李	li3	
麗	li3	
吏	li3	
里	li5	
理	li5	
撕	tsi1	
姊	tsi3	
□	tsi5	雞～：雞舍
牸	tsʰi1	
飼	tsʰi1	～飯：餵飯
徐	tsʰi2	
臍	tsʰi2	
薺	tsʰi2	
取	tsʰi3	
娶	tsʰi3	
似	tsʰi5	好～：像
死	si3	
四	si5	
肆	si5	
知	tʃi1	文
蜘	tʃi1	
支	tʃi1	
枝	tʃi1	
肢	tʃi1	
梔	tʃi1	
脂	tʃi1	
痴	tʃi1	
之	tʃi1	
芝	tʃi1	
膣	tʃi1	女陰
紙	tʃi3	
旨	tʃi3	
指	tʃi3	
止	tʃi3	
趾	tʃi3	
址	tʃi3	
致	tʃi5	
智	tʃi5	
至	tʃi5	
置	tʃi5	
志	tʃi5	
痣	tʃi5	
翅	tʃʰi1	
稚	tʃʰi1	
矢	tʃʰi1	
痔	tʃʰi1	
治	tʃʰi1	
馳	tʃʰi2	
侈	tʃʰi2	
池	tʃʰi2	
遲	tʃʰi2	
持	tʃʰi2	
□	tʃʰi2	雞嫲～：雞皮疙瘩
恥	tʃʰi3	
齒	tʃʰi3	
始	tʃʰi3	
試	tʃʰi5	白
義	ȵi1	
二	ȵi1	
倪	ȵi2	
誼	ȵi2	
宜	ȵi2	
疑	ȵi2	
擬	ȵi2	
凝	ȵi2	文
議	ȵi3	
耳	ȵi3	
你	ȵi5	
施	ʃi1	
是	ʃi1	
豉	ʃi1	
示	ʃi1	
屍	ʃi1	
視	ʃi1	
嗜	ʃi1	
寺	ʃi1	
詩	ʃi1	
蒔	ʃi1	
犧	ʃi1	
希	ʃi1	
稀	ʃi1	
匙	ʃi2	
時	ʃi2	
屎	ʃi3	
起	ʃi3	
喜	ʃi3	
嬉	ʃi3	
試	ʃi5	文
巿	ʃi5	
去	ʃi5	白
戲	ʃi5	
器	ʃi5	
棄	ʃi5	
氣	ʃi5	
汽	ʃi5	
飢	ki1	
肌	ki1	
冀	ki1	
基	ki1	
幾	ki1	～乎
几	ki1	
機	ki1	
箕	ki1	
忌	ki1	
幾	ki3	～隻
己	ki3	
紀	ki3	
杞	ki3	
鋸	ki5	
髻	ki5	
寄	ki5	
記	ki5	
己	ki5	
既	ki5	
□	ki5	澀～～：澀澀的
企	kʰi1	
岐	kʰi1	
技	kʰi1	
妓	kʰi1	
欺	kʰi1	
熙	kʰi1	
稽	kʰi1	
渠	kʰi2	他，她
奇	kʰi2	
騎	kʰi2	
其	kʰi2	
棋	kʰi2	
旗	kʰi2	
期	kʰi2	
祈	kʰi2	
蜞	kʰi2	
豈	kʰi3	
徛	kʰi5	站立
崎	kʰi5	陡
易	i1	
醫	i1	
異	i1	
衣	i1	
移	i2	
兒	i2	
夷	i2	
姨	i2	
而	i2	
倚	i3	
椅	i3	
伊	i3	
肄	i3	
依	i3	
尹	i3	
憶	i3	
億	i3	
□	i3	這
意	i5	
以	i5	
晡	pu1	
𨁏	pu1	蹲
□	pu2	閉著嘴唇吐出
補	pu3	
斧	pu3	
佈	pu5	
布	pu5	
怖	pu5	
鋪	pʰu1	～設
普	pʰu1	
簿	pʰu1	
步	pʰu1	
埠	pʰu1	
孵	pʰu1	
蒲	pʰu2	
葡	pʰu2	
扶	pʰu2	白
瓠	pʰu2	
脯	pʰu2	胸～
譜	pʰu3	
浦	pʰu3	
脯	pʰu3	菜～
捕	pʰu3	
甫	pʰu3	
鋪	pʰu5	店～
部	pʰu5	
暮	mu1	
墓	mu1	
慕	mu1	
務	mu1	
拇	mu1	
戊	mu1	
模	mu2	
摹	mu2	
巫	mu2	
誣	mu2	
無	mu2	
撫	mu3	
舞	mu3	
侮	mu3	
武	mu5	
鵡	mu5	
霧	mu5	
母	mu5	
護	fu1	
膚	fu1	
夫	fu1	
付	fu1	
傅	fu1	
父	fu1	
麩	fu1	
赴	fu1	
訃	fu1	
腐	fu1	豆～
附	fu1	
婦	fu1	
負	fu1	
呼	fu1	
胡	fu2	
湖	fu2	
乎	fu2	
狐	fu2	
互	fu2	
俘	fu2	
符	fu2	
扶	fu2	文
芙	fu2	
苦	fu3	白
虎	fu3	
滸	fu3	
府	fu3	
俯	fu3	
腐	fu3	～敗
輔	fu3	
戽	fu5	
戶	fu5	
滬	fu5	
賦	fu5	
褲	fu5	
富	fu5	
副	fu5	
污	vu1	
烏	vu1	
芋	vu1	
惡	vu5	可～
都	tu1	
□	tu2	擬聲詞，（電扇的）風聲
賭	tu3	
肚	tu3	
堵	tu3	
□	tu3	～目睡：打瞌睡
妒	tu5	
度	tʰu1	
渡	tʰu1	
鍍	tʰu1	
徒	tʰu2	
屠	tʰu2	
途	tʰu2	
塗	tʰu2	
圖	tʰu2	
杜	tʰu2	
土	tʰu3	
吐	tʰu5	
兔	tʰu5	
怒	nu1	
奴	nu2	
努	nu2	
路	lu1	
露	lu1	
黸	lu1	
𧀦	lu1	蕨草
盧	lu2	
爐	lu2	
蘆	lu2	
廬	lu2	
驢	lu2	
擄	lu2	
虜	lu2	
□	lu2	抱（柴火）
滷	lu5	
賂	lu5	
魯	lu5	
煮	tʃu3	
除	tʃʰu2	
姑	ku1	
孤	ku1	
枯	ku1	
鴣	ku1	
□	ku2	嘟囔
古	ku3	
估	ku3	
牯	ku3	
股	ku3	
鼓	ku3	
故	ku5	
固	ku5	
僱	ku5	
顧	ku5	
□	kʰu1	拄（柺杖）
□	kʰu2	（腿）半屈
苦	kʰu3	文
庫	kʰu5	
誤	ŋu1	
悟	ŋu1	
娛	ŋu1	
□	u3	那
濾	ly1	
呂	ly5	
慮	ly5	
旅	ly5	
絮	sy3	
緒	sy3	
豬	tʃy1	
諸	tʃy1	
朱	tʃy1	
珠	tʃy1	
誅	tʃy1	
蛛	tʃy1	
株	tʃy1	
鑄	tʃy1	
著	tʃy5	
注	tʃy5	
註	tʃy5	
蛀	tʃy5	
苎	tʃʰy1	
箸	tʃʰy1	
趨	tʃʰy1	
趣	tʃʰy1	
聚	tʃʰy1	文
駐	tʃʰy1	
住	tʃʰy1	
廚	tʃʰy2	
主	tʃʰy3	
處	tʃʰy5	相～；～所
柱	tʃʰy5	
魚	ȵy2	
漁	ȵy2	
愚	ȵy2	
虞	ȵy2	
女	ȵy3	
語	ȵy5	
序	ʃy1	
敘	ʃy1	
書	ʃy1	
舒	ʃy1	
庶	ʃy1	
恕	ʃy1	
虛	ʃy1	
墟	ʃy1	
噓	ʃy1	
輸	ʃy1	
豎	ʃy1	
樹	ʃy1	
戌	ʃy1	
儲	ʃy2	
薯	ʃy2	
蜍	ʃy2	
殊	ʃy2	
暑	ʃy3	
鼠	ʃy3	
署	ʃy3	
許	ʃy3	
居	ky1	
車	ky1	～馬炮
巨	ky1	
距	ky1	
拘	ky1	
駒	ky1	
