#漢字	音標	解釋
㓤	kɐt	
一	jit	
七	tʰi	
三	ɬam	
不	put	
且	tʃʰeiɐ	
世	ʃai	
丟	ʔiu	
主	tʃi	
乃	nai	
九	kiu	
乞	hat	
也	ja	
乾	kʰen	
乾	kʰɪŋ	
亂	loɐn	
五	ŋ	
井	tiɐŋ	
亞	ʔa	
人	ŋin	
仔	toi	
他	ha	
代	ʔoi	
令	len	
令	lɪŋ	
伉	kʰoŋ	
休	hiu	
但	ʔan	
佛	fut	
作	tok	
佳	kai	
佶	kɪk	
佶	ket	
來	loi	
係	hai	
保	pau	
信	ɬin	
倉	tʰoŋ	
個	koi	
個	kwoi	
借	teiɐ	
倪	ŋai	
偎	woi	
偎	wui	
偪	pɪk	
偪	pet	
側	tʃak	
偷	heu	
傞	tʰoɐ	
債	tʃai	
傾	kʰen	
傾	kʰɪŋ	
僉	tʰiɐm	
僧	ɬaŋ	
儈	kʰoi	
儈	kʰwoi	
兄	hen	
兄	hɪŋ	
充	tʃʰuŋ	
先	ɬen	
先	ɬɪŋ	
光	kwoŋ	
入	jip	
內	nui	
全	tʰun	
兩	leiɐŋ	
八	pat	
六	luk	
兵	pen	
兵	pɪŋ	
典	ʔen	
典	ʔɪŋ	
兼	kiɐm	
冩	ɬeiɐ	
冷	laŋ	
准	tʃun	
出	tʃʰut	
刀	ʔau	
切	tʰɪk	
切	tʰet	
初	tʃʰoɐ	
判	pʰoɐn	
刮	kwat	
制	tʃai	
則	tak	
削	ɬeiɐk	
剔	hɪk	
剔	het	
剖	pʰau	
割	koɐt	
割	kwoɐt	
剿	tiau	
劄	tʃap	
劇	kʰɪk	
劇	kʰet	
劈	pʰiɐk	
劣	lit	
劫	kiɐp	
勃	poɐt	
勒	lak	
勞	lau	
勻	jun	
北	pak	
匿	nak	
區	ʔeu	
十	ʃip	
千	tʰen	
千	tʰɪŋ	
卄	ŋip	
升	ʃen	
升	ʃɪŋ	
卑	pei	
卒	tut	
南	nan	
博	pok	
卜	puk	
卡	kʰa	
卻	kʰeiɐk	
卵	loɐn	
卵	nen	
卵	nɪŋ	
卹	ɬut	
卽	tɪk	
卽	tet	
厓	ŋai	
去	hui	
參	tʰam	
及	kiɐp	
取	tʰui	
叟	ɬeu	
口	ŋap	
口	heu	
古	ku	
叩	kʰeu	
各	kok	
合	hap	
吉	kit	
同	huŋ	
名	miɐŋ	
君	kun	
吞	hun	
吹	tʃʰui	
吼	wau	
呃	ŋak	
周	tʃiu	
命	men	
命	mɪŋ	
咳	kʰɐt	
咸	hem	
品	pin	
哎	ʔoi	
哭	huk	
唅	ŋam	
唔	m	
商	ʃeiɐŋ	
問	mun	
啐	toɐt	
啟	kʰai	
善	ʃiɐn	
喙	tʃoi	
喜	hei	
