#漢字	音標	解釋
㕔	hɛŋ	
㖇	mei	
㖓	paŋ	
㡭	tɔn	
㨴	kʰin	
㮳	tʃim	
㯁	pom	
一	jit	
丁	tɪŋ	
七	tsʰɛt	
丈	tʃœŋ	
三	sam	
下	ha	
不	pɛt	
不	tun	
世	ʃai	
丟	tiu	
中	tʃʊŋ	
串	tʃʰun	會城音
串	tʃʰɜn	會城音，又音
串	tʃʰun	會西南音
串	tʃʰɜn	會西南音，又音
乖	kʷai	
乜	mɐt	
乜	mʷut	會西南音
九	kɛʊ	
乞	hɐt	
也	jɪa	
乾	kɔn	
了	liu	
五	ŋ	
亡	mɔŋ	
交	kaʊ	會城音
交	kɐʊ	會西南音
亨	haŋ	
京	kɪŋ	
人	ŋin	會城音
人	ŋɛn	會西南音
仁	ŋin	會城音
仁	ŋɛn	會西南音
仆	pʰʊk	
他	ha	
仙	sin	
代	tɔi	
伯	pak	
伸	ʃɛn	
位	wɐi	
位	wɐɪ	又音
低	tai	
何	hɔ	
作	tsɔk	
你	nei	
你	nɛk	會西南音
使	ʃɔi	
來	lɔi	
侵	tsʰɛm	
係	hɐi	
促	tsʰʊk	
信	sɛn	
俾	pei	
個	kɐi	祇有會東北音如此讀作
個	kɔi	會城音
個	kɐi	個有時讀kɐi，主要是新會東部的人
借	tsia	
倡	tʃʰœŋ	
偏	pʰin	
偪	pɪk	
偷	haʊ	
偷	tʰaʊ	又音tʰaʊ，但通常讀haʊ
僧	saŋ	
兀	ŋat	
元	ŋin	會城音
元	ŋun	會西南音
兄	hɪŋ	
兆	ʃɛʊ	會城音
兆	ʃɛʊ	會西南音
兇	hʊŋ	
光	kɔŋ	
光	kʷɔŋ	光受過良好教育的人讀kʷɔŋ
全	tsʰyn	
八	pat	
六	lʊk	
兵	pɪŋ	
其	kʰei	
典	tin	
冂	kʷɪŋ	
冊	tʃʰak	
冬	tʊŋ	
冷	laŋ	
凉	lœŋ	
凡	fan	
凸	tut	
出	tʃʰut	
出	tʃʰɜt	又音
刀	to	
分	fun	
切	tsʰit	
刖	lak	
列	lit	
初	tʃʰɔ	
刦	kip	
刮	kʷat	
則	tsɐk	
削	sœk	
