#漢字	音標	解釋
一	oi7	
丁	tã1	
七	tsʰi7	
丈	tiam4	
三	sɔ̃1	
上	siam5	文读，上面。
上	ʃiam5	
下	ɒ4	放下，下山。
下	hɒ4	
丑	tʰiɑu3	
專	tʃyaiŋ1	
且	tsʰiɔ̃3	
丕	pʰui1	
丕	pʰi1	
世	sɿ5	
丗	sɿ5	
丘	kʰiɑu1	
丙	pã3	
業	ŋiɛ4	
東	tã1	
絲	si1	
兩	liam3	
嚴	ŋiaiŋ2	
中	tam1	
臨	lã2	
丸	yaiŋ2	
丹	tŋ1	
主	tʃy3	
丼	tsɔ̃3	
丽	li5	
舉	ky3	
乃	la3	
久	kiɑu3	
義	ŋi5	
之	tsɿ1	
烏	u1	
乍	tsɒ5	
乏	ho4	
樂	ŋɯ4	音乐。
喬	kiɯ2	
乖	kuɛ1	
乙	i7	
九	kiɑu3	
乞	kʰyi7	
也	iɒ3	
習	si4	
鄉	ʃiam1	
書	ʃy1	
買	mɛ3	
亂	lŋ5	
乳	y3	
乾	kʰiaiŋ2	
亂	lŋ5	
了	lɒ3	
了	liɯ3	
事	sɿ5	文读，话事。
事	sia5	
事	ʃɿ5	
事	ʃia5	
二	ŋi5	
亏	kʰyi1	
云	yã2	
互	hu5	
五	ŋu3	
井	tsɔ̃3	
亡	m2	
亦	i4	
產	ʃiaiŋ3	
產	ʃɛ̃3	
亨	pʰɛ̃1	
享	ʃiam3	
京	kiã1	
亭	tɛ̃2	
亮	liam5	
親	tsʰã1	
人	iã2	文讀，白讀。
人	ã2	
人	liã2	
人	lã2	
億	i5	
什	sɿ4	
仁	iã2	
仄	tʃia7	
仅	kiã3	
今	kiã1	
介	kia5	
倉	tsʰam1	
他	tʰɒ1	
仗	tiam4	
付	hu5	
仙	saiŋ1	
代	ta5	
令	lã5	
以	i3	
儀	ŋi2	
仰	ŋiam3	
仲	tam4	
件	kiaiŋ4	
任	iã5	
仿	hm3	
伊	i1	
伍	ŋu3	
伏	hu4	
伐	ho4	
休	ʃiɑu1	
會	hui5	
傘	sŋ3	
偉	yi3	
傳	taiŋ5	自传。
傷	ʃiam1	
倫	luã2	
伯	pɒ7	
估	ku3	
伱	ŋi4	
伱	ŋi3	
伴	pʰŋ4	
伶	lã2	
伸	ʃiã1	
似	sɿ4	
佈	pu5	
位	yi5	
低	ti1	
住	ty5	
余	y2	
佛	hui4	
你	ŋi4	
你	ŋi3	
佳	kɒ1	
使	sɿ3	
使	sia3	
使	ʃɿ3	
使	ʃia3	
來	la2	
例	lɛ5	
供	kiam5	上供。
依	i1	
偵	tʃiã1	
