#漢字	音標	解釋
□	ȵiɑ3	妈，母亲
□	iɑu3	逃
□	iɑu3	倒，～水
□	ȵiɑŋ3	草
□	ȵiɐu3	无，没有
□	tu3	做
□	ʔɑi5	要，想～，重～
□	kei5	屎
□	ŋɐk7a	砍
一	iɐt7a	
丁	tiŋ1	
七	tsʰɐt7a	
万	uɑn6	
丈	d̥ʑ̥iɑŋ6	
三	sɑm1	
上	ɕiɑŋ6	～山
下	xʱᴀ6	底～
丑	tɕʰiɐu5	
專	tɕyn1	
且	tɕʰie3	
世	ɕiei5	
丙	b̥iŋ6	
業	ȵep8a	
叢	d̥z̥oŋ2	
東	toŋ1	
絲	si1	
兩	liɑŋ3	几～
兩	liɑŋ4	～个
嚴	ȵim2	
个	ko5	～人
丫	ʔᴀ1	～头，～杈
中	tɕioŋ1	当～
中	tɕioŋ5	射～
丰	foŋ1	
串	tɕʰyn5	
臨	lɐm2	
丹	tɑn1	
爲	ʏei2	作～
爲	ʏei6	～什么
主	tɕy3	
舉	tɕy3	
久	kiɐu3	
義	i6	
樂	lok8b	快～
喬	ɡ̊iu2	
乖	kuɑi1	
乘	ɕiŋ2	
乙	iɐt7a	
九	kiɐu3	
也	iɑ4	～是
習	sek7a	
鄉	ɕiɑŋ1	
書	ɕy1	
亂	lon6	
了	liu4	～结
爭	tɕieŋ1	
事	si6	
二	ȵi6	
云	yɐn2	～彩
互	fu5	
五	ŋ̍4	
井	tsiŋ3	
交	kɑu1	
亥	xʱɑi6	
產	tɕʰiɑn3	
畝	moᵘ4	
享	ɕiɑŋ3	
京	kiŋ1	
亭	d̥iŋ2	
親	tsʰen1	～戚；～家
人	ȵen2	
億	ʔi5	
仁	ȵen2	
仇	d̥ʑ̥iɐu2	
今	ken1	
介	kɑi5	
倉	tsʰɔŋ1	
他	tʰᴀ1	
仗	d̥ʑ̥iɑŋ6	
付	fu5	
仙	syn1	
代	tɑi5	
令	liŋ6	
以	ʔi3	
件	ɡ̊ien6	
价	kᴀ5	
份	fɐn6	一～
伍	ŋ̍4	
伏	fok8a	
休	sɐu1	
休	ɕiɐu1	
众	tɕioŋ5	
优	iɐu1	
會	oi6	开～
傘	sɑn5	
偉	ʏei3	
傳	d̥z̥yn2	～达
傷	ɕiɑŋ1	
估	ku3	～计
伴	b̥on6	
伸	ɕiɐn1	
似	ɕi6	
但	d̥ɑn6	
位	ʏei6	
低	tei1	
佑	iɐu6	
体	tʰei3	
何	xʱoᵘ2	
作	tsok7b	工～
你	ni4	
佩	pʰoi5	
佳	kᴀ1	
使	ɕi3	
例	ii6	
侍	si6	
供	koŋ1	～给
供	koŋ5	～养，上～
依	ʔi1	
侯	xʱɐu2	
便	b̥in2	～宜
便	b̥ien6	方～
俄	ŋoᵘ2	
俊	d̥z̥in4	
俗	d̥z̥ok8a	
俘	fu2	～虏
保	pɐu3	
信	sɐn5	
修	sɐu1	
倍	b̥oi6	
倒	toᵘ3	打～，颠～
候	xʱɐu6	
借	tse5	
倡	tɕʰiɑŋ5	提～
值	d̥ʑ̥iek8a	
假	kᴀ3	真～
假	kᴀ5	放～
偏	pʰin1	
停	d̥iŋ2	
健	kien5	
偷	tʰɐu1	
償	d̥ʑ̥iɑŋ2	
傅	fu5	
催	tsʰueⁱ1	
傲	ʔoᵘ5	
像	tsiɑŋ6	
僻	pʰik7a	
儿	ȵi2	
元	yn2	
兄	fiŋ1	
充	tɕʰioŋ1	
兇	ɕioŋ1	～恶
先	sin1	
光	kuŋ1	
免	min4	
兌	toi5	
兔	tʰu5	
党	tɔŋ3	
全	d̥z̥yn2	
八	pɑt7b	
公	koŋ1	
六	lok8a	
蘭	lɑn2	
共	ɡ̊oŋ6	
關	kuɑn1	
興	xiŋ5	高～
兵	piŋ1	
其	kʰi2	
具	ɡ̊y6	
典	tim3	
養	iɑŋ4	
獸	ɕiɐu5	
內	noi6	
岡	kɔŋ1	
冊	tɕʰiek7b	
再	tsɑi5	
寫	sø3	
軍	kyɐn1	
農	noŋ2	
冤	yn1	
冬	toŋ1	
冲	tɕʰioŋ1	
决	kyet7b	
况	kʰuŋ5	
冷	leŋ4	
凍	toŋ5	
淨	d̥z̥iŋ6	
准	tɕyɐn3	标～
凉	liɑŋ2	
湊	tsʰɐu5	
几	ki3	茶～
凡	fɑn2	
凭	b̥iŋ2	
凳	tɐŋ5	
凶	ɕioŋ1	吉～
出	tɕʰiɐt7a	
擊	kik7a	
刀	toᵘ1	
刁	tiu1	
分	fən1	～开
切	tsʰiet7a	～开
划	uo6	
劉	iɐu2	
創	tɕʰiuŋ5	
初	tsʰu1	
判	pʰon5	
刨	b̥ɑu2	～地
利	ii6	
别	b̥iet8a	区～，离～
刮	ɡ̊uɑt8b	
到	toᵘ5	
制	d̥ʑ̥i6	～度
刷	ɕyet7b	
刺	tsʰi5	
刻	kʰɐk7a	时～，用刀～
劑	tsei5	一～药
剃	tʰe5	
前	d̥z̥in2	
劍	kim5	
剝	pɐk7a	
劇	ky5	戏～
剩	ɕiŋ6	
剪	tsen3	
副	fu5	
割	kuɑt7b	
剿	kiu3	
劈	pʰik7a	
力	lik8a	
勸	kʰyn5	
辦	b̥ɑn6	
加	kᴀ1	
務	u5	
動	d̥oŋ6	
助	d̥z̥u6	
努	nu3	
勞	lɑu2	
勢	ɕiei5	
勇	ioŋ5	
勉	min4	
勤	ɡ̊en2	
勺	ɕiɐk8a	汤～
勾	kɐu1	
勻	yɐn2	
包	pɑu1	
化	fo5	
北	pɐk7a	
匠	tsiɑŋ6	
匪	foi3	
區	kʰy1	～域
医	ʔi1	
十	ɕiɐp8a	
千	tsʰin1	
升	ɕiŋ1	
午	ŋ̍4	
半	pon5	
單	tɑn1	～独
賣	mɑi6	
南	nɑm2	
卦	kuɑ5	
衛	ʏei6	
卯	moᵘ6	
印	iɐn5	
危	ʏei2	
卷	kyn3	
卸	se5	
厂	tɕʰiɑŋ3	
廳	tʰiŋ1	
壓	ʔɑp7b	
厭	im5	
厚	xʱɐu6	
原	yn2	
廚	d̥ʑ̥y2	
去	kʰy5	来～，～皮
縣	yen6	
参	tɕʰiɑm1	
又	iɐu6	
叉	tɕʰiɑ1	
友	iɐu4	
雙	ɕyɑŋ1	
反	fɑn3	
发	fɑt7b	头～；～生
取	tsʰy3	
受	ɕiɐu6	
變	pien5	
敘	ɕy5	
叛	pʰon5	
疊	d̥iep8b	
口	kʰɐu3	
古	ku3	
句	ky5	
只	tɕi3	～有
只	tɕik7a	一～
叫	kiu5	
召	tɕiu1	
可	kʰo3	
台	d̥ɐi2	
史	ɕi3	
右	iɐu6	
叶	iep8a	
号	xʱoᵘ6	～数
司	si1	
叹	tʰɑn5	
吃	kʰik7a	
各	kok7b	
合	xʱɑp8b	
吉	ket7a	
同	d̥oŋ2	
名	miŋ2	
后	xʱɐu6	皇～
吐	tʰu5	呕～
吕	ly6	
君	kyɐn1	
吞	tʰen1	
吠	fei6	
否	foᵘ3	
含	xʱom2	
听	tʰiŋ5	～见，～话
启	kʰi3	
吴	u2	
吵	tɕʰiɑu3	
吸	ɕiok7a	
吹	tɕʰyøi1	
告	koᵘ5	
員	yn2	
周	tɕiɐu1	
味	mi6	
命	miŋ6	
和	uo2	～气，～尚
和	xʱɑp8b	～面
咬	ŋɑu4	
咸	xʱɑm2	～阳
響	ɕiɑŋ3	
啞	ʔᴀ3	
哥	ko1	
哪	nᴀ5	～个
哭	kʰok7a	
唇	ɕin2	
喚	on6	
唱	tɕʰiɑŋ5	
商	ɕiɑŋ1	
啼	d̥ei2	
善	sɑn5	
喉	xʱɐu2	
喊	xɑm3	
喜	ɕi3	～欢
噴	pʰɐn1	～水，～嚏
嗅	tɕʰioŋ5	用鼻子闻
嗽	sɐu5	～口
嘉	kᴀ1	
嘴	tsoi3	
器	kʰi5	
囂	ɕiu1	
四	si5	
回	oi2	
团	d̥on2	
园	yn2	
困	kʰuɐn5	
圍	ʏei2	
固	ku5	
國	kuk7a	
圖	d̥u2	
圓	yn2	
圈	kʰyn1	圆～
土	tʰu3	
在	d̥z̥ɐi6	
地	d̥ei6	～上
地	d̥i6	土～
場	d̥ʑ̥iɑŋ2	
址	tɕi3	
均	kyɐn1	
坏	uɑi6	
坐	d̥z̥ø6	
块	kʰuɑi5	
墳	fən2	
坡	pʰo1	
坪	b̥iŋ2	
型	xʱiŋ2	
墊	d̥im6	～钱
埋	mən2	
培	b̥oi2	
基	ki1	
堂	d̥ɔŋ2	
堆	tueⁱ1	
塞	sɐk7a	
填	d̥in2	
墓	mu4	
牆	tsiɑŋ2	
增	tsəŋ1	
墨	mɐk7a	
壁	pik7a	
壅	ioŋ5	
士	ɕi6	
壯	tɕiuŋ5	
聲	ɕiŋ1	
壺	u2	
處	tɕʰy3	～理
備	b̥i6	
复	fu5	～兴
复	fok7a	～原
多	to1	
夜	iɑ6	
够	kɐu5	
大	d̥ɑi6	
天	tʰin1	
太	tʰɑi5	
夫	fu1	
央	iɑŋ1	
頭	d̥ɐu2	
夾	kɐp7a	
夾	ŋɑp7b	～菜
奪	d̥ot8a	
奇	ɡ̊i2	
契	kʰi5	～约
套	tʰoᵘ5	
女	ny4	
好	xoᵘ3	～坏
如	y2	
婦	fu5	
妓	ki5	
妖	iu1	
妨	fuŋ2	～害
妹	mɔi6	此词也表示“女”义
姊	tsi3	
始	ɕi3	
姐	tsi3	
姑	ku1	
姓	siŋ5	
委	ʏei3	
姜	kiɑŋ1	姓
姨	i2	
威	ʏei1	
嬌	kiu1	
婆	b̥o2	
婚	fən1	
嫁	kᴀ5	
嫂	soᵘ3	
嫌	im2	
嫩	nɐn6	
孀	ɕiuŋ1	
子	tsi3	
子	d̥ʑ̥y6	
孕	yɐn6	
字	d̥z̥i6	
存	d̥z̥ɐn2	
孫	sɐn1	
孝	xɑu5	
季	ki5	
學	xʱɐk8a	
孽	ȵep8a	
守	ɕiɐu3	
安	ʔon1	
宋	soŋ5	
宗	tsoŋ1	
官	kon1	
定	d̥iŋ6	
寶	pɐu3	
實	ɕiɐt8a	
客	kʰek7b	
宣	syn1	
室	ɕiet8a	
宮	koŋ1	
害	xʱɑi6	
宵	siu1	
家	kᴀ1	
容	ioŋ2	
宿	sok8b	
寄	ki5	
寇	kʰɐu5	
富	fu5	
寓	y6	
察	d̥ʑ̥iɑ2	
寨	ɕiɑi6	
寸	tsʰɐn5	
對	toi5	
壽	ɕiɐu6	
封	foŋ1	
射	ɕie6	
將	tsiɑŋ5	大～
尊	tsɐn1	
少	ɕiu3	多～
尖	tɕim1	
尘	d̥ʑ̥ien2	
尝	ɕiɑŋ2	
尤	iɐu2	
尸	ɕi1	
尺	tɕʰik7a	
尽	d̥z̥in6	
尾	mi4	
尿	ȵiu6	
局	ɡ̊iok8a	
屁	pʰi5	
層	d̥z̥əŋ2	
居	ky1	
屋	ʔok7a	
展	tɕiɑn3	
屯	d̥ɐn6	
山	ɕiɑn1	
歲	sei5	
岔	tɕʰiɑ5	三～路
崗	kɔŋ1	
島	toᵘ3	
岭	liŋ4	
岸	ŋɑn6	
峯	foŋ1	
崔	tsʰueⁱ1	姓
崩	pəŋ1	
川	tɕʰyn1	
州	tɕiɐu1	
左	tso5	
巧	kʰiu3	
差	tɕʰiɑ1	～别；～不多
差	tɕʰiɑi1	出～
巳	ɕi6	
巴	pᴀ1	
巷	xʱɑŋ6	
巾	ken1	
市	ɕi6	
布	pu5	
帥	ɕyɑi5	
帆	fɑn2	
師	si1	
希	ɕi1	
帳	tɕiɑŋ5	
帘	iim2	
帚	d̥ʑ̥iɑp8b	
帝	te5	
帶	tɑi5	
席	d̥z̥ik8a	
幫	puŋ1	
常	d̥ʑ̥iɑŋ2	
帽	mɐu6	
幅	fu5	
幕	mok8a	
干	kuɑn1	～涉；～净
干	kɑn5	～部
平	b̥iŋ2	
年	nin2	
幾	ki3	～个
广	kuŋ3	
慶	kʰiŋ5	
牀	ɕiuŋ2	
序	ɕy5	
庫	kʰu5	
應	ʔiŋ5	～当；～用：～对；响～
底	tei3	
店	tim5	
廟	miu6	
府	fu3	
廢	fe5	
度	tu5	
座	d̥z̥ø6	
庭	d̥iŋ2	
庵	ʔon1	
康	kʰɔŋ1	
廉	liɐn2	
廊	lɔŋ2	
廖	liu4	姓
延	in2	
建	kien5	
開	kʰɐi1	
弃	kʰi5	
式	ɕi6	
弓	koŋ1	
引	iɐn4	
弟	d̥ei6	此词也表示“男”义
張	tɕiɑŋ1	
彎	uɑn1	
彈	d̥ɑn2	～琴
彈	d̥ɑn6	子～
强	ɡ̊iɑŋ2	～弱
强	kʰiɑŋ3	～大；倔～
當	tɔŋ1	～时，应～
當	d̥ɔŋ6	～作，典～
录	lok8a	
形	ɕiŋ2	
彩	tsʰɑi5	
彪	piu1	
待	d̥ɐi6	
很	xɐn3	
律	liɐt8a	
後	xʱɐu6	～来
徒	d̥u2	
得	tɐk7a	
德	tɐk7a	
心	sɐm1	
必	b̥i6	
憶	ʔi5	
忌	ki5	
忍	ȵɐn3	
志	d̥ʑ̥i6	
忘	muŋ6	
忙	muŋ2	
忠	tɕioŋ1	
忧	iɐu1	
快	kʰuɑi5	
念	niɐm6	
態	tʰɑi5	
怕	pʰᴀ5	
怜	lin2	
思	si1	
急	kiɐp7a	
性	siŋ5	
怨	yn5	
怪	kuɑi5	
總	tsoŋ3	
恐	kʰoŋ3	
恩	ʔən1	
息	sik7a	
悉	sit7a	
悔	foi3	
情	d̥z̥iŋ2	
惜	sik7a	
慚	d̥z̥ɑm2	
慣	kuɑn5	
想	siɑŋ3	
惹	ȵe3	
愁	d̥ʑ̥iɐu2	
意	ʔi5	
愿	ȵyn6	
慌	fuŋ1	
慢	mɑn6	
懶	lɑn4	
戲	ɕi5	
成	ɕiŋ2	
我	ŋu4	
或	xʱo6	
戰	d̥ʑ̥iɑn6	
戚	tsʰik7a	
截	tsiet7a	
