#漢字	音標	解釋
一	it7	白
一	iɐt7	文;第一
七	tsʰit7	
丈	tou6	一丈
三	sa1	
上	tsiu6	上面
下	○ai3	底下
与	○i3	
丑	tsʰau3	
專	tsin1	
且	tsʰia3	
丙	peŋ3	
業	ŋip8	
東	taŋ1	
兩	niu3	几两
並	pieŋ6	
中	taŋ1	当中
串	tsʰiu5	
丸	○in2	
丹	tan2	
爲	○uɐi6	作为
主	tsu3	
丼	tsai3	
丽	lɐi1	
舉	ki3	
久	ku2	
義	ŋi6	
之	tsi2	
烏	○ɔ1	
樂	ŋok7	音乐
乙	○it7	
九	kɐu3	
乞	kʰit7	
習	tsap7	
鄉	hiu1	
書	tsu1	
買	me6	
亂	nui6	
亂	nui6	
了	liau3	了结
事	su6	
于	○i1	
亏	kʰuɐi2	
云	○uɐn6	子云
五	ŋɔ1	
井	tsai3	
亖	si1	
亞	○a1	
亞	○a1	
亡	mɔŋ6	
交	kau1	
產	tsʰan3	
享	hiɔŋ3	
京	kieŋ1	
亭	tʰeŋ2	
亯	hiɔŋ3	
人	nan2	
仁	ŋin2	
仅	kɐn3	
仇	tsʰau6	
介	kai1	
倉	tsʰou1	
付	hu5	
仙	sin1	
仝	tʰaŋ2	
令	leŋ6	
以	○i3	
儀	ŋi2	
件	kin6	
任	ŋim6	主任
企	kʰia3	
伊	○i1	
伐	fat7	
休	○iɐu2	
偉	○uɐi3	
傳	tsin1	传记
傷	siɔŋ2	
僞	ŋɐi1	
伴	pʰua6	
伸	tsʰun1	
似	tsʰu3	
佀	tsʰu3	
位	○ui6	
低	te1	
住	tiu6	
佔	siam5	
余	○i2	
佛	put8	
作	tsɐu5	
佳	kai1	
使	sɐi3	
來	lɐi2	
例	le6	
侍	su6	
側	tsʰiek7	
僑	kʰiu2	
侯	hou2	
侵	tsʰɐm2	
便	pʰi1	便宜
俗	sok7	
保	pɔ3	
信	sin5	
修	siu1	
俻	pi1	
倉	tsʰou1	
個	kɐi2	一个人
倍	pʰuoi3	
倒	tɔ3	打倒
候	hau6	
倦	kin1	
債	tsai1	
傾	kʰeŋ2	
假	kɐi3	真假
偉	○uɐi3	
側	tsʰiek7	
偶	ŋɐu3	
偷	tʰau1	
傑	kit7	
備	pi1	
傳	tsin1	传记
債	tsai1	
傷	siɔŋ2	
傾	kʰeŋ2	
僅	kɐn3	
僊	sin1	
像	siu5	
僑	kʰiu2	
僞	ŋɐi1	
僻	pʰek8	
儀	ŋi2	
儒	○i6	
兂	tsɐm2	
兄	hia1	
充	tsʰoŋ2	
先	sai1	
光	kui1	
