#漢字	音標	解釋
一	it8	文读，白读。
一	iɐt8	
丁	tɐŋ1	
七	tsʰit7a	文读，白读。
七	tsʰit8	
七	tsʰɐt7a	
七	tsʰɐt8	
丄	siɔŋ3	上山。
丈	tiɔŋ6	文讀，白讀。
丈	tiɔŋ2	
丈	tsiɔŋ6	
丈	tsiɔŋ2	
三	sam1	
上	siɔŋ6	上面。文读，白读。
上	siɔŋ2	
下	a6	底下。文读，白读。
下	a2	
下	ha6	
下	ha2	
与	i3	给与。
丐	kʰɔi2	乞丐。文读，白读。
丐	kʰɔi5	
丐	kʰɛ2	
丐	kʰɛ5	
丐	ŋɔi2	
丐	ŋɔi5	
丐	ŋɛ2	
丐	ŋɛ5	
丑	tsʰiu3	文读，白读。
丑	tsʰɐu3	
專	tsɛn1	文读，白读。
專	tsin1	
且	tsʰiɛ3	
丕	pi1	文读，白读。
丕	pʰi1	
世	siɛ5	文读，白读。
世	siɛ2	
世	sɐi5	
世	sɐi2	
丗	siɛ5	文读，白读。
丗	siɛ2	
丗	sɐi5	
丗	sɐi2	
丘	iɐu1	文讀，白讀。
丘	iɛu1	
丘	hiɐu1	
丘	hiɛu1	
丙	pɐŋ3	
業	ŋiɛp8	文读，白读。
業	ŋiɛp7b	
業	ŋip8	
業	ŋip7b	
叢	soŋ6	
東	toŋ1	文读，白读。
東	tɛŋ1	
絲	si1	
丞	sɐŋ6	
丠	iɐu1	文读，白读。
丠	iɛu1	
丠	hiɐu1	
丠	hiɛu1	
丣	iɐu3	
兩	liɔŋ3	两个。
嚴	ŋim2	文读，白读。
嚴	ŋim6	
並	pɐŋ2	
喪	sɔŋ2	丧失。
丩	tɐu3	纠缠。
丫	a2	丫头。
中	tsoŋ1	当中。
串	tsʰiɛn5	文读，白读。
串	tsʰiɛn2	
串	tsʰin5	
串	tsʰin2	
臨	liɛm2	文读，白读。
臨	liɛm6	
臨	lɐm2	
臨	lɐm6	
丸	uɐn2	肉丸。文读，白读。
丸	uɐn6	
丸	in2	
丸	in6	
丹	tan1	
爲	uɐi6	作为。
主	tsuɔ3	文读，白读。
主	tsi3	
丼	tsaŋ3	文读，白读。
丼	tsiɛŋ3	
丽	lɐi2	美丽。
舉	ki3	
乃	nai3	
久	kɐu3	
義	ŋi2	
之	tsi1	
烏	u1	
乍	tsa2	
乎	fu6	
乏	fat7b	
樂	ŋɔk7b	音乐。
喬	kʰiu6	
乖	kuɵi1	文讀，白讀。
乖	kuai1	
乘	sɐŋ6	
乘	sɐŋ6	
乙	it7b	
九	kau3	文读，白读。
九	kɐu3	
乞	hɐt8	文读，白读。
乞	hɐt7b	
乞	hit8	
乞	hit7b	
乞	kʰɐt8	
乞	kʰɐt7b	
乞	kʰit8	
乞	kʰit7b	
也	ia3	也是。
習	tsɐp7b	
鄉	hiɔŋ1	
書	si1	
買	mɛ3	文读，白读。
買	mai3	
亂	lɔn6	文读，白读。
亂	lɔn2	
亂	lin6	
亂	lin2	
乳	iɐi3	
