#漢字	音標	解釋
□	tsʰɥ1	～展：伸直
□	tsʰɥ1	由于风向或天气的关系，灶火往家里冒烟
□	ty1	～坏了：摔碎了
□	ty1	把物体摞起
□	tɕʰy1	～屎：形容上厕所动作慢
□	ma1	干～～：烘干的馒头切片
□	ta1	爷～～：表示惊讶时的用法
□	nza1	地面积水与泥混合，行走不方便
□	sa1	～头发：剪头发
□	tʂa1	用水泡菜或熟鸡蛋
□	pia1	简单的大针脚地缝
□	lia1	薄～：挣扎
□	tɕia1	面条儿
□	tsua1	腊八粥
□	sua1	～起袖子：把袖子撸起来
□	kua1	骂人
□	ɕya1	～了一顿；骂了一顿
□	tɕʰiɛ1	鸟鸟～你：鸟啄你
□	pae1	～人：举行葬礼
□	tae1	～躲：藏起来
□	tsʰae1	～枣：用筷子或者柱状物体捣碎枣
□	sae1	～牙嘶嘴：龇牙咧嘴
□	suae1	～在旮旯：悄悄地放在旮旯
□	kuae1	～一下刀：磨刀
□	tei1	～督：不怀好意的建议做事
□	kʰei1	被同学～了一顿：被教训了一顿
□	zuei1	～～：一种野生植物，果实是红色小圆粒，可以吃。
□	kʰuei1	类似于打
□	tɔu1	～走：错拿
□	tsɔu1	衣服～了：衣服脏了
□	ȵiɔu1	不～人：傲慢无礼
□	tsʰəu1	～裤：把裤子穿好
□	səu1	圪～人：挠痒痒
□	tʂəu1	～留：把东西整理在一处
□	tiəu1	～上东西：用手拿上东西
□	nzæ̃1	我妈老～我：妈妈老唠叨我
□	æ̃1	～，这不是你的：表示否定
□	tsuæ̃1	～人：骂人
□	nzəŋ1	～住：用铁丝等缠绕
□	nzəŋ1	～～～，～～～；声音不清晰
□	tuŋ1	～地放下;突然用力放下
□	pɿ3	除去液体
□	pʰi3	～树枝枝；从树上折下树枝
□	ti3	～下来；吊下来
□	tʰi3	～下：表示贬义的躺下
□	li3	单手拿物，使物体重心不稳：把孩～出呀
□	sa3	～子：铁的、铝的或不锈钢的洗衣盆
□	tʂʰa3	八～～：比圆形器皿更扁一点的口
□	pʰia3	把腿～开：分开双腿
□	tɕya3	表示事物比较硬
□	lyɛ3	～住肉了，疼死了：用手揪住了肉，疼死了
□	ȵyo3	～人：推人
□	pʰae3	～下：故意让人做不必要的事情
□	tʰae3	～一觉：舒服的睡一觉
□	sae3	～～：抱着孩子摇晃
□	xae3	人～得多：人多
□	luae3	～霸王火
□	kʰuae3	～上走了：通过哄骗等手段拿走
