#漢字	音標	解釋
□	tsɿ1	
□	tɕʰiɘɯ1	箍桶
□	pʰaʔ7	用手撕開
□	kiaʔ7	鐮刀
□	tsʰaʔ7	皴
□	ɦuɛ2	小孩乖
□	dza~6	塞
一	iɪʔ7	
丁	ɗiŋ1	
七	tsʰəʔ7	
丈	dʑia2	
三	sa1	
上	ʑia2	～山
上	ʑia6	～面
下	ʊɤ3	
不	ɓəʔ7	
丐	kɛ5	
且	tɕʰi3	
丕	pʰi1	
世	ɕi5	
丘	tɕʰiɘɯ1	
丙	ɓiŋ3	
丞	ʑiŋ2	
丟	ɗø1	
並	biŋ2	
並	ɓiŋ5	合～
丫	ʊɤ1	
中	tɕyoŋ1	當～
中	tɕyoŋ5	射～
串	tsʰø5	
丸	ɦua2	
丹	ɗa1	
主	tɕy3	
乃	ʔna3	
久	tɕiɘɯ3	
么	iɐɯ1	～二三
之	tsɿ1	
乏	vɔʔ8	
乖	kua1	
乘	ʑiŋ2	
乙	iɪʔ7	
九	tɕiɘɯ3	
乞	tɕʰiɪʔ7	
也	ia3	
乳	ʑy2	
亂	lø6	
了	liɐɯ2	
了	ʔliɐɯ3	
二	ȵi6	
互	ɦu6	
五	ʔŋ3	
井	tɕiŋ3	
些	səʔ7	
亞	ʊɤ5	
亡	vɔ~2	
交	kɐɯ1	
亥	ɛ3	
亦	ɦiɪʔ8	
亨	ha~1	
享	ɕia3	
京	tɕiŋ1	
亭	diŋ2	
亮	lia6	
人	ziŋ2	文
人	ȵiŋ2	白
什	zəʔ8	～錦菜
仁	ziŋ2	
仇	dʑiɘɯ2	姓
仇	dʑiɘɯ2	
今	tɕiŋ1	
介	za5	
仍	ȵiŋ2	
仕	zɿ2	
他	tʰa1	
仗	dʑia2	
付	fu5	
仙	ɕie1	
代	dɛ6	
令	liŋ6	
以	i3	
仰	ʔȵia3	
仲	dʑyoŋ6	
件	dʑie2	
任	ȵiŋ2	姓
任	ziŋ6	責～
份	veŋ6	
仿	fɔ~3	相似
仿	fɔ~3	～效
企	tɕʰi3	
伊	i1	
伍	u3	
