#漢字	音標	解釋
□	tsɿ2	開門聲
□	li1	用刀割
□	tsʰu1	奉送
□	zu1	動詞，背後打擊
□	tu2	動詞
□	tɕʰy3	折斷
□	ma1	拉下
□	fa1	語氣詞
□	tsa2	走路穩
□	kʰa2	爭搶
□	xa2	愚也
□	a5	下肥
□	tɕʰia1	不正
□	tɕʰia1	彊迫
□	tɕʰia2	搶
□	ɕia1	目瞪口嬯
□	ɕia3	耍無賴
□	tia3	嬌態
□	kua1	耷拉
□	kʰua2	刮削
□	mɔ1	浮出
□	mɔ3	遺漏
□	zɔ1	閃過
□	kɔ5	有別
□	kʰɔ1	營養不良
□	xɔ1	揪著
□	piɔ5	湯汁過濃而膩人
□	pʰiɔ3	變形
□	mo5	假財物
□	so2	慢慢蹲下不動
□	to2	喚雞聲
□	xo1	吃
□	pʰɛ1	跐蹋
□	pʰɛ3	踐蹋
□	lɛ3	大把撦
□	kʰɛ2	打飽嗝
□	kʰɛ5	等待
□	tsuɛ1	棄擲
□	tsuɛ2	有錢勢
□	xuɛ3	左右擺
□	uɛ1	河蚌
□	uɛ3	～藕
□	sɤɯ2	抖動
□	kɤɯ2	目稍斜視
□	kʰɤɯ2	形容詞
□	kʰɤɯ3	兇暴
□	xɤɯ1	過分甜、鹹
□	xɤɯ3	欲望強烈
□	liɤɯ1	擰著
□	liɤɯ5	不乾脆
□	tɕʰiɤɯ5	央求
□	pɪ3	不方便
□	tsʰuɪ3	折斷
□	tsʰã5	摩擦
□	tsuaŋ1	彎腰
□	tʰõ1	掏
□	õ1	彎卷
□	kʰən5	污垢
□	ən2	性格強
□	pʰɔŋ1	激起
□	sɔŋ2	懦弱無用
□	zɔŋ1	跛足貌
□	ɕioŋ2	訓斥
㐁	tʰiẽ5	
㛴	lɔ3	
㝾	tso3	
㞎	pa2	
㡟	tsɔ1	
㥮	tsɤɯ2	楚絞切 心迫也 暫代
㦟	mɛ2	
㬉	lõ3	
㭋	pã5	
㱟	pʰi1	
㵄	xã5	
㷅	tsʰɔ3	
㾹	tsʰɛ2	
䉬	fɪ5	
䉮	liŋ5	
䊧	pʰi5	
䔓	ɕy3	
䚻	iɔ2	
䛐	tsʰɿ2	
䜎	lɔ2	
䥵	ɕiɔ3	
䪮	tsʰɤɯ3	
䫂	tɛ3	
䲾	tɕʰiɔ3	
䵷	ua1	
一	ieʔ7	
丁	tiŋ1	
丂	kʰɔ3	
七	tɕʰieʔ7	
丈	tsã5	
三	sã1	
上	sã5	
下	xa5	
下	ɕia5	
不	poʔ7	
丏	miẽ3	
丐	kɛ5	
丑	tsʰɤɯ3	
且	tɕy1	
且	tsʰiɪ3	
丕	pʰi1	
世	sɿ5	
丘	tɕʰiɤɯ1	
丙	piŋ3	
丟	tiɤɯ1	
並	piŋ5	
丩	tɕiɤɯ1	
中	tsɔŋ1	
中	tsɔŋ5	
丰	fɔŋ1	
丸	õ2	
丹	tã1	
主	tsu3	
主	uaŋ2	
丼	tã3	
