#漢字	音標	解釋
丁	tiaŋ1	
七	tɕʰi1	
万	uɔn5	
丈	tsɔŋ5	
三	san1	
上	sɔŋ3	～山
上	sɔŋ5	～面
下	ha3	～降
下	ha5	底～
不	pu5	
丐	kɔi5	
丑	tʰiɛu3	美～
丑	tsʰɛu3	子～寅卯
專	tuɔn1	
且	tɕʰie3	
丕	pʰi1	
世	sɿ5	
丘	tɕʰiɛu1	
丙	pin3	
叢	tsʰəŋ2	
東	təŋ1	
絲	su1	
丞	tsʰɛn2	
丟	tiɛu1	
兩	liɔŋ3	～个
兩	liɔŋ3	几～几钱
嚴	ȵiɛn2	
嚴	iɛn2	
喪	sɔŋ5	婚～；～失
个	ta1	
丰	fəŋ1	
串	tsʰuɔn5	
臨	lin2	
丹	tan1	
爲	vi5	
主	ty3	
丽	li5	
舉	tɕy3	
乃	lai3	
久	tɕiɛu3	
麼	mo1	
義	ȵi5	
之	tsɿ1	
烏	u1	
乍	tsa2	
乎	fu1	
乏	fa2	
樂	luo5	快～
喬	tɕʰiau2	
乖	kuai1	
乘	tsʰɛn2	
九	tɕiɛu3	
乞	tɕʰi3	
習	ɕi2	
鄉	ɕiɔŋ1	
書	ɕy1	
買	mai3	
亂	luɔn5	
乳	lu3	
乾	tɕʰiɛn2	～坤
了	liau3	～结
爭	tsaŋ1	
事	su5	
二	a5	
虧	kʰvi1	
雲	yn2	
互	fu5	
五	ŋ3	
井	tɕiaŋ3	
些	ɕie1	
亡	uɔŋ2	
交	kau1	
亥	hɔi5	
產	tsʰan3	
亨	həŋ1	
畝	mɛu3	
享	ɕiɔŋ3	
京	tɕin1	
亭	tʰin2	
亮	liɔŋ5	
親	tɕʰin1	～吻
親	tɕʰin1	～家
人	ȵin2	
仁	ȵin2	
僅	tɕin3	
仆	pʰu1	前～后继
仆	pʰu2	～人
仇	tʰiɛu2	
今	tɕia3	
介	kai5	
从	tsʰəŋ2	～容
从	tsʰəŋ2	跟～
仑	luən2	
倉	tsʰɔŋ1	
仕	sɿ5	
他	kie2	
仗	tsɔŋ5	
付	fu5	
仙	ɕiɛn1	
代	tɔi5	
令	lin5	
以	i3	
儀	i2	
仰	iɔŋ3	
仲	tsəŋ3	
件	tɕʰiɛn5	
價	ka5	
任	lɛn5	
份	fɛn5	
仿	fɔŋ3	
仿	fɔŋ3	相～
仿	fɔŋ3	～佛
企	tɕʰi3	
伊	i1	
伏	fu2	
伐	fe5	
休	ɕiɛu1	
衆	tsəŋ5	
優	iɛu5	
伙	fo3	
會	fi5	开～
會	fi5	～不～
會	kʰuai5	～计
傘	san3	
偉	vi3	
傳	tsʰuɔn2	
傳	tsuɔn5	～记
伢	ŋa2	
傷	sɔŋ1	
倫	luən2	
僞	vi3	
伯	pa1	
估	ku1	
伴	pʰɔn2	
伶	lin2	
伸	sɛn1	
伺	su5	
似	sɿ5	
佃	tʰiɛn2	
但	tʰan5	
位	vi5	
低	ti1	
住	tʰy5	
佐	tsuo3	
體	tʰi3	
何	ho2	
佘	sa1	
佛	fo2	～像
作	tsuo5	
你	ȵi1	
佣	iəŋ5	
佩	pʰi5	
佳	ka1	
使	sɿ3	
侄	tsɿ2	
侈	tsʰɿ3	
侉	kʰua1	
例	li5	
侍	sɿ5	
供	kuəŋ1	～给，～不起
供	kuəŋ5	～养，上～
依	i1	
偵	tsɛn1	
側	tsʰe1	
僑	tɕʰiau2	
儂	ləŋ2	
侯	hɛu2	
侵	tɕʰin1	
便	pʰiɛn2	～宜
便	piɛn5	方～
促	tsʰu5	
俊	tɕyn5	
俏	tɕʰiau5	
俗	su2	
俘	fu2	
保	pau3	
信	ɕin5	
儼	ȵiɛn3	
儉	tɕiɛn3	
修	ɕiɛu1	
俯	fu3	
俱	tɕy5	
俸	fəŋ5	
倍	pʰi5	
倒	tau3	打～，颠～
倒	tau5	
倔	tɕyø5	脾气～
倔	tɕyø5	～强
倘	tʰɔŋ3	
候	hɛu5	
倚	i3	
借	tɕia5	
倡	tʰɔŋ1	
倦	tɕyɔn5	
倪	ȵi2	
債	tsɔi5	
值	tʰi1	
傾	tɕʰin1	
假	ka3	
偏	pʰiɛn1	
做	tsu5	
停	tʰin2	
健	tɕiɛn5	
偷	tʰɛu1	
償	tʰɔŋ2	
傀	kʰvi2	
傅	fu5	
傢	ka1	
儲	tʰy3	
催	tʰy1	
傲	ŋau5	
傻	sa3	
像	ɕiɔŋ5	
僧	sɛn1	
僵	tɕiɔŋ1	
僻	pʰi5	
儒	lu2	
兒	a2	
允	iəŋ3	
元	ȵyɔn2	
兄	ɕiaŋ1	
充	tʰəŋ1	
兆	tsau5	
光	kuɔŋ1	～线
免	miɛn3	
兌	tʰy5	
兔	tʰu5	
黨	tɔŋ3	
兜	tɛu1	
入	lu5	
全	tɕʰyɔn2	
公	kuəŋ1	
六	liɛu1	
兮	ɕi1	
蘭	lan2	
共	kuəŋ5	
關	kuɔn1	～门
興	ɕin1	～旺
興	ɕin5	高～
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tiɛn3	
兹	tsu1	
養	iɔŋ3	
兼	tɕiɛn1	
冀	tɕi5	
內	ly5	
冇	mau1	
岡	kɔŋ3	
冊	tsʰe5	
再	tsɔi5	
冒	mau5	
寫	ɕia3	
軍	tɕyn1	
農	ləŋ2	
冠	kuɔn1	衣～
冠	kuɔn5	～军
冬	təŋ1	
馮	fəŋ2	
冰	pin1	
冲	tsʰəŋ1	
决	tɕyø1	
况	kʰuɔŋ5	
冷	laŋ3	
凍	təŋ5	
淨	tɕin5	
準	tsuən3	批～
準	tsuən3	～则
凉	liɔŋ2	
