#漢字	音標	解釋
㐁	GJ	
㐄	GJ	
㐌	GJ	
㐜	GJ	
㐨	GJ	
㐳	GJ	
㑊	GJ	
㑋	GJ	
㑌	GJ	
㑗	GJ	
㑛	GJ	
㑥	GJ	
㑦	GJ	
㑮	GJ	
㑳	GJ	
㑷	GJ	
㑻	GJ	
㒁	GJ	
㒊	GJ	
㒍	GJ	
㒔	GJ	
㒜	GJ	
㒡	GJ	
㒨	GJ	
㒩	GJ	
㒸	GJ	
㒼	GJ	
㓗	GJ	
㓞	GJ	
㓟	GJ	
㓠	GJ	
㓡	GJ	
㓤	GJ	
㓦	GJ	
㓵	GJ	
㓺	GJ	
㔅	GJ	
㔋	GJ	
㔨	GJ	
㔩	GJ	
㔮	GJ	
㔶	GJ	
㔹	GJ	
㕉	GJ	
㕎	GJ	
㕒	GJ	
㕙	GJ	
㕧	GJ	
㕭	GJ	
㕮	GJ	
㕲	GJ	
㕶	GJ	
㖃	GJ	
㖔	GJ	
㖟	GJ	
㖤	GJ	
㖧	GJ	
㖫	GJ	
㖮	GJ	
㖿	GJ	
㗅	GJ	
㗉	GJ	
㗊	GJ	
㗘	GJ	
㗦	GJ	
㗩	GJ	
㗫	GJ	
㗱	GJ	
㗲	GJ	
㗳	GJ	
㗻	GJ	
㗿	GJ	
㘁	GJ	
㘆	GJ	
㘈	GJ	
㘉	GJ	
㘊	GJ	
㘓	GJ	
㘔	GJ	
㘖	GJ	
㘚	GJ	
㘝	GJ	
㘞	GJ	
㘣	GJ	
㘤	GJ	
㘨	GJ	
㘩	GJ	
㘰	GJ	
㘲	GJ	
㙚	GJ	
㙡	GJ	
㙪	GJ	
㙬	GJ	
㙳	GJ	
㙷	GJ	
㙺	GJ	
㚃	GJ	
㚇	GJ	
㚔	GJ	
㚤	GJ	
㚲	GJ	
㚻	GJ	
㚿	GJ	
㛗	GJ	
㛹	GJ	
㛺	GJ	
㜎	GJ	
㜘	GJ	
㜪	GJ	
㜮	GJ	
㜲	GJ	
㜷	GJ	
㜸	GJ	
㜿	GJ	
㝃	GJ	
㝅	GJ	
㝌	GJ	
㝏	GJ	
㝔	GJ	
㝗	GJ	
㝤	GJ	
㝩	GJ	
㝱	GJ	
㝹	GJ	
㝾	GJ	
㞂	GJ	
㞇	GJ	
㞏	GJ	
㞐	GJ	
㞚	GJ	
㞜	GJ	
㞦	GJ	
㞹	GJ	
㞼	GJ	
㟃	GJ	
㟅	GJ	
㟍	GJ	
㟎	GJ	
㟏	GJ	
㟐	GJ	
㟙	GJ	
㟟	GJ	
㟪	GJ	
㟬	GJ	
㟴	GJ	
㟹	GJ	
㟽	GJ	
㟿	GJ	
㠁	GJ	
㠊	GJ	
㠍	GJ	
㠎	GJ	
㠑	GJ	
㠓	GJ	
㠠	GJ	
㠢	GJ	
㠥	GJ	
㠧	GJ	
㠱	GJ	
㠾	GJ	
㠿	GJ	
㡂	GJ	
㡇	GJ	
㡘	GJ	
㡚	GJ	
㡛	GJ	
㡞	GJ	
㡭	GJ	
㡲	GJ	
㡸	GJ	
㢉	GJ	
㢋	GJ	
㢙	GJ	
㢡	GJ	
㢧	GJ	
㣇	GJ	
㣈	GJ	
㣤	GJ	
㣯	GJ	
㤄	GJ	
㤅	GJ	
㤉	GJ	
㤋	GJ	
㤕	GJ	
㤝	GJ	
㤞	GJ	
㤥	GJ	
㤯	GJ	
㤿	GJ	
㥄	GJ	
㥅	GJ	
㥋	GJ	
㥏	GJ	
㥛	GJ	
㥜	GJ	
㥢	GJ	
㥥	GJ	
㥮	GJ	
㥷	GJ	
㥽	GJ	
㦎	GJ	
㦒	GJ	
㦗	GJ	
㦬	GJ	
㦼	GJ	
㧊	GJ	
㧌	GJ	
㧎	GJ	
㧒	GJ	
㧓	GJ	
㧗	GJ	
㧘	GJ	
㧙	GJ	
㧬	GJ	
㧺	GJ	
㧻	GJ	
㨁	GJ	
㨄	GJ	
㨆	GJ	
㨔	GJ	
㨖	GJ	
㨛	GJ	
㨡	GJ	
㨨	GJ	
㨭	GJ	
㨳	GJ	
㨷	GJ	
㨽	GJ	
㨿	GJ	
㩀	GJ	
㩉	GJ	
㩜	GJ	
㩝	GJ	
㩠	GJ	
㩧	GJ	
㩲	GJ	
㩳	GJ	
㩴	GJ	
㩻	GJ	
㩼	GJ	
㪇	GJ	
㪍	GJ	
㪯	GJ	
㪶	GJ	
㪺	GJ	
㫰	GJ	
㫲	GJ	
㬈	GJ	
