#漢字	音標	解釋
一	et7	文读
七	tsʰet7	文读
丄	sɔŋ1	文读
丅	ha5	文读
丈	tsʰɔŋ5	文读
上	sɔŋ5	文读
下	ha5	文读
不	but7	文读
世	sɛ5	文读
丗	sɛ5	文读
丘	hiu1	文读
業	ȵiap8	文读
東	duŋ1	文读
絲	si1	文读
丠	hiu1	文读
兩	liɛŋ1	文读
嚴	ȵiam2	文讀
中	tsuŋ1	文读
丸	ian2	文读
主	tsi3	文读
丼	tsiɛŋ3	文读
久	kiu3	文讀
義	ȵi5	文读
之	tsi1	文读
烏	vu1	文读
乏	fat8	文读
乖	kuai1	文读
九	kiu3	文读
習	tsʰip8	文读
鄉	hiɛŋ1	文读
書	si1	文读
買	mai1	文读
亂	lɔn5	文读
亂	lɔn5	文读
了	liɛu3	文读
事	si5	文读
二	ȵi5	文读
亏	kʰui1	文讀
五	ŋ3	文读
井	tsiɛŋ3	文讀
亖	ɬi5	文读
交	kau1	文读
產	tsʰan3	文读
親	tsʰen1	文读
人	ȵien2	文读
从	tsʰuŋ2	文读
倉	tsʰɔŋ1	文读
仙	ɬiɛn1	文讀
代	tʰɔi5	文读
以	i3	文读
件	kʰiɛn5	文读
任	ȵim5	文读
休	hiu1	文读
會	fui5	文读 白读
會	fui5	
傘	ɬan3	文读
偉	vui3	文读
傷	sɔŋ1	文读
伯	bɐk7	文读
伴	pʰan5	文读
位	vui5	文读
低	dɛ1	文读
住	tsʰi5	文读
余	i2	文讀
佛	fut8	文读
作	tsɔ5	文讀
使	si3	文读
來	lɔi2	文读
例	lɛ5	文读
俗	tsʰuk8	文读
信	ɬen5	文读
修	ɬiu1	文读
俻	pʰi3	文读
倉	tsʰɔŋ1	文读
倍	pʰɔi3	文读
借	tsɛ5	文读
債	tsai5	文读
傾	kʰen1	文读
假	ka3	文讀
偉	vui3	文读
偏	pʰiɛn1	文读
停	tʰen2	文读
健	kʰiɛn3	文读
偪	bet7	文读
偷	tʰɐi1	文读
傑	kʰiɛt8	文读
傘	ɬan3	文读
備	pʰi3	文读
催	tsʰui1	文讀
傲	ŋɔ5	文读
債	tsai5	文读
傷	sɔŋ1	文读
傾	kʰen1	文讀
僊	ɬiɛn1	文读
像	ɬiɛŋ5	文读
儛	mu3	文读
允	iun3	文读
元	ȵian2	文读
兄	hen1	文读 白读
兄	hen1	
兄	huŋ1	
先	ɬiɛn1	文读
光	kɔŋ1	文读
免	miɛn3	文讀
兒	ȵi2	白读 文读
兒	ȵi1	
兒	ȵi2	
兔	tʰu5	文读
兜	dɐi1	文读
入	ip8	文读
全	tsʰɔn2	文讀
兩	liɛŋ1	文讀
八	bat7	文读
公	kuŋ1	文读
六	luk7	文读
蘭	lan2	文读
共	kʰuŋ5	文读
關	kuan1	文读
興	hen1	文读
兵	ben1	文读
具	kʰi5	文读
兼	kiɛm1	文读
寫	ɬɛ3	文读
軍	kun1	文读
農	nuŋ2	文读
冤	ian1	文读
冫	ben1	文讀
冬	duŋ1	文读
冰	ben1	文读
冲	tsʰuŋ1	文读
准	tsun3	文读
凉	liɛŋ2	文读
凡	fam2	文读
鳳	fuŋ5	文读
凶	huŋ1	文读
凷	fai5	文读
鑿	tsʰɔk8	文读
刀	dɔ1	文读
分	fun1	文读
切	tsʰiɛt7	文读
劉	liu2	文读
初	tsʰɔ1	文读
判	pʰan5	文讀
別	pʰiɛt8	文读
利	li5	文讀
刮	kuat7	文读
到	dɔ5	文读
刷	sat7	文读
刻	hɐt7	文读
削	ɬiɛk7	文读
前	tsʰiɛn2	文读
剝	bɔk7	文读
剪	tsiɛn3	文读
割	kɔt7	文读
劉	liu2	文读
劍	kiɛm5	文读
劒	kiɛm5	文读
劔	kiɛm5	文读
力	let7	文读
勸	hiɛn5	文读
辦	pʰan5	文读
加	ka1	文读
動	tʰuŋ3	文读
助	tsʰu5	文读
效	hau5	文读
勋	fun1	文读
動	tʰuŋ3	文读
勛	fun1	文读
勤	kʰen2	文读
勳	fun1	文读
勸	hiɛn5	文读
包	bau1	文读
化	fa5	文读
北	bɐt7	文读
匪	fui3	文读
匹	pʰet7	文读
區	kʰi1	文读
區	kʰi1	文读
十	sip8	文读
千	tsʰiɛn1	文读
升	sen1	文讀
半	ban5	文读
華	fa1	文读
協	hiɛp8	文读
協	hiɛp8	文读
單	dan1	文读
賣	mai5	文读
南	nam2	文读
博	bɔk7	文读
卤	ɬi1	文读
卥	ɬi1	文读
衛	vui3	文读
印	ien5	文讀
壓	at7	文读
厚	hɐi2	文读
原	ȵian2	文读
叉	tsʰa1	文读
及	kʰip8	文读
雙	sɔŋ1	文读
叔	suk7	文讀
受	siu5	文读
變	biɛn5	文读
叚	ka3	文读
叛	pʰan5	文读
口	hɐi3	文读
叫	kiɛu5	文读
可	hɔ3	文读
叶	hiɛp8	文读
各	kɔk7	文读
合	hap8	文读
名	miɛŋ2	文读
吓	hak7	文读
吞	tʰun1	文读
含	ham2	文读
启	kʰɛ3	文读
吳	ŋ2	文读
吸	kʰip8	文讀
吹	tsʰɔi1	文读
呂	li1	文读 白读
呂	li2	
呂	lui1	
呂	lui2	
呂	li1	
告	kɔ5	文讀
周	tsiu1	文读
呪	tsiu5	文读
味	mui5	文读
命	miɛŋ5	文读
哀	ɔi1	文读
品	pʰɐn3	文读 白读
品	pʰɐn3	
品	pʰen3	
響	hiɛŋ3	文读
哥	kɔ1	文讀
唆	ɬɔ1	文读
唱	tsʰɔŋ5	文读
問	mun5	文读
啓	kʰɛ3	文读
啟	kʰɛ3	文读
善	san5	文读
喉	hɐi2	文读
喜	hi3	文读
單	dan1	文读
嘗	sɔŋ2	文读
噏	kʰip8	文读
器	hi5	文读
嚇	hak7	文读
嚴	ȵiam2	文读
四	ɬi5	文读
回	fui2	文读
因	ien1	文读
团	tʰɔn2	文读
囪	tsʰɔŋ1	文读
困	kʰun5	文读
圍	vui2	文读
國	kɔk7	文读
圖	tʰu2	文读
圓	ian2	文读
國	kɔk7	文读
圍	vui2	文读
圓	ian2	文读
圖	tʰu2	文读
團	tʰɔn2	文读
圜	ian2	文读
土	tʰu3	文读
地	tʰi5	文读
坐	tsʰɔ1	文读
坑	hɐŋ1	文读
块	fai5	文讀
墳	fun2	文读
坡	pʰɔ1	文读
坣	tʰɔŋ2	文读
坼	tsʰɐk7	文读
垕	hɐi2	文讀
墊	tʰiɛm3	文读
埋	mai2	文读
基	ki1	文读
埽	ɬɔ5	文读
埿	nɛ2	文读
堂	tʰɔŋ2	文读
堆	dɔi1	文读
堖	nɔ3	文读
堦	kai1	文读
報	bɔ5	文读
塊	fai5	文读
塔	tʰap7	文读
塗	tʰu2	文读
填	tʰiɛn2	文读
墊	tʰiɛm3	文读
墓	mu5	文读
牆	tsʰiɛŋ2	文读
墨	mɐt8	文读
墩	dun3	文读
墬	tʰi5	文读
墳	fun2	文讀
墻	tsʰiɛŋ2	文读
壁	bet7	文读 白读
壁	bet7	
壁	biɛk7	
壄	ia1	文读
壓	at7	文读
壞	fai5	文读
士	si5	文读
壯	tsɔŋ5	文读
壯	tsɔŋ5	文读
聲	sɐŋ1	文读
壽	siu5	文读
備	pʰi3	文读
外	ŋɔi5	文读
多	dɔ1	文读
夜	ia5	文读
天	tʰiɛn1	文读
太	tʰai5	文读
夫	fu1	文读
失	set7	文读
頭	tʰɐi2	文读
奪	tʰɔt8	文读
奪	tʰɔt8	文读
女	ŋ3	白读 文读
女	ŋ3	
女	i3	
女	nŋ3	
女	ni3	
好	hɔ3	文读
婦	fu3	文读
妙	miɛu3	文读
妹	mɔi5	文讀
妻	tsʰi1	文读
始	tsʰi3	文读
姐	tsɛ3	文讀
姑	ku1	文讀
姓	ɬiɛŋ5	文读
委	vui3	文读
姦	kan1	文读
姨	i2	文读
威	vui1	文读
娘	ȵiɔŋ2	文读
婆	pʰɔ2	文读
婦	fu3	文读
媆	nun5	文读
嫁	ka5	文读
嫂	ɬɔ3	文读
嫌	hiɛm2	文读
嫩	nun5	文读
嬾	lan1	文读
子	tsi3	文读
字	si5	文读
孫	ɬun1	文读
孝	hau5	文讀
孟	mɐŋ3	文读
季	kui5	文讀
學	hɔk8	文读
孫	ɬun1	文读
學	hɔk8	文读
孼	ȵiat8	文读
孽	ȵiat8	文读
守	siu3	文读
安	ɔn1	文读
完	ian2	文读
宗	tsuŋ1	文读
官	kɔn1	文读
定	tʰen5	文读
寶	bɔ3	文读
實	set8	文读
客	hak7	文读
宮	kuŋ1	文读
害	hɔi5	文讀
家	ka1	文讀
容	iuŋ2	文讀
寬	fɔn1	文读
賓	bɐn1	文读
寄	ki5	文读
密	mɐt8	文读
富	fu5	文读
寒	hɔn2	文读
察	tsʰat7	文读
實	set8	文读
寫	ɬɛ3	文读
寬	fɔn1	文读
寴	tsʰen1	文读
寶	bɔ3	文读
寸	tsʰun5	文讀
對	dui5	文读
尋	tsʰim2	文读
壽	siu5	文读
封	fuŋ1	文读
射	sa5	文读
尊	tsun1	文读
尋	tsʰim2	文读
對	dui5	文读
小	ɬiɛu3	文读
少	sau3	文读
尖	tsiɛm1	文读
尝	sɔŋ2	文读
就	tsʰiu5	文读
尺	tsʰɐk7	文读
尽	tsʰen5	文讀
尾	mui1	文讀
尿	ȵiau5	文读
局	kʰuk8	文读
層	tsʰɐn2	文读
屋	uk7	文读
屍	si1	文读
屎	si3	文读
展	tsan3	文读
層	tsʰɐn2	文读
山	san1	文讀
歲	ɬɔi5	文读
岔	tsʰa1	文读
岸	ŋɔn5	文读
峕	si2	文读
嶺	liɛŋ1	文读
州	tsiu1	文读
巢	tsʰau2	文读
工	kuŋ1	文读
左	tsɔ3	文讀
巷	hɔŋ5	文读
巾	ken1	文读
市	si5	文读
布	bu5	文读
帥	sui5	文读
師	si1	文读
帋	tsi3	文读
帳	tsɔŋ5	文讀
帖	tʰiɛp7	文读
帚	tsau3	文读
帥	sui5	文读
帶	dai5	文读
師	si1	文读
帬	kʰun2	文读
幫	bɔŋ1	文读
帳	tsɔŋ5	文读
帶	dai5	文读
常	sɔŋ2	文读
帽	mɔ5	文读
幫	bɔŋ1	文读
平	pʰen2	文读 白读
平	pʰen2	
平	pʰiɛŋ2	
年	ȵian2	文读
幹	kɔn5	文读
幼	iu5	文讀
牀	tsʰɔŋ2	文读
應	ien1	文读
店	diɛm5	文读
廟	miɛu3	文读
度	tʰu5	文读
座	tsʰɔ5	文读
庿	miɛu3	文读
廚	tsʰi2	文读
廟	miɛu3	文读
廠	tsʰɔŋ3	文读
廧	tsʰiɛŋ2	文读
延	ian2	文读
建	kiɛn5	文读
開	hɔi1	文读
弊	bɐi3	白读 文读
弊	bɐi3	
弊	bi3	
弊	pʰɐi3	
弊	pʰi3	
弌	et7	文读
弍	ȵi5	文读
弓	kuŋ1	文读
引	ien3	文读
弟	tʰi5	文读
張	tsɔŋ1	文讀
彎	van1	文读
弱	ȵiɔk8	文读
張	tsɔŋ1	文读
強	kʰiɛŋ2	文读
强	kʰiɛŋ2	文读
彊	kʰiɛŋ2	文读
彎	van1	文读
歸	kui1	文读
形	hen2	文读
彪	biɛu1	文读
彭	pʰɐŋ2	文读
影	ien3	文读
役	iet8	文读
待	tʰɔi5	文读
律	lut7	文读
後	hɐi5	文读
徐	tsʰi2	文读
得	dɐt7	文讀
從	tsʰuŋ2	文读
心	ɬim1	文读
忍	ȵun1	文读
志	tsi5	文读
忙	mɔŋ2	文读
快	fai5	文读
念	ȵiam5	文读
忽	fut8	文读
怕	pʰa5	文读
急	kip7	文读
怪	kuai5	文读
恐	huŋ3	文读
恠	kuai5	文读
恥	tsʰi3	文读
恩	ɐn1	文讀
恾	mɔŋ2	文读
悔	fui3	文读
悲	bi1	文读
情	tsʰen2	文读
惜	ɬet7	文读
惡	ɔk7	文读
慣	kuan5	文读
想	ɬiɛŋ3	文读
惹	ia1	文读
愁	sɐi2	白读 文读
愁	sɐi3	
愁	siu2	
愁	siu3	
愁	sɐi2	
意	i5	文读
愛	ɔi5	文读
感	kam3	文讀
慈	tsʰi2	文读
慢	man5	文读
慣	kuan5	文读
憂	ȵiau1	文读
懂	duŋ3	文读
應	ien1	文读
懶	lan1	文读
懶	lan1	文读
懷	fai2	文读
懽	fɔn1	文读
戲	hi5	文读
成	sɐŋ2	文读
戰	tsan5	文读
戰	tsan5	文读
戲	hi5	文读
戴	dai5	文讀
戶	fu3	文读
戶	fu3	文读
房	fɔŋ2	文读
扁	biɛn3	文讀
扇	san5	文读
手	siu3	文读
掃	ɬɔ5	文讀
扯	tsʰa3	文读
扶	fu2	文读
批	pʰɛ1	文读
抄	tsʰau1	文读
把	ba3	文读
折	tsat7	文读
報	bɔ5	文读
披	pʰi1	文读
抭	iau3	文读
抱	pʰau3	文读
抹	mat7	文读
抽	tsʰiu1	文读
拈	niɛm1	文读
拏	na1	文读
拕	tʰɔ1	文读
招	tsau1	文读
拜	bai5	文读
揀	kan3	文读
括	kuat7	文读
拱	kuŋ3	文读
拳	kʰiɛn2	文读
挂	kua5	文读
指	tsi3	文读
挑	tʰiɛu1	文读
捉	tsɔk7	文读
捋	lɔt8	文读
捏	niɛp7	文读
撈	lau1	文读
捨	sa3	文读
捭	bai3	文读
掀	hiɛn1	文读
掃	ɬɔ5	文读
掌	tsɔŋ3	文读
排	pʰai2	文读
掛	kua5	文读
接	tsiɛp7	文读
揀	kan3	文读
提	tʰi2	文讀
插	tsʰap7	文读
換	vɔn5	文读
攪	kau3	文读
搖	iau2	文读
搜	sau1	文读
攤	tʰan1	文读
摘	tsɐk7	文读
摤	tsʰiɛŋ3	文读
摸	mɔ1	文读
摺	tsap7	文读
撆	pʰiɛt7	文读
撇	pʰiɛt7	文读
撈	lau1	文读
撘	dap7	文读
撦	tsʰa3	文读
操	tsʰau1	文读
擔	dam1	文读
擺	bai3	文读
攃	tsʰat7	文读
攤	tʰan1	文读
攪	kau3	文读
支	tsi1	文读
收	siu1	文读
攷	hau3	文读
改	kɔi3	文读
放	fɔŋ5	文读
效	hau5	文读
敏	men3	文讀
救	kiu5	文读
敗	pʰai5	文读
教	kau5	文讀
敢	kam3	文读
散	ɬan5	文读
敵	tʰet8	文读
敶	tsʰen2	文读
斃	bɐi3	白读 文读
斃	bɐi3	
斃	bi3	
斃	pʰɐi3	
斃	pʰi3	
斗	dɐi3	文读
斜	tsʰɛ2	文读
斤	ken1	文读
斧	bu3	白读 文读
斧	bu3	
斧	fu3	
斬	tsam3	文读
斬	tsam3	文读
新	ɬen1	文读
方	fɔŋ1	文读
旗	kʰi2	文读
日	ȵiet7	文读
舊	kʰiu5	文读
早	tsɔ3	文读
旱	hɔn1	文读
時	si2	文读
旹	si2	文读
昇	sen1	文读
昋	kui5	文读
昌	tsʰɔŋ1	文读
明	men2	文读
昏	fun1	文读
易	i5	文读
星	ɬɐŋ1	文读
春	tsʰun1	文读
是	si3	文读
晝	tsiu5	文读
時	si2	文读
曉	hiɛu3	文读
晝	tsiu5	文读
晴	tsʰen2	文读
暖	nɔn1	文读
暗	am5	文读
暜	tʰɛ5	文读
曉	hiɛu3	文讀
曐	ɬɐŋ1	文读
曡	tʰiɛp8	文读
曲	kʰuk7	文读
書	si1	文读
曹	tsʰɔ2	文读
替	tʰɛ5	文读
最	tsui5	文读
會	fui5	文读 白读
會	fui5	
月	ȵiat8	文读
有	iu1	文读
服	fuk8	文读
朝	tsau1	文读
木	muk7	文讀
末	mut8	文读
本	bun3	文读
朱	tsi1	文讀
朵	dɔ3	文读
朶	dɔ3	文读
殺	sat7	文读
雜	tsʰap8	文读
權	kʰiɛn2	文读
杉	tsʰa5	文读
李	li3	文读
村	tsʰun1	文读
杜	tʰu5	文读
條	tʰiɛu2	文读
來	lɔi2	文读
楊	iɔŋ2	文读
杯	bui1	文读
東	duŋ1	文读
杷	pʰa2	文读
松	tsʰuŋ2	文读
板	ban3	文读
林	lim2	文读
果	kɔ3	文读
槍	tsʰiɛŋ1	文读
枯	ku1	文读
枴	kʰuai3	文读
柄	biɛŋ5	文读
柈	pʰan2	文读
柑	kam1	文读
染	ȵiam5	文读
查	tsʰa2	文读
柱	tsʰi1	文读
柳	liu3	文读
柿	si5	文读
標	biɛu1	文读
栗	lɐt7	文读
根	kɐn1	文读 白读
根	kɐn1	
根	ken1	
桂	kui5	文读
桃	tʰɔ2	文读
案	ɔn5	文读
桌	tsʰɔk7	文读
桑	ɬɔŋ1	文读
桒	ɬɔŋ1	文读
橋	kʰiɛu2	文读
桮	bui1	文读
桶	tʰuŋ3	文读
梅	mɔi2	文讀
條	tʰiɛu2	文读
梨	li2	文读
梯	tʰɛ1	文讀
械	hai3	文读
梳	sɔ1	文读
檢	kiɛm3	文读
棃	li2	文读
棅	biɛŋ5	文读
棉	miɛn2	文读
棚	pʰɐŋ2	文读
棬	kʰiɛn1	文读
森	sim1	文读
椀	vɔn3	文读
椒	tsiɛu1	文读
椶	tsuŋ1	文读
楊	iɔŋ2	文读
業	ȵiap8	文读
極	kʰet8	文读
樓	lɐi2	文读
榨	tsa5	文读
榮	iuŋ2	文读
槃	pʰan2	文读
槍	tsʰiɛŋ1	文读
樓	lɐi2	文读
樘	tsʰɐŋ1	文读
標	biɛu1	文读
樽	tsun1	文读
橋	kʰiɛu2	文读
橕	tsʰɐŋ1	文读
橘	kut7	文读
機	ki1	文读
橫	vɐŋ2	文读
檆	tsʰa5	文读
檐	iam2	文读
檢	kiɛm3	文读
櫃	kʰui5	文读
櫩	iam2	文读
櫼	tsʰa5	文读
權	kʰiɛn2	文读
欠	hiɛm5	文读
歡	fɔn1	文读
欲	iuk7	文读
欺	hi1	文读
歇	hiɛt7	文读
歌	kɔ1	文读
歡	fɔn1	文读
止	tsi3	文读
正	tsen5	文读
此	tsʰi3	文读
步	pʰu5	文讀
歪	vai1	文读
歬	tsʰiɛn2	文读
歲	ɬɔi5	文读
歸	kui1	文读
死	ɬi3	文读
殘	tsʰan2	文读
殺	sat7	文读
毀	fui3	文读
毉	i1	文读
母	mu1	文读
毒	tʰuk8	文读
斃	bɐi3	白读 文读
斃	bɐi3	
斃	bi3	
斃	pʰɐi3	
斃	pʰi3	
毛	mɔ1	文讀
民	men2	文读
氮	tʰam1	文读
水	sui3	文读
永	iun3	文读
汁	tsip7	文读
漢	hɔn5	文读
汗	hɔn5	文读
江	kɔŋ1	文读
池	tsʰi2	文读
湯	tʰɔŋ1	文读
決	kʰiɛt7	文读
沈	tsʰim2	文读
沉	tsʰim2	文读
沙	sa1	文读
沟	kɐi1	文读
漚	ɐi5	文读
河	hɔ2	文读
油	iu2	文讀
法	fɐt7	文读
泛	fan5	文读
波	bɔ1	文读
泥	nɛ2	文读
洒	ɬɛ3	文读
洞	tʰuŋ5	文读
派	pʰai5	文读
流	liu2	文读
漿	tsiɛŋ1	文读
濃	ȵiuŋ2	文读
浮	fɐi2	文读
海	hɔi3	文读
浸	tsim5	文读
消	ɬiɛu1	文读
涼	liɛŋ2	文读
淚	lui5	文读
淡	tʰam1	文读
深	sim1	文读
混	kun3	文读
淺	tsʰiɛn3	文读
添	tʰiɛm1	文读
清	tsʰen1	文读
港	kɔŋ3	文读
湌	tsʰan1	文读
湖	fu2	文读
湭	tsɔ1	文读
湯	tʰɔŋ1	文读
準	tsun3	文读
溝	kɐi1	文读
溫	vun1	文读
溼	sip7	文读
滅	miɛt8	文读
滿	mun1	文读
滴	det7	文读
滿	mun1	文读
漏	lɐi5	文读
演	ian3	文读
漚	ɐi5	文读
漢	hɔn5	文读
漿	tsiɛŋ1	文读
潑	pʰat7	文读
潘	pʰan1	文讀
潭	tʰam2	文读
潮	tsʰau2	文读
濃	ȵiuŋ2	文读
濅	tsim5	文读
灋	fɐt7	文读
灌	kɔn5	文读
火	fɔ3	文读
滅	miɛt8	文讀
灮	kɔŋ1	文读
灯	dɐn1	文读
灰	fɔi1	文读
炁	hi5	文读
爐	lu2	文读
炒	tsʰau3	文读
炔	kui5	文读
炤	tsau5	文读
炭	tʰan5	文读
點	diɛm3	文读
爛	lan5	文读
烏	vu1	文读
烝	tsen1	文读
烟	ian1	文读
煩	fan2	文读
燒	sau1	文读
熱	ȵiat8	文读
然	ian2	文读
煉	liɛn5	文读
煎	tsiɛn1	文读
煑	tsi3	文读
煗	nɔn1	文读
煙	ian1	文读
照	tsau5	文读
煩	fan2	文读
煮	tsi3	文读
煼	tsʰau3	文读
熄	ɬet7	文读
熊	iuŋ2	文读
熏	vun1	文读
熟	suk8	文读
熬	ŋɔ2	文读
熱	ȵiat8	文读
燃	ian2	文读
燈	dɐn1	文读
燒	sau1	文读
燕	ian5	文讀
營	iɐŋ2	文读
燭	tsuk7	文读
燻	vun1	文读
爐	lu2	文读
爛	lan5	文读
爤	lan5	文读
爬	pʰa2	文读
爭	tsɐŋ1	文读
愛	ɔi5	文读
爽	sɔŋ3	文读
牀	tsʰɔŋ2	文读
牆	tsʰiɛŋ2	文读
片	pʰiɛn5	文读
牌	pʰai2	文读
牎	tsʰɔŋ1	文读
牙	ŋa2	文读
牛	ȵiu2	白读 文读
牛	ȵiu2	
牛	ȵɐi2	
牛	ŋiu2	
牛	ŋɐi2	
牢	lɔ2	文读
物	vut8	文读
牽	hiɛn1	文读
特	tʰɐt8	文读
牽	hiɛn1	文读
犯	fam5	文读
狂	kʰɔŋ2	文读
狗	kɐi3	文读
狨	iuŋ2	文读
獨	tʰuk8	文读
狹	kʰiɛp8	文读
狹	kʰiɛp8	文读
狼	lɔŋ2	文读
猛	mɐŋ3	文读
豬	tsi1	文读
獻	hiɛn5	文读
猴	hɐi2	文读
猾	vat8	文读
獨	tʰuk8	文读
獵	liɛp8	文读
獻	hiɛn5	文读
玅	miɛu3	文读
玉	ȵiuk8	文读
王	vɔŋ2	文讀
現	ian5	白读 文读
現	ian5	
現	iɛn5	
現	hian5	
現	hiɛn5	
珤	bɔ3	文读
班	ban1	文读
現	ian5	白读 文读
現	ian5	
現	iɛn5	
現	hian5	
現	hiɛn5	
球	kʰiu2	文读
琖	tsan3	文读
琴	kʰim2	文读
瓊	kʰen2	文读
瑿	i1	文读
璚	kʰen2	文读
瓊	kʰen2	文读
瓜	kua1	文读
瓢	pʰiɛu2	文读
瓦	ŋa3	文讀
瓶	pʰen2	文读
瓷	tsʰi2	文读
甎	tsɔn1	文读
甘	kam1	文读
甜	tʰiɛm2	文读
甞	sɔŋ2	文读
生	sɐŋ1	文读
產	tsʰan3	文读
用	iuŋ5	文读
田	tʰiɛn2	文讀
甲	kap7	文读
電	tʰiɛn5	文读
男	nam2	文读
畫	fa5	文读
界	kai5	文读
留	liu2	文读
畝	mɐi3	文读
畞	mɐi3	文读
畫	fa5	文读
畮	mɐi3	文读
疊	tʰiɛp8	文读
疑	ȵi2	文读
瘡	tsʰɔŋ1	文读
病	pʰiɛŋ5	文读
痕	hɐn2	文读
痛	tʰuŋ5	文读
痣	tsi5	文读
痰	tʰam2	文读
痴	tsʰi1	文读
瘂	a3	文读
瘡	tsʰɔŋ1	文读
瘦	sɐi5	文读
癡	tsʰi1	文读
癢	iɔŋ2	文读
癬	ɬiɛn3	文读
癬	ɬiɛn3	文读
發	fat7	文读
白	pʰɐk8	文读
百	bɐk7	文读
皮	pʰi2	文读
皺	ȵiu5	训读
皷	ku3	文读
皺	ȵiu5	训读
盃	bui1	文读
盆	pʰun2	文读
盌	vɔn3	文读
盞	tsan3	文读
鹽	iam2	文读
盖	kɔi5	文讀
盤	pʰan2	文读
盞	tsan3	文读
盡	tsʰen5	文读
盤	pʰan2	文读
目	muk7	文读
直	tsʰet8	文读
眉	mi2	文读
看	hɔn5	文读
真	tsen1	文读
眼	ŋan3	文读
眾	tsuŋ5	文读
睂	mi2	文读
