#漢字	音標	解釋
一	it7	
丁	tɛn1	
七	tʃʰit7	
丈	tʃʰoŋ5	
三	ɬam1	
上	ʃoŋ5	上面。
与	i2	给与。
丐	kɔi5	乞丐。
丑	tʃʰiu3	
專	tʃon1	
且	tʃʰia3	
丕	pʰi1	
世	ʃɛ5	
丗	ʃɛ5	
丘	ʃiu1	
丙	piaŋ3	
業	ȵap8	
叢	ɬuŋ2	
東	tuŋ1	
絲	ɬi1	
丞	ʃin2	
丠	ʃiu1	
丣	iu2	
兩	lioŋ3	两个 几两几钱。
兩	lioŋ5	
兩	lioŋ3	
嚴	iam2	
並	pʰin5	
喪	ɬoŋ5	丧失。
丩	kiau1	纠缠。
丫	a1	丫头。
中	tʃuŋ1	当中。
串	tʃʰon5	
臨	lim2	
丸	in2	肉丸。
丹	tan1	
爲	ui2	作為。
主	tʃu3	
丼	tʃiaŋ3	
丽	li5	美丽。
舉	ki3	
乃	nai2	
久	kiu3	
義	ȵi5	
之	tʃi1	
烏	u1	
乍	tʃa5	
乎	fu1	
乏	fat8	
樂	ŋok8	音乐。
喬	kʰiau2	
乖	kuai1	
乘	ʃin2	
乘	ʃin2	
乙	it7	
九	kiu3	
乞	hɐt7	
也	ia1	也是。
習	ɬip8	
鄉	ʃoŋ1	
書	ʃu1	
買	mai3	
亂	lon5	
乳	ȵui5	
乾	kʰɛn2	乾坤。
亂	lon5	
了	liau3	了结。
事	ɬu2	
二	ȵi5	
于	i2	
亏	kʰui1	
云	iun2	人云亦云。
互	fu5	
五	ŋ̩3	
井	tʃiaŋ3	
亖	ɬi5	
亞	a3	
亞	a3	
亡	moŋ2	
交	kau1	
亥	hɔi5	
亦	it8	
產	ɬan3	
亨	haŋ1	
享	ʃoŋ3	
京	kin1	
亭	tʰin2	
亮	lioŋ5	
亯	ʃoŋ3	
親	tʃʰin1	
人	ȵin2	
億	it8	
什	ʃip8	什物。
仁	ȵin2	
仅	kʰin3	
仇	kʰiu2	姓。
今	kim1	
介	kai5	
仍	ŋin2	
从	tʃʰuŋ2	跟从。
倉	tʃʰoŋ1	
仕	ɬu5	
他	tʰa1	
仗	tʃʰoŋ5	
付	fu5	
仙	ɬɛn1	
仝	tʰuŋ2	
代	tʰɔi5	
令	lin5	
以	i3	印刷误为242，此地阴上应为42。
儀	ȵi2	
仰	ŋioŋ1	
仲	tʃuŋ5	
件	kɛn5	
任	ȵim5	责任。
仿	foŋ3	相似。
企	kʰi3	
伊	i1	
伍	ŋ̩3	
伏	fuk8	
伐	fat8	
休	ʃiu1	
會	fui5	会议、会不会读音亦同。
傘	ɬan5	
偉	ui3	
傳	tʃʰon5	传记。
傷	ʃoŋ1	
倫	lun2	
僞	ŋui5	
伯	pak7	
估	ku1	估计。
伱	ȵi2	
伴	pʰan5	
伶	lin2	
伸	tʃʰun1	
似	tsʰɿ5	
佀	tsʰɿ5	
佈	pu5	
位	ui5	
低	tai1	
住	tʃʰu5	
佐	tʃɔ3	
余	i2	姓余。
佛	fut8	
作	tʃɔ5	
佞	nin5	
你	ȵi2	
佩	pʰui5	
佳	kai1	
使	ɬu3	
來	lɔi2	
侈	tʃʰi5	奢侈。
例	li5	
侍	ɬu5	
供	kuŋ5	供养。
依	i1	
偵	tʃin1	
側	tʃʰɛt7	
僑	kʰiau2	
儂	nuŋ2	
侮	mu3	
侯	hɐu2	
侵	tʃʰim1	
便	pɛn2	便宜。
係	hɛ5	是。
促	tʃʰuk7	
俄	ŋɔ2	
俊	tʃin5	
俏	tʃʰiau5	
俗	tʃʰuk7	
俘	fu1	俘虏。
保	pau3	
俟	ʃi2	
信	ɬin5	
儼	iam2	俨然。
儉	kʰiam5	
修	ɬiu1	
俯	fu3	
俱	kʰi1	
俸	fuŋ5	
俻	pʰi5	
俾	pi1	
倉	tʃʰoŋ1	
個	kɔ5	个人。
倒	tau5	
倔	kʰut7	倔强。
候	hɛu5	
倚	i3	
借	tʃia5	
倣	foŋ3	仿效。
倦	kɛn5	
倪	ȵi2	
倫	lun2	
債	tʃai5	
值	tʃʰit8	
傾	kʰin1	
假	ka3	真假。
偉	ui3	
偏	pʰɛn1	
停	tʰin2	
健	kɛn5	
偪	pit7	
側	tʃʰɛt7	
偵	tʃin1	
偷	tʰɛu1	
償	ʃoŋ3	
傅	fu5	
傍	pʰoŋ2	
傑	kʰɛt8	
傘	ɬan5	
備	pʰi5	
儲	tʃʰu3	储蓄。
催	tʃʰui1	
傲	ŋau5	
傳	tʃʰon5	传记。
債	tʃai5	
傷	ʃoŋ1	
傻	ɬa3	
傾	kʰin1	
僅	kʰin3	
僊	ɬɛn1	
像	ɬioŋ5	
僑	kʰiau2	
僒	kʰun1	
僕	pʰok7	
僞	ŋui5	
僧	tʃɛn1	
僵	kʰioŋ1	
價	ka1	
僻	pʰit7	
儀	ȵi2	
儁	tʃin5	
儂	nuŋ2	
億	it8	
