#漢字	音標	解釋
□	poɲ1	碰着
□	tuʔ7	用手指指，戳
□	koʔ7	头昂起来
□	meʔ7	嘴扁凹，如假牙脱掉后嘴的状态
□	xeʔ7	生气
□	mɤʔ7	用舌头一下一下地舔食物
㞞	soɲ2	
㪗	tʰeu3	展开，～气
䖳	tsʰa5	水母
丁	tiɲ1	
七	tʃʰiʔ7	
万	yæɲ5	
丈	tʃiæɲ5	
三	sæɲ1	
上	ʃiæɲ5	
下	xa5	
不	puʔ7	
与	y1	给～
丐	kai5	
丑	tʃʰieu3	
專	tʃyeɲ1	
且	tsʰᴇ3	
丕	pʰuoi1	
世	sɿ5	
丘	kʰieu1	
丙	piɲ3	
業	ieʔ7	
叢	tsʰoɲ2	
東	toɲ1	
絲	sɿ1	
丞	tʃʰiɲ2	
丟	tieu1	
兩	liæɲ3	
嚴	lieɲ2	
並	piɲ5	
喪	sæɲ5	～失
个	kɔ5	
丫	a1	
中	tsoɲ1	
中	tsoɲ5	射～
丰	xoɲ1	
串	tʃʰyeɲ5	
臨	liɲ1	
丸	yeɲ2	
丹	tæɲ1	
爲	uoi2	
主	tʃy3	
丽	li5	
舉	ky3	
乃	lai3	
久	kieu3	
麼	iau1	～二三
義	i5	
之	tsɿ1	
烏	u1	
乎	xu1	
乏	xuaʔ7	
樂	loʔ7	快～
樂	yoʔ7	音～
喬	kʰiau2	
乖	kuai1	
乘	tʃʰiɲ2	
乙	iʔ7	
九	kieu3	
乞	kʰi1	
也	iᴇ3	
習	sɿʔ7	
鄉	xiæɲ1	
書	ʃy1	
買	mai3	
亂	luoɲ5	
乳	y3	
乾	kæɲ1	
乾	kʰieɲ2	～坤
了	liau3	～结
爭	tseiɲ1	
事	sɿ5	
二	ɤ5	
于	y2	
于	yʔ7	
虧	kʰuoi1	
雲	uiɲ2	
互	xu5	
五	u3	
井	tʃiɲ3	
亞	ia5	
些	sᴇ1	
亡	yæɲ2	
交	kiau1	
亥	xai5	
亦	iʔ7	
產	tʃʰieɲ3	
亨	xeiɲ1	
畝	meu3	
享	xiæɲ3	
京	kiɲ1	
亭	tʰiɲ2	
亮	liæɲ5	
親	tʃʰiɲ1	
人	iɲ2	
億	i5	
什	sɿʔ7	
仁	iɲ2	
僅	tʃiɲ3	
仆	pʰuʔ7	
仇	tʃʰieu2	
仇	kʰieu2	姓
今	kiɲ1	
介	kai5	
从	tsʰoɲ2	
仑	leiɲ2	
倉	tsʰæɲ1	
仕	sɿ5	
他	tʰa1	
仗	tʃiæɲ5	
付	xu5	
仙	ʃieɲ1	
代	tai5	
令	liɲ5	
以	i3	
儀	i2	
仰	liæɲ3	
仲	tsoɲ5	
件	kieɲ5	
價	kia5	
任	iɲ5	
份	xueiɲ5	
仿	xyæɲ3	
企	kʰi5	
伊	i1	
伍	u3	
伏	pu5	孵小鸡
伏	xuʔ7	
伐	xuaʔ7	
休	xieu1	
衆	tsoɲ5	
優	ieu1	
伙	xɔ3	
會	kʰuai5	～计
會	xuoi5	开～
傘	sæɲ3	
偉	uoi2	
傳	tʃʰyeɲ2	～达
傳	tʃyeɲ5	～记
伢	ia2	
傷	ʃiæɲ1	
