#漢字	音標	解釋
㦌	xʷɛʔ7	
㿭	tsʰɛʔ7	(皴)
䖳	tso5	(水母)
䴛	sə5	（盐、咸）
一	ɪʔ7	
丁	təŋ1	
七	tʃʰəʔ7	
万	wɑ̃6	
丈	tsʰõ6	
三	sɑ̃1	
上	sõ6	(上山)
上	sõ6	(上面)
下	ɕɔ6	文读
下	xʷo6	白读
不	pɛʔ7	
与	ʒ̩ʷ3	给与)
丐	ka5	(乞丐)
丑	tsʰe3	(丑时) 丑
丑	tsʰe3	(丑陋) 醜
專	tɕỹ1	
且	tɕʰe3	
丕	pʰʒ̩1	
世	sz̩5	
丘	tɕʰy1	
丙	pəŋ3	
業	ɪʔ8	
叢	tsʰaŋ2	
東	taŋ1	
絲	sz̩1	
丞	tsʰɛ̃2	
丟	ty1	
兩	lẽ3	(几两几钱)
兩	lẽ3	(两个)
嚴	nĩ2	
喪	sõ1	(婚丧)
喪	sõ5	(丧失)
个	ku5	(个人)
丫	ŋo1	(丫头)
中	tsaŋ5	(射中)
中	tsaŋ1	(当中)
丰	faŋ1	
串	tɕʰỹ5	(穿)
臨	ləŋ2	
丸	ũ2	弹丸)
丹	tɑ̃1	
爲	ve2	(作为)
爲	ve6	(为人民服务)
主	tsʋ̩3	
丽	li6	(美丽)
舉	tʃʒ̩ʷ3	
乃	na3	
久	tɕy3	
義	ʒ̩6	
之	tsz̩1	
烏	ʋ̩1	
乍	tso5	
乎	xʋ̩1	
乏	fɔʔ8	
樂	jɔʔ8	(音乐)
樂	loʔ8	(快乐)
乒	pʰəŋ1	
乓	pʰõ1	
喬	tɕʰə2	
乖	kʷa1	
乘	tsʰɛ̃2	
乙	ɪʔ7	
九	tɕy3	
乞	tɕʰɪʔ7	
也	a3	(也是)
也	je3	(之乎者也)
習	tɕʰɪʔ8	
鄉	ɕẽ1	
書	sʋ̩1	
買	ma3	
亂	lỹ6	
乳	lʋ̩3	
乾	tɕʰĩ2	(乾坤)
了	ljə3	(明了) 瞭
了	ljə3	(了结) 了
予	ʒ̩ʷ3	
爭	tsɛ̃1	
事	sz̩6	
二	ɚ6	
于	ʒ̩ʷ2	
虧	kʷʰe1	
雲	yŋ2	(说)
雲	yŋ2	
互	xʋ̩6	
五	ʋ̩3	
井	tsɪŋ3	市郊
井	tʃəŋ3	老城区
亞	jɔ6	
些	ɕe1	
些	xə1	弱化语音)
