#漢字	音標	解釋
㪗	tʰəu5b	
一	ieʔ7	
丁	tin1	
七	tɕʰieʔ7	
万	ua5b	
万	uan5b	
丈	tsa5a	
丈	tsaŋ5a	
三	sa1	
三	san1	
上	sa3	上山
上	sa5a	上面
上	saŋ5a	上山
上	saŋ5a	上面
下	xɑ3-	底下
下	ɕiɑ5a=	底下
下	ɕiɑ5a=	下降
不	pəʔ7	
丐	kɛ5a	
丑	tsʰei5b	
丑	tsʰəu5b	
丑	tɕʰiu5b	
專	tso1	
專	tsua1	
專	tsuan1	
世	sɿ5a	
丘	tɕʰiu1	
丙	pin3	
業	ieʔ7	
東	toŋ1	
絲	sɿ1	
丞	tsən2	
丟	təu1	
丟	tiu1	
兩	nia3	两个
兩	nia3	几两
嚴	i2	
並	pin5a	
喪	saŋ5a	丧失
个	kəʔ7	个人
丫	ɑ1-	丫头
丫	iɑ1=	
中	tsoŋ1	当中
中	tsoŋ5a	射中
丰	fən1	
丰	foŋ1	
串	tsʰo5a	
串	tsʰua5a	
串	tsʰuan5a	
臨	lin2	
丸	o2	
丸	ua2	肉丸
丸	uan2	肉丸
丹	ta1	
丹	tan1	
爲	uei2	作为（少讲）
爲	uei5a	为什么
主	tsu3	
主	tsu5a	
舉	tɕʮ3	
舉	tɕʮ5b	
義	ʅ5b	
之	tsɿ1	
烏	u1	
乏	faʔ7	
樂	ləʔ7	
喬	tɕiɔ2-	
喬	tɕʰiɔ2=	
乖	kuɛ1	
乘	tsən2	
乘	tsʰən2	
乙	ieʔ7	
九	tɕiu3	
九	tɕiu5b	
乞	tɕʰieʔ7	
也	a3	
習	ɕieʔ7	
鄉	ɕia1	
書	su1	
買	mɛ3	
亂	lei5b	
亂	luan5b	
乳	lu3	
乾	kei1	乾湿
乾	kan1	乾湿
乾	tɕʰi2	乾坤
了	liɔ3	了结
爭	tsən1	
事	sɿ5b	
二	ɚ5b	
于	ʮ2	
虧	kʰuei1	
雲	ioŋ2-	
雲	yn2=	
互	xu5b	
五	u3	
井	tɕin3	
亞	iɑ5a	
亡	uaŋ2	
交	tɕiɔ1	
亥	xɛ5b	
亦	ieʔ7	
產	tsʰa3	
產	tsʰan3	
亨	xən1	
享	ɕia3	
京	tɕin1	
亭	tin2-	
亭	tʰin2=	
亮	lia5b	
親	tɕʰin1	亲家，亲戚义
親	tɕʰin5b	亲家，婚姻关系
人	nin2-	
人	ʐən2=	
億	ʅ5a	
什	səʔ7	什物
仁	ʐən2	
僅	tɕin3	
仆	pʰəʔ7	仆倒
仇	tsʰəu2	
仇	tɕʰiu2	
仇	tɕʰiu2	姓
今	kən1-	
今	tɕin1=	
介	tɕiɛ5a	
仍	ʐən2	
从	tsʰoŋ2	从容
从	tsʰoŋ2	跟从
倉	tsʰaŋ1	
他	tʰɑ1	
仗	tsa5b	
仗	tsaŋ5b	
付	fu5a	
仙	ɕi1	
代	tɛ5a	
以	ʅ3	
儀	ʅ2	
仰	nia3	
仰	ia3	
仲	tsoŋ5a	
件	tɕi5a	
價	kɑ5a-	
價	tɕiɑ5a=	
任	ʐən2	姓
任	ʐən5b	责任
份	fən5a	一份
份	fən5b	一份
仿	faŋ3	仿效
仿	faŋ3	相似
仿	faŋ3	仿佛
企	tɕʰʅ3	
伍	u3	
伏	fəʔ7	
伐	faʔ7	
休	ɕiu1	
衆	tsoŋ5a	
優	iu1	
會	uei5b-	会不会
會	xuei5b=	会不会
會	kʰuɛ5a	会计
會	xuei5b	开会
傘	san3	
傘	sa5b	
偉	uei3	
傳	tsʰo2	传达
傳	tsʰua2	传达
傳	tsʰuan2	传达
傳	tsuan3	传记
傳	tso5a	传记
伢	ɑ2-	小孩子
傷	sa1	
傷	saŋ1	
倫	lən2	
倫	lun2	
伯	pəʔ7	
估	ku3	估计
伴	pa5a	
伴	pan5a	
伴	po5b	
伶	lin2	
伸	sən1	
伺	tsʰɿ5b	
似	sɿ5a	
佃	ti5b	
但	ta5a	
但	tan5a	
位	uei5b	
低	tɕʅ1-	
低	tʅ1=	
住	tsu5b	
體	tɕʰʅ3-	
體	tʰʅ3=	
何	xo2	
余	ʮ2	
佛	fəʔ7	
作	tsuəʔ7	工作
你	nʅ3	
你	ni3	
佩	pʰei5a	
佳	tɕiɑ1	
使	sɿ3	
侉	kʰuɑ3	
例	nʅ5b	
侍	sɿ5a	
供	koŋ1	供不起
供	koŋ5a	供应
依	ʅ1	
僥	tɕiɔ3	侥幸
偵	tsən1	
側	tsʰəʔ7	
僑	tɕiɔ2-	
僑	tɕʰiɔ2=	
儘	tɕin3	侭前
侮	u1	
侯	xei2	
侯	xəu2	
侯	xiu2	
侵	tɕʰin1	
便	pi2-	便宜
便	pʰi2=	便宜
便	pi5a	方便
促	tsʰuəʔ7	
俄	o2	
俏	tɕʰiɔ5a	
俗	suəʔ7	
俘	fu2	俘虏
保	pɔ3	
保	ɕʅ5a	
信	ɕin5a	
修	ɕiu1	
俱	tɕʮ5b	
俸	fən5a	
俸	foŋ5a	
倍	pei5a	
倒	tɔ3	打倒
倒	tɔ5a	倒水
倔	tɕyeʔ7	倔强
候	xei5a	
候	xəu5a	
候	xiu5a	
倚	ʅ3	
借	tɕiɑ5a-	
借	tɕi5a=	
倡	tsʰa5a	
倡	tsʰaŋ5a	
倦	tɕyi5a	
倪	nʅ2	
債	tsɛ5a	
值	tsə3/	
值	tsəʔ7	
傾	tɕʰin1	
假	tɕiɑ5a	放假
假	tɕiɑ5b	真假
偏	pʰi1	
做	tso5a	
停	tin2-	
停	tʰin2=	
健	tɕi5a	
偶	əu3	
偶	iɯ3	偶然
偷	tʰəu1	
偷	tʰiu1	
償	tsa2	
償	tsʰaŋ2	
傅	fu5a	
傢	tɕiɑ1	傢具
儲	tsʰu2	储蓄
催	tsʰei1	
傲	ɔ5a	
傻	sɑ3	
像	ɕia5a	
僕	pʰəʔ7	
僧	sən1	
僵	tɕia1	
僻	pʰieʔ7	
儒	lu2	
兒	ɚ2	
允	ioŋ2-	
元	yi2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsɔ5a	
先	ɕi1	
光	kua1	
光	kuaŋ1	
克	kʰəʔ7	
免	mi3	
兌	tei5b	
兔	tʰu5a	
黨	ta3	
黨	taŋ3	
兜	təu1	
兜	tiu1	
入	ʐuəʔ7	
全	tɕyi2-	
全	tɕʰyi2=	
八	paʔ7	
公	koŋ1	
六	ləʔ7	
六	luəʔ7	
蘭	la2	
蘭	lan2	
共	koŋ5a	
關	kua1	
關	kuan1	
興	ɕin1	兴旺
興	ɕin5b	兴旺
兵	pin1	
其	tɕʰʅ2	
具	tɕʮ5a	
典	ti3	
兹	tsɿ1	
養	ia3	
兼	tɕi1	
獸	səu5a	
獸	ɕiu5a	
獸	sei5b	
冀	tɕʅ5b	
內	nei5b	
岡	kaŋ1	
冊	tsʰəʔ7	
再	tsɛ5a	
冒	mɔ5b	
寫	ɕiɑ3-	
寫	ɕi3=	
軍	tɕioŋ1-	
軍	tɕyn1=	
農	noŋ2	
冠	ko1	衣冠
冠	kua1	衣冠
冠	kuan1	衣冠
冠	ko5a	冠军
冠	kua5a	冠军
冠	kuan5a	冠军
冤	yi1	
冬	toŋ1	
馮	fən2	
馮	foŋ2	
冰	pin1	
冲	tsʰoŋ1	
决	tɕyeʔ7	
况	kʰuaŋ5a	
冷	lən3	
凍	toŋ5a	
淨	tɕin5a	
準	tsun3	
準	tsun5b	
凉	nia2	
凌	lin2	
湊	tsʰei5a	
湊	tsʰəu5a	
湊	tɕʰiu5a	
凝	nin2	
几	tɕʅ1	
凡	fa2	
凡	fan2	
鳳	fən5a	
鳳	foŋ5a	
凭	pʰin2	
凱	kʰɛ3	
凳	tən5b	
凶	ɕioŋ1	吉凶
凶	ɕioŋ1	凶恶
擊	tɕieʔ7	
函	xa2	
函	xan2	
鑿	tsuəʔ7	
刀	tɔ1	
刁	tiɔ1	
刃	ʐən5b	
分	fən1	分开
切	tɕʰieʔ7	切开
刊	kʰa1	
刊	kʰan1	
刎	un2	
刑	ɕin2	
划	uɑ2-	划船
划	xuɑ2=	划船
列	lieʔ7	
劉	liu2	
則	tsəʔ7	
剛	kaŋ1	
初	tsʰo1	
初	tsʰu1	
刪	sa1	
刪	san1	
判	pʰa5a	
判	pʰo5a	
判	pʰan5a	
利	nʅ5b	
别	pieʔ7	区别
别	pieʔ7	离别
刮	kuaʔ7	
到	tɔ5a	
制	tsɿ5a	
制	ʅ5a	
刷	suaʔ7	
券	tɕyi5b	
刺	tsʰɿ5a	
