#漢字	音標	解釋
㮇	tʰiã3	
䖳	tʂa5	
一	i1	
丁	tiŋ1	
七	tɕʰi1	
万	uã5	
丈	tʂɑŋ5	
三	θã1	
上	ʂɑŋ5	
下	ɕia5	
不	pu3	
与	y2	
丐	kɛ5	
丑	tʂʰou3	
專	tʂuã1	
且	tɕʰiə1	
丕	pʰei2	
世	ʂʅ5	
丘	tɕʰiou1	
丙	piŋ3	
業	iə5	
叢	tθʰəŋ2	
東	təŋ1	
絲	θɿ1	
丞	tʂʰəŋ2	
兩	liɑŋ3	
嚴	iã2	
喪	θɑŋ1	婚～
喪	θɑŋ5	～失
个	kuo1	一～
丫	ia1	
中	tʂəŋ1	～间
中	tʂəŋ5	射～
丰	fəŋ1	
串	tʂʰuã5	
臨	liə̃2	
丹	tã1	
爲	uei5	
主	tʂu3	
丽	li5	
舉	tɕy3	
乃	nɛ3	
久	tɕiou3	
義	i5	
之	tʂʅ1	
烏	u1	
乍	tʂa5	
乎	xu1	
乏	fa2	
樂	lə5	快～
樂	yə5	音～
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tʂʰəŋ2	
乙	i3	
九	tɕiou3	
乞	tɕʰi3	
也	iə3	
習	ɕi2	
鄉	ɕiɑŋ1	
書	ʂu1	
買	mɛ3	
亂	luã5	
乳	lu3	
乾	tɕʰiã2	～坤
了	liɔ3	～解
爭	tʂəŋ1	
事	ʂʅ5	
二	ə5	
于	y2	
虧	kʰuei1	
雲	yə̃2	
互	xu5	
五	u3	
井	tɕiŋ3	
亞	ia5	
些	ɕiə1	
亡	uɑŋ2	
交	tɕiɔ1	
亥	xɛ5	
亦	i5	
產	tʂʰã3	
亨	xəŋ1	
畝	mu3	
享	ɕiɑŋ3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liɑŋ5	
親	tɕʰiə̃1	～戚
親	tɕʰiŋ5	～家
人	iə̃2	
億	i5	
什	ʂʅ2	～锦
仁	iə̃2	
僅	tɕiə̃33	
仆	pʰu2	
仇	tʂʰou2	报～
仇	tɕʰiou2	
今	tɕiə̃1	
介	tɕiə5	
仍	iə1	
仍	ləŋ1	
从	tθəŋ2	
仑	luə̃2	
倉	tθʰɑŋ1	
仕	ʂʅ5	
他	tʰa1	
仗	tʂɑŋ5	
付	fu5	
仙	ɕiã1	
代	tɛ5	
令	liŋ5	
以	i3	
儀	i5	
仰	iɑŋ3	
仲	tʂəŋ5	
件	tɕiã5	
價	tɕia5	
任	iə̃5	
份	fə̃5	
仿	fɑŋ3	
企	tɕʰi3	
伊	i3	
伍	u3	
伏	fu2	
伐	fa2	
休	ɕiou1	
衆	tʂəŋ5	
優	iou1	
會	kʰuei5	～计
會	xuei5	开～
傘	θã3	
偉	uei3	
傳	tʂʰuã2	～达
傳	tʂuã5	～记
伢	ia2	
傷	ʂɑŋ1	
倫	luə̃2	
僞	uei3	
估	ku3	
伴	pã5	
伸	ʂə̃1	
伺	θɿ5	
似	θɿ5	
佃	tʰiã5	
但	tã5	
佈	pu5	
位	uei5	
低	ti1	
住	tʂu5	
佐	tθuo1	
體	tʰi3	
何	xə2	
佘	ʂə2	
余	y2	
佛	fu2	仿～
佛	fə2	～教
作	tθuo5	
你	ni3	
佩	pʰei5	
佳	tɕia1	
使	ʂʅ3	
侈	tʂʰʅ3	
侉	kʰua1	
例	li5	
侍	ʂʅ5	
供	kəŋ5	
依	i1	
僥	tɕiɔ3	
偵	tʂə̃1	
側	tʂʰə5	
僑	tɕʰiɔ2	
儂	nəŋ2	
侮	u3	
侵	tɕʰiə̃1	
便	pʰiã2	～宜
便	piã5	方～
促	tθʰu5	
俄	ə2	
俊	tɕyə̃5	
俏	tɕʰiɔ5	
俗	ɕy2	
俘	fu2	
保	pɔ3	
信	ɕiə̃5	
儼	iã2	
儉	tɕiã3	
修	ɕiou1	
俯	fu3	
俱	tɕy5	
俾	pi3	
倍	pei5	
倒	tɔ3	
倒	tɔ5	
倔	tɕyə5	
倘	tʰɑŋ3	
倚	i3	
借	tɕiə5	
倡	tʂʰɑŋ5	
倦	tɕyã5	
倪	ni2	
倭	uo1	
值	tʂʅ2	
傾	tɕʰiŋ1	
假	tɕia1	真～
假	tɕia5	放～
偏	pʰiã1	
做	tθuo5	
停	tʰiŋ2	
偢	tɕʰiɔ5	
健	tɕiã5	
偷	tʰou1	
償	tʂʰɑŋ2	
傀	kʰuei2	
傅	fu5	
傍	pɑŋ5	
儲	tʂʰu1	
催	tθʰuei1	
傲	ɔ5	
傻	ʂa3	
像	ɕiɑŋ5	
僧	θəŋ1	
僵	tɕiɑŋ1	
僻	pʰi5	
儒	lu1	
儡	luei3	
兒	ə2	
允	yə̃3	
元	yã2	
兄	ɕiŋ1	
充	tʂʰəŋ1	
先	ɕiã1	
光	kuɑŋ1	
克	kei5	
免	miã3	
兌	tuei5	
兔	tʰu5	
兖	yã3	
兜	tou1	
入	y5	
全	tɕʰyã2	
公	kəŋ1	
六	liou5	
兮	ɕi1	
蘭	lã2	
共	kəŋ5	
關	kuã1	
興	ɕiŋ1	～旺
興	ɕiŋ5	高～
兵	piŋ1	
其	tɕʰi2	
具	tɕy5	
典	tiã3	
兹	tθɿ1	
養	iɑŋ3	
兼	tɕiã1	
獸	ʂou5	
冀	tɕi5	
岡	kɑŋ1	
冉	iã3	
冊	tʂʰə5	
再	tθɛ5	
冒	mɔ5	
冗	iŋ3	
寫	ɕiə1	
軍	tɕyə̃1	
農	nəŋ2	
冠	kuã5	～军
冤	yã1	
冬	təŋ1	
馮	fəŋ2	
冰	piŋ1	
冲	tʂʰəŋ1	
决	tɕyə2	
况	kʰuɑŋ5	
冷	ləŋ3	
凍	təŋ5	
淨	tɕiŋ5	
凃	tʰu2	
準	tʂuə̃3	
凉	liɑŋ2	
凌	liŋ2	
減	tɕiã3	
湊	tθʰou5	
凝	niŋ2	
几	tɕi1	～乎
几	tɕi3	茶～
凡	fã2	
鳳	fəŋ5	
凭	pʰiŋ2	
凱	kʰɛ3	
凳	təŋ5	
凶	ɕiŋ1	
出	tʂʰu2	
擊	tɕi1	
函	xã2	
鑿	tθɔ2	
刀	tɔ1	
刁	tiɔ1	
刃	iə̃5	
分	fə̃1	～开
切	tɕʰiə3	
刎	uə̃3	
刑	ɕiŋ2	
划	xua2	～船
划	xua5	计～
列	liə5	
劉	liou2	
則	tθə2	
剛	kɑŋ1	
創	tʂʰuɑŋ5	
初	tʂʰu1	
刪	ʂã1	
判	pʰã5	
刨	pʰɔ2	
利	li5	
别	piə2	
刮	kua3	
到	tɔ5	
刴	tuo5	
制	tʂʅ5	
刷	ʂua1	
刹	ʂa1	
刺	tθʰɿ5	
刻	kei3	用刀～
刻	kʰə5	时～
劊	kʰuei5	
劑	tɕi5	
剃	tʰi5	
削	ɕyə1	
前	tɕʰiã2	
剮	kua3	
劍	tɕiã5	
剔	tʰi5	
剖	pʰɔ1	
剝	pə3	
劇	tɕy5	
剩	ʂəŋ5	
剪	tɕiã3	
副	fu5	
割	ka3	
剿	tɕiɔ3	
劈	pʰi1	
劐	xuo1	用刀～开
力	li5	
勸	tɕʰyã5	
辦	pã5	
功	kəŋ1	
加	tɕia1	
務	u5	
劣	liə5	
助	tʂu5	
努	nu3	
劫	tɕiə2	
勵	li5	
勁	tɕiə̃5	有～
勁	tɕiŋ5	～敌
勞	lɔ2	
劵	tɕyã5	
勢	ʂʅ5	
勃	pə2	
勇	iŋ3	
勉	miã3	
勋	ɕyə̃1	
勒	lei1	
勘	kʰã1	
募	mu5	
勤	tɕʰiə̃2	
勺	ʂɔ2	
勾	kou1	～引
勾	kou5	～当
勿	u5	
勻	yə̃2	
包	pɔ1	
化	xua5	
北	pei3	
匙	tʂʰʅ3	
匠	tɕiɑŋ5	
匡	kʰuɑŋ1	
匣	ɕia2	
匪	fei3	
匹	pʰi3	
區	tɕʰy1	
醫	i1	
匾	piã3	
匿	ni5	
十	ʂʅ2	
千	tɕʰiã1	
升	ʂəŋ1	
午	u3	
半	pã5	
華	xua2	中～
華	xua5	～山
協	ɕiə2	
卑	pei1	
卒	tθu2	
卓	tʂuo2	
單	tã1	～独
單	ʂã5	姓
賣	mɛ5	
南	nã2	
博	pə2	
卜	pu3	
占	tʂã5	
盧	lu2	
卤	lu3	
卦	kua5	
臥	uo5	
衛	uei5	
卯	mɔ3	
印	iə̃5	
危	uei1	
即	tɕi2	
卻	tɕʰyə5	
卵	luã3	
卷	tɕyã3	～起来
卷	tɕyã5	～子
卸	ɕiə5	
卿	tɕʰiŋ1	
廠	tʂʰɑŋ3	
廳	tʰiŋ1	
历	li5	
厲	li5	
壓	ia5	
厭	iã5	
原	yã2	
廂	ɕiɑŋ1	
厦	ʂa5	大～
厦	ɕia5	～门
廚	tʂʰu2	
厮	θɿ1	
去	tɕʰy5	
縣	ɕiã5	
参	tθʰã1	～加
参	tθʰə̃1	～差
参	ʂə̃1	人～
又	iou5	
叉	tʂʰa5	
及	tɕi2	
友	iou3	
雙	ʂuɑŋ1	
反	fã3	
发	fa3	
叔	ʂu1	
取	tɕʰy3	
受	ʂou5	
變	piã5	
敘	ɕy5	
叛	pʰã5	
叟	ʂou1	
疊	tiə2	
口	kʰou3	
古	ku3	
句	tɕy5	
另	liŋ5	
叨	tɔ1	
叩	kʰou5	
只	tʂʅ3	
叫	tɕiɔ5	
可	kuo3	
台	tʰɛ2	
史	ʂʅ3	
右	iou5	
葉	iə5	
號	xɔ2	呼～
號	xɔ5	～数
司	θɿ1	
嘆	tʰã5	
吁	y1	
吃	tʂʰʅ1	
各	kə5	
吆	iɔ1	
合	xə2	
吉	tɕi2	
吊	tiɔ5	
同	tʰəŋ2	
名	miŋ2	
吏	li5	
吐	tʰu3	～痰
吐	tʰu5	呕～
向	ɕiɑŋ5	
嚇	ɕia5	
嚇	xə5	恐～
吕	ly3	
君	tɕyə̃1	
吝	liə̃5	
吞	tʰuə̃1	
吟	iə̃1	
吠	fei5	
吣	tɕʰiə̃5	
否	fou3	
含	xã2	
听	tʰiŋ1	
启	tɕʰi3	
吴	u2	
吵	tʂʰɔ3	
吸	ɕi1	
吹	tʂʰuei1	
吻	uə̃3	
吾	u2	
呆	tɛ1	
告	kɔ5	
嘔	ou3	
員	yã2	
周	tʂou1	
味	uei5	
呼	xu1	
命	miŋ5	
和	xə2	～气
和	xuo2	～面
咎	tɕiou5	
咏	ɕiŋ3	
咒	tʂou5	
咨	tθɿ1	
咬	iɔ3	
咳	kʰə3	
咸	ɕiã2	
咽	iã5	
哀	ɛ1	
品	pʰiə̃3	
哄	xəŋ2	
響	ɕiɑŋ3	
啞	ia3	
哥	kuo1	
哪	na3	
哭	kʰu1	
哲	tʂə2	
哽	kəŋ3	
唆	θuo1	
脣	tʂʰuə̃2	
唐	tʰɑŋ2	
嘮	lɔ2	
喚	xuã5	
售	ʂou5	
唯	uei2	
唱	tʂʰɑŋ5	
唾	tʰuo5	
啃	kʰə̃3	
啄	tʂuo2	
商	ʂɑŋ1	
嗇	ʂə5	
囉	luo5	
啼	tʰi2	
善	ʂã5	
喊	xã3	
喜	ɕi3	
喝	xa1	～酒
喝	xɛ5	～彩
喧	ɕyã1	
噴	pʰə̃1	～水
噴	pʰə̃5	～香
喻	y5	
嗅	ɕiou5	用鼻～
嗉	θu5	
嗓	θɑŋ3	
嗜	ʂʅ5	
嗣	θɿ5	
嗤	tʂʰʅ1	
嗽	θou5	
嘉	tɕia1	
噓	ɕy1	
囑	tʂu3	
嘴	tθuei3	
噎	iə1	
器	tɕʰi5	
囂	ɕiɔ1	
嚷	iɑŋ3	
嚼	tɕyə2	
囊	nɑŋ2	
囚	tɕʰiou2	
四	θɿ5	
回	xuei2	
因	iə̃1	
团	tʰuã2	
囤	tuə̃5	
園	yã2	
困	kʰuə̃5	
囱	tθʰəŋ1	
圍	uei2	
固	ku5	
國	kuo3	
圖	tʰu2	
圓	yã2	
圈	tɕʰyã1	
圈	tɕyã5	猪～
土	tʰu3	
聖	ʂəŋ5	
在	tθɛ5	
圭	kuei1	
地	ti5	
場	tʂʰɑŋ3	
址	tʂʅ3	
均	tɕyə̃1	
坍	tʰã1	～下来
坎	kʰã3	
壞	xuɛ5	
坐	tθuo5	
坑	kʰəŋ1	
塊	kʰuɛ5	
堅	tɕiã1	
坛	tʰã2	
壩	pa5	
墳	fə̃2	
墜	tʂuei5	
坡	pʰə1	
坤	kʰuə̃1	
坦	tʰã3	
坪	pʰiŋ2	
坯	pʰei1	
垂	tʂʰuei2	
壠	ləŋ3	
型	ɕiŋ2	
垒	luei3	
墾	kʰə̃3	
墊	tʰiã5	
埂	kəŋ3	
埃	ɛ1	
埋	mɛ2	
城	tʂʰəŋ2	
埝	niã5	
域	y5	
埠	pu5	
培	pʰei2	
基	tɕi1	
堂	tʰɑŋ2	
堆	tuei1	
堡	pɔ3	
堤	tʰi1	
堪	kʰã1	
堰	iã5	
堵	tu3	
塌	tʰa1	
塑	θuo5	
塔	tʰa3	
