#漢字	音標	解釋
□	tsʮ1	〜疙瘩：手揪的面片
□	tɒ1	父亲
□	tɕiɒ1	抬〜：抚养
□	ŋə3	糊了
一	iəʔ7	
丁	tiŋ1	
七	tɕʰiəʔ8	
万	væ̃5	
丈	tsɒ5	
三	sæ̃1	
上	sɒ5	
下	xɒ5-	〜雨
下	ɕiɒ5	〜面
不	pəʔ7	
与	ʮ1	
丐	kɑi5	
丑	tsʰə3	
專	tsuæ̃1	
且	tɕʰie3	
世	sɿ5	
丘	tɕʰiə1	
丙	piŋ3	
業	iaʔ8	
叢	tsʰuŋ1	
東	tuŋ1	
絲	sɿ1	
丞	tsʰəŋ1	
丟	tiə1	
兩	liɒ3	
嚴	ie1	
並	piŋ5	
喪	sɒ1	出～
喪	sɒ5	〜失
个	kə5	
丫	iɒ1	〜头
中	səŋ1	
中	tsuŋ1	〜间
中	tsuŋ5	〜奖
丰	fəŋ1	
串	tsʰuæ̃5	
臨	liŋ1	
丸	væ̃1	
丹	tæ̃1	
爲	vei5	
主	tsu3	
丽	lei5	
舉	tsʮ3	
乃	nɑi3	
久	tɕiə3	
義	ɿ5	
之	tsɿ1	
烏	u1	
乍	tsɒ5	
乎	xu1	
乏	faʔ7	
樂	iəʔ7-	音～
樂	ȵiaʔ8	〜毅：村名
樂	luaʔ8	
樂	yaʔ8	
喬	tɕʰiau1	
乖	kuɑi1	
乘	tsʰəŋ1	
乙	iaʔ7	
九	tɕiə3	
乞	tɕʰiəʔ7	
也	ie3	
習	ɕiəʔ8	
鄉	ɕiɒ1	
書	su1	
買	mɑi3	
亂	luæ̃5	
乳	zu3	
乾	tɕʰie1	
了	liau3	
爭	tsəŋ1	
事	sɿ5	
二	ɚ5	
于	ʮ1	
虧	kʰuei1	
雲	yuŋ1	
互	xu5	
五	u3	
井	tɕiŋ3	
亞	iɒ5	
些	ɕie1	
亡	vɒ1	
交	tɕiau1	
亥	xɑi5	
亦	ɿ5	
產	tsʰæ̃3	
亨	xəŋ1	
畝	mu3	
享	ɕiɒ3	
京	tɕiŋ1	
亭	tʰiŋ1	
亮	liɒ5	
親	tɕʰiŋ1	
人	zəŋ1	
億	ɿ5	
什	səʔ8	
仁	zəŋ1	
僅	tɕiŋ3	
仆	pʰu1	
仇	tsʰə1	
仇	tɕʰiə1	姓〜
今	tɕiŋ1	
介	tɕie5	
仍	zəŋ3	
从	tsʰuŋ1	
倉	tsʰɒ1	
仕	sɿ5	
他	tʰɒ1	
仗	tsɒ5	
付	fu5	
仙	ɕie1	
代	tɑi5	
令	liŋ5	
以	ɿ3	
儀	nɿ1-	～城：地名
儀	ɿ1	
仰	ȵiɒ3-	～起头
仰	iɒ3	
仲	tsuŋ5	
件	tɕie5	
價	tɕiɒ5	
任	zəŋ1	
份	fəŋ5	
仿	fɒ3	〜造
企	tsʰɿ3	
伍	u3	
伏	fə1	
伐	faʔ7	
休	ɕiə1	
衆	tsuŋ5	
優	iə1	
伙	xuə3	
會	kʰuɑi5	〜计
會	xuei5	〜议
傘	sæ̃3	
偉	vei3	
傳	tsʰuæ̃1	〜说
傳	tsuæ̃5	〜记
傷	sɒ1	
倫	luŋ1	
僞	vei3	
伯	piaʔ7	大〜的：对丈夫哥哥的称谓
估	ku3	
伴	pæ̃5	
伶	liŋ1	
伸	səŋ1	
伺	tsʰɿ5	
似	sɿ5	
但	tæ̃5	
佈	pu5	
位	vei5	
低	tɿ1	
住	tsu5	
佐	tsuə5	
體	tʰɿ3	
佔	tsæ̃5	
何	xə1	
佘	sə1	
余	ʮ1	
佛	fəʔ7	
作	tsuaʔ7	
作	tsuəʔ8	
佞	ȵiŋ5	
你	nɿ3	
佢	tsʰʮ1	
佩	pʰei5	
佳	tɕiɒ1	
使	sɿ3	
侃	kʰæ̃3	
侄	tsiəʔ7	
侈	tsʰɿ3	
例	lei5	
侍	sɿ5	
供	kuŋ5	〜养
依	ɿ1	
俠	ɕiaʔ7	
僥	tɕiau3	
偵	tsəŋ1	
側	tsaʔ8-	～棱起耳朵
側	tsʰaʔ8	
僑	tɕʰiau1	
儂	nuŋ1	
侮	u1	
侯	xə1	姓〜
侵	tɕiŋ1	
便	pie1	方〜
便	pʰie1	〜宜
係	sɿ5	
促	tsʰuəʔ7	
俄	ŋə1	
俊	tsuŋ5-	长哩～
俊	tɕyuŋ5	
俏	tɕʰiau5	
俗	ɕyəʔ7	
俗	suəʔ8	
俘	fu1	
保	pau3	
俟	sɿ5	
信	ɕiŋ5	
儼	ie1	
倆	liɒ3	
儉	tɕie3	
修	ɕiə1	
俯	fu3	
俱	tsʮ5	
俸	fəŋ5	
倍	pei5	
倒	tau3	〜下
倒	tau5	〜水
倔	tɕyaʔ7	
倘	tʰɒ3	〜使
候	xə5	
倚	ɿ1	
借	tɕie5	
倡	tsʰɒ5	
倣	fɒ1	
倦	tɕyə5	
倪	nɿ1	
倭	və1	
債	tsɑi5	
傾	tɕʰiŋ3	
假	tɕiɒ3	～货
假	tɕiɒ5	〜期
偏	pʰie1	
做	tsuəʔ7	
停	tʰiŋ1	
健	tɕie5	
偶	ŋə3	
偷	tʰə1	
償	tsʰɒ1	
傀	kʰuei1	
傅	fu5	
傍	pɒ5	
傢	tɕiɒ1	
