#漢字	音標	解釋
㑥	ɦiᶽ6	
㒼	mø2	
㞢	tsɿ1	
㫰	lɒ̃6	
㮰	biᶽ2	
㽹	fᴇ5	
㿭	tsʰaʔ7	
䄬	ɦiᶽ2	
䊓	zɿ6	
䥛	tɕiɪʔ7	
䫲	hᴇ1	
䬵	ɡᴇ6	
䭁	tsɿ5	
一	iɪʔ7	
丁	tiŋ1	
七	tsʰiɪʔ7	
丈	za6	
丈	zɛ̃6	
三	sa1	
三	sᴇ1	
上	zɒ̃6	
上	zɛ̃6	
下	ɕia5	
下	ɦuˠ6	
不	pəʔ7	
丐	kᴇ3	
丑	tsʰɤ5	
且	tsʰia1	
且	tsi1	
世	sɿ5	
丘	tɕʰiɤ1	
丙	piŋ3	
丞	zɤŋ2	
並	biŋ6	
个	ɡəʔ8	
丫	ia1	
丫	uˠ1	
中	tsoŋ1	
中	tsoŋ5	
丰	foŋ1	
丸	ɦø2	
丹	tᴇ1	
主	tsʮ3	
乃	nᴇ3	
久	tɕiɤ3	
之	tsɿ1	
乍	zuˠ6	
乏	ɦuaʔ8	
乖	kua1	
乘	zɤŋ2	
乙	iɪʔ7	
九	tɕiɤ3	
乞	tɕʰiəʔ7	
也	ɦa6	
也	ɦia6	
乳	zʮ6	
乾	kø1	
亂	lø6	
亂	lœʔ8	
了	liɔ6	
予	ɦy2	
事	zɿ6	
二	ȵiᶽ6	
二	əl5	
云	ɦiɤŋ2	
互	vuᵝ6	
五	ʋuᵝ3	
五	ŋ6	
井	tsiŋ3	
亞	ia5	
亞	uˠ3	
亡	vɒ̃2	
交	kɔ1	
交	tɕiɔ1	
亥	ɦᴇ6	
亦	ɦiɪʔ8	
亨	hɛ̃1	
亨	hɤŋ1	
享	ɕiɛ̃3	
京	tɕiɤŋ1	
亭	diŋ2	
人	zɤŋ2	
人	ȵiɤŋ2	
什	zəʔ8	
仁	zɤŋ2	
仁	ȵiɤŋ2	
仄	tsəʔ7	
仇	zɤ2	
仇	dʑiɤ2	
今	kɤŋ1	
今	tɕiɤŋ1	
介	ka5	
介	tɕia5	
仍	ȵi2	
仔	tsɿ1	
仔	tsɿ3	
仕	zɿ6	
仗	tsɛ̃5	
付	fuᵝ5	
仙	si1	
代	dᴇ6	
令	liŋ6	
仰	ȵiɛ̃3	
仲	zoŋ6	
仵	ʋuᵝ3	
任	zɤŋ6	
任	ȵiɤŋ2	
份	vɤŋ6	
仿	fɒ̃3	
伊	iᶽ1	
伍	ʋuᵝ3	
伍	ŋ6	
伎	dʑiᶽ6	
伏	voʔ8	
伐	ɦuaʔ8	
休	ɕiɤ1	
伕	fuᵝ1	
伙	fuᵝ3	
伯	paʔ7	
估	kuᵝ3	
伴	bø6	
伶	liŋ2	
伸	sɤŋ1	
伺	zɿ6	
似	zɿ6	
伽	ɡa2	
佃	di6	
但	dᴇ6	
佈	puᵝ5	
位	vᴇ6	
低	tiᶽ1	
住	zʮ6	
佐	tsuᵝ3	
佑	iɤ5	
何	vuᵝ2	
余	ɦy2	
佛	vəʔ8	
作	tsoʔ7	
佝	hɤ1	
佩	bᴇ6	
佬	lɔ6	
佮	kœʔ7	
佳	ka1	
佳	tɕia1	
使	sɿ3	
侃	kʰø5	
侄	zəʔ8	
來	lᴇ2	
例	liᶽ6	
侍	zɿ6	
侏	tsʮ1	
侖	lɤŋ2	
供	koŋ1	
依	iᶽ1	
侯	ɦɤ2	
侵	tsʰiŋ1	
侷	dʑioʔ8	
便	biᶽ6	
便	bi6	
係	ɕiᶽ1	
促	tsʰoʔ7	
俄	ŋuᵝ2	
俊	tsiŋ5	
俎	tsuᵝ3	
俏	tsʰiɔ5	
俗	zoʔ8	
俘	fuᵝ1	
保	pɔ3	
俞	ɦy2	
俠	ɦiaʔ8	
信	siŋ5	
俬	sɿ1	
修	siɤ1	
俯	fuᵝ3	
俱	dʑy6	
俳	ba2	
俸	ɦoŋ6	
倉	tsʰɒ̃1	
個	kuᵝ5	
倍	bᴇ6	
倒	tɔ3	
倔	dʑyœʔ8	
倖	ɦiɤŋ6	
倘	tʰɒ̃5	
候	ɦɤ6	
借	tsia5	
倡	tsʰɒ̃5	
倡	tsʰɛ̃5	
倦	dʑyø6	
倨	tɕy5	
倪	ȵiᶽ2	
倭	ʋuᵝ1	
倷	nɤ6	
值	zəʔ8	
假	ka3	
假	ka5	
假	tɕia3	
假	tɕia5	
偉	vᴇ2	
偏	pʰi1	
偕	tɕia1	
做	tsuᵝ5	
停	diŋ2	
健	dʑi2	
側	tsəʔ7	
偶	ŋɤ6	
偷	tʰɤ1	
傀	kʰuᴇ5	
傅	fuᵝ5	
傅	vuᵝ6	
傍	bɒ̃2	
傑	dʑiɪʔ8	
傘	sᴇ5	
備	bᴇ6	
傢	tɕia1	
催	tsʰᴇ1	
傲	ŋɔ2	
傲	kʰuᴇ1	
傳	zø2	
傳	zø6	
傷	sɒ̃1	
傷	sɛ̃1	
傻	sa3	
傾	tɕʰiɤŋ5	
僅	dʑiɤŋ6	
像	ziɛ̃6	
僕	boʔ8	
僖	ɕiᶽ1	
僧	sɤŋ1	
僱	kuᵝ5	
僵	tɕiɛ̃1	
價	ka5	
價	tɕia5	
僻	pʰiɪʔ7	
儀	ȵiᶽ6	
儉	dʑi6	
儔	dɔ6	
儕	zᴇ2	
償	zɒ̃2	
償	zɛ̃2	
優	iɤ1	
儲	zʮ2	
允	iɤŋ3	
元	ȵyø2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	zɔ6	
兇	ɕioŋ1	
先	si1	
光	kuɒ̃1	
克	kʰəʔ7	
兌	dᴇ6	
免	mi6	
兒	əl2	
兒	ŋ2	
兔	tʰuᵝ5	
兜	tɤ1	
入	zəʔ8	
內	nᴇ6	
全	zi2	
兩	niɛ̃6	
兩	liɛ̃6	
八	poʔ7	
公	koŋ1	
兮	iᶽ1	
兮	ɦiᶽ2	
共	ɡoŋ6	
兵	piŋ1	
其	dʑiᶽ2	
具	dʑy6	
典	ti3	
兼	tɕi1	
冀	tɕiᶽ5	
冊	tsʰaʔ7	
再	tsᴇ5	
冠	kø1	
冠	kø5	
冤	ɦyø1	
冥	miŋ3	
冬	toŋ1	
冰	piŋ1	
冶	i5	
冷	lɛ̃6	
准	tsɤŋ3	
凌	liŋ2	
凍	toŋ5	
凝	ȵiɤŋ2	
几	tɕiᶽ1	
凡	vᴇ2	
凱	kʰᴇ5	
凳	tɤŋ5	
凶	ɕioŋ1	
凹	ɔ1	
出	tsʰəʔ7	
函	ɦø2	
刀	tɔ1	
刁	tiɔ1	
刃	zɤŋ6	
分	fɤŋ1	
切	tsʰiɪʔ7	
刊	kʰø5	
刑	ɦiɤŋ2	
划	ɦuˠ2	
列	liɪʔ8	
初	tsʰuᵝ1	
判	pʰø5	
別	biɪʔ8	
刨	bɔ6	
利	liᶽ6	
刪	sᴇ1	
刮	kuaʔ7	
到	tɔ5	
刳	kʰuᵝ1	
制	tsɿ5	
刷	sœʔ7	
券	tɕʰyø5	
刺	tsʰɿ5	
刻	kʰəʔ7	
剃	tʰiᶽ5	
則	tsəʔ7	
削	siaʔ7	
剋	kʰəʔ7	
剔	tʰiɪʔ7	
剛	kɒ̃1	
剝	poʔ7	
剩	zɤŋ6	
剪	tsi3	
割	kəʔ7	
創	tsʰɒ̃5	
剷	tsʰᴇ5	
劃	ɦuˠ2	
劃	ɦuaʔ8	
劄	tsaʔ7	
劇	dʑiɪʔ8	
劈	pʰiɪʔ7	
劉	lɤ2	
劊	kʰuᴇ5	
劍	tɕi5	
劗	tsᴇ1	
功	koŋ1	
加	tɕia1	
劣	liɪʔ8	
助	zuᵝ6	
努	nuᵝ3	
劫	tɕiɪʔ7	
劬	dʑy2	
勁	dʑiɤŋ6	
勃	bəʔ8	
勇	ioŋ3	
勉	mi6	
勒	ləʔ8	
動	doŋ6	
務	vuᵝ6	
勞	lɔ2	
募	muᵝ6	
勢	sɿ5	
勤	dʑiɤŋ2	
勩	iᶽ5	
勳	ɕiɤŋ1	
勵	liᶽ6	
勸	tɕʰyø5	
勹	pɔ1	
勻	ɦiɤŋ2	
勾	kɤ1	
包	pɔ1	
匆	tsʰoŋ1	
匈	ɕioŋ1	
匏	bɔ2	
匕	piᶽ3	
化	huˠ5	
匙	zɿ2	
匠	ziɛ̃6	
匣	ɦaʔ8	
匪	fiᶽ1	
匯	vᴇ6	
匹	pʰiɪʔ7	
匾	pi3	
區	tɕʰy1	
區	ɤ1	
十	zəʔ8	
千	tsi1	
升	sɤŋ1	
午	ʋuᵝ3	
午	ŋ6	
半	pø5	
卑	pᴇ1	
卒	tsœʔ7	
卓	tsoʔ7	
協	ɦiaʔ8	
博	poʔ7	
卜	poʔ7	
占	tsø1	
卦	kuˠ5	
卯	mɔ6	
印	iɤŋ5	
危	vᴇ2	
危	ŋuᴇ2	
危	ʋᴇ1	
即	tsiɪʔ7	
卵	lø6	
卷	tɕyø3	
卸	sia5	
卻	tɕʰiaʔ7	
厘	liᶽ2	
厚	ɦɤ6	
厝	tsʰuᵝ5	
原	ȵyø2	
厥	tɕyœʔ7	
厭	i5	
厲	liᶽ6	
厴	i3	
去	tɕʰiᶽ5	
去	tɕʰy5	
厾	toʔ7	
參	tsʰø1	
參	sɤŋ1	
又	ɦiᶽ6	
又	iɤ5	
叉	tsʰuˠ1	
及	dʑiᶽ6	
及	dʑiɪʔ8	
友	ɦiɤ6	
反	fᴇ3	
叔	soʔ7	
取	tsʰy5	
受	zɤ6	
叛	bø6	
叢	zoŋ2	
古	kuᵝ3	
句	tɕy5	
另	liŋ6	
叨	tɔ1	
只	tsɿ3	
叫	tɕiɔ5	
召	zɔ6	
叮	tiŋ1	
可	kʰuˠ5	
台	tʰᴇ1	
史	sɿ3	
右	iɤ5	
司	sɿ1	
吃	tɕʰiəʔ7	
各	koʔ7	
合	ɦuœʔ8	
吉	tɕiɪʔ7	
吊	tiɔ5	
同	doŋ2	
名	miŋ2	
后	ɦɤ6	
吐	tʰuᵝ5	
君	tɕiɤŋ1	
吞	tʰɤŋ1	
吟	ȵiɤŋ2	
否	fɤ3	
含	ɦø2	
吳	vuᵝ2	
吳	ŋ2	
吵	tsʰɔ5	
吸	ɕiɪʔ7	
吹	tsʰɿ1	
吹	tsʰᴇ1	
吻	vɤŋ6	
吼	hɤ5	
吾	ŋuᵝ2	
呆	tᴇ1	
呆	ŋᴇ2	
呈	zɤŋ2	
告	kɔ5	
呢	ȵiᶽ2	
呢	nəʔ8	
周	tsɤ1	
呱	kuᵝ1	
味	miᶽ6	
味	viᶽ6	
呸	pʰᴇ1	
命	miŋ6	
咆	bɔ2	
和	vuᵝ2	
咎	dʑiɤ6	
咕	kuᵝ1	
咩	mɛ̃3	
咫	tsɿ3	
咬	ŋɔ6	
咳	kʰəʔ7	
咸	ɦᴇ2	
咿	iᶽ1	
品	pʰiŋ5	
哈	ha1	
員	ɦyø2	
哥	kuᵝ1	
哥	kɤ1	
哦	ŋuᵝ2	
哭	kʰoʔ7	
哮	hɔ1	
哲	tsœʔ7	
哺	buᵝ6	
哽	kɛ̃3	
唄	ba6	
唆	suᵝ1	
唇	zɤŋ2	
唐	dɒ̃2	
唔	ŋ1	
售	zɤ6	
唯	viᶽ2	
唱	tsʰɒ̃5	
唸	ȵi6	
唾	tʰuᵝ5	
啄	toʔ7	
商	sɒ̃1	
商	sɛ̃1	
問	mɤŋ6	
問	vɤŋ6	
啐	tsʰᴇ5	
啓	tɕʰiᶽ5	
啕	dɔ2	
啞	ia3	
啞	uˠ3	
啟	tɕʰiᶽ5	
啥	sa3	
啻	tsʰɿ5	
啼	diᶽ2	
喂	y5	
喂	ʋᴇ5	
善	zø6	
喉	ɦɤ2	
喊	hᴇ5	
喌	tuˠ5	
喜	ɕiᶽ3	
喝	həʔ7	
喪	sɒ̃1	
喫	tɕʰiəʔ7	
喬	dʑiɔ2	
單	tᴇ1	
單	zø6	
喻	ɦy6	
嗆	tɕʰiɛ̃5	
嗉	suᵝ5	
嗍	soʔ7	
