#漢字	音標	解釋
□	tsɿ1	～哩：瞎叫唤
□	tʰi1	马～：荸荠
□	ma1	～姒：活泼好动
□	tʰa1	动词，用缝纫机缝合
□	tɕʰia1	“去吧”的合音
□	pʰɤ1	～下娃：生育，一般指动物的繁殖
□	tsʰuo1	工具类，用竹条编织的大筐
□	pai1	女阴
□	tʰai1	动词，藏
□	tuei1	动词，碰
□	xuei1	～李：李子
□	uei1	动词，慢慢挪
□	lou1	～委：足够
□	luæ̃1	咕～：慢慢嚼
□	luæ̃1	～菜：炒菜
□	tsʰə̃1	动词，用锨等工具从地面挪开
□	suəŋ1	精液
□	mi3	～～蒿：一种野生植物
□	mu3	～一下：动词，估计
□	tsa3	～菜
□	ia3	丢失
□	liɛ3	动词，好动，闹腾
□	nou3	～死啦：累，费劲
□	ȵiou3	“新妇”的合音
□	ʂæ̃3	～眼：斜视，贬义
□	ʂæ̃3	～住：遮住，盖住
□	ŋæ̃3	～上三碗饭：安排，计划
□	piæ̃3	动词，把东西往狭小空间塞
□	səŋ3	～地吃：掰开一块一块，含贬义
□	tiəŋ3	堵塞，不消化
□	tsʰɿ5	人～：人不机灵，反应慢
□	tsʰɿ5	～能：逞能
□	tʂʅ5	～气:赌气
□	tɕʰi5	～子:面条
□	u5	～惜：爱惜，不浪费
□	tɕy5	～死啦：因紧绷或封闭而感到难受
□	tɕʰy5	绑一个～：打个结
□	y5	用鞭子、棍棒打
□	tsʰa5	嗓子～：哑
□	ka5	心眼～：不好
□	tɕʰia5	～过：使物体倾斜以便通过
□	ua5	动词，接触某一物体
□	ua5	黑老～：乌鸦
□	ɕya5	歪斜，不正
□	ya5	动词，类似于“抓”
□	tiɛ5	～着走:腿受伤，跛
□	tʰiɛ5	小～：一种纺线工具
□	tɕʰiɛ5	～倒：摔倒
□	pʰɤ5	～麦：用镰刀等工具收割庄稼等
□	pʰɤ5	～命：拼命
□	tʂɤ5	～溜：正常
□	kɤ5	～伙：搭伙，合作
□	tuo5	动词，戳
□	tsʰuo5	～一簸箕：动词，用工具往起揽收
□	kʰuo5	～过：把多余的东西拨开
□	uai5	～断：折断
□	pau5	给你～一点：动词，拨，匀
□	mau5	～一眼：看
□	tsʰau5	～老花：乞丐
□	sau5	～猪：阉猪
□	xau5	把麦～开：摊开使晾晒
□	pʰiau5	左～：惯用左手
□	ȵiau5	～开：撬开
□	tou5	～～眼：距离很近地看
□	nou5	～一会儿：停留
□	lou5	圪膝～
□	tsʰou5	～起：端起
□	tʂou5	～起：举起，使支撑
□	liou5	斜视，表讨厌
□	tɕiou5	肚不～
□	ɕiou5	动词，缠绕在一起
□	mæ̃5	～圪得：蜻蜓
□	mæ̃5	～乎：以后
□	tæ̃5	你～：你猜
□	tsæ̃5	把头～下：低下
□	tsʰæ̃5	狗～;狗叫
□	miæ̃5	～蛋：马铃薯
□	tɕiæ̃5	他可～：小气
□	ɕiæ̃5	外～：外面
□	tɕʰyæ̃5	曲～：蚯蚓
□	ɕyæ̃5	油～：当地一种面食，油面混合而成
□	yæ̃5	动词，推
□	tsə̃5	动词，硆
□	nəŋ5	下雨后地面泥泞，无法下脚
□	tsəŋ5	～人：累人
㞎	pa3	拉屎
㞗	tɕʰiou1	男阴，经常做后词缀，表贬义，做～
䄂	ɕiou5	
一	i1	
丁	tiəŋ5	
七	tɕʰi5	
万	uæ̃5	
丈	tʂʰɤ5-	
丈	tʂʰuo1-	
丈	tʂəŋ5=	～夫
三	sæ̃5	
上	ʂɤ5-	～头
上	ʂuo5-	～山
上	ʂəŋ5=	～学
下	xa5-	底～
下	ɕia5=	～降
不	pu1	
与	y3	
丐	kai5	
丑	tʂʰou3	
專	tʂuæ̃5	
且	tɕʰiɛ3	
世	ʂʅ5	
丘	tɕʰiou5	
丙	piəŋ3	
業	ȵiɛ5-	作～
業	iɛ5=	
叢	tsʰuəŋ1	
東	tuəŋ5	
絲	sɿ5	
丞	tʂʰəŋ1	
丟	tiou5	
兩	lyo3-	二～
兩	liəŋ3=	斤～
嚴	ȵiæ̃1-	管得～
嚴	iæ̃1=	尊～
並	piəŋ5	
喪	səŋ5	
个	uai5	一～
丫	ia5	～头
中	tʂuəŋ5	
丰	fəŋ5	
串	tʂʰuæ̃5	
臨	liə̃1	
丸	uæ̃1	
丹	tæ̃5	
爲	uei3	年轻有～
爲	uei5	～什么
主	tʂu3	
丽	li5	
舉	tɕy3	
乃	nai3	
久	tɕiou3	
義	i5	
之	tsɿ5	
烏	u5	
乍	tsa5-	
乍	tʂa5=	
乎	xu1	在～
乏	fa1	
樂	lɤ5	快～
樂	yo5	音～
乒	pʰiəŋ1	
乓	pʰəŋ5	
喬	tɕʰiau1	
乖	kuai5	
乘	tʂʰəŋ1	
九	tɕiou3	
乞	tɕʰi3	
也	ia3-	～是
也	iɛ3=	
習	ɕi1	
習	ɕi3	
鄉	ɕiəŋ5	
書	ʂu5	
買	mai3	
亂	luæ̃5	
乳	ʐu3	
乾	tɕʰiæ̃1	
了	liau3	～结
了	lɤ5	相当于普通话的“了”
予	y3	
爭	tʂiɛ5-	～东西
爭	tʂəŋ5=	
事	sɿ5	
二	ɚ5	
于	y5	
虧	kʰuei5	
雲	uə̃1	
互	xu5	
五	u3	
井	tɕiɛ3-	一口～
井	tɕiəŋ3=	背～离乡
亞	ȵia5	
亞	ia5	
些	ɕia5-	一～个
些	ɕiɛ5=	～许
亡	uəŋ1	
交	tɕiau5	
亥	xai5	
產	tsʰæ̃3	
亨	xəŋ5	
畝	mu3	
享	ɕiəŋ3	
京	tɕiəŋ5	
亭	tʰiəŋ1	
亮	liəŋ5	
親	tɕʰiə̃5	
人	ʐə̃1	
什	ʂʅ5	～锦
仁	ʐə̃1	
僅	tɕiə̃3	
仆	pʰu1	～人
仇	tʂʰou1	
今	tɕiə̃5	
介	tɕiɛ5	
仍	ʐəŋ1	
从	tsʰuəŋ1	
仑	luə̃1	
倉	tsʰəŋ5	
仕	sɿ5	
他	tʰa5	
仗	tʂəŋ5	
付	fu5	
仙	ɕiæ̃5	
代	tai5	
令	liəŋ5	
以	i3	
們	mə̃5	
仰	ȵia5-	～起头看
仰	iəŋ3=	～头
仲	tʂuəŋ5	
件	tɕʰiæ̃5-	一～
件	tɕiæ̃5=	
價	tɕia5	
任	ʐə̃1	姓～
任	ʐə̃5	责～
份	fə̃5	
仿	fəŋ3	
企	tɕʰi3	
伍	u3	
伏	fu1	
伐	fa1	
休	ɕiou5	
衆	tʂuəŋ5	
優	iou5	
伙	xuo3	
會	kʰuai5	～计
會	xuei5	开～
傘	sæ̃5	
偉	uei3	
傳	tʂʰuæ̃1	～说
傳	tʂuæ̃5	水浒～
伢	ȵia1	“人家”的合音
傷	ʂuo1-	有～
傷	ʂəŋ5=	受～
倫	luə̃1	
僞	uei3	
伯	pai1	～～
估	ku5	～计
伴	pʰæ̃5-	
伴	pæ̃5=	
伶	liəŋ1	
伸	tʂʰə̃1	
伸	ʂə̃5	
伺	tsʰɿ5	～候
伺	sɿ5	
似	sɿ5	
佃	tiæ̃5	
但	tæ̃5	
位	uei5	
低	ti5	
住	tʂʰu5-	～哪
住	tʂu5=	
佐	tsuo3	
佑	iou5	
體	tʰi3	
何	xɤ1	
佘	ʂɤ5	
余	y1	
佛	fu1	仿～
佛	fɤ1	～像
作	tsuo5	
佝	kou5	
佞	ȵiəŋ5	
佟	tʰuəŋ1	
你	ȵi3	
佣	yəŋ5	
佩	pʰei5	
佬	lau3	
佳	tɕia5	
佼	tɕiau3	
使	sɿ3	
侄	tʂʰʅ1-	～儿子
侄	tʂʅ1=	
侈	tʂʰʅ3	
例	li5	
侍	sɿ5	
供	kuəŋ5	
依	i5	
俠	ɕia1	
侣	ly3	
僥	tɕiau3	
側	tsʰai5	
僑	tɕʰiau1	
儂	nuəŋ1	
侮	u3	
侯	xou1	
侵	tɕʰiə̃5	
便	pʰiæ̃1	～宜
便	piæ̃5	方～
促	tsʰou5	
俄	ŋɤ1	
俊	tɕuə̃5	
俏	tɕʰiau5	
俗	ɕy1	风～
俘	fu5	
保	pau3	
俟	sɿ5	
信	ɕiə̃5	
儼	iæ̃3	
倆	lia3	
儉	tɕiæ̃3	节～
修	ɕiou5	
俯	fu3	
俱	tɕy5	
俸	fəŋ5	
俺	ŋæ̃3	
倍	pʰei5-	
倍	pei5=	
倒	tau3	～闭
倒	tau5	～水
倔	tɕyɛ5	
倘	tʰəŋ3	
候	xou5	
倚	ȵi3	
借	tɕia5-	～东西
借	tɕiɛ3=	
倡	tʂʰəŋ5	
倦	tɕyæ̃5	
倭	uo5	
債	tsai5	
值	tʂʰʅ1-	～日
值	tʂʅ1=	
傾	tɕʰiəŋ5	
假	tɕia3	真～
假	tɕia5	放～
偏	pʰiæ̃5	
做	tsou5-	～饭
做	tsuo5=	～作业
停	tʰiəŋ1	
偢	tɕʰiou5	动词，理会
健	tɕiæ̃5	
偶	ŋou3	
偷	tʰou5	
僂	lou1	
償	tʂʰəŋ1	
傀	kʰuei1	～儡
傅	fu5	
傍	pʰəŋ5	
傢	tɕia5	
傣	tai3	
儲	tʂʰu1	
催	tsʰuei5	
傲	ŋau5	
傻	ʂa3	
像	ɕiəŋ5	
僚	liau1	
僧	səŋ5	
僵	tɕiəŋ5	
僻	pʰi5	
儒	ʐu1	
儡	luei1	
儡	lei3	
兒	ɚ1	
兀	u5	～岸：那边
允	uə̃3	
元	yæ̃1	
兄	ɕyəŋ5	
充	tʂʰuəŋ5	
兆	tʂau5	
先	ɕiæ̃5	
光	kuo5-	～～的
光	kuəŋ5=	花～
克	kʰɤ5	
免	miæ̃3	
兌	tuei5	
兔	tʰou5	
黨	təŋ3	
兜	tou5	
兢	tɕiəŋ5	
入	ʐu5	
全	tɕʰyæ̃1	
八	pa5	
公	kuəŋ5	
六	liou5	
兮	ɕi5	
蘭	læ̃1	
共	kuəŋ5	
關	kuæ̃5	
興	ɕiəŋ5	
兵	piəŋ5	
其	tɕʰi1	
具	tɕy5	
典	tiæ̃3	
養	yo3-	～大
養	iəŋ3=	饲～
兼	tɕiæ̃5	
獸	ʂou5	
冀	tɕi5	
內	nei5	
岡	kəŋ5	
冉	ʐæ̃3	
冊	tsʰai5	
再	tsai5	
冒	mau5	
冕	miæ̃3	
冗	ʐuəŋ3	
寫	ɕiɛ3	
軍	tɕuə̃5	
農	nuəŋ1	
冠	kuæ̃5	
冢	tʂuəŋ3	
冤	yæ̃5	
冥	miəŋ1	
冬	tuəŋ5	
馮	fəŋ1	姓
馮	pʰiəŋ1	姓～
冰	piɛ5-	～死了
冰	piəŋ5=	～雹
冲	tʂʰuəŋ5	
决	tɕyɛ5	
况	kʰuəŋ5	
冷	liɛ3-	～水
冷	ləŋ3=	～藏
凍	tuəŋ5	
淨	tɕʰiɛ5-	干～
淨	tɕiəŋ5=	～化
凄	tɕʰi5	
準	tʂuə̃3	
凉	lyo1-	～水
凉	liəŋ1=	～粉
凋	tiau5	
凌	liɛ1-	冻～
凌	liəŋ1=	～乱
減	tɕiæ̃3	
湊	tsʰou5	
凛	liə̃3	
凝	ȵiəŋ1	
几	tɕi5	茶～
凡	fæ̃1	
鳳	fəŋ5	
凱	kʰai5	
凳	təŋ5	
凶	ɕyəŋ5	
出	tʂʰu5	
擊	tɕi5	
函	xæ̃1	
刀	tau5	
刁	tiau5	
刃	ʐə̃5	
分	fə̃5	
切	tɕʰiɛ5	
刊	kʰæ̃5	
刎	uə̃3	
刑	ɕiəŋ1	
划	xua1	～船
划	xua5	计～
列	liɛ5	
劉	liou1	
則	tsɤ1	
剛	kəŋ5	
創	tʂʰuəŋ5	
初	tsʰou5	
刪	ʂæ̃5	
判	pʰæ̃5	
刨	pʰau1-	～根
刨	pau1=	
利	li5	
别	pʰiɛ1-	～住
别	piɛ5=	
刮	kua5	
到	tau5	
制	tʂʰʅ5	
刷	ʂua5	
券	tɕʰyæ̃5	
刹	sa5	
刺	tsʰɿ5	
刻	kʰɤ5	
刻	kʰei5	
剁	tuo5	～肉
劑	tɕi5	
剃	tʰi5	
削	ɕyo5	
前	tɕʰiæ̃1	
剮	kua3	
劍	tɕiæ̃5	
剔	tʰi5	～骨头
剖	pʰau1	
剜	uæ̃5	
剝	pɤ5	～花生
劇	tɕy5	
剩	ʂiɛ5-	～下
剩	ʂəŋ5=	～余
剪	tɕiæ̃3	
副	fu5	
割	kɤ5	
剳	tsa5	
剿	tɕiau3	
劈	pʰi5	
劐	xuo5	动词，用刀尖插入物体内部并顺势划开
劙	li1	～了一下：割破，划伤
力	li5	
勸	tɕʰyæ̃5	
辦	pʰæ̃5-	
辦	pæ̃5=	
功	kuəŋ5	
加	tɕia5	
務	u5	
劣	liɛ5	
動	tʰuəŋ5-	～一下
動	tuəŋ5=	～画片
助	tsou5	
努	nou3	
劫	tɕiɛ5	
勵	li5	
勁	tɕiə̃5	
勞	lau1	
勢	ʂʅ5	
勃	pɤ3	
勇	yəŋ3	
勉	miæ̃3	
勋	ɕuə̃5	
勒	lɤ5	
勘	kʰæ̃5	
募	mu5	
勤	tɕʰiə̃1	
勺	ʂuo1	
勺	ʂau1	
勾	kou5	
勿	u5	
勻	uə̃1	
包	pau5	
匆	tsʰuəŋ5	
匈	ɕyəŋ5	
化	xua5	
北	pei3	
匙	sɿ5	
匝	tsa5	绕一～
匠	tɕiəŋ5=	巨～
匠	tɕʰiəŋ5=	木～
匡	kʰuəŋ5	
匣	xa5-	抽～：抽屉
匣	ɕia5=	
匪	fei3	
匱	kʰuei5	
匹	pʰi3	一～布
區	tɕʰy5	
匾	piæ̃3	
匿	ȵi5	
十	ʂʅ1	
千	tɕʰiæ̃5	
升	ʂiɛ5-	～旗
升	ʂəŋ5=	～官
午	u3	
卉	xuei5	
半	pæ̃5	
華	xua1	中～
華	xua5	～山
協	ɕiɛ1	
卑	pei5	
卒	tsʰou1	
卓	tʂuo1	
單	tʂʰæ̃1	～于
單	tæ̃5	
單	tæ̃5	～个
單	ʂæ̃5	姓
賣	mai3	
南	næ̃1	
博	pɤ1	
卜	pu3	～卦
卜	pʰei5	萝～
占	tʂæ̃5	
卡	kʰa3	
盧	lou1	
卤	lou3	
卦	kua5	
臥	uo5	
衛	uei5	
卯	mau3	
印	iə̃5	
危	uei5	
即	tɕi1	
卻	tɕʰyɛ5	
卻	tɕʰyo5	
卵	luæ̃3	
卷	tɕyæ̃3	～住
卷	tɕyæ̃5	～子
卸	ɕia5-	～货
卸	ɕiɛ5	
卿	tɕʰiəŋ5	
廠	tʂʰəŋ3	
廳	tʰiəŋ5	
历	li5	
厲	li5	
壓	ȵia5	
厭	iæ̃5	
厘	li1	
厚	xou5	
原	yæ̃1	
廂	ɕiəŋ5	
厥	tɕyɛ5	
厦	ʂa5	大～
厦	ɕia5	～门
廚	tʂʰu1	
厮	sɿ5	～跟：相跟
去	tɕʰi5-	～哪儿
去	tɕʰy5=	～皮
縣	ɕiæ̃5	
参	tsʰæ̃5	～加
参	ʂə̃5	人～
又	iou5	
叉	tsʰa5	
及	tɕi1	
友	iou3	
雙	ʂuo5-	一～
雙	ʂuəŋ5=	～数
反	fæ̃3	
发	fa5	头～
叔	sou1	
取	tsʰɿ3-	～东西
取	tɕʰy3=	～消
受	ʂou5	
變	piæ̃5	
敘	ɕy5	
叛	pʰæ̃5	
叟	sou3	
疊	tʰiɛ1-	～被子
疊	tiɛ1=	
口	kʰou3	
古	ku3	
句	tɕy5	
另	liəŋ5	
