#漢字	音標	解釋
□	pa1	～脊頭：背後
□	ba2	日光不明
□	kʰa4	搭配
□	te5	量詞，（一）座（房子），（一）張（椅子），（一）個（碗）
□	kʰe5	擁擠；眼睛閉
□	e5	凹
□	pʰɤ1	草名
□	tɤ4	～lɤ4：哪裏
□	lɤ1	唱
□	sɤ1	量詞，（一）套（衣服）
□	ɡɤ4	小孩叫聲
□	kʰɔ5	許～：那裏
□	li1	甚～：什麼
□	tsʰi2	濕
□	tu3	點（頭）
□	tsu2	呼雞
□	pʰia1	比較
□	kʰia2	抬
□	ia5	撒
□	biɤ4	小疙瘩
□	hiɤ5	玩
□	iɤ5	猜
□	tiɔ3	～飯：添飯
□	liɔ4	抓
□	tsiɔ2	整齊
□	tsʰiɔ2	移動
□	siɔ2	衰～：倒黴
□	hiɔ4	騙
□	siu4	吮吸
□	kʰiu2	萎縮
□	pua4	跌倒
□	tsʰua4	帶（路）
□	sua3	移動
□	pue3	扒開
□	kui2	懷孕
□	ui5	鏟；刺
□	laŋ3	虛弱
□	pʰoŋ1	洗米水；泔水
□	tsoŋ1	穿
□	tsʰoŋ2	捅
□	koŋ1	丟；拋；扔
□	kʰoŋ2	數錢
□	tiŋ1	剩餘
□	tiŋ4	滿
□	tsʰuaŋ1	美，漂亮
□	pʰueŋ3	扒地
□	tsueŋ1	吻
□	kʰueŋ2	捲起
□	buŋ1	轉
□	tʰŋ3	捅
□	mã1	抓一把
□	tã1	骹後～：腳後跟
□	tʰã1	頂
□	tʰã3	捧
□	tsʰã2	續
□	tɛ̃4	盯
□	tĩ4	門～：門檻
□	pɔ̃2	放屁聲
□	mɔ̃3	拋；打
□	tsʰiã1	傲慢
□	puã2	撣
□	pʰuã2	滿出；翻過
□	tsʰuã1	小刺
□	tsʰuã2	折磨
□	saʔ8	夾
□	kaʔ8	禾農
□	kʰaʔ8	碰
□	tʰeʔ8	墊
□	keʔ7	柴～：柴刀
□	kʰoʔ8	罵人絕後
□	tiaʔ8	摺
□	tsiaʔ7	即～：這裏
□	hiaʔ7	～酒：釀酒
㖹	pueŋ2	吹
㾪	saŋ3	瘦
䊆	kʰiu5	韌
䋎	tʰiŋ5	縫
䘋	tsʰi4	一種海蟹
䘼	buŋ3	袖子
䭕	tsiã3	淡
一	eʔ7	
七	tsʰeʔ7	
丈	teŋ5	～夫：男人
丈	tiŋ4	姑～
丈	tioŋ4	文
丈	tŋ4	白
三	sã1	
三	saŋ1	文，～國
上	saŋ5	
上	tsŋ4	白
上	tsŋ5	～半冥：上半夜
下	ha4	文
下	a4	白
丑	tʰiu3	
且	tsʰia3	文
世	si5	
丘	kʰiu1	
丙	piã3	
丟	tiu1	
中	tiɔ1	～晝：中午
中	toŋ1	
串	tsʰuŋ5	
主	tsi3	
久	ku3	
久	kiu3	
乖	kuɛ1	
九	kɔ3	
九	kiu3	文，一～～一年
乞	kʰeʔ7	
乳	zi3	
亂	luaŋ1	
了	liɔ3	
事	tɛ1	白，大～
事	sɤ1	文，好～
二	li1	
二	li5	
五	ɡu4	
井	tsã3	白
井	tseŋ3	文，～～有條
交	kɔ1	
亭	tiŋ2	文
亮	liaŋ5	
人	zeŋ2	個～
仁	zeŋ2	
仁	liŋ2	塗豆～：花生米
仁	ziŋ2	
仇	tsʰu2	
今	ke1	～旦：今天
他	tʰa1	
付	hu5	
仙	siaŋ1	
代	tɛ1	
件	kiã4	
任	leŋ1	
伊	i1	
伍	ɡu5	
休	hiu1	
伙	hue1	我～：我們
伯	paʔ7	
估	ku1	
伴	pʰaŋ4	
伸	tsʰuŋ1	
佃	tiaŋ4	
佈	pu5	
位	bui1	
低	te1	～級錯誤
住	tsi5	
住	tiu1	白，表示“居住”
住	tsu3	文，～址
佛	hoʔ8	
作	tsiɤ5	
作	tsɤ5	白，打～儂：農民
作	tsoʔ7	文，～業
併	peŋ5	文
併	piã5	白
使	sɛ3	白，解～：可以
使	sɤ3	文，～用
侄	teʔ8	～孫
來	lɛ2	
例	le1	
便	piaŋ1	
俊	tsueŋ5	
俗	soʔ8	
信	seŋ5	
俬	si1	
修	siu1	
倉	tsʰŋ1	
個	ze2	蜀～：一個
個	ɡe2	量詞
個	kɔ5	～人
倒	tɤ3	文
倒	tɤ5	
倚	ua3	
借	tsiɤ5	
倩	tsʰiã4	
假	ka3	
做	tsɤ5	
停	tʰeŋ2	
健	kiaŋ5	
側	tsʰaʔ7	
偷	tʰɔ1	
傅	paʔ8	師～
傑	kiaʔ8	
傘	suã3	
備	pi1	
