#漢字	音標	解釋
□	la2	～ li3，文作“喇狸”，麻脸
□	pa1	lɯ1 ～，忘记
□	kɒ5	～自，文作“各自”，自己
□	lɒ2	tso5 ki1 ～，蛤蟆
□	pʰɒ5	～水，开水
□	tsɒ5	拧（毛巾）
□	te1	扔（石子）
□	beĩ5	～ dʒɛ2，文作“么其”，什么；～侬，～ lõ2，文作“么侬”，谁
□	dʒɛ2	beĩ5 ～，文作“么其”，什么
□	lɛ3	～伙，我们
□	ki1	tso5 ～ lɒ2，蛤蟆
□	li3	la2 ～，文作“喇狸”，麻脸
□	kʰia1	端，拿
□	pʰia4	(一)座(房子)
□	kio2	丢失
□	lɯ1	～ pa1，忘记
□	tso5	～ ki1 lɒ2，蛤蟆
□	lua5	“若何”合音，～其，什么
㖹	pue2	吹
㘓	lõ3	口水
㴷	taŋ2	湿
䀁	hui2	硋，陶瓷
䘼	ŋuĩ3	
䧘	teĩ4	门～，门坎
䭕	tsiɐ̃3	味淡
七	tsʰiɐ5	
万	baŋ5	
丈	tiũ4	～夫，男人
下	a4	
下	kia4	低
專	tʃyĩ1	
丘	kʰiɒ1	
業	dʒie1	
東	tɤ1	
兩	liũ3	计量单位
中	tiɤ1	～间kɤ1
丰	hɤ1	
義	dʒi5	
烏	u1	黑
九	ko3	
乞	kʰi5	汝～伊讲，你告诉他
習	siɐ1	
買	bi3	
了	liu3	昼～，下午
事	tɛ5	
事	ti5	物～，东西
二	li5	
云	hue2	
五	ɡu4	
井	tsã3	
亡	baŋ2	
亭	te2	
仁	leĩ2	目珠～
代	tɛ5	
伊	i3	
伙	hua3	人称复数后缀
傘	sõ3	
傷	sɔŋ1	
倫	lue2	
伯	pa4	师～公，道士
位	dʒy5	
作	tsɐ5	
作	tsiɐ1	～母，女人
使	ʃe3	阿～，女儿
使	ʃɛ3	
儂	lɤ2	
儂	lõ2	人；beĩ5 ～，文作“么侬”，谁
儂	lõ9	小人儿（书）
侯	ho2	
便	piaŋ5	
信	se5	
倒	tɯ3	躺
倚	dʒya3	～椅，交椅
倩	tsʰyaŋ5	美
債	tʃi5	
值	tiɐ1	
健	kyaŋ5	
允	dʒø3	
兄	hiã1	
先	seĩ1	
光	kuŋ1	亮
入	liɐ1	
全	tsiaŋ2	～工，整天
公	kɐ̃9	爷爷（爱称）
公	kɤ1	祖父；老～，丈夫；师伯～，道士
關	kuĩ1	
其	kɛ2	“若何”～，lua5 ～，什么
養	dʒiɔŋ3	
冥	baŋ2	～昏（头），夜晚
冰	pe1	霜～，冰
凍	tɤ5	
凄	tsʰi1	
准	tsø4	想
凊	tsʰe5	寒冷
出	tʃʰiɐ5	
刀	tɤ1	
刀	tɯ1	
分	hue5	水～
刊	kʰaŋ1	
劉	liɒ2	
利	li5	
别	pie1	
到	to5	
制	tʃi5	
刷	so5	齿～，牙刷
前	seĩ5	
前	tseĩ2	
剪	tseĩ3	
力	liɐ1	
勸	kʰuĩ5	
勘	kʰaŋ5	向
勤	kʰø2	
勺	tʃʰia3	
包	po1	
北	pɐ5	
十	sɒ1	
千	tsʰeĩ1	
半	põ5	
協	hiɐ1	
單	tõ1	
南	laŋ2	
历	liɐ1	
厚	ko4	
廚	tø̃9	小柜子
廚	ty2	
去	kʰɒ5	通～，到处
去	kʰy5	～年
縣	kuĩ5	
雙	sɤ1	
发	pui5	～颤寒，发虐子
叔	tsiɐ5	
取	tʃʰy3	
受	ʃiɒ4	
口	kʰo3	
台	tɛ2	
合	hɒ5	
同	tɤ2	
后	o4	～底，里面
吠	puɛ5	
否	pʰɛ3	坏
含	kẽ2	
吹	tʃʰy1	
周	tʃiɒ1	
味	bi5	
命	biɐ̃5	
和	hɯ2	
咬	ka4	
咸	ke2	
啞	a3	病～，哑巴
哥	kɯ1	
唾	tʰui5	吐（口水）
啼	tʰi2	哭
喉	o2	
喙	tsʰiɐ5	～齿，牙齿
嘴	tʃuɛ3	～老，嘴巴；～老燋，口渴
四	si5	
囝	kiõ3	儿子
囥	kʰɔŋ5	藏
囥	kʰuŋ5	藏
圍	dʒy2	
固	kɒ5	伊比我～悬，他比我高
圓	dʒĩ2	
在	tsɛ4	所～，地方
地	ti5	
坑	kʰɐ̃1	屎～，茅坑
坤	kʰue1	
堂	tɔŋ2	
