#漢字	音標	解釋
□	mɑ1	～虎、～虎子：狼
□	lɒ̃1	“老人”的合音，～家
□	lɒ̃1	“洛陽”的合音，～村
□	tˣæ̃1	～菜：一種鹹菜
□	tsʰæ̃1	功能和形狀像襻的東西：鞋～～
□	tɒo1	用指甲迅速抓
□	pəŋ1	～顱：額頭
□	nəŋ1	小孩兒撒嬌的樣子
□	pi1	～斗：耳刮子
□	piɑ1	象聲詞，糊狀無落地的聲音
□	pˣiɑ1	象聲詞，手掌扇物的聲音
□	nu1	～貓：母貓
□	zu1	圪～人：吃了涼澱粉類的食品後胃部不適的感覺
□	ku1	～兒：老鼠
□	tuɒ̃1	鑼聲
□	tˣuɒ̃1	鑼聲
□	pɑ3	～叉：成×形
□	tɑ3	歎詞，突然大喝一聲，使人注意
□	kɒ̃3	擠壓：～出繭子咧
□	kɒ̃3	～杯：碰杯
□	tsʰæ̃3	線頭順著針眼脫落
□	mɒo3	扔
□	kˣəŋ3	卡住
□	xəŋ3	吹涼氣：不敢～住囟門子
□	pˣiɑ3	象聲詞，槍聲
□	mu3	認死理兒
□	tsʰu3	擦
□	luæ̃3	糊
□	kˣueɪ3	量詞，表示張開食指與中指兩端之間的距離
□	tɕy3	“井峪”的合音，小～，大～
□	lyɛ3	糊
□	tsɑ5	用拳頭蘸水壓麵使其變軟
□	tsɑ5	踏：～在桌子上
□	tˣæ̃5	～戶兒：萬一
□	kˣæ̃5	扔
□	næᴇ5	肩扛
□	sæᴇ5	忽～：人或動物多餘的肉顫動
□	mɒo5	贏回一局
□	təʊ5	占：～便宜
□	ɣəʊ5	焦糊
□	mɤ5	斜面：～坡
□	tɕʰiəʊ5	踡縮：～在家裡不出門
□	tsʰu5	隱語，錢
□	tsuæ̃5	～子：髽髻
□	tsʰuæ̃5	磨粘膜部位使起水泡
□	piɐʔ7	～豬：種豬
㔢	tɕyəʔ8	用力（做）
㞎	pɑ5	
㞗	tɕʰiəʊ1	
㞘	tuəʔ7	～子、～蛋子：屁股
㨃	tueɪ1	（汽車）撞
㨄	tsəʊ1	
㬤	tɕʰiəʔ7	吸乾
䉲	mi1	
䉲	mi3	～～：柳笛
䌥	iŋ5	
䝋	tsuŋ1	～豬：種豬
䵚	tˣɒo3	玉～黍：玉米、玉蜀黍
一	iəʔ7	
丁	tiŋ1	
丁	tiŋ5	甲乙丙～
七	tɕʰiəʔ7	
丈	tsɒ̃3	
三	sæ̃1	
上	sɒ̃3	～山，～去，～水，在～
上	xɒ̃3	桌子～頭，爬～來，答不～來
下	xɑ3-	～地，～旗，～雨，～雪，～頭，底～，～巴頦，～元
下	ɑ3	底～
下	ɕiɑ3=	～士：落士；～水；解僱
不	pəʔ7	
丐	kæᴇ3	
丑	tsʰəʊ5	～時
且	tɕʰiɛ5	
世	sɿ3	
丘	tɕʰiəʊ1	
丙	piŋ5	
丞	tsʰəŋ1	
丟	tiəʊ1	
並	piŋ3	～且
中	tsuŋ1	
中	tsuŋ3	射～，～暑
串	tsʰuæ̃3	
丸	væ̃1	
丹	tæ̃1	
主	tsu5	
乃	næᴇ5	
久	tɕiəʊ5	
之	tsɿ5	
乍	tsɑ3	
乏	fɐʔ8	
乒	pˣiŋ1	
乖	kuæᴇ1	
乘	tsʰəŋ1	
乙	iəʔ7	
九	tɕiəʊ5	
乞	tɕʰiəʔ7	
也	iɛ5	
乳	zu5	
乾	kæ̃1	～爆，～濕
乾	tɕʰiɛ1	～坤
亂	luæ̃3	
了	liɒo5	～結，～解
予	y1	給～
予	y3	
事	sɿ3	
二	ɚ3	
于	y1	
云	yuŋ1	
五	vu5	
井	tɕi5	
井	tɕiŋ5	
亙	kəŋ3	橫～
些	ɕiɛ1	
亞	iɑ3	
亡	vɒ̃1	
交	tɕiɒo1	
亥	xæᴇ3	
亦	iəʔ7	
亨	xəŋ1	
享	ɕiɒ̃5	
京	tɕiŋ1	
亭	tˣiŋ1	
亮	liɒ̃3	
人	zəŋ1	
仁	zəŋ1	
仄	tsɐʔ8	
仇	tsʰəʊ1	報～
今	tɕiŋ1	
介	tɕiɛ3	
仍	zəŋ1	
仍	zəŋ5	
他	tˣɑ1	
仗	tsɒ̃3	
付	fu3	
仙	ɕiɛ1	
代	tæᴇ3	
令	liŋ3	
以	i5	
仰	iɒ̃5	
仰	niɒ̃5	
仲	tsuŋ3	
件	tɕiɛ3	
任	zəŋ1	姓
任	zəŋ3	責～，～務
份	fəŋ3	
仿	fɒ̃5	
企	tɕʰi5	～圖
伊	i1	
伍	vu5	
伏	fəʔ8	降～
伐	fɐʔ8	
休	ɕiəʊ1	
伢	niɑ1	小孩自稱：媽，看他打～啦；“人家”的合音
伯	pæᴇ5	～～：叔父
伯	piəʔ7	大～子、叔～哥：丈夫的哥哥；叔～弟弟：丈夫的弟弟
估	ku1	
估	ku5	～計
伴	pæ̃3	
伶	liŋ1	
伸	səŋ1	
伺	tsʰɿ3	
似	sɿ3	
佃	tiɛ3	
但	tæ̃3	
佈	pu3	
位	veɪ3	
低	ti1	
住	tsu3	
佑	iəʊ3	
佔	tsæ̃3	
何	xɤ1	
佘	sɤ1	
佘	sɐʔ8	
余	y1	姓
佛	fəʔ7	
佛	fəʔ8	
作	tsuɐʔ7	
你	niɛ1	～家，～們
你	ni5	
佩	pˣeɪ3	
佬	lɒo5	
佰	piəʔ7	
佳	tɕiɑ1	
併	piŋ3	
併	piŋ3	合～
使	sɿ5	～用，大～
侄	tsəʔ8	
來	lɤ0	夜～：昨天
來	læᴇ1	～去
來	læᴇ5	表示過去的時態：剛才找你不在，幹甚去～？
例	li3	
侍	sɿ3	服～
供	kuŋ1	～給，～應
供	kuŋ3	～養，上～
依	i1	
侮	vu5	
侯	xəʊ1	
侵	tɕʰiŋ1	
侵	tɕʰiŋ5	
便	pˣiɛ1	～宜
便	piɛ3	方～，～飯
促	tsʰuəʔ7	
俄	ɣɤ1	
俊	tɕyuŋ3	
俏	tɕʰiɒo3	
俐	li3	
俗	ɕyəʔ8	
俘	fu1	
保	pɒo5	
俞	y1	
俠	ɕiɐʔ7	
信	ɕiŋ3	
修	ɕiəʊ1	
俯	fu5	
俱	tɕy3	
俸	fəŋ3	
俺	ɣɑ5	
俺	ɣæ̃5	
倆	liɑ5	
倉	tsʰɒ̃1	
個	kɤ3	
個	kuæᴇ3	量詞
倍	peɪ3	
們	məŋ1	
們	məʔ7	
倒	tɒo3	～水
倒	tɒo5	打～
倔	tɕyəʔ7	
倘	tˣɒ̃5	
候	xəʊ3	
倚	i1	
倚	i5	
借	tɕiɛ3	～用
倡	tsʰɒ̃3	
倣	fɒ̃5	
倦	tɕyɛ3	
倪	ni1	
倫	luŋ1	
倫	lyuŋ1	
值	tsəʔ8	
假	tɕiɑ3	放～
假	tɕiɑ5	真～
偉	veɪ5	
偏	pˣiɛ1	
做	tsuəʔ7	
停	tˣi1-	～～底：消停的狀態
停	tˣiŋ3	直立：～到一壁子去
停	tˣiŋ1=	
健	tɕiɛ3	
側	tsʰɐʔ7	
偵	tsəŋ1	
偶	ɣəʊ5	
偷	tˣəʊ1	
傀	kˣueɪ1	
傅	fu3	
傑	tɕiəʔ8	
傘	sæ̃5	
備	peɪ3	
備	pi3	
傢	tɕiɑ1	
催	tsʰueɪ1	
傭	yuŋ3	
傲	ɣɒo3	
傳	tsʰuæ̃1	～達，～統
傳	tsuæ̃3	自～，～記
債	tsæᴇ3	
傷	sɒ̃1	
傻	sɑ5	
傾	tɕʰiŋ5	
像	ɕiɒ̃3	
僑	tɕʰiɒo1	
僕	pˣɐʔ8	
僚	liɒo1	
僞	veɪ5	
僥	tɕiɒo5	
僧	səŋ1	
僵	tɕiɒ̃1	
價	tɕiɑ3	
僻	pˣiəʔ7	
儀	i1	
儀	i3	
億	i3	
儈	kˣuæᴇ3	
儉	tɕiɛ5	
儒	zu1	
儒	zu5	
儘	tɕiŋ5	謙讓：～著老的～小的
儡	lueɪ5	
優	iəʊ1	
儲	tsʰu5	
兀	vəʔ7	～塊：那個
允	yuŋ1	
元	yɛ1	
兄	ɕy1	
