#漢字	音標	解釋
□	pɑ0	那～：假设(只要是他送的，～是金子我也不要！)
□	sɘi0	怒，xɘi5～，郁闷、愠怒、天气炎热难受
□	təɲ0	冷～：炒青元麦仁磨成的“幺”状食品。乡村常见老派音
□	tsʰɿ2	脸部较大的色斑
□	pʝ2	象声词
□	nʝ2	涂抹
□	tɕʰʝ2	六丫面饼
□	pʰβ2	～气：吐气
□	fβ2	疼
□	fβ2	芋、菱叶
□	fβ2	～火：火焰上层
□	fβ2	～肿
□	lβ2	扒取：～钱；轻抚
□	tsʰβ2	当面顶撞
□	kʰβ2	1.平面的中心区鼓起来；2.丰满；3.膨胀；4.液体涌出
□	kʰβ2	1.话语含混不清；2.训斥；3.糊涂
□	lyᶨ2	擦割、拖拉
□	tɕʰyᶨ2	皮枯瘠
□	pʰɑ2	～～角儿：女童侧顶髻
□	vɑ2	～坎儿：河坡凹处
□	vɑ2	向心拉、拨：～草、～饭
□	ʐɑ2	示弱：～把他
□	ŋɑ2	门窗不脗合、～捂
□	xɑ2	喘：～气
□	xɑ2	痴的～气的
□	miɑ2	极兴奋而闭目
□	niɑ2	niɑ²¹～儿：小
□	ɕiɑ2	～佬儿
□	ɕyɑ2	偷：～起来呀
□	ɕyɑ2	打：～你！
□	kʰᴇ2	～气：吐出胃中之气
□	xᴇ2	～闭眼儿：调皮的眼神
□	xᴇ2	呻吟
□	tsʰuᴇ2	～拭：责骂
□	tsʰɔ2	饥饿感：疮口腐烂加深，俗写(疒禾)
□	sɔ2	短，乡村常见音
□	pʰiɔ2	欲哭时口形
□	lɘi2	假(另读)～：蚱蟟
□	lɘi2	过～：檐沟
□	tsʰɘi2	吸
□	tsʰɘi2	筛选
□	tsʰɘi2	～人子：心悸
□	sɘi2	一种抓挠动作：鸡脚会～
□	kʰɘi2	掏、勾
□	kʰɘi2	打
□	kʰɘi2	深目
□	xɘi2	～tɕiəʔ⁰：急不可奈
□	xɘi2	喘
□	xɘi2	睡
□	mʊ2	～lʊ²¹：视觉模糊
□	tsʰʊ2	～剔：清理
□	sʊ2	1.虼蚤～动；2.偷取
□	sʊ2	锯镂
□	xʊ2	疼
□	ʊ2	叫声
□	ɕyʊ2	1.偷：他把钱～起来呀；2.缩：头绳儿衣袖～上去呀
□	tʰã2	～锣儿
□	tʰã2	紫～脸
□	ʐã2	十分破碎
□	suã2	慢慢滴。乡村常见音
□	pʰɛ̃2	～本
