#漢字	音標	解釋
□	tsɿ1	～摩：告誡，警告
□	pi1	～子：癱瘓的人
□	ni1	～生：欺生(用於兒童)
□	li1	～沓人：欺負人(用於兒童)
□	si1	風～～哩：寒風刺骨
□	si1	～一眼：快地偷看一下
□	i1	～爺：媽媽
□	kʰu1	食物鬆脆
□	kʰu1	～熟：非常熟悉
□	ly1	滾
□	tsy1	擁擠
□	y1	糅
□	la1	很、非常
□	ua1	～擦：骯髒，下流
□	me1	把陽火～起來：人受驚後，婁底人用兩手拇指在前額處往上𢯦，謂之「～起陽火」，相傳可以避邪壓驚
□	me1	～落他一下：向他表示歉意或安慰
□	se1	～起個嘴巴笑：咧着嘴笑，貶義
□	se1	～禍～蒂：捏造是非，製造事端
□	ke1	～到個腰：弓着腰
□	kʰe1	～苦他哩：讓他吃苦了
□	tsue1	豬發～哩：豬得了瘟疫
□	sue1	～禍：挑撥是非
□	ye1	～石砣牯：摔石頭
□	lo1	癱瘓
□	lo1	哄騙，拉攏
□	so1	～下去：快速下滑
□	xo1	吸
□	tsʰio1	～起個面：板著臉孔，臉色難看
□	pɔ1	～老箇：老得很
□	mɔ1	～起來：繃起來，蒙起來
□	kɔ1	～不到：力不勝任
□	liɔ1	～裡～氣：嬌裡嬌氣
□	iɔ1	繞
□	pɤ1	～腦布：後臺老闆
□	lɤ1	～氣：臊味；～氣大得很：氣勢烜赫
□	lɤ1	攪、纏繞；～～攪攪：錯綜複雜，互相牽扯；～起個腳把子：翹着二郎腿；繩子～起哩：繩、線亂成一團
□	tsʰɤ1	一種銅製的打擊樂器
□	niɤ1	～活個：活生生的
□	niɤ1	～起個嘴巴：噘著嘴
□	niɤ1	唆使
□	liɤ1	～他一腳：(向上)蹬他一腳
□	tsiɤ1	很
□	tsʰiɤ1	相約
□	tsʰiɤ1	～尿：抱小孩屙尿
□	tsʰiɤ1	～椅子：搬椅子
□	tsʰiɤ1	以手助人上爬
□	xui1	～子：借據，欠條
□	lɤu1	～柴：扒柴草
□	nin1	～打精光：赤條條的，家徒四壁
□	tsin1	吸：親嘴
□	tsʰun1	～口～嘴：說話不乾不淨
□	pã1	～俏：拿架子；討價還價
□	nã1	～起來：(把細碎的東西)拾起來
□	tsã1	～動：從側面啟發
□	kʰã1	短缺
□	tsuã1	蹲
□	kʰuã1	～～：嘴巴(詈語)，棺材
□	uã1	船～到哩：船停泊了
□	nẽ1	拿
□	nẽ1	～焦：脆得很
□	nẽ1	～～：祖母
□	tsuẽ1	跳躍
□	pʰõ1	趕，攆
□	nõ1	～薄：非常薄
□	nõ1	拿
□	kʰõ1	～解：倒掉
□	tiõ1	～到親：親暱到了極點
□	tsʰiõ1	～皮條子：莽撞鬼
□	tɕʰiõ1	眼～公：眼眶
□	ɕiõ1	批評，規勸
□	tʰɔŋ1	～不住：抵擋不了
□	tɕʰiɔŋ1	～乾：晾乾
□	iɔŋ1	～雞子：喜形於色，沉不住氣的人
□	pɤŋ1	石～：一種大青蛙
□	tsɤŋ1	～起線眉毛：皺著眉頭
□	tsɤŋ1	～性子：性格倔強
□	tsɤŋ1	一～頭髮：一綹頭髮
□	sɤŋ1	～泛：不要緊，輕鬆
□	tsʰĩ1	～個眼：用尖的器具掏一個小洞
□	sĩ1	用尖細的器具從小孔裡掏東西
□	sĩ1	會～：善於鑽營
□	tɕi2	膿
□	dzy2	～死：亂跑亂撞
□	tʰa2	～藥：搽藥
□	la2	～死病：痢疾；也指作風拖沓的人
□	tsa2	～咐：囑咐
□	dza2	～繩子：舊時婦女用燒有花紋的瓦器綁在膝蓋上搓做鞋用的麻繩
□	dza2	～葉子：粗製的乾菜
□	ka2	結～子：結痂
□	ka2	～子～氣：彆彆扭扭
□	kua2	～家私：摔東西
□	ua2	～眼土地：眼窩深陷的人
□	pe2	～氣：賭氣
□	tʰe2	轉賣
□	tse2	試探了解
□	tse2	～嵌：預兆
□	tsue2	擤
□	ɣue2	～子：傻瓜
□	ye2	捂、蓋
□	po2	～錢：借錢有息曰借，無息曰～
□	lo2	～頭：眼睛(詈語)
□	tso2	攪拌，揉搓
□	ŋo2	～子：嘴巴(詈語)
□	bɔ2	很
□	lɔ2	爬
□	dzɔ2	～開：解開
□	sɔ2	～破：打破
□	kɔ2	砸
□	xɔ2	～破：劈開
□	piɔ2	貼
□	tsiɔ2	～淡個：飯菜淡而無味，引申為心灰意冷
□	tsiɔ2	～線：紡線
□	dziɔ2	織(毛衣)
□	ɕiɔ2	～個火：點個火
□	ʑiɔ2	～服水服：服服貼貼；唯命是從
□	lɤ2	蔫
□	lɤ2	～死哩：饞得很
□	ɣɤ2	～嗓、～心：貪婪
□	ɣɤ2	這隻事情我來～：這件事由我來處理(含有同另一方鬥爭的意思)
□	ŋɤ2	搖晃
□	ɤ2	表示否定的語氣詞
□	biɤ2	皮膚微腫
□	diɤ2	～人：向人訴說事由
□	liɤ2	～菜：把青菜放在白開水裏煮一會兒
□	lɤu2	～起來：狗狂吠撲人
□	tsʰɤu2	～起哩：一時想不起來
□	dzã2	鬍子～人：鬍子扎人
□	bẽ2	～花生：挖花生
□	diõ2	捆綁
□	dziɔŋ2	猜想
