#漢字	音標	解釋
㐂	㐂󠄀	
㐂	㐂󠄃	
㐂	㐂󠄁	
㐂	㐂󠄂	
㐂	㐂󠄄	
㐄	㐄󠄀	
㐄	㐄󠄁	
㐄	㐄󠄂	
㐅	㐅󠄀	
㐆	㐆󠄀	
㐧	㐧󠄀	
㐧	㐧󠄁	
㐧	㐧󠄂	
㐪	㐪󠄀	
㐪	㐪󠄃	
㐪	㐪󠄁	
㐪	㐪󠄂	
㐬	㐬󠄀	
㐬	㐬󠄁	
㐬	㐬󠄂	
㐮	㐮󠄀	
㐮	㐮󠄁	
㐮	㐮󠄃	
㐮	㐮󠄂	
㐶	㐶󠄀	
㐶	㐶󠄁	
㑁	㑁󠄀	
㑁	㑁󠄁	
㑂	㑂󠄁	
㑂	㑂󠄀	
㑍	㑍󠄁	
㑍	㑍󠄀	
㑤	㑤󠄀	
㑤	㑤󠄁	
㑨	㑨󠄀	
㑪	㑪󠄀	
㑹	㑹󠄀	
㑹	㑹󠄁	
㑹	㑹󠄂	
㒈	㒈󠄀	
㒊	㒊󠄀	
㒊	㒊󠄁	
㒒	㒒󠄀	
㒖	㒖󠄁	
㒖	㒖󠄀	
㒞	㒞︀	
㒧	㒧󠄀	
㒧	㒧󠄁	
㒵	㒵󠄀	
㒸	㒸󠄀	
㒸	㒸󠄁	
㒹	㒹󠄀	
㒹	㒹󠄁	
㒹	㒹︀	
㒻	㒻󠄀	
㒻	㒻󠄁	
㒻	㒻︀	
㒼	㒼󠄀	
㒼	㒼󠄁	
㒼	㒼󠄂	
㒽	㒽󠄀	
㒽	㒽󠄁	
㓁	㓁󠄀	
㓃	㓃󠄀	
㓃	㓃󠄁	
㓇	㓇󠄀	
㓇	㓇󠄁	
㓇	㓇󠄂	
㓌	㓌󠄁	
㓌	㓌󠄀	
㓗	㓗󠄀	
㓗	㓗󠄁	
㓛	㓛󠄀	
㓞	㓞󠄀	
㓞	㓞󠄁	
㓞	㓞󠄂	
㓞	㓞󠄃	
㓟	㓟︀	
㓮	㓮󠄁	
㓮	㓮󠄀	
㓲	㓲󠄀	
㓲	㓲󠄁	
㓵	㓵󠄀	
㓵	㓵󠄁	
㓶	㓶󠄀	
㓶	㓶󠄁	
㔕	㔕󠄀	
㔕	㔕󠄁	
㔕	㔕︀	
㔜	㔜󠄀	
㔜	㔜󠄁	
㔟	㔟󠄀	
㔟	㔟󠄁	
㔟	㔟󠄂	
㔠	㔠󠄀	
㔠	㔠󠄁	
㔠	㔠󠄂	
㔦	㔦󠄀	
㔦	㔦󠄁	
㔦	㔦󠄂	
㔰	㔰󠄀	
㔰	㔰󠄁	
㔱	㔱󠄀	
㔱	㔱󠄁	
㔴	㔴󠄀	
㔴	㔴󠄁	
㔺	㔺󠄀	
㔺	㔺󠄁	
㔺	㔺󠄂	
㔾	㔾󠄀	
㔾	㔾󠄁	
㔾	㔾󠄂	
㕓	㕓󠄀	
㕓	㕓󠄁	
㕛	㕛󠄁	
㕛	㕛󠄀	
㕜	㕜󠄁	
㕜	㕜󠄀	
㕝	㕝󠄀	
㕞	㕞󠄀	
㕡	㕡󠄀	
㕡	㕡󠄁	
㕣	㕣󠄀	
㕮	㕮󠄀	
㕯	㕯󠄀	
㕯	㕯󠄁	
㖦	㖦󠄀	
㖨	㖨󠄀	
㖶	㖶󠄀	
㖶	㖶󠄁	
㗅	㗅󠄀	
㗔	㗔󠄀	
㗔	㗔󠄁	
㗖	㗖󠄁	
㗖	㗖󠄀	
㗚	㗚󠄀	
㗞	㗞󠄀	
㗴	㗴󠄂	
㗴	㗴󠄀	
㗴	㗴󠄁	
㗻	㗻󠄀	
㗻	㗻󠄁	
㘅	㘅󠄀	
㘔	㘔󠄀	
㘝	㘝󠄁	
㘝	㘝󠄀	
㘨	㘨󠄁	
㘨	㘨󠄀	
㘴	㘴󠄀	
㘴	㘴󠄁	
㙂	㙂󠄁	
㙂	㙂󠄀	
㙄	㙄󠄀	
㙄	㙄󠄁	
㙊	㙊󠄀	
㙏	㙏󠄀	
㙏	㙏󠄁	
㙑	㙑󠄁	
㙑	㙑󠄀	
㙛	㙛󠄀	
㙛	㙛󠄁	
㙛	㙛󠄂	
㙩	㙩󠄀	
㙩	㙩󠄁	
㚅	㚅󠄀	
㚅	㚅󠄁	
㚇	㚇󠄀	
㚇	㚇󠄁	
㚈	㚈󠄀	
㚈	㚈󠄁	
㚉	㚉󠄀	
㚉	㚉󠄁	
㚉	㚉󠄂	
㚑	㚑󠄂	
㚑	㚑󠄀	
㚑	㚑󠄁	
㚖	㚖󠄀	
㚙	㚙󠄀	
㚢	㚢󠄀	
㚢	㚢󠄁	
㚫	㚫󠄀	
㚫	㚫󠄁	
㛃	㛃󠄀	
㛃	㛃󠄁	
㛃	㛃󠄂	
㛇	㛇󠄀	
㛇	㛇󠄁	
㛇	㛇󠄂	
㛏	㛏󠄀	
㛮	㛮󠄀	
㛮	㛮󠄁	
㛮	㛮︀	
㛺	㛺󠄀	
㛺	㛺󠄁	
㛼	㛼󠄀	
㛼	㛼󠄁	
㛼	㛼︀	
㜙	㜙󠄀	
㜙	㜙󠄁	
㜯	㜯󠄀	
㜯	㜯󠄁	
㜯	㜯󠄂	
㜲	㜲󠄀	
㜲	㜲󠄁	
㝡	㝡󠄀	
㝢	㝢󠄀	
㝢	㝢󠄁	
㝢	㝢󠄂	
㝣	㝣󠄀	
㝣	㝣󠄁	
㝣	㝣󠄂	
㝩	㝩󠄀	
㝩	㝩󠄁	
㝫	㝫󠄀	
㝫	㝫󠄁	
㝫	㝫󠄂	
㝬	㝬󠄀	
㝵	㝵󠄀	
㝸	㝸󠄀	
㝸	㝸󠄁	
㞁	㞁︀	
㞍	㞍󠄀	
㞤	㞤󠄀	
㞤	㞤󠄁	
㞷	㞷󠄀	
㞷	㞷󠄁	
㟁	㟁󠄀	
㟁	㟁󠄁	
㟁	㟁󠄂	
㟁	㟁󠄃	
㟐	㟐󠄀	
㟐	㟐󠄁	
㟟	㟟󠄀	
㟟	㟟󠄁	
㟢	㟢󠄀	
㟧	㟧󠄀	
㟧	㟧󠄁	
㟨	㟨󠄀	
㟱	㟱󠄀	
㟱	㟱󠄁	
㟴	㟴󠄀	
㟽	㟽󠄀	
㠀	㠀󠄀	
㠉	㠉󠄀	
㠉	㠉󠄁	
㠕	㠕󠄀	
㠕	㠕󠄁	
㠗	㠗󠄀	
㠗	㠗󠄁	
㠯	㠯󠄀	
㠯	㠯󠄃	
㠯	㠯󠄁	
㠯	㠯󠄂	
㠯	㠯︀	
㠶	㠶󠄀	
㠶	㠶󠄁	
㠶	㠶󠄂	
㠶	㠶󠄃	
㡀	㡀󠄀	
㡌	㡌󠄀	
㡌	㡌󠄁	
㡕	㡕󠄁	
㡕	㡕󠄀	
㡛	㡛󠄀	
㡛	㡛󠄁	
㡜	㡜󠄀	
㡡	㡡󠄀	
㡢	㡢󠄀	
㡢	㡢󠄁	
㡢	㡢︀	
㡭	㡭󠄀	
㡭	㡭󠄁	
㡼	㡼︀	
㢕	㢕󠄀	
㢕	㢕󠄁	
㢡	㢡󠄀	
㢢	㢢󠄀	
㢢	㢢󠄁	
㢣	㢣󠄁	
㢣	㢣󠄀	
㢭	㢭󠄀	
㢴	㢴󠄀	
㢴	㢴󠄁	
㣇	㣇󠄀	
㣇	㣇󠄁	
㣇	㣇︀	
㣒	㣒󠄀	
㣒	㣒󠄁	
㣟	㣟󠄀	
㣟	㣟󠄁	
㣣	㣣︀	
㣷	㣷󠄀	
㣷	㣷󠄁	
㣺	㣺󠄀	
㣺	㣺󠄂	
㣺	㣺󠄁	
㣼	㣼󠄀	
㣼	㣼󠄁	
㤀	㤀󠄀	
㤀	㤀󠄁	
㤅	㤅󠄀	
㤅	㤅󠄁	
㤆	㤆󠄁	
㤆	㤆󠄀	
㤗	㤗󠄂	
㤗	㤗󠄀	
㤗	㤗󠄁	
㤚	㤚󠄀	
㤜	㤜︀	
㤺	㤺󠄀	
㤺	㤺󠄁	
㤺	㤺︀	
㥯	㥯󠄂	
㥯	㥯󠄀	
㥯	㥯󠄁	
㥱	㥱󠄀	
㥱	㥱󠄁	
㦃	㦃󠄀	
㦃	㦃󠄁	
㦞	㦞󠄀	
㦞	㦞󠄁	
㦢	㦢󠄀	
㦢	㦢󠄁	
㦢	㦢󠄂	
㦢	㦢󠄃	
㦤	㦤󠄀	
㦥	㦥󠄀	
㦥	㦥󠄁	
㦮	㦮󠄀	
㦮	㦮󠄁	
㦮	㦮󠄂	
㦶	㦶󠄀	
㦶	㦶󠄁	
㦸	㦸󠄀	
㦸	㦸󠄁	
㦸	㦸󠄂	
㧞	㧞󠄁	
㧞	㧞󠄀	
㧞	㧞󠄂	
㨗	㨗󠄁	
㨗	㨗󠄀	
㨨	㨨󠄀	
㨨	㨨󠄁	
㨮	㨮︀	
㨯	㨯󠄀	
㨯	㨯󠄁	
㨾	㨾󠄀	
㨾	㨾󠄁	
㨿	㨿󠄀	
㨿	㨿󠄁	
㩜	㩜󠄀	
㩬	㩬︀	
㩮	㩮󠄀	
㩮	㩮󠄁	
㩮	㩮󠄂	
㩳	㩳󠄀	
㪅	㪅󠄀	
㪜	㪜󠄀	
㪜	㪜󠄁	
㪤	㪤󠄀	
㪤	㪤󠄁	
㪴	㪴󠄀	
㪴	㪴󠄁	
㫄	㫄󠄀	
㫄	㫄󠄁	
㫄	㫄󠄂	
㫋	㫋󠄀	
㫖	㫖󠄀	
㫗	㫗󠄀	
㫠	㫠󠄁	
㫠	㫠󠄂	
㫠	㫠󠄀	
㫤	㫤︀	
㫦	㫦󠄁	
㫦	㫦󠄀	
㫪	㫪󠄀	
㫯	㫯󠄀	
㫯	㫯󠄁	
㫳	㫳󠄀	
㫴	㫴󠄀	
㫴	㫴󠄁	
㫷	㫷󠄁	
㫷	㫷󠄀	
㬅	㬅󠄀	
㬅	㬅󠄁	
㬈	㬈󠄀	
㬈	㬈󠄁	
㬈	㬈︀	
㬊	㬊󠄀	
㬊	㬊󠄁	
㬎	㬎󠄀	
㬕	㬕󠄀	
㬕	㬕󠄁	
㬙	㬙󠄁	
㬙	㬙󠄀	
㬙	㬙︀	
㬚	㬚󠄀	
㬜	㬜󠄀	
㬜	㬜󠄁	
㬜	㬜󠄂	
㬝	㬝󠄀	
㬝	㬝󠄁	
㬢	㬢󠄀	
㬦	㬦󠄀	
㬦	㬦󠄁	
㬧	㬧󠄀	
㬧	㬧󠄁	
㬧	㬧󠄂	
㬭	㬭󠄀	
㬭	㬭󠄁	
㬶	㬶󠄁	
㬶	㬶󠄀	
㬼	㬼󠄀	
㬼	㬼󠄁	
㭉	㭉︀	
㭒	㭒󠄀	
㭒	㭒󠄁	
㭛	㭛󠄀	
㭛	㭛󠄁	
㭩	㭩󠄂	
㭩	㭩󠄀	
㭩	㭩󠄁	
㭭	㭭󠄀	
㭴	㭴󠄁	
㭴	㭴󠄀	
㭷	㭷󠄀	
㭸	㭸󠄁	
㭸	㭸󠄀	
㮇	㮇󠄀	
㮈	㮈󠄀	
㮍	㮍󠄂	
㮍	㮍󠄀	
㮍	㮍󠄁	
㮑	㮑󠄀	
㮑	㮑󠄁	
㮝	㮝︀	
㮝	㮝︁	
㮤	㮤󠄀	
㮤	㮤󠄁	
㮤	㮤󠄂	
㮫	㮫󠄀	
㮫	㮫󠄁	
㮮	㮮󠄀	
㮮	㮮󠄁	
㮵	㮵󠄀	
㮵	㮵󠄁	
㮶	㮶󠄀	
㮸	㮸󠄀	
㮸	㮸󠄁	
㯃	㯃󠄀	
㯍	㯍󠄀	
㯍	㯍󠄁	
㯍	㯍󠄂	
㯬	㯬󠄀	
㯬	㯬󠄁	
㯰	㯰󠄀	
㯳	㯳󠄀	
㯳	㯳󠄁	
㯳	㯳󠄂	
㯾	㯾󠄀	
㯾	㯾󠄁	
㰅	㰅󠄀	
㰅	㰅󠄁	
㰍	㰍󠄀	
㰍	㰍󠄁	
㰏	㰏󠄀	
㰘	㰘︀	
㰛	㰛󠄀	
㰛	㰛󠄁	
㰦	㰦󠄀	
㱎	㱎󠄀	
㱎	㱎󠄁	
㱎	㱎󠄂	
㱎	㱎︀	
㱏	㱏󠄀	
㱏	㱏󠄁	
㱳	㱳󠄀	
㱳	㱳󠄁	
㲊	㲊󠄀	
㲊	㲊󠄁	
㲺	㲺󠄀	
㲺	㲺󠄁	
㳃	㳃󠄀	
㳒	㳒󠄀	
㳟	㳟󠄀	
㳟	㳟󠄁	
㳟	㳟󠄂	
㳤	㳤󠄀	
㳤	㳤󠄁	
㳸	㳸󠄀	
㳸	㳸󠄁	
㳽	㳽󠄀	
㳽	㳽󠄁	
㴀	㴀󠄀	
㴀	㴀󠄁	
㴄	㴄󠄀	
㴄	㴄󠄁	
㴊	㴊󠄀	
㴊	㴊󠄁	
㴑	㴑󠄀	
㴛	㴛󠄀	
㴛	㴛󠄁	
㴞	㴞󠄀	
㴞	㴞󠄁	
㴞	㴞󠄂	
㴠	㴠󠄀	
㴠	㴠󠄁	
㴱	㴱󠄀	
㴱	㴱󠄁	
㴱	㴱󠄂	
㴳	㴳︀	
㵁	㵁󠄀	
㵁	㵁󠄁	
㵎	㵎󠄀	
㵝	㵝󠄀	
㵝	㵝󠄁	
㵤	㵤󠄀	
㵤	㵤󠄁	
㵤	㵤󠄂	
㵧	㵧󠄀	
㵧	㵧󠄁	
㵩	㵩󠄀	
㵩	㵩󠄁	
㵪	㵪󠄀	
㵪	㵪󠄁	
㵪	㵪󠄂	
㵾	㵾󠄁	
㵾	㵾󠄀	
㶀	㶀󠄀	
㶀	㶀󠄁	
㶇	㶇󠄁	
㶇	㶇󠄀	
㶓	㶓󠄀	
㶓	㶓󠄁	
㶖	㶖︀	
㶘	㶘󠄀	
㶘	㶘󠄁	
㶚	㶚󠄀	
㶧	㶧󠄁	
㶧	㶧󠄀	
㶳	㶳󠄁	
㶳	㶳󠄀	
㷀	㷀󠄀	
㷀	㷀󠄁	
㷀	㷀󠄂	
㷌	㷌󠄀	
㷔	㷔󠄀	
㷔	㷔󠄁	
㷔	㷔󠄂	
㷕	㷕󠄁	
㷕	㷕󠄀	
㷕	㷕󠄂	
㷟	㷟󠄀	
㷟	㷟󠄁	
㷬	㷬󠄀	
㷬	㷬󠄁	
㷭	㷭󠄀	
㷭	㷭󠄁	
㷱	㷱󠄀	
㷱	㷱󠄁	
㸂	㸂󠄀	
㸂	㸂󠄁	
㸅	㸅󠄀	
㸏	㸏󠄀	
㸏	㸏󠄁	
㸔	㸔󠄀	
㸔	㸔󠄁	
㸵	㸵󠄀	
㸵	㸵󠄁	
㸷	㸷󠄀	
㸷	㸷󠄁	
㸿	㸿󠄀	
㹀	㹀󠄀	
㹠	㹠󠄀	
㹦	㹦󠄀	
㹨	㹨󠄀	
㺃	㺃󠄀	
㺃	㺃󠄁	
㺃	㺃󠄂	
㺊	㺊󠄀	
㺔	㺔󠄀	
㺚	㺚󠄀	
㺚	㺚󠄁	
㺬	㺬︀	
㺸	㺸︀	
㺸	㺸︁	
㺿	㺿󠄀	
㺿	㺿󠄁	
㻚	㻚󠄀	
㻨	㻨󠄀	
㻨	㻨󠄁	
㼋	㼋󠄀	
㼋	㼋󠄁	
㼛	㼛󠄀	
㼛	㼛󠄁	
㼛	㼛︀	
㽗	㽗󠄀	
㽲	㽲󠄀	
㽵	㽵󠄀	
㽷	㽷󠄀	
㾮	㾮󠄀	
㾱	㾱󠄀	
㿂	㿂󠄀	
㿂	㿂󠄁	
㿉	㿉󠄀	
㿊	㿊󠄀	
㿊	㿊󠄁	
㿗	㿗󠄀	
㿜	㿜󠄀	
㿟	㿟󠄀	
㿟	㿟󠄁	
㿩	㿩󠄀	
㿩	㿩󠄁	
㿼	㿼󠄀	
㿼	㿼󠄁	
㿼	㿼︀	
䀈	䀈︀	
䀘	䀘󠄀	
䀘	䀘︀	
䀘	䀘󠄁	
䀹	䀹󠄀	
䀹	䀹︁	
䀹	䀹︀	
䁆	䁆︀	
䁈	䁈󠄀	
䁈	䁈󠄁	
䁏	䁏󠄀	
䁏	䁏󠄁	
䁐	䁐󠄀	
䁐	䁐󠄁	
䁔	䁔󠄁	
䁔	䁔󠄀	
䁘	䁘󠄀	
䁘	䁘󠄁	
䁘	䁘󠄂	
䁱	䁱󠄀	
䁱	䁱󠄁	
䁱	䁱󠄂	
䁾	䁾󠄀	
䁾	䁾󠄁	
䁾	䁾󠄂	
䂊	䂊󠄀	
䂊	䂊󠄁	
䂊	䂊󠄂	
䂓	䂓󠄀	
䂖	䂖󠄁	
䂖	䂖︀	
䂖	䂖󠄀	
䂖	䂖󠄂	
䂮	䂮󠄀	
䂮	䂮󠄁	
䃍	䃍󠄀	
䃍	䃍󠄁	
䃝	䃝󠄁	
䃝	䃝󠄀	
䃣	䃣︀	
䃮	䃮󠄀	
䃮	䃮󠄁	
䃽	䃽󠄀	
䃽	䃽󠄁	
䃾	䃾󠄀	
䃾	䃾󠄁	
䄁	䄁󠄀	
䄁	䄁󠄁	
䄂	䄂󠄀	
䄂	䄂󠄁	
䄃	䄃󠄀	
䄃	䄃󠄁	
䄃	䄃󠄂	
䄃	䄃󠄃	
䄄	䄄󠄀	
䄄	䄄󠄁	
䄅	䄅󠄀	
䄅	䄅󠄂	
䄅	䄅󠄁	
䄆	䄆󠄀	
䄆	䄆󠄁	
䄇	䄇󠄀	
䄇	䄇󠄁	
䄇	䄇󠄂	
䄌	䄌󠄀	
䄌	䄌󠄁	
䄍	䄍󠄀	
䄍	䄍󠄁	
䄏	䄏󠄀	
䄏	䄏󠄁	
䄒	䄒󠄀	
䄒	䄒󠄁	
䄓	䄓󠄀	
䄓	䄓󠄁	
䄠	䄠󠄀	
䄠	䄠󠄁	
䄪	䄪󠄀	
䄪	䄪󠄁	
䄯	䄯󠄀	
䄯	䄯󠄁	
䄯	䄯︀	
䅆	䅆󠄀	
䅆	䅆󠄁	
䅈	䅈󠄀	
䅈	䅈󠄁	
䅈	䅈󠄂	
䅈	䅈󠄃	
䅏	䅏󠄀	
䅣	䅣󠄀	
䅤	䅤󠄀	
䅤	䅤󠄁	
䅥	䅥󠄀	
䅥	䅥󠄁	
䅾	䅾󠄀	
䅾	䅾󠄁	
䆁	䆁󠄀	
䆁	䆁󠄁	
䆃	䆃󠄀	
䆃	䆃󠄁	
䆃	䆃󠄂	
䆒	䆒󠄀	
䆒	䆒󠄁	
䆖	䆖󠄀	
䆖	䆖󠄁	
䆳	䆳󠄀	
䆳	䆳󠄁	
䆴	䆴󠄀	
