#漢字	音標	解釋
□	tʰɑŋ1	光～：好看
□	ni1	翻跟头
□	sa1	大手脚
□	tʂʰʅ1	伸
□	tʰo2	～打：挨打
□	tso2	倔
□	sai2	打颤
□	so2	吮吸
□	tʂʰɛ2	白～子：傻子
□	ɕia2	拦着
□	ɕiau2	不像样
□	uo2	烫
□	pan3	形容人或动物挣扎、打闹
□	nɑŋ3	头发被火烧了
□	tsan3	挪移
□	sai3	甩
□	pʰən5	倚靠
□	fu5	用手推东西
□	ʂo5	歪
□	ʯɛ5	哭
□	ʯai5	人窝在一个地方
□	tɕiɑŋ6	漂亮
□	nəu7	邪完了
□	tsa7	用缝纫机缝衣服
㪕	tʂʰau1	
㿭	tʂʰɛ7	
䜺	tsʰɛ7	
䝼	tɕin3	
一	i7	
丁	tin1	
七	tɕʰi7	
万	uan6	
丈	tʂɑŋ6	
三	san1	
上	ʂɑŋ5	
下	ɕia6	
不	pu7	
与	ʯ3	
丐	kai5	
丑	tʂʰəu3	地支第二位，子“丑”寅卯辰巳午未申酉戌亥
丑	tʂʰəu3	
且	tɕʰiɛ3	
丕	pʰei6	
世	ʂʅ5	
丘	tɕiəu1	
丙	pin6	
業	iɛ7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tʂʰən2	
丟	tiəu1	
兩	niɑŋ3	
嚴	ian2	
喪	sɑŋ5	
个	ko5	
丫	ia1	
中	tʂoŋ1	
中	tʂoŋ5	
丰	foŋ1	
串	tʂʰʯan5	
臨	nin2	
丸	uan2	
爲	uei2	
爲	uei6	
主	tʂʯ3	
丽	ni6	
舉	tʂʯ3	
乃	nai3	
久	tɕiəu3	
義	i6	
之	tʂʅ1	
烏	u1	
乍	tʂa5	
乎	xu1	
乏	fa2	
樂	no7	
樂	io7	
喬	tɕʰiau2	
乖	kuai1	
乘	tʂʰən2	
乙	i7	
九	tɕiəu3	
乞	tɕʰi7	
也	iɛ3	
習	ɕi7	
鄉	ɕiɑŋ1	
書	ʂʯ1	
買	mai3	
亂	nan6	
乳	ʯ3	
乾	tɕʰian2	
了	niau3	
爭	tsən1	
事	sɿ6	
二	aɻ6	
于	ʯ2	
虧	kʰuei1	
雲	ʯən2	
互	xu6	
五	u3	
井	tɕin3	
亞	ia5	
些	ɕiɛ1	
亡	uɑŋ2	
交	tɕiau1	
亥	xai2	
亦	i7	
產	tsʰan3	
亨	xən1	
畝	məu3	
享	ɕiɑŋ3	
京	tɕin1	
亭	tʰin2	
亮	niɑŋ6	
親	tɕʰin1	
親	tɕʰin5	亲家
人	ʐən2	
億	i5	
什	ʂən2	
仁	ʐən2	
仄	tsɛ7	
僅	tɕin6	
仆	pʰu7	
仇	tʂʰəu2	
今	tɕin1	
介	kai5	
仍	ʐən2	
从	tsʰoŋ2	
仑	nən2	
倉	tsʰɑŋ1	
仕	sɿ6	
他	tʰa1	
仗	tʂɑŋ5	
付	fu5	
仙	ɕian1	
代	tai6	
令	nin3	
以	i3	
儀	i7	
仰	iɑŋ3	
仲	tʂoŋ6	
件	tɕian6	
價	tɕia5	
任	ʐən6	
份	fən6	
仿	fɑŋ3	
仿	fɑŋ6	
企	tɕi3	
伊	i1	
伍	u3	
伏	fu1	
伐	fa2	
休	ɕiəu1	
衆	tʂoŋ5	
優	iəu2	
伙	xo3	
會	xuei6	
傘	san3	
偉	uei3	
傳	tʂʰʯan2	
傳	tʂʯan5	
伢	ŋa2	
傷	ʂɑŋ1	
倫	nən2	
僞	uei3	
伯	pɛ7	
估	kəu3	
伴	pan6	
伶	nin2	
伸	tʂʰən1	
伺	sɿ6	
似	sɿ6	
佃	tian6	
但	tan6	
位	uei5	
低	ti1	
住	tʂʯ6	
佑	iəu5	
體	tʰi3	
何	xo2	
佘	ʂɛ2	
余	ʯ2	
佛	fo2	
佛	fu2	
佞	nin2	
你	n3	
佩	pʰei5	
佳	tɕia1	
使	sɿ3	
侄	tʂʅ7	
侈	tʂʰʅ7	
例	ni6	
侍	sɿ6	
供	koŋ6	
依	i1	
俠	ɕia2	
僥	tɕiau3	
偵	tʂən1	
側	tsɛ7	
僑	tɕʰiau2	
儂	noŋ2	
侮	u3	
侯	xəu2	
侵	tɕin1	
便	pʰian2	
便	ʂʅ3	
係	ɕi6	
促	tsʰəu7	
俄	ŋo7	
俊	tɕin5	
俏	tɕʰiau5	
俗	səu7	
俘	fəu2	
保	pau3	
俞	ʯ2	
信	ɕin5	
儉	tɕian3	
修	ɕiəu1	
俯	fu3	
俱	tʂʯ6	
俸	foŋ6	
俾	pi3	
倍	pei6	
倒	tau3	
倒	tau5	
倔	tʂʯɛ5	
倘	tʰɑŋ3	
候	xəu6	
倚	i3	
借	tɕiɛ5	
倡	tʂʰɑŋ5	
倦	tʂʯan5	
倪	ni2	
倭	uo1	
債	tʂai5	
值	tʂʅ7	
傾	tɕʰin3	
假	tɕia3	
偏	pʰian1	
偕	ɕiɛ2	
停	tʰin2	
健	tɕian5	
偶	ŋəu3	
偷	tʰəu1	
償	ʂɑŋ2	
傀	kʰuei3	
傅	fu5	
傍	pɑŋ6	
傢	tɕia1	
儲	tʂʰʯ2	
催	tsʰei1	
傲	ŋau5	
傻	ʂa3	
像	tɕiɑŋ6	
僚	niau2	
僧	sən1	
僵	tɕiɑŋ1	
僻	pʰi7	
儒	ʯ2	
儡	nei3	
兒	ɚ2	
允	ʯən3	
元	ʯan2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
兆	tʂau6	
先	ɕian1	
光	kuɑŋ1	
克	kʰɛ7	
免	mian3	
兌	ti6	
兔	tʰəu5	
兖	ian3	
黨	tɑŋ3	
兜	təu1	
入	ʯ7	
全	tɕʰian2	
八	pa7	
公	koŋ1	
六	nəu7	
兮	ɕi1	
蘭	nan2	
共	koŋ6	
關	kuan1	
興	ɕin1	
興	ɕin5	
兵	pin1	
其	tɕʰi2	
具	tʂʯ6	
典	tian3	
養	iɑŋ3	
兼	tɕian1	
獸	ʂəu5	
冀	tɕi5	
內	nei6	
岡	kɑŋ1	
冉	ʯan3	
冊	tsʰɛ7	
再	tsai5	
冒	mau6	
寫	ɕiɛ3	
冚	kʰan3	完全盖住某东西
軍	tʂʯən1	
農	noŋ2	
冠	kuan1	
冠	kuan5	
冢	tʂoŋ3	
冤	ʯan1	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tʂʰoŋ1	
决	tʂʯɛ7	
况	kʰuɑŋ5	
冷	nən3	
凍	toŋ5	
淨	tɕin5	
凄	tɕʰi1	
凉	niɑŋ2	
凊	tɕʰin5	
凋	tiau1	
凌	nin2	
減	tɕian3	
湊	tsʰəu5	
凛	nin3	
凝	nin2	
几	tɕi1	
几	tɕi3	
几	tɕi7	
凡	fan2	
鳳	foŋ6	
凭	pʰin2	
凱	kʰai3	
凰	xuɑŋ2	
凳	tən5	
凶	ɕioŋ1	
凸	tʰəu7	
凹	ŋau5	
出	tʂʰʯ7	
擊	tɕi7	
函	xan2	
鑿	tso2	
刀	tau1	
刁	tiau1	
刃	ʐən5	
分	fən1	
切	tɕʰiɛ7	切开
切	tɕʰiɛ7	一切
刈	i5	
刊	kʰan1	
刎	uən3	
刑	ɕin2	
划	xua2	
划	xua5	
劉	niəu2	
則	tsɛ7	
剛	kɑŋ1	
創	tsʰɑŋ5	
初	tʂʰəu1	
刪	san1	
判	pʰan2	
刨	pʰau2	
刨	pau6	
利	ni6	
别	piɛ5	
别	piɛ7	
刮	kua7	
到	tau5	
制	tʂʅ5	
刷	sa2	
刷	ʂa7	
券	tʂʰʯan5	
刺	tsʰɿ5	
刻	kʰɛ7	
劊	kuai5	
剁	to5	
劑	tɕi5	
剃	tʰi5	
削	ɕio7	
前	tɕʰian2	
剮	kua3	
劍	tɕian5	
剔	tʰi5	
剖	pʰo6	
剜	ua7	
剝	po7	
劇	tʂʯ5	
剩	ʂən5	
剪	tɕian3	
副	fu6	
割	ko7	
剿	tɕiau3	
劈	pʰi7	
劐	xo7	
力	ni7	
勸	tʂʰʯan5	
辦	pan6	
功	koŋ1	
加	tɕia1	
務	u6	
劣	niɛ7	
動	toŋ6	
助	tsəu5	
努	nəu3	
劫	tɕiɛ7	
勵	ni6	
勁	tɕin5	
勞	nau2	
勢	ʂʅ5	
勃	po7	
勇	ʐoŋ3	
勉	mian3	
勋	ʂʯən1	
勒	nɛ7	
勘	kʰan1	
募	mu7	
勤	tɕʰin2	
勺	ʂau2	
勾	kəu1	
勿	u2	
勻	ʯən2	
包	pau1	
匆	tsʰoŋ1	
匈	ɕioŋ1	
化	xua5	
北	pɛ7	
匙	tʂʰʅ5	
匠	tɕiɑŋ6	
匡	kʰuɑŋ1	
匣	ɕia2	
匪	fei3	
匹	pʰi2	
區	tʂʰʯ1	
區	ŋəu1	
醫	i1	
匾	pian6	
匿	ni7	
十	ʂʅ2	
千	tɕʰian1	
升	ʂən1	
午	u3	
卉	xuei5	
半	pan5	
華	xua2	
協	ɕiɛ7	
卑	pei1	
單	tan1	
單	ʂan5	
賣	mai6	
南	nan2	
博	po7	
卜	pʰu7	
占	tʂan1	
占	tʂan5	
盧	nəu2	
卤	nəu3	
卦	kua5	
臥	uo6	
衛	uei5	
卯	mau3	
印	in5	
危	uei2	
即	tɕi7	
卻	tɕʰio7	
卵	nan3	
卷	tʂʯan3	
卸	ɕiɛ5	
卿	tɕʰin1	
廠	tʂʰɑŋ3	
厄	ŋɛ7	
廳	tʰin1	
历	ni7	
厲	ni6	
壓	ia7	
厭	ian5	
廁	tsʰɛ7	
厘	ni2	
厚	xəu6	
原	ʯan2	
廂	ɕiɑŋ1	
厥	tʂʯɛ7	
廚	tʂʰʯ2	
厮	sɿ1	
去	tʂʰʯ5	
縣	ɕian6	
参	tsʰan1	
参	tsʰən1	
参	sən1	
又	iəu6	
叉	tʂʰa1	
及	tɕi7	
友	iəu3	
雙	ʂɑŋ1	
反	fan3	
发	fa7	
叔	ʂəu7	
取	tɕʰu3	
受	ʂəu5	
變	pian5	
敘	ɕi6	
叛	pʰan6	
叟	səu3	
疊	tiɛ7	
口	kʰəu3	
古	ku5	
句	tʂʯ5	
另	nin6	
叨	tau1	
叨	tʰau1	
叩	kʰəu5	
只	tʂʅ1	
叫	tɕiau5	
召	tʂau1	
叮	tin1	
可	kʰo3	
台	tʰai2	
史	sɿ3	
右	iəu6	
葉	iɛ7	
號	xau6	
司	sɿ1	
嘆	tʰan5	
吁	ʯ1	
吃	tɕʰi7	
各	ko7	
吆	iau1	
合	xo7	
吉	tɕi7	
吊	tiau5	
同	tʰoŋ2	
名	min2	
后	xəu6	
吏	ni6	
吐	tʰəu3	
向	ɕiɑŋ5	
嚇	xɛ7	
吕	ʯ3	
君	tʂʯən1	
吝	nin6	
吞	tʰən1	
吟	in2	
吠	fei6	
否	fəu3	
吧	pa1	
吩	fən1	
含	xan2	
听	tʰin5	
吮	ʂʯən6	
启	tɕʰi3	
吴	u2	
吵	tʂʰau3	
吸	tɕi7	
吹	tʂʰʯei1	
吻	uən3	
吼	xəu3	
吾	u2	
呆	tai1	
呈	tʂʰən2	
告	kau5	
嘔	ŋəu5	
員	ʯan2	
嗆	tɕʰiɑŋ5	
呢	i2	
周	tʂəu1	
味	uei6	
呼	xu1	
命	min5	
和	xo2	
咎	tɕiəu6	
咏	ŋən5	
咐	fu6	
咒	tʂəu5	
嚨	noŋ2	
咬	ŋau3	
咳	kʰɛ2	
咸	ɕian2	
咸	xan2	
咽	ian1	
咽	iɛ2	
哀	ŋai1	
品	pʰin6	
哄	xoŋ3	
哈	xa1	
響	ɕiɑŋ3	
啞	ŋa5	
哥	ko1	
哨	ʂau5	
哪	na3	
哭	kʰu7	
哮	ɕiau5	
哲	tʂɛ7	
哼	xən1	
哽	kən3	
唆	so1	
脣	tʂʰʯən2	
唉	ŋai1	
唐	tʰɑŋ2	
嘮	nau2	
喚	xuan5	
售	ʂəu5	
唯	uei2	
唱	tʂʰɑŋ5	
唾	tʰo5	
啃	kʰən3	
商	ʂɑŋ1	
嗇	sɛ7	
囉	no1	
啼	tʰi2	
喂	uei5	
善	ʂan6	
喉	xəu2	
喊	xan3	
喘	tʂʰʯai3	
喜	ɕi3	
喝	xo7	
喧	ɕian1	
噴	fən5	
喻	ʯ2	
嗅	ɕiəu5	
嗉	səu5	
嗓	sɑŋ3	
嗜	ʂʅ6	
嗝	kɛ6	
嗣	sɿ6	
嗤	tʂʰʅ1	
嗽	səu5	
嘉	tɕia1	
噓	ʂʯ1	
囑	tʂəu7	
嘻	ɕi3	
噎	iɛ7	
器	tɕʰi5	
噩	ŋo7	
囂	ɕiau1	
嚷	ʐɑŋ3	
嚼	tɕio2	
囊	nɑŋ2	
囚	tɕʰiəu2	
四	sɿ5	
回	xuei2	
团	tʰan2	
囥	kʰɑŋ5	
園	ʯan2	
困	kʰuən5	
