#漢字	音標	解釋
□	ȵia1-	～柴
□	pa1	～～：不洁之物，多指小儿粪便
□	tʰa1	状词，锅滚得～～地
□	tsʰa1	斥责：兀家把我～了一顿
□	sa1	(用刀，锯等)割：～䵚黍
□	tʂa1	在冷水中浸泡：～豆腐
□	ɻa1	「人家」的合音
□	pʰia1	水溢
□	lia1	「梁家」的合音：～庄
□	ȵia1	「娘家」的合音
□	ɕia1	～～：婴儿学步
□	ɕia1	动物交配
□	nᶻua1	～～：小孩曲指
□	sua1	～毬儿：骂人胡干
□	tɕʰya1	
□	ya1	斥责
□	ʂᴇ1	表否定
□	piᴇ1	疮疾：指～，耳～
□	ȵiᴇ1	「你些」的合音
□	tɕiᴇ1	癫痫病
□	tɕʰiᴇ1	裂～：指甲边上的裂皮
□	tɕʰiᴇ1	以刀切：～陶秫，～猪
□	tuᴇ1	摔：～烂
□	tsuᴇ1	撕：-开
□	kʰuᴇ1	～折：敲打
□	puɤ1	～～：禾茎
□	tuɤ1	罗～：把环境弄脏
□	nuɤ1	脂肪含量过大的肉
□	luɤ1	～多：把环境弄脏
□	nᶻuɤ1	～着：栽伤
□	kuɤ1	插入
□	xaɔ1	～葱儿：栽葱
□	piaɔ1	小孩称掷出去的砖头，瓦块
□	liaɔ1	刁钻
□	tɕʰiaɔ1	半步
□	lyɔ1	～袜儿：袜子
□	mai1	立～～：陡直的样子
□	tsʰai1	牛以头角抵人
□	tsuai1	～～地：象嚼物之声
□	tsʰuai1	～掇：硬性售出
□	nᶻuai1	～～地：象嚼物之声
□	kuai1	～狗，凶狗
□	tsɿ1	～静：寂静
□	nᶻɿ1	压碎
□	zɿ1	～～：象车轮飞转声
□	pʰi1	山土脱落
□	pʰi1	～茶：冷茶
□	ti1	～当中：正当中
□	pʰu1	喷吐
□	tu1	圪～：拳头
□	tsu1	起：(用铲子等)堆起
□	tsʰu1	～～炮：哑炮
□	tsʰu1	伸：～出手来
□	xu1	～落落地：轻放不稳的样子
□	ʂʅ1	订(婚)
□	ɚ1	象声词：暖壶响得～～地
□	tei1	藏
□	tei1	～火：生火
□	tsei1	不值～害：起不了作用
□	tuei1	～儿：睾丸
□	kuei1	驯服
□	kuei1	鐾：～刀子
□	uei1	钻
□	nou1	娇气
□	lou1	够：不～做
□	tsʰou1	提：～鞋
□	sou1	蠹：蛆儿～
□	tiou1	「提留」的合音
□	tiou1	～溜子：老鹰
□	nᶻaŋ1	嚼：～甜甜
□	məŋ1	～住啦：昏迷过去
□	tʰəŋ1	浸：汗水把衣裳也～湿啦
□	nəŋ1	～～：踮起脚跟
□	uŋ1	木头被蛀
□	yŋ1	煮得过糊
□	yŋ1	圪～：虫动
□	na3	～～样地，软弱的样子
□	tsa3	圪～：腿腾空划过
□	sa3	～碗：大瓷碗
□	mia3	～～：芦苇制成的口哨
□	lia3	「李家」的合音：～庄
□	ȵia3	～子：唢呐
□	tɕia3	驱赶牲口的声音
□	ya3	「蔚家」的合音：～庄
□	mᴇ3	坡度缓：～坡坡
□	lᴇ3	取(带贬义)
□	tʂʰᴇ3	～～：打油勺
□	xᴇ3	～住：被难住
□	piᴇ3	扭过：把车儿往面儿～一下
□	piᴇ3	～掠：虐待
□	pʰiᴇ3	～子：女阴，当地写作「女」中一点
□	pʰiᴇ3	使裂开
□	tɕʰiᴇ3	～险：好险
□	iᴇ3	～屎
□	nᶻuɤ3	～掀：挖苦
□	naɔ3	肩杠
□	tɕiaɔ3	系连
□	pai3	用清水洗
□	pʰai3	～刁：刁难
□	tʰai3	～下一堆屎
□	lai3	薄～：摆
□	lai3	
□	tsai3	～文：咬文嚼字
□	tsʰai3	使公母交配
□	sai3	摇摆舞动；～秧歌
□	zuai3	～垫：行贿
□	kʰuai3	～哄：假言安慰
□	uai3	「兀一块」的合音，代词，那
□	pi3	～汤
□	ɕi3	打：～炭
□	ku3	催迫
□	u3	掷出(砖头、石块等)
□	tei3	小气
□	tsei3	偷窃
□	sou3	倾囊倒出
□	tʂou3	催迫
□	tʰiou3	滑
□	tʰiou3	批评
□	liou3	削：把头发～了一下
□	tɕiou3	锤击
□	tɕʰiou3	催迫
□	tɕʰiou3	局蹐，依偎：～得居舍不出来
□	saŋ3	薄～子：缸底，用以喂猪
□	piaŋ3	揍
□	ȵiaŋ3	打：～酒
□	tɕiaŋ3	～爷：外祖父
□	pʰəŋ3	羊以角抵人
□	tʰəŋ3	～好：「挺好」的音变
□	tsʰəŋ3	用锨铲起
□	nᶻəŋ3	
□	tuŋ3	～乱儿：出乱子
□	tsuŋ3	～了：坏事了
□	ɕyŋ3	厉声斥责
□	na5	
□	sa5	「师家」的合音：张～，郭～
□	tʂa5	～庄：「张家，赵家」的合音
□	pʰia5	占：～满
□	ȵia5	给东西时的呼语
□	tsua5	象甩物之声
□	tsʰua5	
□	ua5	～～声：回声
□	ɕya5	～腥气：肉腐烂后的气味
□	mᴇ5	砸：～了一砖
□	tʂʰᴇ5	～快：说风凉话
□	liᴇ5	圪～：煤核儿
□	liᴇ5	狗～：狗性反复无常
□	ɕiᴇ5	程度副词，犹「极」：火(生气)～啦
□	iᴇ5	抖动而使水落之
□	zuᴇ5	填～：陷害
□	ɕyᴇ5	～假：怂动
□	muɤ5	夹～：傻
□	naɔ5	用药毒：～人
□	tsaɔ5	困乏
□	tsʰaɔ5	以食物蘸余羹
□	tsʰaɔ5	次：头～，二～
□	saɔ5	～耍：利落
□	saɔ5	～气：寂寞
□	ŋaɔ5	撬
□	xaɔ5	右(喝令牲口的声音)
□	tɕiaɔ5	干燥：地里～得不行
□	tyɔ5	～水，骂人话
□	lyɔ5	用水洗：～胡萝卜儿
□	yɔ5	草～子
□	tsʰai5	～包儿～：一种儿童决定输赢的游戏
□	ȵiai5	忍耐
□	uai5	死坐
□	nᶻɿ5	打～：打扊
□	mi5	假～：假装
□	mu5	着谜：～书
□	mu5	～糊：觉睡得很死
□	tʰu5	指～头：没良心的人
□	kʰu5	～子：为防木板变形而加的横木
□	xu5	浑浊不清
□	u5	猪狗交配
□	u5	～儿：玩具，形似陀螺，以板击之，可比远近
□	y5	～血：住外渗血
□	tʂʰʅ5	铺～：破布条
□	luei5	口吐食物
□	lou5	圪～：打嗝儿
□	tsʰou5	老驴跌到～尾巴
□	sou5	土-：以土扬洒
□	ɻou5	以光脚板儿踢人或踩物：了一足
□	taŋ5	～子：房屋上的梁
□	tsʰaŋ5	～邪：往歪处想
□	tsʰaŋ5	～行：抢占别人的事情
□	kaŋ5	太阳红～～地
□	məŋ5	浸于水中
□	təŋ5	搭：碗上～得两只筷子
□	tsəŋ5	～子：窗纱
