#漢字	音標	解釋
□	tu1	圪～：拳头
□	tsʰu1	～壶：一种热水器
□	ku1	～～：男性生殖器
□	tsʰʮ1	～起：用铲子等堆起来
□	tsʰʮ1	～出手来：伸出手
□	zʮ1	～土：用土围堤
□	pa1	～～：小孩儿的大便
□	pa1	～叉：两腿撤开
□	tʰa1	走路～～地儿：走路有力
□	tsʰa1	兀家把我
□	tsʰa1	～了一顿：斥责
□	ʂa1	～好：很好
□	ʐa1	～：“人家”的合音
□	pia1	～～地儿：鞭炮响的声音
□	lia1	～庄：“梁家”的合音
□	tɕia1	面～：面条
□	ya1	我把兀家～了一顿：斥责
□	ya1	～庄：“蔚家”的合音
□	pɔ1	鞋～子
□	tɕiɔ1	～才：刚才
□	tuɔ1	罗～：弄脏
□	tɤ1	这～：这儿
□	tɕiu1	燎～泡
□	iu1	～鸡：赶鸡
□	tsʰuai1	～掇：硬性售出
□	tʰei1	～好：藏起来
□	tsei1	不值～害：起不了作用
□	tuei1	～儿：睾丸
□	kuei1	～刀子：磨刀
□	paɔ1	～地：用手脚挖地
□	tiou1	～上：“提溜”的合音
□	tiou1	～溜子：老鹰
□	tɕiou1	～儿：男性生殖器
□	ɕyaŋ1	馍馍～花地儿：松软而有弹性
□	məŋ1	～住啦：昏迷过去
□	tʰəŋ1	汗水把衣裳～湿了：浸湿
□	nəŋ1	～～起足：踮起脚
□	uŋ1	～啦：木头被蛀了
□	nɿ2	压碎
□	lɿ2	薄～～地儿：非常薄
□	pʰu2	喷吐
□	xu2	～合牢牢地：轻而放不稳的样子
□	tsʰʮ2	～～地：水挤压出来发出的声音
□	tsʰʮ2	～～炮：哑炮
□	sʮ2	～伏
□	zʮ2	～～地：慢慢移动
□	ta2	～：爸爸（被称）
□	tsʰa2	～豆：黄豆
□	ka2	～～地儿：重物敲击的声音
□	xa2	有～数：有分寸
□	pʰia2	～～热水放冷水里凉凉
□	mia2	圪～地儿：轻轻地
□	mia2	～眉瞪眼：干瞪眼
□	mia2	～～：芦苇制成的口哨
□	ia2	～地儿：哪个地方
□	nua2	～～：小孩子弯曲手指
□	tsʰua2	流水发出的声音
□	tɕʰya2	咳嗽得～～地儿
□	pɔ2	～烟：抽烟
□	pɔ2	～～：禾茎
□	liɔ2	～袜儿：袜子
□	luɔ2	～多：弄脏
□	uɔ2	～～：高粱等去粒后的空穗
□	ɚ2	暖壶响得～～地儿：象声词
□	ʂɤ2	～咧：表否定
□	liu2	～逗：挑逗
□	tsʰai2	～人：牛以头角抵人
□	tsuai2	～～地：像嚼物之声
□	ʐuai2	～～地：像嚼物之声
□	tʰei2	～火：生火
□	xaɔ2	～葱儿：栽葱
□	nou2	～：娇气
□	lou2	不～做：够
□	tɕʰiou2	～眉竖眼：横眉瞪眼
□	laŋ2	～肉：把肉炒熟
□	tʰuaŋ2	～～：打锣的声音，象声词
□	suŋ2	脑～：懦弱
□	yŋ2	～啦：煮面食糊了
□	ti3	软～：行贿
□	ku3	催迫
□	na3	～～样儿：软弱的样子
□	la3	～糊：马虎
□	tsa3	圪～：骑着
□	tsʰa3	一：拇指与食指撇开的距离
□	ka3	～晃：晃晃悠悠的
□	pia3	皱～～：固执
□	pʰia3	～开腿：叉开腿
□	mia3	立～～：陡直的样子
□	lia3	～庄：“李家”的合音
□	ua3	～～声：回声
□	tɕya3	～巴巴地儿：较硬，没柔软感
□	lɤ3	～住：通过不正当的方式取得，带有贬义色彩
□	lɤ3	～粗：马虎
□	xɤ3	～上：拿上
□	xɤ3	～住：被难住
□	tɕiu3	～～：系连
□	pai3	～～：用清水略洗
□	pʰai3	～刁：刁难
□	lai3	薄～：摇摆
□	tsai3	～文：咬文嚼字
□	tsʰai3	～猪：使公母猪交配
□	sai3	～秧歌：摇摆舞动
□	kʰuai3	～哄：假言安慰
□	uai3	～：“维块”的合音，代词，那
□	mei3	黑～～：庄稼因病而生的黑穗儿
□	lei3	餶～：一种杂拌面菜的颗粒状的食物
□	tsei3	～了一疙瘩：偷窃
□	naɔ3	～起来：用肩扛
□	sou3	～：倾囊倒出
□	tʂou3	～住：催迫
□	tʰiou3	～：滑
□	tʰiou3	～人：批评
□	liou3	～舔：巴结
□	liou3	～头发：削
□	tɕiou3	～～：锤击
□	tɕʰiou3	～：催迫
□	tɕʰiou3	～得窑儿里不出来：依偎，宅
□	piaŋ3	～他：揍
□	tsʰuaŋ3	～米：碾米
□	tsʰəŋ3	～开：用铁锹铲
□	tɕiŋ3	～肉：微火慢炖
□	tuŋ3	～乱儿：出乱子
□	tuŋ3	～下一身泥
□	tsuŋ3	～了：糟了
□	ɕyŋ3	厉声斥责
□	yŋ3	～肩肩：驼背
□	mɿ5	假～：假装
□	sɿ5	活～～：用纸糊的纸人
□	tʂʰʅ5	铺～：破布条
□	pu5	头～子
□	mu5	～书：对书痴迷
□	mu5	～糊：觉睡得很死
□	mu5	～坡坡
□	mu5	～了一砖：砸
□	mu5	夹～：傻
□	kʰu5	～子：为防木板变形而加的横木
□	xu5	水～：浑浊不清
□	ly5	～汤熬到家，水乳交融
□	zʮ5	～血：往外渗血
□	ta5	～：爸爸（面称）
□	na5	～：给人东西时的呼语
□	tsʰa5	希～：少有的东西或少来往的人
□	sa5	～：挑拣
□	tʂa5	～庄：地名，“张家、赵家”的合音
□	pʰia5	～下一地：占满了
□	nia5	～柴
□	nia5	给东西时的呼语
□	tɕia5	驱赶牲口的声音
□	tsua5	～～地儿：甩物的声音
□	tsʰua5	泼水的声音
□	ɕya5	～腥气：肉腐烂后的气味
□	pɔ5	～把你弄住：避免
□	tɕʰiɔ5	～上点面：掺和
□	iɔ5	～水：抖动使水落下
□	nuɔ5	鼻～：鼻子不通
□	ʂɤ5	～色：褪色
□	ʂɤ5	～了：火烧云
□	tiu5	～水：骂人的话
□	liu5	～衣裳：清洗
□	tɕiu5	～得不行：穷
□	xai5	～下：明白懂得
□	xai5	～开糖：使得溶解
□	niai5	～饿：忍耐
□	tsʰuai5	懦～：肥肉笨
□	ʐuai5	～点：行贿
□	uai5	～的兀的：死坐
□	tʰaɔ5	～穗：高粱
□	naɔ5	～人：用药毒害人或物
□	tsaɔ5	很～：困乏
□	tsʰaɔ5	～锅：用食物蘸余羹
□	tsʰaɔ5	两三～：清洗衣服的次数
□	saɔ5	～：喝令牲口后退
□	saɔ5	～起：寂寞
□	ŋaɔ5	～开：撬开
□	xaɔ5	～：右，喝令牲口的声音
□	tʰou5	～：交媾
□	lou5	圪～：打嗝儿
□	tʂou5	～巴巴地儿：脾气倔
□	ʐou5	～了一足：用光脚板踢人或踩物
□	liou5	滴～儿：房檐下垂挂着的冰条
□	liou5	一～～树儿：量词，行
□	liou5	丢～子：老鹰
□	tɕiou5	～手：顺手
□	tɕʰiou5	～油没谈：漫不经心
□	ɕiou5	～～：使犬吠
□	taŋ5	～子：房上的梁
□	taŋ5	～面：筛
□	naŋ5	～进：陷于泥中
□	məŋ5	～住：浸入水中
□	təŋ5	筷子～到碗上：搭
□	tʂəŋ5	～出来：渗
□	ʐəŋ5	～地儿一下就不见了：瞬间
□	ʐəŋ5	～上房子：租
□	kʰəŋ5	～得墙上：靠
□	pʰiŋ5	～香：喷香
□	pʰiŋ5	兀家～得多咧：清高
□	tɕiŋ5	～上：惹得过
□	tʰuŋ5	～～东西着地的声音
□	tɕyŋ5	～住：浓汤汁凝聚
□	naʔ7	～住：陷入
□	tsaʔ7	～踏：糟蹋
□	pʰiaʔ7	学～：效仿
□	tɕiaʔ7	～魔：傻
□	tɕʰyaʔ7	～住：粘
□	yaʔ7	～贴：办事妥当
□	tʂəʔ7	～国：正经
□	ʂəʔ7	～住音水：掌握分寸
□	ŋəʔ7	～火：存火
□	niəʔ7	～气：难伺候
□	tɕʰiəʔ7	～水：水被吸收
□	tuəʔ7	圪～：低声说话
□	tuəʔ7	～子：屁股
□	tʰuəʔ7	～舌头
□	nuəʔ7	～烂鞋啦：顶破
□	kuəʔ7	～：话说得漂亮
□	xuəʔ7	～开：剖开
□	uəʔ7	～土：掘土
□	tɕyəʔ7	～子：车轮
□	maʔ8	～出来：拔
□	taʔ8	～蛋：鸡交配
□	piaʔ8	～棒：傻子
□	nuaʔ8	一头～下的：栽
□	tsʰuaʔ8	水～：急
□	ɳəʔ8	～闹：耍闹
□	ɳəʔ8	～毛筋头儿：翻跟头
□	ʂəʔ8	～不筋：爱出风头的人
□	tɕiəʔ8	圪～凳子
□	tuəʔ8	～血：血流不止
一	iəʔ7	
丁	tiŋ1	
七	tɕʰiəʔ7	
万	uaŋ5	
丈	tʂuɔ5-	老～人
丈	tʂaŋ5=	
三	saŋ1	
上	ʂuɔ5-	～山
上	ʂaŋ5=	
下	xa5-	底～
下	ɕia5=	～降
不	pəʔ7	
与	zʮ3	给予
丐	kai5	乞～
丑	tʂʰou3	
專	tsuaŋ1	
且	tɕʰi3	
世	ʂʅ5	
丘	tɕʰiou1	
丙	piŋ3	
業	niəʔ8-	
東	tuŋ1	
絲	sɿ1	
丞	tʂʰəŋ2	
丟	tiou1	
兩	liɔ3-	斤～
兩	lia3	～个
兩	liaŋ3=	
嚴	iaŋ2	
喪	suɔ1-	报～
喪	saŋ5	～失
喪	saŋ1=	婚～
个	kɤ5=	～人
丫	ia1	
中	tsuŋ1	～间
中	tsuŋ5	射～
丰	xuŋ1	
串	tsʰu5-	
串	tsʰuaŋ5=	
臨	liŋ2	
丸	u2-	
丸	uaŋ2=	
丹	taŋ1	
爲	uei2	作～
爲	uei5	～什么
主	tsʮ3	
丽	lɿ5	
舉	tsʮ3	
乃	nai3	
久	tɕiou3	
義	zɿ5	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	xu2	
乏	xuaʔ8	
樂	iaʔ7	音～
樂	laʔ8	
喬	tɕʰiaɔ2	
乖	kuai1	
乘	tʂʰəŋ2	
乙	iəʔ7	
九	tɕiou3	
乞	tsʰɿ3	
也	ia3-	
也	i3=	
習	ɕiaʔ8	
鄉	ɕiɔ1-	～亲
鄉	ɕiaŋ1=	
書	sʮ2	
買	mai3	
亂	lu5-	
亂	luaŋ5=	
乳	ʐu3	
乾	tɕʰi2-	～坤
乾	tɕʰiaŋ2=	
