#漢字	音標	解釋
□	tsi1	放在形容词前面表程度很淡，如～淡
□	si1	大声喊叫，贬义
□	ɕi1	堵住，不通
□	u1	动词，很多人涌向同一地方
□	ka1	把衣服披在身上不穿
□	ŋa1	名词，缝隙
□	ŋa1	动词，张开
□	pʰae1	动词，挑
□	lae1	娇惯纵容孩子
□	le1	没精打采的样子
□	tse1	蹲
□	se1	动词，嬉戏玩耍
□	se1	毛发蓬松
□	tɕʰie1	用腋下夹住
□	tʃʰo1	丢失
□	ko1	磨光了
□	lɔ1	动词，拿
□	lau1	动词，用工具梳、翻
□	hau1	油漆等干裂枯
□	tsia1	形容词，很，如～湿
□	tsʰiɔ1	和别人一起去
□	lua1	把袖子、裤脚卷起来
□	kʰuae1	圆圈
□	lui1	很，十分，如～胖
□	tsuɛ̃1	用口衔着吮吸
□	tsʰuɛ̃1	动词，搓，擦
□	lien1	偷偷的溜过去
□	moŋ1	动词，抬头
□	loŋ1	动词，看着
□	tioŋ1	正面或头部朝上
□	lɪ̃1	动词，啃
□	tɕʰɪ̃1	动词，拍打，甩打
□	tã1	动词，拿，取
□	lã1	动词，拿，取
□	kʰã1	未装满
□	tsʰɿ2	鞭炮的引、销点燃后发出的那种响声
□	ʂʉ2	形容词，蠢
□	ʈa2	将人或物置于胯下，从上面跨过去
□	ʂa2	十分，很，如～苦
□	ka2	两音叠用，指鸡蛋
□	ha2	助词，表未听清而追问
□	pae2	用棍子等打
□	lae2	动词，漏，掉
□	ŋae2	拖延时间
□	ae2	拖延时间，又音
□	ke2	男阴
□	lo2	动词，搓
□	lɔ2	指新鲜的蔬菜瓜果之类的不新鲜了，焉了
□	lau2	突然之间站起来，气势汹汹
□	tia2	把，拿
□	tsiʉ2	很青、緑
□	tʂua2	手脚因冰凉而无法活动自如
□	tsui2	一种疮
□	tsuɛ̃2	用口衔着吮吸
□	seŋ2	差
□	tsʰɿ3	理睬
□	pa3	名词，屎
□	pʰa3	气球、轮胎等爆炸
□	ka3	名词,胯
□	pʰae3	动词，用树枝等去挑起物品的动作引申为理睬
□	pʰe3	动词，打，揍
□	tsʰe3	动词，来回压
□	se3	唆使
□	pʰia3	动词，拍
□	kuae3	女阴
□	kʰuae3	动词，搔，挠
□	tui3	整数的
□	tuɛ̃3	木桩
□	luɛ̃3	反复搅拌
□	tsʰien3	动词，看，望
□	peŋ3	动词，用拳头用力的打
□	tsʰeŋ3	动词，推
□	keŋ3	凹凸
□	soŋ3	量词，断
□	pʰioŋ3	量词，堆，片
□	sioŋ3	粥之类的放久了上层变稀，下层变稠
□	tʰɪ̃3	动词，掉落
□	tɕʰɪ̃3	动词，拍打，甩打
□	kɪ̃3	把器皿倒扑着放
□	pã3	用力甩在地上
□	kã3	量词，阵
□	kʰuɑ̃3	用力关门
□	ʂa5	小气，吝啬
□	tsʰae5	屁股在地上挪动摩擦
□	fe5	形容词，腻
□	ho5	会
□	lɔ5	弄错了
□	kɔ5	两只腿交叉放着
□	lia5	踩死田间的杂草
□	tsʰia5	稀巴烂
□	tsiɔ5	一种米做的饼
□	pʰie5	扭伤了
□	tsiʉ5	动词，拧开
□	tʰui5	名词，口袋
□	tʂuɛ̃5	名词，水渠
□	tien5	用重物压着
□	leŋ5	一长串
□	keŋ5	动词，钻
□	moŋ5	动词，带着期待之心
□	kʰɪ̃5	动词，用手去压
□	tsʰuɪ̃5	形容命贱
□	ʂuɪ̃5	动词,扔
□	tsʰã5	用力捶打
□	ṇ5	东西受潮了
□	tʂʉ7	动词，塞住，堵上
□	la7	动词，动弹
□	ʈa7	性子很急
□	ʂa7	逼迫，强迫
□	ka7	名词，伴，如打～，即作伴
□	tɕʰie7	闪动、停顿
□	pʰia7	动词，被液体呛到
□	tʰia7	吊，捆
□	tua7	端
□	tua7	跳起来
□	tsʰua7	装起来
□	kua7	一种猎具，能夹住动物的腿
□	hua7	动词，甩动
□	sui7	动词，类似于“插”
㸊	lae5	动词，烫
一	i7	
丁	tien1	
七	tsʰi7	
万	uɑ̃5	
丈	ʈʰoŋ5	
三	sã1	
上	ʂoŋ5	
下	ha5-	
下	ʂa5=	
不	pu7	
与	ʉ3	
丑	tɕʰiʉ3	
專	tʂuɪ̃1	
且	tsʰie3	
世	sɿ5	
丘	tsʰiʉ1	
丙	pien3	
業	ie7	
叢	tseŋ2	
東	teŋ1	
絲	sɿ1	
丟	tiʉ1	
兩	lioŋ3	
嚴	ɪ̃2	
喪	soŋ1	
喪	soŋ5	动词
个	ko5	
丫	ŋa1	
丫	a1	又音
丫	ia1	
中	ʈeŋ1	
中	ʈeŋ5	
丰	feŋ1	
串	tʂʰuɪ̃1	
臨	lien2	
丸	uɪ̃2	
丹	tã1	
爲	ui2	
爲	ui5	又音
主	tʂʉ3	
丽	li5	
舉	tʂʉ3	
久	tɕiʉ3	
義	i5	
之	tsɿ1	
烏	u1	
乍	tsa5	
樂	lo7	音乐
樂	io7	乐器
喬	ʈɔ2	
乖	kuae1	
乙	ie7	
九	tɕiʉ3	
乞	tɕʰi3	
也	ie3	
習	si7	
鄉	ʂoŋ1	
書	ʂʉ1	
買	mae5	
亂	luɑ̃5	
乳	ʉ3	
乾	kã1	
乾	tɕɪ̃2	
了	liɔ3	了解
爭	tsɪ̃1	
事	sɿ5	
二	ə5	
于	ʉ2	
亏	kʰui1	
云	uɛ̃2	
互	hau5	
五	u3	
井	tsioŋ3-	
井	tsien3=	
亞	ia5	
些	si1=	
亡	oŋ2	
交	ʈɔ1	
亥	hae5	
產	tsʰã3	
畝	me3	
享	ʂoŋ3	
京	tɕien1	
亭	tien2	
亮	lioŋ5	
親	tsʰien1	
人	ṇ2-	
人	ien2=	
億	i5	
仁	ien2	
仆	pʰu1	
仆	pʰu3	
仇	ɕiʉ2	
今	tɕien1	
介	kae5	
从	tseŋ2	
倉	tsʰoŋ1	
仗	ʈoŋ5	
付	fu5	
仙	sɪ̃1	
代	tʰae5	
令	lien5	
以	i3	
儀	i2	
仰	ioŋ3	
仲	ʈeŋ5	
件	tɕʰɪ̃5	
价	ʈa5	
任	ien5	
份	fien5	
仿	hoŋ3	
企	tɕʰi5	
伊	i1	
伍	u3	
伏	fu2	
伐	fa7	
休	ɕiʉ1	
众	ʈeŋ5	
优	iʉ1	
伙	ho1	一伙人，量词
伙	ho3	伙食
會	kʰuae5	会计
會	hui5	
傘	sã3	
偉	ui3	
傳	tʂuɪ̃2	传达
伢	ia2	
傷	ʂoŋ1	
倫	luɛ̃2	
伯	pa7=	
伯	pe7=	
估	kau1	
伴	pã5	
伸	ɕien1	
佃	tʰɪ̃5	
但	tã5	
位	ui5	
低	ti1	
住	tʂʉ5	
佐	tso3	
佑	iʉ5	
体	tʰi3	
何	ho2	
佘	ʂe1	
余	ʉ2	
佛	fu7	
作	tso7	
你	ṇ5	第二人称
佩	pʰe5	
佬	lɔ3	
佰	pe7	
佳	ʈa1	
併	pien5	
使	sɿ3	
侄	tɕʰi1	
侈	tsʰɿ3	
例	li5	
供	keŋ5	
依	i1	
僥	ʈɔ1	
偵	tɕien1	
側	tse7	
側	tsʰe7	
僑	ʈɔ2	
儈	kʰuae5	
侯	he2	
侵	tsʰien1	
便	pɪ̃2	
便	pʰɪ̃5	
促	tsʰau7	
俄	o2	
俊	tsuɛ̃5	
俑	ieŋ3	
俗	sau7	
俘	fu2	
保	pɔ3	
信	sien5	
倈	lae3	俫唧，儿子
儉	tɕɪ̃3	
修	siʉ1	
俯	fu3	
俸	feŋ5	
