#漢字	音標	解釋
□	tə1	～小孩
□	tə1	口袋
□	kəu1	摟
□	neŋ1	搞
□	tʰio2	舀水
□	tʂʰiɔŋ3	傾斜
□	xuɛ3	小孩
□	pio5	分發
□	tʰiẽ5	浪費時間
□	kʰuɛ5	折斷
□	tʰa7	蓋子
□	na7	爬，挪動
□	tə7	給
□	tio7	～出果實：長出果實
□	keŋ7	鉆洞
□	xua7	甩
七	tʂʰʅ1	
七	tʂʰi1	
丈	tsiɔŋ5	
三	sã1	
上	siɔŋ5	
下	xa5	
不	pu1	
不	pu7	
丐	kæ5	
且	tsʰiɛ7	
丕	pʰi1	
丘	tsʰiɯ1	
並	piẽ5	
中	tʂeŋ1	
丸	uã2	
丹	tã1	
主	tsɯ3	
乃	næ3	
乎	xəu1	
乖	kuæ1	
二	œ5	
云	uẽ2	
互	xəu5	
井	tsiẽ3	
些	siɛ1	
亞	ŋa5	
交	tʂio1	
京	tsiẽ1	
仔	tsæ3	
仗	tsiɔŋ5	
付	fu5	
仙	siã1	
仲	tʂeŋ5	
件	tsiã5	
企	tʂʰʅ3	
估	kəu1	
伴	pʰã5	
位	ui5	
低	ti1	
住	tɕy3	
何	xu2	
佩	pʰe5	
佯	iɔŋ3	
佳	tʂia1	
佻	tʰio7	
使	sɿ3	
侃	kʰã3	
例	ni5	
侗	teŋ3	
供	keŋ5	
侯	xə2	
俊	tʂuẽ5	
保	po3	
倉	tsʰɔŋ1	
倍	pe5	
們	miẽ2	
倒	to5	
倔	tʂuɛ5	
候	xə5	
倦	tʂuã5	
倩	tsʰiã5	
倫	nuẽ2	
值	tʂʰʅ7	
偉	ui3	
偋	pɔŋ5	藏
偏	pʰĩ1	
健	tsiã5	
偭	mĩ3	
側	tsʰə7	
偷	tʰə1	
傘	sã3	
備	pe5	
傣	tæ3	
催	tsʰui1	
傳	tsuã2	
傳	tsʰuã2	
傳	tsuã5	
傷	siɔŋ1	
像	ʂiɔŋ5	
僕	pʰu2	
僚	ȵio2	
僵	tʂiɔŋ1	
僻	pʰi5	
儂	neŋ2	
儈	kʰuæ5	
儔	tʂʰuẽ1	
優	iɯ1	
元	yã2	
兄	ʂeŋ1	
充	tʂʰeŋ1	
先	siã1	
光	kuɔŋ1	
兌	tui5	
免	mĩ3	
兒	œ2	
兔	tʰəu7	
兜	tə3	
全	tʂuã2	
公	keŋ1	
六	ȵiɯ1	
六	ʂuɛ1	
共	keŋ5	
其	tsɿ1	
其	tʂʰʅ1	
兼	tsiã1	
冊	tsʰə7	
再	tsæ5	
冒	mo5	
冕	mĩ3	
冠	kuã5	
冤	yã1	
冬	tɔŋ1	
冬	teŋ1	
冰	piẽ1	
冷	nɔŋ5	
凍	teŋ5	
凡	fã2	
凱	kʰæ3	
凳	tĩ5	
凶	ʂeŋ1	
出	tsʰɯ7	
刀	to1	
刁	tio1	
切	tsʰiɛ7	
刊	kʰã1	
列	nɛ5	
別	piɛ2	
刨	pʰo1	
刨	po5	
利	ni5	
刪	sã1	
刮	kua1	
到	to5	
制	tʂʅ5	
刷	sua1	
刺	tsʰɿ5	
剃	tʰi3	
削	ʂuɛ1	
削	ʂuɛ7	
前	tsʰiã2	
剔	tʰi3	
剝	pu7	
剪	tsiã3	
剮	kua7	
副	fu5	
剽	pio2	
劃	xua5	
劈	pʰi1	
劉	ȵiɯ2	
劍	tsiã5	
力	ni1	
功	keŋ1	
加	tʂia1	
劣	nɛ5	
勉	mĩ3	
勘	kʰã1	
勞	lo2	
募	mu7	
勳	ʂuẽ1	
勻	uẽ2	
勾	kə1	
包	po1	
匆	tsʰeŋ1	
匈	ʂeŋ1	
化	xua5	
北	pe7	
匡	kʰuɔŋ1	
匪	fi3	
匹	pi2	
匹	pʰi3	
匿	ȵi5	
區	tsʰɯ1	
十	ʂʅ1	
千	tsʰiã1	
協	siɛ2	
占	tsã5	
卡	kʰa3	
卦	kua5	
卯	mo3	
卸	siɛ1	
卻	tʂʰuɛ5	
厘	ni2	
厚	xə5	
去	tʂʰy3	
參	tsʰã1	
又	iɯ5	
叉	tsʰa5	
友	iɯ3	
反	fã3	
受	siɯ5	
叟	sə1	
叢	tseŋ2	
口	kʰə3	
古	kəu3	
叨	to1	
叩	kʰə5	
只	tʂʅ3	
叫	tʂio5	
可	kʰu5	
台	tæ2	
右	iɯ5	
司	sɿ1	
叼	tio1	
合	xu2	
吊	tio5	
同	teŋ2	
吐	tʰu5	
吐	tʰəu5	
向	ʂiɔŋ5	
吒	tsa5	
君	tʂuẽ1	
吞	tʰuẽ1	
吠	fi5	
吠	fei5	
含	xã2	
吸	ʂi1	
吹	tʂʰy1	
吹	tsʰui1	
呀	ia5	
呂	ȵy3	
呆	tæ1	
告	ko5	
呱	kua1	
呲	tsʰɿ2	
味	ui5	
呵	xə1	
呸	pʰe5	
咆	pʰo2	
咋	tsa7	
和	xu2	
咒	tsə5	
咕	ku2	
咚	tɔŋ1	
咚	teŋ1	
咧	nɛ5	
咪	mi1	
咬	io3	
咸	xã2	
咸	siã2	
