#漢字	音標	解釋
□	la1	嫩
□	ȵia1	姑姑
□	ȵia1	发～：撒娇
□	kɔ1	身体摔倒
□	ten1	扯～
□	loŋ1	～粗
□	pɔ2	打～秋
□	tɕyɔ2	～过去
□	noŋ2	念不～
□	pʰia3	～一只耳巴
□	lia3	～舌子
□	xɔ3	～里～气
□	tɕʰyɔ3	一～长
□	mia5	～黑的
□	lei5	～到手
□	pã5	摔
□	pen5	～直
□	tu6	堆起来
䊳	mi2	～烂
一	i5	
丁	tin1	
七	tɕʰi1	
万	uã6	
丈	toŋ6	
三	sã1	
上	tɕʰioŋ6	～山；～面
下	ia6	底～；～降
不	pu5	
与	y3	及：给～
丐	kai5	乞～
丑	tʰau3	天干
專	tɕyẽ1	
且	tɕʰie3	
丕	pʰi1	
世	ʂʅ5	
丘	tɕʰiau1	
丙	pin3	
業	ȵĩ5	
叢	tsen2	
東	ten1	
絲	sɿ1	
丞	ten2	
丟	tiau1	
兩	lioŋ3	～个；几～几钱
嚴	ȵĩ2	
並	pin6	
喪	soŋ5	婚～；～失
个	kɔ5	～人；一～
丫	ia1	～头
中	ten1	当～
中	ten5	射～
丰	xen1	
串	tɕʰyẽ2	(穿)
臨	lin2	
丸	uã2	肉～；弹～
丹	tã1	
爲	ui2	作～；～什么
主	tɕu3	
丽	li5	美～
舉	tɕu3	
乃	na3	
久	tɕiau3	
之	tʂʅ1	
烏	u1	
乍	tsɔ5	
乎	xu1	
乏	fã5	
樂	lu5	
樂	iu5	音～
喬	tɕʰiɔ2	
乖	kua1	
乘	ʐen2	
九	tɕiau3	
乞	tɕʰi1	
也	ie3	者～；～是
習	ɕi5	
鄉	ɕioŋ1	
書	ɕy1	
買	mã3	
亂	loŋ6	
乳	y3	
乾	kã1	～湿
乾	tɕiẽ2	～坤
爭	ten1	
事	ɿ6	
二	e6	
于	y2	
虧	kʰui1	
雲	yn2	说
雲	yn2	
互	u6	
五	u3	
井	tɕin3	
亞	ia5	
些	ɕie1	
亡	oŋ2	
交	tɕiɔ1	
亥	e6	
亦	i5	
產	tsʰã3	
亨	ɕĩ1	
畝	miɔ3	
享	ɕioŋ3	
京	tɕin1	
亭	tin2	
亮	lioŋ5	
親	tɕʰin1	
親	tɕʰin2	～家
人	ʐen2	
億	i5	
什	ʂʅ5	～物
仁	ʐen2	
僅	tɕʰin2	
仆	pʰu2	～倒
仇	tau2	
仇	tɕiau2	姓
今	tɕin1	
介	ka5-	～绍
介	tɕie5=	～意
仍	ʐen2	
从	tsen2	～容；跟～
仑	len2	
倉	tsʰoŋ1	
仕	tsɿ6	
他	tʰɔ1	
仗	toŋ6	
付	fu5	
仙	ɕĩ1	
代	tei6	
令	lin5	
以	i3	
仰	ioŋ3	
仲	ten6	
件	tɕiẽ6	
價	tɕia5	
任	ʐen5	责～
任	ʐen6	
份	uen6	一～两～
仿	xoŋ3	相似
企	tɕʰi3	
伊	i1	
伍	u3	
伏	fu5	
伐	xuɔ5	
休	ɕiau1	
衆	ten5	
優	iau1	
會	kʰua2	～计
會	ue6	开～；～不～
傘	sã3	
偉	ui3	
傳	tɕyẽ2	～达
傳	tɕyẽ5	～记
伢	ŋɔ2-	
伢	ia2=	小孩子
傷	ʂoŋ1	
倫	len2	
僞	ui5	
伯	pei5	
估	ku1	～计
伴	poŋ6	
伶	lin2	
伸	ʂen1	
伺	sɿ1	
似	tsʰɿ2	
佃	tiẽ6	
但	tã6	
佈	pu5	
位	ui6	
低	ti1	
住	tɕu6	
佐	tsu3	
佑	iau5	
體	tʰi3	
