#漢字	音標	解釋
□	tʂʰʅ1	～倒:滑倒
□	ŋɑu1	喊
□	kie1	
□	kʰie1	
□	mən1	
□	tʂʯai1	
□	nɑŋ1	
□	ka3	
□	ŋa3	
□	tʂʰo3	
□	sai3	
□	tei3	
□	mɑu3	漏掉
□	ȵie3	歪:～嘴
□	tsʰən3	
□	kʰiəu3	
□	kʰuɑŋ3	惹
□	ʂa5	
□	kʰa5	跨
□	kæ5	
□	lɑu5	动
□	kie5	
□	xoŋ5	闻
□	tʂʰa6	
□	ʂæ6	亏本
□	kən6	
□	kʰən6	
□	to7	盖章
□	ŋo7	
一	i7	
丁	tin1	
七	tɕʰi7	
万	uan6	
丈	tʂʰɑŋ6	
三	san1	
上	ʂɑŋ6	
下	xa3	身份地位或等级低，品质差
下	xa6	
不	pu7	
与	ʯ6	
丐	kai5	
丑	tʂʰəu3	
專	tʂʯan1	
且	tɕʰie3	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	pin3	
業	ȵie7	
業	ie7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丟	tiəu1	
兩	liɑŋ3	
嚴	ȵiɛn2	白
嚴	iɛn2	
喪	sɑŋ1	丧事
喪	sɑŋ5	丧失
个	ko5	
丫	ia1	
中	tʂoŋ1	
丰	foŋ1	
串	tʂʰʯan5	
臨	lin2	
丸	uon2	
丹	tan1	
爲	uei6	
主	tʂʯ3	
丽	li6	
舉	tʂʯ3	
乃	nai3	
麼	iɑu1	
義	i6	
之	tʂʅ1	
烏	u1	
乎	xu1	
乏	fa2	
樂	lo7	
樂	io7	音～
乒	pʰin1	
乓	pʰɑŋ1	
喬	tɕʰiɑu2	
乖	kuai1	
乘	tʂʰən2	
乙	i7	
九	tɕiəu3	
乞	tɕʰi3	
也	ie3	
習	ɕi7	
鄉	ɕiɑŋ1	
書	ʂʯ1	
買	mai3	
乾	tɕʰiɛn2	
了	liɑu3	
事	sɿ6	
二	æ6	
于	ʯ2	
虧	kʰuei1	
雲	ʯən2	
互	xu6	
五	u3	
井	tɕin3	
亞	ia5	
些	ɕie1	
亡	uɑŋ2	
亢	kʰɑŋ5	
交	kɑu1	遍:洗两～
交	tɕiɑu1	
亥	xai5	
亦	i5	
產	tʂʰan3	
亨	xən1	
畝	mu3	
享	pin3	
享	ɕiɑŋ3	
亭	tʰin2	
亮	liɑŋ6	
親	tɕʰin1	
人	ʐən2	
億	i5	
仁	ʐən2	
僅	tɕin3	
仆	pʰu7	
仇	tʂʰəu2	
今	kən1	
介	tɕiai5	
仍	ʐən1	
从	tsʰoŋ2	
仑	luən2	
倉	tsʰɑŋ1	
