#漢字	音標	解釋
□	təu1	把裤子～起来：把裤子提起来穿好
□	mʌŋ1	～的：公牛
□	ləu2	～鸽的
□	zæ2	～米：黄小米面
□	iæ2	～鞋口：用针线密密地缝合鞋口
□	liʌŋ2	～米：从别处大量买入米
□	iɛ3	形容人个子低
□	lai3	pə4～：用手来回拨动使物体散热快
□	zæ3	～谷子：把谷子碾碎
□	ləu5	【iəŋ】圪～：大脖子病
□	məʔ7	牛倒～：牛倒噍
□	pʰiəʔ7	～水：从河里取水
㧺	tʰʌʔ7	
钁	tɕyəʔ7	～头
一	iəʔ7	
丁	tiəŋ1	
七	tɕʰiəʔ7	
万	uæ5	
丈	tsʌŋ5	
三	sæ1	
上	sʌŋ5	
下	xɑ5-	
下	ɕiɑ5=	
不	pəʔ7	
与	y2	我～他
丐	kai5	
丑	tsʰəu3	
專	tsuæ1	
且	tɕʰiɛ3	
世	sɿ5	
丘	tɕʰiəu1	
丙	piəŋ3	
業	ȵiəʔ7	
叢	tsʰuəŋ2	
東	tuəŋ1	
絲	sɿ1	
丞	tsʰəŋ2	
丟	tiəu1	
兩	liʌŋ3	
喪	sʌŋ1	
喪	sʌŋ5	
个	iɛ1-	这～没见过
个	kə5=	
丫	iɑ1	～头
中	tsuəŋ1	
中	tsuəŋ5	
丰	fəŋ1	
串	tsʰuæ5	
臨	liəŋ2	
丸	uæ2	
丹	tæ1	
爲	uei2	
爲	uei5	
主	tsu3	
丽	li5	
舉	tɕy3	
久	tɕiəu3	
義	ɕi3	
之	tsɿ1	
烏	u1	
乍	tsɑ5	
乎	xu1	
乏	fɑ2	
樂	luəʔ7	
樂	yəʔ7	
喬	tɕʰiau2	
乖	kuai1	
乘	tsʰəŋ2	
乙	i1	
九	tɕiəu3	
乞	tɕʰi1	
也	iɛ3	
習	ɕi2	
習	ɕiəʔ7	
鄉	ɕiʌŋ1	
書	su1	
買	mai3	
亂	luæ5	
乳	zu3	
乾	tɕʰiæ2	
了	liau3	～解
爭	tsəŋ1	
事	sɿ5	
二	ɚ5	
于	y2	
虧	kʰuei1	
雲	yəŋ2	
互	xu5	
五	u3	
井	tɕiəŋ3	
亞	iɑ1	
些	ɕiɛ1	
亡	uʌŋ2	
交	tɕiau1	
亥	xai5	
亦	ɕi3	
產	tsʰæ3	
亨	xəŋ1	
畝	mu3	
享	ɕiʌŋ3	
京	tɕiəŋ1	
亭	tʰiəŋ2	
亮	liʌŋ5	
親	tɕʰiəŋ1	
親	tɕʰiəŋ5	
人	zəŋ2	
億	ɕi3	
什	səŋ3	～么
仁	zəŋ2	
僅	tɕiəŋ5	
仆	pʰu1	
仇	tsʰəu2	
今	tɕiəŋ1	
介	tɕiɛ5	
仍	zəŋ2	
从	tsʰuəŋ2	
仑	luəŋ1	
倉	tsʰʌŋ1	
他	tʰɑ1	
他	nɑ1	
仗	tsʌŋ5	
付	fu5	
仙	ɕiæ1	
代	tai5	
令	liəŋ5	
以	i3	
儀	i2	
仰	iʌŋ2	
仲	tsuəŋ1	
件	tɕiæ5	
價	tɕiɑ5	
任	zəŋ2	
任	zəŋ5	
份	fəŋ5	
仿	fʌŋ3	
企	tɕʰi3	
伊	i1	
伍	u3	
伏	fəʔ7	～天
伐	fʌʔ7	～木头
休	ɕiəu1	
衆	tsuəŋ5	
優	iəu1	
會	kʰuai5	～计
會	xuei5	
傘	sæ3	
偉	uei1	
傳	tsʰuæ2	
傳	tsuæ5	
傷	sʌŋ1	
倫	luəŋ2	
僞	uei5	
伯	piəʔ7	
估	ku3	
伴	pæ5	
