#漢字	音標	解釋
□	lia1	放～:撒娇
□	lai1	～坏哒，小孩成植物营养不足而未长好
□	tɕyai1	(蹲)
□	kəu1	～起腰，弯着腰
□	tɕiəu1	眼睛一～起(眼睛斜着)
□	laŋ1	～薄的(很薄)
□	kʰa3	～哒～哒，(过分省俭)
□	pia3	象声词，枪声
□	pie3	～哒脚(扭伤了脚)
□	kʰuan3	～(打)他几个嘴巴
□	ŋen3	(起的硬东西觉得不舒服)
□	ɕin3	蠢：～里～气
□	kʰuaŋ3	把碗～起(碗口朝下放着)
□	tsa5	～至就冇去过(再没有去过)
□	mia5	～黑的(很黑)
□	tɕʰia5	捂着脸突松开手，逗小孩子的动作
□	tɕʰia5	躲～～：捉迷藏
□	so5	～话子(坏话)
□	ye5	～口(田埂上过水的口子)
□	len5	～黄的(颜色很黄)
□	pu6	嘴巴动作，男～晴，女～阴(仅限于一岁左右的小孩)
□	tsa6	一～去哒(形容快)
□	ka6	～过去，双脚跨过去
□	tia7	～紧点(捆紧点)
□	lia7	(累极)
□	tie7	～咖哒(丢失了)
□	len7	～起个颈根:缩脖子
□	sen7	好～(好吝啬)
□	kʰen7	～通一笑(噗嗤一笑)
一	i7	
丁	tin1	
七	tɕʰi7	
万	uan6	
丈	tsaŋ5	
三	tsʰan5	
上	saŋ6-	
上	saŋ5=	
下	xa6-	底～
下	ɕia6	～降
下	ɕia6=	～面
不	pu7	
与	y3	
丐	kai5	
丑	tsʰəu3	
專	tɕyə̃1	
且	tɕʰie3	
丕	pʰei1	
丘	tɕʰiəu1	
丙	pin3	
業	lie7-	
業	ie7=	
叢	tsen2	
絲	sɿ1	
丞	tsen2	
丟	tiəu1	
兩	liaŋ3-	
嚴	iə̃2	
並	pin5	
喪	tsʰan5	婚～
喪	san5	～失
个	ko5	
丫	ŋa1-	
丫	ia1=	
中	tsen1	
中	tsen5	射～
丰	xen1	
串	tɕʰyə̃1	
丸	yə̃2	
丸	uan2=	
丹	tan1	
爲	uei2	作～
爲	uei6	～什么
主	tɕy3	
丽	li5	
舉	tɕy3	
乃	lai3	
久	tɕiəu3	
麼	iau1	～二三
義	li5	
之	tsɿ1	
烏	u1	
乍	tsa3	
乎	fu1	
乏	fa7	
樂	lo7	快～
樂	io7	音～
喬	tɕiau2	
乖	kuai1	
乘	sen2	
乙	ie7-	
乙	i7=	
九	tɕiəu3	
乞	tɕʰi7	
也	ia3-	
也	ie3=	
習	ɕi7	
鄉	ɕiaŋ1	
書	ɕy1	
買	mai3	
亂	lõ6	
乳	y3	
乾	kan1	～湿
了	tsen2	
了	liau3	～结
爭	tsen1	
二	ə6-	
二	ə5=	
于	y2	
虧	kʰuei1	
雲	yn1	
互	fu5	
五	u3	
井	tɕin3	
亞	ia1	
些	ɕia1-	
些	ɕie1=	
亡	uaŋ2	
交	tɕiau1	
亥	xai5	
產	tsʰan3	
亨	xen1	
畝	məu3	
享	ɕiaŋ3	
京	tɕin1	
亭	tin2	
亮	liaŋ6-	
亮	liaŋ5=	
親	tɕʰin1	～人
親	tɕʰin5	～家
人	lin2-	
人	yn2=	
億	i6	
什	sɿ7	
仁	yn2	
僅	tɕin3	
仆	pʰu7	前～后继
仇	tsəu2	～人
仇	tsʰəu2	～姓
今	tɕin1	
介	kai5-	
介	tɕie5=	
仍	len1	
从	tsʰen2	～容
从	tsʰen2	跟～
仑	len2	
倉	tsʰaŋ1	
仕	sɿ5	
他	tʰa1	
仗	tsaŋ5	
付	fu5	
仙	tɕʰiə̃5	
代	tai6-	
代	tai5=	
令	lin5	
以	i3	
儀	i1	
仰	liaŋ3-	
仰	iaŋ3=	
