#漢字	音標	解釋
□	ȵi1	马[替]～，小的蛙
□	tɕia1	～日：昨天
□	hia1	～赖[替]：萤火虫
□	sua1	“涮”义
□	hɛ1	“嘶”义
□	iɔ1	“藏”义
□	tsʰuɔ1	“唆”义
□	suɔ1	“吸”义
□	mɐu1	“挖”义
□	lɐu1	“掏”义
□	kʰum1	碓～：碓窝
□	ȵɐm1	～瓜子：磕瓜子
□	ɐm1	～藏：捉迷藏
□	ɔm1	“捂”义
□	hɐŋ1	“给”义
□	mɛŋ1	鸡～：夜盲
□	na2	大～：伯母
□	tsam2	“扎”义
□	san2	口水
□	tsɐŋ2	“成”义
□	pɛŋ2	“堆”义
□	mɛŋ2	“娇”义
□	kɔŋ2	“剔”义
□	mi3	马～：蜻蜓
□	lʊ3	孤～子：单身汉
□	va3	～iu²¹⁴：老鹰
□	ȵa3	“捱”义
□	pʰai3	两臂左右伸直的长度
□	kʰɔi3	～na³¹：“骂”义
□	ɬɐu3	活结
□	tiu3	古[替]～：猫头鹰
□	ȵam3	“恨”义
□	ɔm3	“遮”义
□	nun3	皮肤被蚊虫咬后肿起来的疙瘩
□	tsun3	鱼～：鱼笼
□	ȵyn3	“拱”义
□	aŋ3	～眼：刺眼
□	pɛŋ3	把棉花拉成线
□	mɛŋ3	撒娇
□	leŋ3	“件”义
□	nʊ4	新～：妻子
□	kʊ4	“蹲”义
□	ky4	面～：腮颊
□	lɔ4	“找”义
□	ŋei4	“推”义
□	nɐu4	“扣”义
□	tsɐu4	“握”义
□	kɐu4	“赶”义
□	lun4	～子：睾丸
□	lɐn4	“哄”义
□	li5	苦～：苦瓜
□	ma5	“背”义
□	va5	“脏”义
□	kʰa5	“呛”义
□	pʰɛ5	扑克牌
□	lɛ5	里[替]～：唢呐
□	kiɛ5	“谈”义
□	nai5	“累”义
□	lɔi5	“脱”义
□	lui5	灶～：灶眼
□	mau5	“帽”义
□	liu5	“眯”义
□	ɕim5	“瓣儿”义
□	kim5	～婆：巫婆
□	ɬum5	“掉”义
□	um5	篮[替]～：薄暮
□	tɐm5	“煮”义
□	nɔm5	裤～：裤裆
□	pin5	筲箕
□	fin5	“甩”义
□	ŋun5	～头：摇头
□	liɛn5	“滚”义
□	mɔn5	两～：两处
□	kʰɐŋ5	“节俭”义
□	ŋɐŋ5	～爹：曾祖父
□	ɐŋ5	“这么”义
□	mɛŋ5	“够取”义
□	nɛŋ5	耳～：耳环
□	nɔŋ5	～pɔŋ²¹⁴：秋千
□	lɔŋ5	“涮”义
□	luɔŋ5	“缝儿”义
□	peŋ5	肚～：肚脐
□	tsʰuŋ5	～厨[替]：木杵
□	nɛ6	tsup⁵⁵～：吮乳
□	lɛ6	麻～：麻雀
□	tɕʰiɛ6	pi⁴²～：屎坑鸟
□	kɔ6	灯～：灯筒
□	kiɔ6	“爱”义
□	tsʰai6	蜜[替]椒[替]～，西红柿
□	mei6	情人
□	ləu6	一～猪：一窝猪
□	pam6	泥浆
□	ȵam6	“喂”义
□	kam6	～行：爬行
□	tɐm6	“跺”义
□	sun6	鸡～：鸡肫
□	ŋun6	“闪”义
□	san6	碗柜
□	ŋʷan6	～狗：疯狗
□	ŋɐŋ6	“昏”义
□	pɔŋ6	ŋɔŋ³³～：秋千
□	tɔŋ6	缸、瓮
□	lup7a	“罩”义
□	tsup7a	～嘴：亲嘴
□	sap8a	“敷”义
□	tɐp7a	“掷”义
□	tʰɐp7a	“套”义
□	ȵɐp7a	“抓”义
□	hɐp7a	“闷”义
□	lɔp8a	打暗[替]～：打呵欠
□	put7a	脚～：腿肚子
□	lut7a	“钻”义
□	kut7a	纥繨
□	tyt7a	耳朵～：耳垂
□	lyt7a	地[替]～：蝼蛄
□	ȵat7a	马[替]～：蚊子
□	ɕiɛt8a	～本：赔本
□	ŋak7a	嗝
□	vɐk7a	“绑”义
□	nɐk7a	tɕi²²～底：腋下
□	ɐk7a	“冷”义
□	pɔk7a	～柚；柚子
□	tɔk7a	～门：门牙
□	lɔk7a	“绊住”义
□	puk7a	～脊：脊背
□	nap7b	“夹”义
□	ɬap7b	“跨”义
□	hap7b	正[替]～：才
□	nɐp8b	“折”义
□	lɛp7b	木～：木屑
□	ɬɛp7b	糠～：粗糠
□	tut8b	补～：补钉
□	tat7b	悬崖
□	ȵɛt7b	鱼的鳍
□	liɛt7b	“拧”义
□	tɔt7b	武[替]稿[替]：谷蔸
□	tɔt8b	kut⁵⁵～：纥繨
□	lɛk7b	“瘸”义
□	hɛk7b	“逗”义
□	tɕʰiɛk7b	～iən⁴²：裂缝
□	nɔk7b	“撞”义
㮇	tʰim5	
一	uat7a	
丁	teŋ1	
七	tsʰuat7a	
万	van6	
丈	tɕiɛŋ4	
三	sam1	
上	sɐŋ4	～山
上	sɐŋ6	～面
下	ʔa4	～降
下	ʔa6	底～
与	ʔy3	
丑	tsʰɐu3	
專	tsuən1	
且	tɕʰiɛ3	
世	sei5	
丘	kʰiɐu1	
丙	peŋ3	
業	niɛp8a	
叢	tsuŋ2	
東	tuŋ1	
絲	sɿ1	
丞	tsən2	
丟	nɛu6	
兩	liɛŋ3	斤～
兩	liɛŋ4	～斤
嚴	nim2	
並	peŋ6	
喪	sɔŋ1	婚～
喪	sɔŋ5	～失
个	kɔ5	
丫	a1	
中	tsuŋ1	
中	tsuŋ5	
丰	huŋ1	
串	tsʰuɔn5	
臨	lɐm2	
丸	van2	
丹	tan1	
爲	vei2	作～
爲	vei6	～什么
主	tɕy3	
丽	li6	
舉	ky3	
乃	nai4	
久	kiɐu3	
義	ȵei6	
之	tɕi1	
烏	ʔʊ1	
乏	fat7b	
樂	lɔ2	快～
樂	iɛk8a	音～
喬	kiu2	
乖	kʷai1	
乘	seŋ2	
乘	seŋ6	
乙	iɛp7b	
九	kiɐu3	
乞	ki2	
也	ia6	
習	tsɐp8b	
鄉	hiɛŋ1	
書	ɕy1	
買	mai4	
亂	luɔn6	
乳	y3	
乾	kɔn1	～燥
乾	kʰin2	
了	liu4	～结
爭	tsɛŋ1	
事	sɿ6	
二	ȵi6	
于	ʔy2	
亏	kʰʷei1	
云	yn2	
互	ʔʊ6	
五	ŋ̍4	
井	tseŋ3	
亞	ia3	
些	nɛ3	
亡	mɔŋ2	
交	kau1	
亥	ʔei6	
產	tsʰan3	
畝	mɐu4	
享	hiɛŋ3	
京	keŋ1	
亭	teŋ2	
亮	liɛŋ6	
親	tsʰɐn1	～切；～家
人	ȵɐn2	
億	ʔi5	
仁	ȵɐn2	
仅	kin3	
仆	pʰuk7a	
仇	tsɐu2	
今	kiɐm1	
介	kai5	
仍	ȵin6	
从	tsuŋ2	
倉	tsʰɔŋ1	
仕	sɿ6	
他	tʰa1	
仗	tɕiɛŋ4	
付	fʊ5	
仙	sun1	
代	tei6	
令	leŋ6	
以	ʔi3	
儀	i4	
仰	ȵiɛŋ4	
仲	tsuŋ5	
件	kʰiɛn4	
价	ka5	
任	sɐm2	责～
份	vɐn6	
仿	fɔŋ3	
企	kʰi5	
伍	ŋ̍4	
伏	puk8b	
伐	vat8b	
休	hiɐu1	
众	tsuŋ5	
优	iɐu1	
會	kʰʷai5	～计
會	vui6	
傘	san5	
偉	vei3	
傳	tsuən2	～达
傷	ɕiɛŋ1	
倫	lɐn2	
僞	vei3	
伯	pɛk8b	
伴	pɔn4	
伶	leŋ2	
伸	sɐn1	
伺	sɿ6	
似	sɿ5	
但	tan6	
位	vui6	
低	tei1	
住	tɕy6	
佐	tsɔ5	
体	tʰei3	
佔	tɕim5	
何	ʔɔ2	
余	ɕiɛ1	
余	ʔy2	
佛	vuat8b	
作	tsɔk7b	～坊；工～
你	ni4	
佩	pʰui5	
佳	ka1	
使	ɕi3	
侄	tsuat8b	
侈	tɕʰi3	
例	li6	
侍	sɿ6	
供	kuŋ5	提～；～养
依	ʔi1	
僥	hiu1	
偵	tsən1	
側	tsʰɐk7a	
僑	kiu2	
侮	ʊ3	
侯	ʔɐu2	
侵	tsʰɐm5	
便	piɛn6	～宜；方～
便	piɛn6	
係	hi5	
促	tsuk8b	
俄	ŋɔ2	
俗	suk8b	
俘	fʊ1	
保	pəu3	
信	sɐn5	
儉	kim3	
修	sɐu1	
俯	fʊ3	
俱	kʰy6	
俸	ʔuŋ6	
倍	pui4	
倒	təu3	～塌；～水
倔	kʰy2	
候	ɐu6	
借	tɕiɛ5	
倡	tɕʰiɛŋ5	
倣	fɔŋ3	
倦	kʰyɛn5	
倭	vuɔ1	
債	tsai5	
值	tsek8b	
傾	kʰeŋ1	
假	ka3	真～
假	ka5	休～
偏	pʰin1	
做	tsɿ5	
停	teŋ2	
健	kiɛn5	
偶	ŋɐu4	配～；～然
偷	tʰɐu1	
償	ɕiɛŋ2	
傀	kʰʷei3	
傅	ʊ6	
傍	pɔn5	
傢	ka1	
儲	tɕy6	
催	tsʰui1	
傲	ŋau5	
像	ɕiɛŋ5	
僧	tsɐŋ1	
僵	kʰiɛŋ1	
僻	pʰek7a	
儡	1ei2	
儽	lui6	
儿	ȵi2	
允	yn4	
元	yn2	
兄	heŋ1	
充	tsʰuŋ1	
兆	tɕiu6	
兇	hiuŋ1	
先	ɕin1	
光	kʷɔŋ1	
克	kʰɐk7a	
免	miɛn4	
兌	tui5	
兔	tʰʊ5	
党	tɔŋ3	
兜	tɐu3	
入	ȵɐp8b	
全	tɕyn2	
八	pat7b	
公	kuŋ1	
六	luk8b	
蘭	lan2	
共	kuŋ6	
關	kʷan1	
興	heŋ5	～旺；高～
兵	peŋ1	
其	ki2	
具	ky6	
典	tim3	
兹	tsɿ2	
養	iɛŋ4	
兼	kim1	
獸	sɐu6	
內	nui6	
冇	mɐu4	
岡	kɔŋ1	
冊	tsʰɛk7b	
再	tsei5	
冒	məu6	
寫	ɕiɛ3	
軍	kyn1	
農	nuŋ2	
冠	kun1	
冠	kʷɔn5	寺～；～军
冤	yn1	
冬	tuŋ1	
馮	ʔuŋ2	
冰	pən1	
决	kyɛt7b	
况	kʰʷaŋ5	
冷	lɛŋ4	
凍	tuŋ6	
淨	tseŋ6	
准	tsuən3	
凉	liɛŋ2	
凌	leŋ2	
減	kam3	
湊	tsʰɐu5	
凝	neŋ2	
几	ki3	茶～
凡	van2	
凭	peŋ2	
凱	kʰai3	
凳	tɐŋ5	
凶	hiuŋ1	
出	tsʰut7a	
擊	kek7a	
函	ʔɐm2	
鑿	tsɔk8b	
刀	təu1	
刁	tiu1	
分	fɐn1	
切	tɕʰiɛt7b	
刊	kʰan3	
刑	eŋ2	
划	vat8b	
列	liɛt8a	
劉	lɐu2	
則	tsʰɐk7a	
剛	kɔŋ1	
創	tsʰuɔŋ5	
初	tsʰɔ1	
刪	suan1	
判	pʰɔn5	
刨	pau6	
利	li6	
别	piɛt8b	区～；离～
刮	kʷat7b	
到	təu5	
制	tɕi6	
券	kyɛn5	
刺	tsʰɿ5	
刻	kʰɐk7a	时～；甩刀～
劊	kʰʷai5	
剁	tɔ5	
剃	tʰei5	
前	tɕin2	
剮	kʷa3	
劍	kim5	
剔	tʰek7a	
剖	pʰɐu3	
剝	pɐk7a	～削
劇	ky6	
剩	seŋ6	
剪	tɕiɛn3	
副	fʊ5	
割	kɔt7b	
剿	tɕiu3	
劃	va6	
劈	pʰek7a	
力	lek8b	
勸	kʰyɛn5	
辦	pan6	
功	kuŋ1	
加	ka1	
務	ʊ5	
劣	liɛt8b	
動	tuŋ4	
助	tsʊ6	
努	nʊ6	
劫	kiɛp7b	
勵	li6	
勁	kin5	有～
勁	keŋ5	～敌
勞	ləu2	
勢	sei5	
勇	iuŋ4	
勉	miɛn4	
勋	hyn1	
勒	lɐk8b	
勘	kʰan5	
募	mʊ6	
勤	kiən2	
勥	kiɛŋ6	
勾	kɐu1	～消；～当
勿	fuat7a	
勻	yn2	
包	pau1	
化	va2	
北	pɐk7a	
匙	ɕi2	钥～；汤～
匠	tɕiɛŋ6	
匡	kʰʷaŋ3	
匪	fi1	
匹	pʰuat7a	
區	kʰy1	
医	ʔi1	
匾	piɛn3	
十	sɐp8b	
千	tɕʰin1	
升	seŋ1	
午	ŋ̍2	
半	pɔn5	
華	va2	中～；～山
協	hiɛt7b	
卑	pei1	
卒	tsuat7a	士～
單	tan1	
賣	mai6	
南	nam2	
博	puk7b	
卜	pʰuk7a	占～
占	tɕim5	～卜
盧	lʊ2	
卤	lʊ4	
卦	tɕiɛŋ3	
卦	kʷa5	
臥	ŋɔ6	
